dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000069,1.700000,0.000200,0.020000,1.000000,50.000000,0.000007
0.020000,6.000755,1.700000,0.000887,0.034333,0.716633,-14.168367,0.000073
0.020000,6.002300,1.700000,0.002432,0.077244,2.145584,71.447545,0.000223
0.020000,6.005046,1.700001,0.005178,0.137309,3.003237,42.882651,0.000490
0.020000,6.009337,1.700004,0.009468,0.214509,3.859999,42.838111,0.000908
0.020000,6.015341,1.700011,0.015473,0.300238,4.286447,21.322408,0.001493
0.020000,6.023059,1.700026,0.023190,0.385892,4.282699,-0.187375,0.002248
0.020000,6.032488,1.700051,0.032619,0.471449,4.277859,-0.242046,0.003172
0.020000,6.043626,1.700093,0.043757,0.556887,4.271910,-0.297443,0.004267
0.020000,6.056469,1.700156,0.056601,0.642184,4.264832,-0.353865,0.005536
0.020000,6.071015,1.700247,0.071147,0.727316,4.256602,-0.411532,0.006979
0.020000,6.087260,1.700373,0.087392,0.812260,4.247193,-0.470456,0.008599
0.020000,6.105199,1.700544,0.105332,0.896991,4.236570,-0.531137,0.010399
0.020000,6.124827,1.700767,0.124962,0.981485,4.224700,-0.593494,0.012382
0.020000,6.146140,1.701054,0.146276,1.065716,4.211542,-0.657915,0.014550
0.020000,6.169130,1.701416,0.169269,1.149657,4.197049,-0.724623,0.016907
0.020000,6.193792,1.701864,0.193935,1.233281,4.181174,-0.793770,0.019457
0.020000,6.220117,1.702413,0.220266,1.316558,4.163860,-0.865671,0.022203
0.020000,6.248098,1.703075,0.248255,1.399459,4.145049,-0.940592,0.025151
0.020000,6.277727,1.703867,0.277894,1.481952,4.124674,-1.018720,0.028304
0.020000,6.308993,1.704805,0.309175,1.564006,4.102665,-1.100468,0.031669
0.020000,6.341886,1.705906,0.342086,1.645584,4.078944,-1.186026,0.035250
0.020000,6.376395,1.707188,0.376619,1.726653,4.053430,-1.275734,0.039054
0.020000,6.412508,1.708672,0.412763,1.807174,4.026031,-1.369945,0.043087
