dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000091,-1.700000,0.000200,0.020000,1.000000,50.000000,0.000007
0.020000,6.001005,-1.700000,0.001113,0.045667,1.283367,14.168367,0.000073
0.020000,6.003060,-1.700000,0.003168,0.102756,2.854416,78.552455,0.000223
0.020000,6.006714,-1.699998,0.006822,0.182691,3.996763,57.117315,0.000490
0.020000,6.012423,-1.699994,0.012532,0.285491,5.140002,57.161977,0.000908
0.020000,6.020419,-1.699985,0.020527,0.399762,5.713552,28.677477,0.001493
0.020000,6.030701,-1.699966,0.030809,0.514108,5.717301,0.187438,0.002248
0.020000,6.043272,-1.699931,0.043381,0.628551,5.722140,0.241979,0.003172
0.020000,6.058134,-1.699876,0.058243,0.743113,5.728089,0.297444,0.004267
0.020000,6.075290,-1.699792,0.075399,0.857816,5.735166,0.353872,0.005536
0.020000,6.094743,-1.699670,0.094853,0.972684,5.743395,0.411419,0.006979
0.020000,6.116497,-1.699501,0.116608,1.087740,5.752805,0.470530,0.008599
0.020000,6.140557,-1.699272,0.140668,1.203008,5.763426,0.531013,0.010399
0.020000,6.166925,-1.698972,0.167038,1.318514,5.775295,0.593472,0.012382
0.020000,6.195608,-1.698586,0.195724,1.434283,5.788453,0.657901,0.014550
0.020000,6.226611,-1.698098,0.226731,1.550342,5.802944,0.724530,0.016907
0.020000,6.259940,-1.697492,0.260065,1.666719,5.818818,0.793715,0.019457
0.020000,6.295601,-1.696749,0.295734,1.783441,5.836130,0.865614,0.022203
0.020000,6.333601,-1.695850,0.333745,1.900540,5.854940,0.940475,0.025151
0.020000,6.373948,-1.694771,0.374105,2.018046,5.875314,1.018683,0.028304
0.020000,6.416648,-1.693490,0.416825,2.135993,5.897320,1.100347,0.031669
0.020000,6.461712,-1.691982,0.461914,2.254414,5.921039,1.185905,0.035250
0.020000,6.509146,-1.690219,0.509380,2.373345,5.946551,1.275625,0.039054
0.020000,6.558960,-1.688172,0.559237,2.492823,5.973947,1.369789,0.043087
0.020000,6.611164,-1.685810,0.611495,2.612890,6.003323,1.468813,0.047357
0.020000,6.665769,-1.683099,0.666166,2.733586,6.034782,1.572945,0.051869
0.020000,6.722784,-1.680003,0.723266,2.854954,6.068434,1.682610,0.056634
0.020000,6.782221,-1.676484,0.782806,2.977042,6.104398,1.798198,0.061658
0.020000,6.844091,-1.672500,0.844804,3.099898,6.142798,1.919986,0.066951
0.020000,6.908405,-1.668008,0.909276,3.223574,6.183767,2.048467,0.072522
0.020000,6.975177,-1.662961,0.976238,3.348122,6.227447,2.183967,0.078382
0.020000,7.044419,-1.657308,1.045710,3.473602,6.273982,2.326781,0.084543
0.020000,7.116143,-1.650997,1.117712,3.600073,6.323531,2.477439,0.091014
0.020000,7.190363,-1.643969,1.192264,3.727598,6.376254,2.636131,0.097809
0.020000,7.267092,-1.636165,1.269389,3.856244,6.432317,2.803179,0.104942
