dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000069,1.690000,0.000200,0.020000,1.000000,50.000000,0.000007
0.020000,6.000756,1.690000,0.000887,0.034366,0.718300,-14.085024,0.000073
0.020000,6.002302,1.690000,0.002434,0.077319,2.147668,71.468441,0.000223
0.020000,6.005051,1.690001,0.005183,0.137443,3.006159,42.924518,0.000490
0.020000,6.009346,1.690004,0.009477,0.214718,3.863764,42.880240,0.000908
0.020000,6.015356,1.690011,0.015488,0.300531,4.290644,21.344040,0.001493
0.020000,6.023082,1.690026,0.023213,0.386269,4.286919,-0.186273,0.002248
0.020000,6.032520,1.690051,0.032651,0.471911,4.282106,-0.240622,0.003172
0.020000,6.043668,1.690093,0.043800,0.557435,4.276193,-0.295694,0.004267
0.020000,6.056525,1.690156,0.056656,0.642818,4.269157,-0.351783,0.005536
0.020000,6.071085,1.690247,0.071217,0.728038,4.260975,-0.409111,0.006979
0.020000,6.087346,1.690374,0.087478,0.813070,4.251621,-0.467688,0.008599
0.020000,6.105303,1.690544,0.105436,0.897891,4.241061,-0.528013,0.010399
0.020000,6.124951,1.690768,0.125086,0.982477,4.229261,-0.590003,0.012382
0.020000,6.146285,1.691055,0.146422,1.066800,4.216180,-0.654044,0.014550
0.020000,6.169299,1.691417,0.169438,1.150836,4.201772,-0.720360,0.016907
0.020000,6.193986,1.691866,0.194130,1.234555,4.185990,-0.789101,0.019457
0.020000,6.220339,1.692415,0.220488,1.317931,4.168779,-0.860579,0.022203
0.020000,6.248350,1.693078,0.248507,1.400932,4.150078,-0.935059,0.025151
0.020000,6.278010,1.693871,0.278177,1.483529,4.129823,-1.012728,0.028304
0.020000,6.309310,1.694810,0.309491,1.565688,4.107943,-1.093995,0.031669
0.020000,6.342239,1.695912,0.342439,1.647375,4.084362,-1.179050,0.035250
0.020000,6.376786,1.697196,0.377010,1.728555,4.058998,-1.268230,0.039054
0.020000,6.412939,1.698682,0.413194,1.809190,4.031760,-1.361887,0.043087
0.020000,6.450685,1.700389,0.450978,1.889241,4.002554,-1.460294,0.047357
0.020000,6.490010,1.702342,0.490352,1.968667,3.971277,-1.563869,0.051869
0.020000,6.530899,1.704562,0.531300,2.047423,3.937818,-1.672921,0.056634
0.020000,6.573334,1.707075,0.573809,2.125464,3.902062,-1.787800,0.061658
0.020000,6.617297,1.709905,0.617864,2.202742,3.863883,-1.908952,0.066951
0.020000,6.662771,1.713081,0.663448,2.279205,3.823150,-2.036669,0.072522
0.020000,6.709733,1.716631,0.710544,2.354800,3.779722,-2.171368,0.078382
0.020000,6.758161,1.720584,0.759134,2.429469,3.733453,-2.313470,0.084543
0.020000,6.808031,1.724972,0.809197,2.503152,3.684189,-2.463209,0.091014
0.020000,6.859318,1.729828,0.860713,2.575788,3.631769,-2.621015,0.097809
