dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.000091,-1.690000,0.000200,0.020000,1.000000,50.000000,0.000007
0.020000,6.001004,-1.690000,0.001113,0.045634,1.281700,14.085023,0.000073
0.020000,6.003058,-1.690000,0.003166,0.102681,2.852332,78.531558,0.000223
0.020000,6.006709,-1.689998,0.006817,0.182557,3.993841,57.075448,0.000490
0.020000,6.012414,-1.689994,0.012523,0.285282,5.136238,57.119848,0.000908
0.020000,6.020404,-1.689985,0.020512,0.399469,5.709354,28.655844,0.001493
0.020000,6.030678,-1.689966,0.030787,0.513731,5.713081,0.186335,0.002248
0.020000,6.043240,-1.689932,0.043349,0.628089,5.717892,0.240556,0.003172
0.020000,6.058091,-1.689876,0.058200,0.742565,5.723806,0.295694,0.004267
0.020000,6.075235,-1.689792,0.075344,0.857182,5.730842,0.351791,0.005536
0.020000,6.094674,-1.689671,0.094783,0.971962,5.739022,0.408999,0.006979
0.020000,6.116411,-1.689501,0.116522,1.086930,5.748377,0.467762,0.008599
0.020000,6.140453,-1.689273,0.140564,1.202108,5.758935,0.527889,0.010399
0.020000,6.166801,-1.688973,0.166914,1.317523,5.770735,0.589981,0.012382
0.020000,6.195463,-1.688587,0.195578,1.433199,5.783815,0.654031,0.014550
0.020000,6.226442,-1.688100,0.226562,1.549164,5.798221,0.720268,0.016907
0.020000,6.259746,-1.687494,0.259870,1.665444,5.814001,0.789046,0.019457
0.020000,6.295379,-1.686752,0.295512,1.782068,5.831212,0.860522,0.022203
0.020000,6.333350,-1.685853,0.333493,1.899066,5.849911,0.934942,0.025151
0.020000,6.373665,-1.684775,0.373822,2.016470,5.870165,1.012691,0.028304
0.020000,6.416332,-1.683495,0.416509,2.134310,5.892042,1.093874,0.031669
0.020000,6.461359,-1.681988,0.461561,2.252623,5.915621,1.178928,0.035250
0.020000,6.508755,-1.680227,0.508990,2.371443,5.940983,1.268121,0.039054
0.020000,6.558529,-1.678181,0.558806,2.490807,5.968218,1.361731,0.043087
0.020000,6.610691,-1.675821,0.611021,2.610755,5.997421,1.460173,0.047357
0.020000,6.665250,-1.673112,0.665648,2.731329,6.028695,1.563691,0.051869
0.020000,6.722218,-1.670019,0.722699,2.852572,6.062149,1.672712,0.056634
0.020000,6.781605,-1.666503,0.782190,2.974530,6.097902,1.787620,0.061658
0.020000,6.843422,-1.662522,0.844135,3.097252,6.136075,1.908691,0.066951
0.020000,6.907681,-1.658034,0.908551,3.220788,6.176804,2.036416,0.072522
0.020000,6.974394,-1.652991,0.975455,3.345192,6.220226,2.171120,0.078382
0.020000,7.043575,-1.647344,1.044865,3.470522,6.266488,2.313093,0.084543
0.020000,7.115234,-1.641038,1.116802,3.596837,6.315745,2.462865,0.091014
0.020000,7.189387,-1.634017,1.191286,3.724200,6.368158,2.620623,0.097809
0.020000,7.266045,-1.626220,1.268339,3.852678,6.423892,2.786689,0.104942
0.020000,7.345222,-1.617581,1.347986,3.982340,6.483119,2.961372,0.112425
0.020000,7.426931,-1.608032,1.430251,4.113261,6.546013,3.144723,0.120275
0.020000,7.511185,-1.597498,1.515162,4.245516,6.612751,3.336893,0.128506
0.020000,7.597998,-1.585900,1.602745,4.379186,6.683509,3.537863,0.137135
0.020000,7.687381,-1.573154,1.693032,4.514355,6.758453,3.747242,0.146181
0.020000,7.779346,-1.559170,1.786055,4.651110,6.837749,3.964804,0.155662
0.020000,7.873903,-1.543850,1.881845,4.789541,6.921544,4.189707,0.165598
0.020000,7.971064,-1.527093,1.980440,4.929740,7.009963,4.420990,0.176009
0.020000,8.070835,-1.508789,2.081876,5.071802,7.103107,4.657193,0.186918
0.020000,8.173222,-1.488820,2.186193,5.215823,7.201035,4.896405,0.198348
0.020000,8.278229,-1.467062,2.293431,5.361898,7.303757,5.136067,0.210324
0.020000,8.385857,-1.443380,2.403633,5.510122,7.411215,5.372919,0.222870
0.020000,8.496103,-1.417635,2.516845,5.660588,7.523272,5.602848,0.236014
0.020000,8.608958,-1.389673,2.633112,5.813381,7.639685,5.820636,0.249782
0.020000,8.724410,-1.359335,2.752484,5.968583,7.760083,6.019889,0.264204
0.020000,8.842440,-1.326449,2.875009,6.126262,7.883941,6.192936,0.279308
0.020000,8.963020,-1.290835,3.000739,6.286473,8.010548,6.330352,0.295125
0.020000,9.086114,-1.252302,3.129724,6.449252,8.138969,6.421019,0.311685
0.020000,9.211677,-1.210646,3.262016,6.614612,8.268006,6.451848,0.329019
0.020000,9.339650,-1.165657,3.397667,6.782536,8.396162,6.407841,0.347156
0.020000,9.469961,-1.117111,3.536726,6.952968,8.521596,6.271686,0.366128
0.020000,9.602520,-1.064778,3.679242,7.125809,8.642080,6.024207,0.385961
0.020000,9.737222,-1.008415,3.825261,7.300908,8.754966,5.644276,0.406683
0.020000,9.873939,-0.947776,3.974822,7.478052,8.857160,5.109687,0.428319
0.020000,10.012520,-0.882608,4.127961,7.656954,8.945105,4.397254,0.450888
0.020000,10.152789,-0.812654,4.284706,7.837250,9.014797,3.484633,0.474408
0.020000,10.294543,-0.737659,4.445075,8.018486,9.061822,2.351243,0.498890
0.020000,10.437549,-0.657371,4.609078,8.200115,9.081428,0.980314,0.524338
0.020000,10.581540,-0.571545,4.776707,8.381488,9.068659,-0.638455,0.550749
0.020000,10.726220,-0.479949,4.947945,8.561858,9.018521,-2.506911,0.578111
