dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.812500,3.000061,0.000199,0.019900,0.995025,49.751244,1.570787
0.020000,12.812500,3.001027,0.001165,0.048314,1.420682,21.282869,1.570644
0.020000,12.812501,3.003202,0.003340,0.108725,3.020554,79.993574,1.570321
0.020000,12.812503,3.006827,0.006965,0.181265,3.627010,30.322789,1.569782
0.020000,12.812511,3.011905,0.012043,0.253891,3.631282,0.213613,1.569025
0.020000,12.812525,3.018438,0.018576,0.326637,3.637304,0.301109,1.568049
0.020000,12.812552,3.026428,0.026566,0.399539,3.645108,0.390211,1.566850
0.020000,12.812596,3.035881,0.036019,0.472634,3.654747,0.481928,1.565425
0.020000,12.812664,3.046800,0.046938,0.545960,3.666294,0.577347,1.563771
0.020000,12.812762,3.059191,0.059329,0.619556,3.679805,0.675560,1.561884
0.020000,12.812901,3.073059,0.073199,0.693464,3.695387,0.779123,1.559756
0.020000,12.813089,3.088413,0.088553,0.767727,3.713133,0.887260,1.557384
0.020000,12.813337,3.105258,0.105401,0.842390,3.733172,1.001981,1.554760
0.020000,12.813657,3.123606,0.123751,0.917503,3.755633,1.123019,1.551876
0.020000,12.814064,3.143464,0.143613,0.993116,3.780680,1.252352,1.548724
0.020000,12.814573,3.164844,0.164999,1.069286,3.808483,1.390165,1.545294
0.020000,12.815200,3.187756,0.187921,1.146071,3.839246,1.538157,1.541577
0.020000,12.815964,3.212215,0.212391,1.223535,3.873194,1.697415,1.537561
0.020000,12.816885,3.238234,0.238426,1.301746,3.910576,1.869100,1.533233
0.020000,12.817986,3.265827,0.266042,1.380780,3.951672,2.054771,1.528580
0.020000,12.819292,3.295013,0.295256,1.460716,3.996803,2.256577,1.523585
0.020000,12.820829,3.325807,0.326089,1.541642,4.046324,2.476039,1.518234
0.020000,12.822628,3.358230,0.358562,1.623655,4.100613,2.714471,1.512506
0.020000,12.824721,3.392303,0.392699,1.706857,4.160132,2.975919,1.506383
0.020000,12.827143,3.428048,0.428526,1.791364,4.225349,3.260883,1.499841
0.020000,12.829936,3.465491,0.466072,1.877301,4.296827,3.573873,1.492858
0.020000,12.833141,3.504656,0.505369,1.964804,4.375152,3.916232,1.485407
0.020000,12.836806,3.545572,0.546449,2.054024,4.461007,4.292788,1.477459
0.020000,12.840985,3.588271,0.589352,2.145127,4.555139,4.706587,1.468981
0.020000,12.845736,3.632784,0.634117,2.238294,4.658344,5.160247,1.459940
0.020000,12.851122,3.679147,0.680792,2.333725,4.771550,5.660311,1.450298
0.020000,12.857215,3.727396,0.729425,2.431639,4.895712,6.208112,1.440011
0.020000,12.864094,3.777572,0.780070,2.532277,5.031919,6.810345,1.429035
0.020000,12.871847,3.829717,0.832788,2.635903,5.181304,7.469250,1.417320
0.020000,12.880571,3.883875,0.887644,2.742805,5.345094,8.189458,1.404809
0.020000,12.890374,3.940093,0.944710,2.853296,5.524554,8.973007,1.391443
0.020000,12.901377,3.998418,1.004065,2.967716,5.720996,9.822132,1.377155
0.020000,12.913716,4.058901,1.065793,3.086430,5.935687,10.734526,1.361873
0.020000,12.927541,4.121591,1.129990,3.209826,6.169829,11.707128,1.345519
0.020000,12.943022,4.186538,1.196756,3.338315,6.424428,12.729909,1.328005
0.020000,12.960346,4.253789,1.266202,3.472318,6.700151,13.786174,1.309240
0.020000,12.979725,4.323386,1.338448,3.612261,6.997160,14.850430,1.289124
0.020000,13.001394,4.395367,1.413619,3.758558,7.314816,15.882823,1.267549
0.020000,13.025614,4.469755,1.491851,3.911584,7.651325,16.825460,1.244402
0.020000,13.052675,4.546560,1.573284,4.071650,8.003312,17.599341,1.219564
0.020000,13.082896,4.625770,1.658063,4.238955,8.365215,18.095163,1.192914
0.020000,13.116627,4.707341,1.746333,4.413527,8.728616,18.170019,1.164328
0.020000,13.154246,4.791193,1.838236,4.595157,9.081486,17.643498,1.133689
0.020000,13.196153,4.877191,1.933902,4.783304,9.407362,16.293794,1.100886
0.020000,13.242767,4.965142,2.033442,4.976998,9.684730,13.868428,1.065825
0.020000,13.294513,5.054771,2.136937,5.174731,9.886642,10.095568,1.028439
0.020000,13.351805,5.145717,2.244424,5.374353,9.981067,4.721272,0.988695
0.020000,13.415023,5.237515,2.355884,5.572997,9.932202,-2.443258,0.946610
0.020000,13.484485,5.329594,2.471225,5.767062,9.703277,-11.446244,0.902262
0.020000,13.560420,5.421277,2.590271,5.952281,9.260925,-22.117619,0.855798
0.020000,13.642927,5.511795,2.712749,6.123903,8.581118,-33.990339,0.807448
0.020000,13.731954,5.600308,2.838289,6.277018,7.655747,-46.268544,0.757524
0.020000,13.827271,5.685949,2.966429,6.406989,6.498534,-57.860665,0.706416
0.020000,13.928472,5.767866,3.096628,6.509953,5.148232,-67.515087,0.654578
0.020000,14.034977,5.845277,3.228294,6.583302,3.667453,-74.038919,0.602511
0.020000,14.146075,5.917519,3.360815,6.626029,2.136347,-76.555333,0.550729
0.020000,14.260961,5.984086,3.493592,6.638870,0.642013,-74.716686,0.499737
0.020000,14.378792,6.044648,3.626076,6.624193,-0.733840,-68.792675,0.449999
0.020000,14.498743,6.099056,3.757789,6.585675,-1.925868,-59.601380,0.401915
0.020000,14.620048,6.147328,3.888346,6.527835,-2.892039,-48.308563,0.355812
0.020000,14.742035,6.189620,4.017457,6.455525,-3.615473,-36.171670,0.311933
0.020000,14.864145,6.226196,4.144926,6.373491,-4.101699,-24.311317,0.270443
0.020000,14.985631,6.257323,4.270337,6.270506,-5.149254,-52.377746,0.231526
0.020000,15.105588,6.283303,4.393075,6.136915,-6.679542,-76.514420,0.195362
0.020000,15.223265,6.304538,4.512653,5.978897,-7.900913,-61.068555,0.162029
0.020000,15.338330,6.321527,4.628966,5.815641,-8.162793,-13.093967,0.131446
0.020000,15.450818,6.334782,4.742231,5.663272,-7.618452,27.217051,0.103430
0.020000,15.560803,6.344760,4.852668,5.521841,-7.071577,27.343743,0.077796
0.020000,15.668389,6.351866,4.960488,5.391026,-6.540733,26.542179,0.054366
0.020000,15.773694,6.356454,5.065894,5.270272,-6.037674,25.152952,0.032970
0.020000,15.876845,6.358837,5.169072,5.158890,-5.569131,23.427163,0.013451
0.020000,15.977966,6.359286,5.270194,5.056124,-5.138299,21.541589,6.278848
0.020000,16.077183,6.358042,5.369418,4.961204,-4.745970,19.616447,6.262658
0.020000,16.174612,6.355316,5.466886,4.873377,-4.391392,17.728912,6.247948
0.020000,16.270366,6.351292,5.562724,4.791919,-4.072875,15.925868,6.234610
0.020000,16.364548,6.346136,5.657047,4.716155,-3.788214,14.233038,6.222548
0.020000,16.457254,6.339994,5.749956,4.645455,-3.534984,12.661492,6.211676
0.020000,16.548571,6.332997,5.841541,4.579241,-3.310722,11.213103,6.201920
0.020000,16.638579,6.325265,5.931881,4.516980,-3.113050,9.883608,6.193213
0.020000,16.727350,6.316905,6.021044,4.458185,-2.939746,8.665200,6.185496
0.020000,16.814948,6.308014,6.109093,4.402409,-2.788783,7.548169,6.178719
0.020000,16.901431,6.298683,6.196077,4.349242,-2.658348,6.521728,6.172837
0.020000,16.986850,6.288996,6.282044,4.298305,-2.546848,5.574997,6.167812
0.020000,17.071248,6.279030,6.367029,4.249247,-2.452906,4.697092,6.163615
0.020000,17.154665,6.268859,6.451063,4.201740,-2.375354,3.877630,6.160217
0.020000,17.237133,6.258552,6.534173,4.155475,-2.313224,3.106470,6.157598
0.020000,17.318679,6.248175,6.616376,4.110161,-2.265741,2.374155,6.155743
0.020000,17.399323,6.237791,6.697686,4.065514,-2.232312,1.671473,6.154639
0.020000,17.479082,6.227462,6.778112,4.021264,-2.212518,0.989682,6.154281
0.020000,17.557967,6.217247,6.857654,3.977142,-2.206113,0.320236,6.154666
0.020000,17.635981,6.207205,6.936312,3.932881,-2.213018,-0.345216,6.155797
0.020000,17.713123,6.197393,7.014076,3.888215,-2.233317,-1.014982,6.157679
0.020000,17.789388,6.187868,7.090934,3.842870,-2.267266,-1.697433,6.160326
0.020000,17.864762,6.178687,7.166865,3.796564,-2.315287,-2.401078,6.163752
0.020000,17.939226,6.169905,7.241845,3.749004,-2.377983,-3.134770,6.167979
0.020000,18.012754,6.161579,7.315843,3.699882,-2.456134,-3.907579,6.173034
0.020000,18.085312,6.153766,7.388820,3.648867,-2.550718,-4.729202,6.178948
0.020000,18.156858,6.146521,7.460732,3.595609,-2.662910,-5.609568,6.185758
0.020000,18.227343,6.139901,7.531527,3.539727,-2.794095,-6.559247,6.193510
0.020000,18.296705,6.133963,7.601143,3.480810,-2.945877,-7.589085,6.202254
0.020000,18.364875,6.128762,7.669511,3.418408,-3.120076,-8.709956,6.212049
0.020000,18.431771,6.124355,7.736552,3.352034,-3.318730,-9.932703,6.222962
0.020000,18.497297,6.120793,7.802175,3.281152,-3.544068,-11.266897,6.235069
0.020000,18.561346,6.118130,7.866279,3.205183,-3.798475,-12.720364,6.248455
0.020000,18.623792,6.116412,7.928748,3.123494,-4.084419,-14.297185,6.263216
0.020000,18.684496,6.115683,7.989457,3.035408,-4.404323,-15.995225,6.279461
0.020000,18.743299,6.115977,8.048261,2.940200,-4.760384,-17.803030,0.014125
0.020000,18.800025,6.117322,8.105003,2.837115,-5.154269,-19.694261,0.033709
0.020000,18.854480,6.119731,8.159511,2.725381,-5.586693,-21.621184,0.055176
0.020000,18.906449,6.123200,8.211595,2.604245,-6.056797,-23.505198,0.078682
0.020000,18.955703,6.127706,8.261056,2.473019,-6.561285,-25.224440,0.104399
0.020000,19.002002,6.133199,8.307679,2.331154,-7.093278,-26.599628,0.132504
0.020000,19.045096,6.139600,8.351246,2.178338,-7.640810,-27.376585,0.163183
0.020000,19.084738,6.146790,8.391535,2.014455,-8.194140,-27.666540,0.196616
0.020000,19.120616,6.154595,8.428252,1.835839,-8.930780,-36.831974,0.232877
0.020000,19.152422,6.162776,8.461093,1.642058,-9.689051,-37.913563,0.271886
0.020000,19.179993,6.171063,8.489882,1.439467,-10.129565,-22.025671,0.313462
0.020000,19.203384,6.179197,8.514647,1.238256,-10.060561,3.450196,0.357422
0.020000,19.222831,6.186957,8.535586,1.046935,-9.566015,24.727263,0.403599
0.020000,19.238676,6.194161,8.552991,0.870263,-8.833622,36.619673,0.451746
0.020000,19.251354,6.200692,8.567253,0.713092,-7.858561,48.753066,0.501535
0.020000,19.261384,6.206516,8.578851,0.579920,-6.658599,59.998088,0.552561
0.020000,19.269333,6.211697,8.588339,0.474386,-5.276689,69.095475,0.604360
0.020000,19.275779,6.216394,8.596315,0.398807,-3.778953,74.886810,0.656426
0.020000,19.281273,6.220855,8.603392,0.353856,-2.247546,76.570375,0.708243
0.020000,19.286300,6.225389,8.610162,0.338464,-0.769583,73.898139,0.759315
0.020000,19.291253,6.230334,8.617161,0.349969,0.575212,67.239756,0.809187
0.020000,19.296420,6.236029,8.624850,0.384468,1.724975,57.488133,0.857473
0.020000,19.301983,6.242778,8.633596,0.437305,2.641848,45.843657,0.903863
0.020000,19.308031,6.250831,8.643668,0.503565,3.312983,33.556767,0.948132
0.020000,19.314573,6.260374,8.655238,0.578508,3.747182,21.709939,0.990133
0.020000,19.321565,6.271520,8.668396,0.657887,3.968954,11.088568,1.029791
0.020000,19.328924,6.284318,8.683158,0.738125,4.011897,2.147171,1.067093
0.020000,19.336547,6.298757,8.699486,0.816382,3.912845,-4.952594,1.102071
0.020000,19.344325,6.314779,8.717296,0.890533,3.707512,-10.266670,1.134795
0.020000,19.352153,6.332291,8.736478,0.959088,3.427783,-13.986430,1.165359
0.020000,19.359934,6.351173,8.756900,1.021096,3.100414,-16.368466,1.193873
0.020000,19.367583,6.371288,8.778421,1.076031,2.746746,-17.683370,1.220456
0.020000,19.375030,6.392492,8.800895,1.123693,2.383060,-18.184335,1.245231
0.020000,19.382217,6.414638,8.824177,1.164118,2.021249,-18.090528,1.268320
0.020000,19.389101,6.437577,8.848127,1.197510,1.669618,-17.581581,1.289841
0.020000,19.395650,6.461169,8.872611,1.224182,1.333627,-16.799527,1.309908
0.020000,19.401841,6.485276,8.897501,1.244515,1.016603,-15.851216,1.328626
0.020000,19.407663,6.509773,8.922680,1.258920,0.720271,-14.816576,1.346097
0.020000,19.413108,6.534538,8.948036,1.267825,0.445243,-13.751398,1.362412
