dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,15.187500,7.099961,0.000199,0.019900,0.995025,49.751244,4.712398
0.020000,15.187500,7.099335,0.000825,0.031288,0.569367,-21.282875,4.712541
0.020000,15.187500,7.097927,0.002232,0.070379,1.954570,69.260156,4.712864
0.020000,15.187502,7.095582,0.004577,0.117242,2.343139,19.428435,4.713403
0.020000,15.187507,7.092302,0.007858,0.164019,2.338866,-0.213651,4.714160
0.020000,15.187516,7.088088,0.012071,0.210676,2.332848,-0.300927,4.715137
0.020000,15.187534,7.082945,0.017215,0.257177,2.325041,-0.390347,4.716336
0.020000,15.187562,7.076875,0.023284,0.303485,2.315396,-0.482226,4.717760
0.020000,15.187605,7.069884,0.030276,0.349562,2.303859,-0.576878,4.719414
0.020000,15.187668,7.061977,0.038183,0.395369,2.290340,-0.675949,4.721302
0.020000,15.187756,7.053160,0.047000,0.440864,2.274761,-0.778933,4.723429
0.020000,15.187875,7.043441,0.056720,0.486004,2.257010,-0.887541,4.725801
0.020000,15.188031,7.032827,0.067335,0.530744,2.236974,-1.001794,4.728426
0.020000,15.188232,7.021328,0.078836,0.575034,2.214509,-1.123277,4.731310
0.020000,15.188486,7.008954,0.091212,0.618823,2.189463,-1.252274,4.734462
0.020000,15.188801,6.995717,0.104454,0.662056,2.161656,-1.390346,4.737891
0.020000,15.189186,6.981629,0.118547,0.704674,2.130891,-1.538266,4.741608
0.020000,15.189652,6.966704,0.133479,0.746613,2.096944,-1.697377,4.745624
0.020000,15.190210,6.950958,0.149235,0.787804,2.059560,-1.869178,4.749952
0.020000,15.190870,6.934407,0.165799,0.828174,2.018457,-2.055157,4.754606
0.020000,15.191646,6.917072,0.183152,0.867640,1.973323,-2.256703,4.759600
0.020000,15.192549,6.898972,0.201274,0.906116,1.923805,-2.475880,4.764952
0.020000,15.193594,6.880131,0.220144,0.943506,1.869502,-2.715171,4.770679
0.020000,15.194795,6.860574,0.239738,0.979706,1.809986,-2.975799,4.776803
0.020000,15.196167,6.840328,0.260030,1.014601,1.744757,-3.261445,4.783344
0.020000,15.197726,6.819425,0.280992,1.048067,1.673280,-3.573849,4.790327
0.020000,15.199487,6.797897,0.302591,1.079965,1.594940,-3.916989,4.797778
0.020000,15.201468,6.775783,0.324794,1.110147,1.509074,-4.293295,4.805727
0.020000,15.203686,6.753122,0.347563,1.138446,1.414941,-4.706642,4.814204
0.020000,15.206157,6.729960,0.370856,1.164680,1.311712,-5.161483,4.823245
0.020000,15.208900,6.706346,0.394629,1.188650,1.198501,-5.660522,4.832888
0.020000,15.211932,6.682334,0.418832,1.210136,1.074313,-6.209434,4.843174
0.020000,15.215270,6.657984,0.443410,1.228898,0.938090,-6.811127,4.854150
0.020000,15.218930,6.633361,0.468303,1.244672,0.788679,-7.470560,4.865866
0.020000,15.222928,6.608537,0.493447,1.257169,0.624863,-8.190807,4.878376
0.020000,15.227277,6.583592,0.518768,1.266076,0.445364,-8.974948,4.891743
0.020000,15.231988,6.558611,0.544189,1.271054,0.248887,-9.823859,4.906030
0.020000,15.237071,6.533690,0.569624,1.271737,0.034143,-10.737177,4.921312
0.020000,15.242530,6.508930,0.594979,1.267736,-0.200056,-11.709943,4.937667
0.020000,15.248365,6.484442,0.620152,1.258641,-0.454718,-12.733114,4.955180
0.020000,15.254570,6.460348,0.645032,1.244031,-0.730525,-13.790365,4.973945
0.020000,15.261131,6.436774,0.669502,1.223478,-1.027629,-14.855182,4.994061
0.020000,15.268027,6.413858,0.693433,1.196570,-1.345392,-15.888146,5.015636
0.020000,15.275224,6.391741,0.716692,1.162930,-1.682036,-16.832210,5.038783
0.020000,15.282680,6.370570,0.739137,1.122246,-2.034175,-17.606920,5.063621
0.020000,15.290335,6.350494,0.760623,1.074321,-2.396252,-18.103853,5.090271
0.020000,15.298119,6.331657,0.781006,1.019124,-2.759855,-18.180182,5.118857
0.020000,15.305948,6.314194,0.800143,0.956865,-3.112944,-17.654415,5.149496
0.020000,15.313723,6.298224,0.817905,0.888084,-3.439069,-16.306265,5.182300
0.020000,15.321339,6.283841,0.834180,0.813750,-3.716695,-13.881321,5.217360
0.020000,15.328687,6.271101,0.848887,0.735372,-3.918874,-10.108952,5.254747
0.020000,15.335665,6.260011,0.861989,0.655101,-4.013548,-4.733671,5.294490
0.020000,15.342191,6.250523,0.873505,0.575803,-3.964901,2.432331,5.336575
0.020000,15.348221,6.242519,0.883527,0.501081,-3.736123,11.438889,5.380924
0.020000,15.353768,6.235812,0.892231,0.435204,-3.293824,22.114954,5.427388
0.020000,15.358924,6.230149,0.899889,0.382926,-2.613932,33.994629,5.475737
0.020000,15.363875,6.225223,0.906873,0.349159,-1.688319,46.280644,5.525661
0.020000,15.368911,6.220698,0.913643,0.338546,-0.530688,57.881521,5.576770
0.020000,15.374430,6.216233,0.920742,0.354949,0.820195,67.544148,5.628607
0.020000,15.380920,6.211522,0.928762,0.400983,2.301682,74.074361,5.680675
0.020000,15.388933,6.206321,0.938315,0.477655,3.833572,76.594509,5.732456
0.020000,15.399049,6.200472,0.950000,0.584228,5.328695,74.756136,5.783448
0.020000,15.411832,6.193915,0.964366,0.718334,6.705278,68.829144,5.833187
0.020000,15.427799,6.186689,0.981892,0.876292,7.897921,59.632171,5.881270
0.020000,15.447383,6.178912,1.002964,1.053584,8.864561,48.332015,5.927373
0.020000,15.470921,6.170768,1.027871,1.245350,9.588305,36.187185,5.971252
0.020000,15.498645,6.162479,1.056808,1.446844,10.074691,24.319294,6.012743
0.020000,15.530604,6.154306,1.089796,1.649392,10.127435,2.637218,6.051660
0.020000,15.566627,6.146519,1.126651,1.842750,9.667865,-22.978502,6.087823
0.020000,15.606402,6.139354,1.167065,2.020733,8.899161,-38.435204,6.121157
0.020000,15.649616,6.132985,1.210746,2.184047,8.165721,-36.672011,6.151740
0.020000,15.696025,6.127526,1.257476,2.336466,7.620959,-27.238116,6.179756
0.020000,15.745382,6.123057,1.307034,2.477940,7.073707,-27.362588,6.205389
0.020000,15.797445,6.119625,1.359210,2.608791,6.542535,-26.558587,6.228819
0.020000,15.851985,6.117255,1.413802,2.729575,6.039193,-25.167113,6.250215
0.020000,15.908790,6.115949,1.470621,2.840983,5.570411,-23.439087,6.269734
0.020000,15.967664,6.115691,1.529497,2.943771,5.139375,-21.551808,0.004338
0.020000,16.028434,6.116457,1.590271,3.038708,4.746875,-19.624976,0.020527
0.020000,16.090940,6.118210,1.652802,3.126551,4.392154,-17.736064,0.035237
0.020000,16.155044,6.120907,1.716962,3.208022,4.073516,-15.931921,0.048576
