dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.812500,7.099939,0.000199,0.019900,0.995025,49.751244,4.712398
0.020000,12.812500,7.098973,0.001165,0.048314,1.420682,21.282869,4.712541
0.020000,12.812501,7.096798,0.003340,0.108725,3.020554,79.993574,4.712864
0.020000,12.812503,7.093173,0.006965,0.181265,3.627010,30.322789,4.713403
0.020000,12.812511,7.088095,0.012043,0.253891,3.631282,0.213613,4.714160
0.020000,12.812525,7.081562,0.018576,0.326637,3.637304,0.301109,4.715137
0.020000,12.812552,7.073572,0.026566,0.399539,3.645108,0.390211,4.716336
0.020000,12.812596,7.064119,0.036019,0.472634,3.654747,0.481928,4.717760
0.020000,12.812664,7.053200,0.046938,0.545960,3.666294,0.577347,4.719414
0.020000,12.812762,7.040809,0.059329,0.619556,3.679805,0.675560,4.721302
0.020000,12.812901,7.026941,0.073199,0.693464,3.695387,0.779123,4.723429
0.020000,12.813089,7.011587,0.088553,0.767727,3.713133,0.887260,4.725801
0.020000,12.813337,6.994742,0.105401,0.842390,3.733172,1.001981,4.728426
0.020000,12.813657,6.976394,0.123751,0.917503,3.755633,1.123019,4.731310
0.020000,12.814064,6.956536,0.143613,0.993116,3.780680,1.252352,4.734462
0.020000,12.814573,6.935156,0.164999,1.069286,3.808483,1.390165,4.737891
0.020000,12.815200,6.912244,0.187921,1.146071,3.839246,1.538157,4.741608
0.020000,12.815964,6.887785,0.212391,1.223535,3.873194,1.697415,4.745624
0.020000,12.816885,6.861766,0.238426,1.301746,3.910576,1.869100,4.749952
0.020000,12.817986,6.834173,0.266042,1.380780,3.951672,2.054771,4.754606
0.020000,12.819292,6.804987,0.295256,1.460716,3.996803,2.256577,4.759600
0.020000,12.820829,6.774193,0.326089,1.541642,4.046324,2.476039,4.764952
0.020000,12.822628,6.741770,0.358562,1.623655,4.100613,2.714471,4.770679
0.020000,12.824721,6.707697,0.392699,1.706857,4.160132,2.975919,4.776803
0.020000,12.827143,6.671952,0.428526,1.791364,4.225349,3.260883,4.783344
0.020000,12.829936,6.634509,0.466072,1.877301,4.296827,3.573873,4.790327
0.020000,12.833141,6.595344,0.505369,1.964804,4.375152,3.916232,4.797778
0.020000,12.836806,6.554428,0.546449,2.054024,4.461007,4.292788,4.805727
0.020000,12.840985,6.511729,0.589352,2.145127,4.555139,4.706587,4.814204
0.020000,12.845736,6.467216,0.634117,2.238294,4.658344,5.160247,4.823245
0.020000,12.851122,6.420853,0.680792,2.333725,4.771550,5.660311,4.832888
0.020000,12.857215,6.372604,0.729425,2.431639,4.895712,6.208112,4.843174
0.020000,12.864094,6.322428,0.780070,2.532277,5.031919,6.810345,4.854150
0.020000,12.871847,6.270283,0.832788,2.635903,5.181304,7.469250,4.865866
0.020000,12.880571,6.216125,0.887644,2.742805,5.345094,8.189458,4.878376
0.020000,12.890374,6.159907,0.944710,2.853296,5.524554,8.973007,4.891743
0.020000,12.901377,6.101582,1.004065,2.967716,5.720996,9.822132,4.906030
0.020000,12.913716,6.041099,1.065793,3.086430,5.935687,10.734526,4.921312
0.020000,12.927541,5.978409,1.129990,3.209826,6.169829,11.707128,4.937667
0.020000,12.943022,5.913462,1.196756,3.338315,6.424428,12.729909,4.955180
0.020000,12.960346,5.846211,1.266202,3.472318,6.700151,13.786174,4.973945
0.020000,12.979725,5.776614,1.338448,3.612261,6.997160,14.850430,4.994061
0.020000,13.001394,5.704633,1.413619,3.758558,7.314816,15.882823,5.015636
0.020000,13.025614,5.630245,1.491851,3.911584,7.651325,16.825460,5.038783
0.020000,13.052675,5.553440,1.573284,4.071650,8.003312,17.599341,5.063621
0.020000,13.082896,5.474230,1.658063,4.238955,8.365215,18.095163,5.090271
0.020000,13.116627,5.392659,1.746333,4.413527,8.728616,18.170019,5.118857
0.020000,13.154246,5.308807,1.838236,4.595157,9.081486,17.643498,5.149496
0.020000,13.196153,5.222809,1.933902,4.783304,9.407362,16.293794,5.182300
0.020000,13.242767,5.134858,2.033442,4.976998,9.684730,13.868428,5.217360
0.020000,13.294513,5.045229,2.136937,5.174731,9.886642,10.095568,5.254747
0.020000,13.351805,4.954283,2.244424,5.374353,9.981067,4.721272,5.294490
0.020000,13.415023,4.862485,2.355884,5.572997,9.932202,-2.443258,5.336575
0.020000,13.484485,4.770406,2.471225,5.767062,9.703277,-11.446244,5.380924
0.020000,13.560420,4.678723,2.590271,5.952281,9.260925,-22.117619,5.427388
0.020000,13.642927,4.588205,2.712749,6.123903,8.581118,-33.990339,5.475737
0.020000,13.731954,4.499692,2.838289,6.277018,7.655747,-46.268544,5.525661
0.020000,13.827271,4.414051,2.966429,6.406989,6.498534,-57.860665,5.576770
0.020000,13.928472,4.332134,3.096628,6.509953,5.148232,-67.515087,5.628607
0.020000,14.034977,4.254723,3.228294,6.583302,3.667453,-74.038919,5.680675
0.020000,14.146075,4.182481,3.360815,6.626029,2.136347,-76.555333,5.732456
0.020000,14.260961,4.115914,3.493592,6.638870,0.642013,-74.716686,5.783448
0.020000,14.378792,4.055352,3.626076,6.624193,-0.733840,-68.792675,5.833187
0.020000,14.498743,4.000944,3.757789,6.585675,-1.925868,-59.601380,5.881270
0.020000,14.620048,3.952672,3.888346,6.527835,-2.892039,-48.308563,5.927373
0.020000,14.742035,3.910380,4.017457,6.455525,-3.615473,-36.171670,5.971252
0.020000,14.864145,3.873804,4.144926,6.373491,-4.101699,-24.311317,6.012743
0.020000,14.985631,3.842677,4.270337,6.270506,-5.149254,-52.377746,6.051660
0.020000,15.105588,3.816697,4.393075,6.136915,-6.679542,-76.514420,6.087823
0.020000,15.223265,3.795462,4.512653,5.978897,-7.900913,-61.068555,6.121157
