dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.462500,3.000179,0.000199,0.019900,0.995025,49.751244,1.570796
0.020000,19.462500,3.000975,0.000995,0.039801,0.995025,-0.000000,1.570796
0.020000,19.462500,3.002766,0.002786,0.089552,2.487562,74.626866,1.570796
0.020000,19.462500,3.005751,0.005771,0.149254,2.985075,24.875622,1.570796
0.020000,19.462500,3.009930,0.009950,0.208955,2.985075,0.000000,1.570796
0.020000,19.462500,3.015303,0.015323,0.268657,2.985075,0.000000,1.570796
0.020000,19.462500,3.021870,0.021891,0.328358,2.985075,-0.000000,1.570796
0.020000,19.462500,3.029631,0.029652,0.388060,2.985075,0.000000,1.570796
0.020000,19.462500,3.038586,0.038607,0.447761,2.985075,-0.000000,1.570796
0.020000,19.462500,3.048736,0.048756,0.507463,2.985075,0.000000,1.570796
0.020000,19.462500,3.060079,0.060100,0.567164,2.985075,-0.000000,1.570796
0.020000,19.462500,3.072616,0.072637,0.626866,2.985075,-0.000000,1.570796
0.020000,19.462500,3.086348,0.086368,0.686567,2.985075,0.000000,1.570796
0.020000,19.462500,3.101273,0.101294,0.746269,2.985075,0.000000,1.570796
0.020000,19.462500,3.117392,0.117413,0.805970,2.985075,-0.000000,1.570796
0.020000,19.462500,3.134706,0.134726,0.865672,2.985075,0.000000,1.570796
0.020000,19.462500,3.153213,0.153234,0.925373,2.985075,0.000000,1.570796
0.020000,19.462500,3.172915,0.172935,0.985075,2.985075,-0.000000,1.570796
0.020000,19.462500,3.193810,0.193831,1.044776,2.985075,0.000000,1.570796
0.020000,19.462500,3.215900,0.215920,1.104478,2.985075,0.000000,1.570796
0.020000,19.462500,3.239183,0.239204,1.164179,2.985075,-0.000000,1.570796
0.020000,19.462500,3.263661,0.263682,1.223881,2.985075,-0.000000,1.570796
0.020000,19.462500,3.289333,0.289353,1.283582,2.985075,-0.000000,1.570796
0.020000,19.462500,3.316198,0.316219,1.343284,2.985075,0.000000,1.570796
0.020000,19.462500,3.344258,0.344279,1.402985,2.985075,-0.000000,1.570796
0.020000,19.462500,3.373512,0.373532,1.462687,2.985075,0.000000,1.570796
0.020000,19.462500,3.403960,0.403980,1.522388,2.985075,0.000000,1.570796
0.020000,19.462500,3.435601,0.435622,1.582090,2.985075,-0.000000,1.570796
0.020000,19.462500,3.468437,0.468458,1.641791,2.985075,0.000000,1.570796
0.020000,19.462500,3.502467,0.502488,1.701493,2.985075,-0.000000,1.570796
0.020000,19.462500,3.537691,0.537711,1.761194,2.985075,0.000000,1.570796
0.020000,19.462500,3.574109,0.574129,1.820896,2.985075,0.000000,1.570796
0.020000,19.462500,3.611721,0.611741,1.880597,2.985075,0.000000,1.570796
0.020000,19.462500,3.650527,0.650547,1.940299,2.985075,-0.000000,1.570796
0.020000,19.462500,3.690527,0.690547,2.000000,2.985075,0.000000,1.570796
0.020000,19.462500,3.731721,0.731741,2.059701,2.985075,-0.000000,1.570796
0.020000,19.462500,3.774109,0.774129,2.119403,2.985075,0.000000,1.570796
0.020000,19.462500,3.817691,0.817711,2.179104,2.985075,-0.000000,1.570796
0.020000,19.462500,3.862467,0.862488,2.238806,2.985075,0.000000,1.570796
0.020000,19.462500,3.908437,0.908458,2.298507,2.985075,0.000000,1.570796
0.020000,19.462500,3.955601,0.955622,2.358209,2.985075,-0.000000,1.570796
0.020000,19.462500,4.003960,1.003980,2.417910,2.985075,0.000000,1.570796
0.020000,19.462500,4.053512,1.053532,2.477612,2.985075,0.000000,1.570796
0.020000,19.462500,4.104258,1.104279,2.537313,2.985075,-0.000000,1.570796
0.020000,19.462500,4.156198,1.156219,2.597015,2.985075,-0.000000,1.570796
0.020000,19.462500,4.209333,1.209353,2.656716,2.985075,0.000000,1.570796
0.020000,19.462500,4.263661,1.263682,2.716418,2.985075,0.000000,1.570796
0.020000,19.462500,4.319183,1.319204,2.776119,2.985075,0.000000,1.570796
0.020000,19.462500,4.375900,1.375920,2.835821,2.985075,-0.000000,1.570796
0.020000,19.462500,4.433810,1.433831,2.895522,2.985075,0.000000,1.570796
0.020000,19.462500,4.492915,1.492935,2.955224,2.985075,-0.000000,1.570796
0.020000,19.462500,4.553213,1.553234,3.014925,2.985075,0.000000,1.570796
0.020000,19.462500,4.614706,1.614726,3.074627,2.985075,0.000000,1.570796
0.020000,19.462500,4.677392,1.677413,3.134328,2.985075,-0.000000,1.570796
0.020000,19.462500,4.741273,1.741294,3.194030,2.985075,-0.000000,1.570796
0.020000,19.462500,4.806348,1.806368,3.253731,2.985075,0.000000,1.570796
0.020000,19.462500,4.872616,1.872637,3.313433,2.985075,-0.000000,1.570796
0.020000,19.462500,4.940079,1.940100,3.373134,2.985075,0.000000,1.570796
0.020000,19.462500,5.008736,2.008756,3.432836,2.985075,-0.000000,1.570796
0.020000,19.462438,5.071694,2.071715,3.147937,-14.244957,-861.501558,1.576544
0.020000,19.461739,5.125187,2.125212,2.674850,-23.654352,-470.469789,1.591321
0.020000,19.460223,5.178727,2.178774,2.678094,0.162204,1190.827821,1.607049
0.020000,19.457840,5.232207,2.232307,2.676663,-0.071524,-11.686383,1.623806
0.020000,19.454539,5.285508,2.285710,2.670134,-0.326465,-12.747056,1.641678
0.020000,19.450274,5.338498,2.338871,2.658060,-0.603691,-13.861293,1.660759
0.020000,19.445002,5.391034,2.391671,2.639983,-0.903871,-15.009016,1.681150
0.020000,19.438682,5.442959,2.443979,2.615442,-1.227032,-16.158033,1.702960
0.020000,19.431302,5.493981,2.495532,2.577615,-1.891363,-33.216552,1.726245
0.020000,19.422889,5.543688,2.545946,2.520710,-2.845259,-47.694797,1.750990
0.020000,19.413502,5.591702,2.594869,2.446156,-3.727673,-44.120724,1.777159
