dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.837500,23.999904,0.000199,0.019900,0.995025,49.751244,4.712403
0.020000,21.837500,23.999228,0.000875,0.033803,0.695123,-14.995107,4.712504
0.020000,21.837500,23.997707,0.002396,0.076050,2.112361,70.861935,4.712732
0.020000,21.837502,23.995173,0.004931,0.126730,2.534012,21.082520,4.713111
0.020000,21.837505,23.991625,0.008478,0.177381,2.532517,-0.074743,4.713643
0.020000,21.837513,23.987065,0.013038,0.227989,2.530419,-0.104900,4.714328
0.020000,21.837526,23.981495,0.018609,0.278543,2.527710,-0.135434,4.715167
0.020000,21.837547,23.974914,0.025190,0.329031,2.524384,-0.166296,4.716161
0.020000,21.837580,23.967325,0.032778,0.379440,2.520431,-0.197664,4.717312
0.020000,21.837628,23.958730,0.041373,0.429756,2.515839,-0.229601,4.718620
0.020000,21.837695,23.949131,0.050973,0.479968,2.510595,-0.262203,4.720089
0.020000,21.837785,23.938530,0.061574,0.530062,2.504684,-0.295568,4.721719
0.020000,21.837904,23.926930,0.073175,0.580024,2.498088,-0.329795,4.723514
0.020000,21.838056,23.914335,0.085771,0.629840,2.490789,-0.364949,4.725475
0.020000,21.838249,23.900746,0.099361,0.679495,2.482764,-0.401247,4.727605
0.020000,21.838487,23.886168,0.113941,0.728975,2.473991,-0.438632,4.729907
0.020000,21.838779,23.870606,0.129506,0.778264,2.464444,-0.477372,4.732385
0.020000,21.839132,23.854063,0.146053,0.827345,2.454094,-0.517477,4.735041
0.020000,21.839554,23.836544,0.163577,0.876204,2.442912,-0.559114,4.737880
0.020000,21.840053,23.818054,0.182073,0.924821,2.430864,-0.602405,4.740906
0.020000,21.840639,23.798599,0.201537,0.973179,2.417914,-0.647492,4.744123
0.020000,21.841322,23.778186,0.221962,1.021260,2.404025,-0.694444,4.747535
0.020000,21.842112,23.756819,0.243343,1.069043,2.389155,-0.743512,4.751149
0.020000,21.843020,23.734508,0.265673,1.116508,2.373260,-0.794720,4.754968
0.020000,21.844057,23.711258,0.288946,1.163634,2.356295,-0.848281,4.758999
0.020000,21.845236,23.687079,0.313154,1.210398,2.338208,-0.904360,4.763248
0.020000,21.846570,23.661979,0.338289,1.256777,2.318947,-0.963045,4.767722
0.020000,21.848072,23.635967,0.364344,1.302746,2.298456,-1.024550,4.772426
0.020000,21.849756,23.609054,0.391310,1.348280,2.276677,-1.088962,4.777370
0.020000,21.851638,23.581251,0.419177,1.393351,2.253545,-1.156559,4.782559
0.020000,21.853732,23.552568,0.447936,1.437931,2.228999,-1.227301,4.788004
0.020000,21.856055,23.523020,0.477575,1.481990,2.202969,-1.301527,4.793712
0.020000,21.858624,23.492618,0.508085,1.525498,2.175385,-1.379191,4.799692
0.020000,21.861457,23.461378,0.539454,1.568421,2.146174,-1.460568,4.805955
0.020000,21.864572,23.429314,0.571668,1.610726,2.115262,-1.545592,4.812512
0.020000,21.867987,23.396444,0.604716,1.652378,2.082572,-1.634499,4.819372
0.020000,21.871724,23.362784,0.638583,1.693338,2.048028,-1.727187,4.826547
0.020000,21.875802,23.328353,0.673254,1.733569,2.011554,-1.823706,4.834051
0.020000,21.880243,23.293172,0.708715,1.773031,1.973075,-1.923969,4.841896
0.020000,21.885069,23.257261,0.744948,1.811681,1.932518,-2.027842,4.850095
0.020000,21.890303,23.220644,0.781938,1.849478,1.889815,-2.135118,4.858663
0.020000,21.895968,23.183344,0.819665,1.886376,1.844907,-2.245396,4.867615
0.020000,21.902089,23.145388,0.858112,1.922331,1.797742,-2.358274,4.876967
