dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.462500,23.999871,0.000199,0.019900,0.995025,49.751244,4.712403
0.020000,19.462500,23.998955,0.001115,0.045799,1.294927,14.995112,4.712504
0.020000,19.462501,23.996893,0.003176,0.103054,2.862763,78.391775,4.712732
0.020000,19.462502,23.993458,0.006612,0.171777,3.436138,28.668752,4.713111
0.020000,19.462507,23.988647,0.011422,0.240530,3.437632,0.074705,4.713643
0.020000,19.462517,23.982461,0.017609,0.309324,3.439731,0.104944,4.714328
0.020000,19.462535,23.974897,0.025172,0.378173,3.442438,0.135382,4.715167
0.020000,19.462564,23.965956,0.034114,0.447088,3.445764,0.166296,4.716161
0.020000,19.462609,23.955634,0.044436,0.516083,3.449717,0.197655,4.717312
0.020000,19.462674,23.943931,0.056139,0.585169,3.454309,0.229588,4.718620
0.020000,19.462765,23.930844,0.069226,0.654360,3.459553,0.262188,4.720089
0.020000,19.462889,23.916371,0.083700,0.723669,3.465464,0.295544,4.721719
0.020000,19.463051,23.900510,0.099562,0.793110,3.472059,0.329758,4.723514
0.020000,19.463260,23.883257,0.116816,0.862698,3.479358,0.364980,4.725475
0.020000,19.463524,23.864610,0.135465,0.932445,3.487382,0.401163,4.727605
0.020000,19.463852,23.844565,0.155512,1.002368,3.496154,0.438640,4.729907
0.020000,19.464254,23.823120,0.176962,1.072482,3.505701,0.477312,4.732385
0.020000,19.464741,23.800269,0.199818,1.142803,3.516050,0.517440,4.735041
0.020000,19.465325,23.776009,0.224085,1.213348,3.527231,0.559084,4.737880
0.020000,19.466019,23.750335,0.249767,1.284133,3.539279,0.602370,4.740906
0.020000,19.466835,23.723244,0.276871,1.355178,3.552227,0.647410,4.744123
0.020000,19.467789,23.694730,0.305401,1.426500,3.566115,0.694430,4.747535
0.020000,19.468896,23.664788,0.335363,1.498120,3.580984,0.743410,4.751149
0.020000,19.470172,23.633413,0.366764,1.570058,3.596877,0.794660,4.754968
0.020000,19.471636,23.600599,0.399611,1.642334,3.613841,0.848229,4.758999
0.020000,19.473307,23.566340,0.433911,1.714973,3.631926,0.904249,4.763248
0.020000,19.475205,23.530631,0.469670,1.787997,3.651186,0.962959,4.767722
0.020000,19.477351,23.493464,0.506899,1.861430,3.671674,1.024429,4.772426
0.020000,19.479769,23.454834,0.545605,1.935299,3.693452,1.088908,4.777370
0.020000,19.482483,23.414733,0.585798,2.009631,3.716580,1.156364,4.782559
0.020000,19.485519,23.373154,0.627487,2.084453,3.741124,1.227217,4.788004
0.020000,19.488904,23.330091,0.670683,2.159796,3.767150,1.301321,4.793712
0.020000,19.492670,23.285536,0.715396,2.235691,3.794732,1.379064,4.799692
0.020000,19.496846,23.239482,0.761640,2.312170,3.823938,1.460329,4.805955
0.020000,19.501466,23.191920,0.809425,2.389267,3.854847,1.545444,4.812512
0.020000,19.506566,23.142844,0.858766,2.467017,3.887532,1.634234,4.819372
0.020000,19.512183,23.092246,0.909675,2.545459,3.922070,1.726926,4.826547
0.020000,19.518357,23.040118,0.962167,2.624629,3.958539,1.823417,4.834051
0.020000,19.525132,22.986452,1.016259,2.704570,3.997012,1.923664,4.841896
0.020000,19.532552,22.931242,1.071965,2.785321,4.037562,2.027513,4.850095
0.020000,19.540666,22.874481,1.129304,2.866926,4.080256,2.134702,4.858663
0.020000,19.549524,22.816161,1.188292,2.949429,4.125156,2.244990,4.867615
0.020000,19.559181,22.756277,1.248950,3.032875,4.172312,2.357805,4.876967
0.020000,19.569695,22.694824,1.311296,3.117311,4.221763,2.472537,4.886735
0.020000,19.581127,22.631797,1.375352,3.202781,4.273533,2.588497,4.896938
0.020000,19.593543,22.567192,1.441138,3.289334,4.327620,2.704367,4.907593
