dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.462500,3.000129,0.000199,0.019900,0.995025,49.751244,1.570782
0.020000,19.462500,3.001045,0.001115,0.045799,1.294927,14.995112,1.570681
0.020000,19.462501,3.003107,0.003176,0.103054,2.862763,78.391775,1.570454
0.020000,19.462502,3.006542,0.006612,0.171777,3.436138,28.668752,1.570074
0.020000,19.462507,3.011353,0.011422,0.240530,3.437632,0.074705,1.569543
0.020000,19.462517,3.017539,0.017609,0.309324,3.439731,0.104944,1.568858
0.020000,19.462535,3.025103,0.025172,0.378173,3.442438,0.135382,1.568019
0.020000,19.462564,3.034044,0.034114,0.447088,3.445764,0.166296,1.567024
0.020000,19.462609,3.044366,0.044436,0.516083,3.449717,0.197655,1.565874
0.020000,19.462674,3.056069,0.056139,0.585169,3.454309,0.229588,1.564565
0.020000,19.462765,3.069156,0.069226,0.654360,3.459553,0.262188,1.563096
0.020000,19.462889,3.083629,0.083700,0.723669,3.465464,0.295544,1.561466
0.020000,19.463051,3.099490,0.099562,0.793110,3.472059,0.329758,1.559672
0.020000,19.463260,3.116743,0.116816,0.862698,3.479358,0.364980,1.557711
0.020000,19.463524,3.135390,0.135465,0.932445,3.487382,0.401163,1.555581
0.020000,19.463852,3.155435,0.155512,1.002368,3.496154,0.438640,1.553278
0.020000,19.464254,3.176880,0.176962,1.072482,3.505701,0.477312,1.550801
0.020000,19.464741,3.199731,0.199818,1.142803,3.516050,0.517440,1.548144
0.020000,19.465325,3.223991,0.224085,1.213348,3.527231,0.559084,1.545305
0.020000,19.466019,3.249665,0.249767,1.284133,3.539279,0.602370,1.542279
0.020000,19.466835,3.276756,0.276871,1.355178,3.552227,0.647410,1.539063
0.020000,19.467789,3.305270,0.305401,1.426500,3.566115,0.694430,1.535650
0.020000,19.468896,3.335212,0.335363,1.498120,3.580984,0.743410,1.532037
0.020000,19.470172,3.366587,0.366764,1.570058,3.596877,0.794660,1.528217
0.020000,19.471636,3.399401,0.399611,1.642334,3.613841,0.848229,1.524186
0.020000,19.473307,3.433660,0.433911,1.714973,3.631926,0.904249,1.519937
0.020000,19.475205,3.469369,0.469670,1.787997,3.651186,0.962959,1.515464
0.020000,19.477351,3.506536,0.506899,1.861430,3.671674,1.024429,1.510759
0.020000,19.479769,3.545166,0.545605,1.935299,3.693452,1.088908,1.505816
0.020000,19.482483,3.585267,0.585798,2.009631,3.716580,1.156364,1.500626
0.020000,19.485519,3.626846,0.627487,2.084453,3.741124,1.227217,1.495181
0.020000,19.488904,3.669909,0.670683,2.159796,3.767150,1.301321,1.489474
0.020000,19.492670,3.714464,0.715396,2.235691,3.794732,1.379064,1.483493
0.020000,19.496846,3.760518,0.761640,2.312170,3.823938,1.460329,1.477230
0.020000,19.501466,3.808080,0.809425,2.389267,3.854847,1.545444,1.470674
0.020000,19.506566,3.857156,0.858766,2.467017,3.887532,1.634234,1.463814
0.020000,19.512183,3.907754,0.909675,2.545459,3.922070,1.726926,1.456638
0.020000,19.518357,3.959882,0.962167,2.624629,3.958539,1.823417,1.449134
0.020000,19.525132,4.013548,1.016259,2.704570,3.997012,1.923664,1.441290
0.020000,19.532552,4.068758,1.071965,2.785321,4.037562,2.027513,1.433091
0.020000,19.540666,4.125519,1.129304,2.866926,4.080256,2.134702,1.424523
0.020000,19.549524,4.183839,1.188292,2.949429,4.125156,2.244990,1.415570
0.020000,19.559181,4.243723,1.248950,3.032875,4.172312,2.357805,1.406218
0.020000,19.569695,4.305176,1.311296,3.117311,4.221763,2.472537,1.396450
0.020000,19.581127,4.368203,1.375352,3.202781,4.273533,2.588497,1.386247
0.020000,19.593543,4.432808,1.441138,3.289334,4.327620,2.704367,1.375592
0.020000,19.607011,4.498992,1.508679,3.377014,4.384003,2.819123,1.364466
0.020000,19.621604,4.566755,1.577996,3.465866,4.442622,2.930964,1.352849
0.020000,19.637402,4.636097,1.649115,3.555934,4.503379,3.037845,1.340721
0.020000,19.654485,4.707014,1.722060,3.647256,4.566129,3.137497,1.328059
0.020000,19.672941,4.779498,1.796857,3.739870,4.630666,3.226875,1.314844
0.020000,19.692862,4.853541,1.873533,3.833804,4.696717,3.302542,1.301052
0.020000,19.714346,4.929129,1.952115,3.929082,4.763925,3.360389,1.286660
0.020000,19.737494,5.006244,2.032629,4.025719,4.831840,3.395771,1.271647
0.020000,19.762415,5.084864,2.115103,4.123717,4.899900,3.402984,1.255988
0.020000,19.789219,5.164959,2.199565,4.223066,4.967421,3.376045,1.239662
0.020000,19.818026,5.246494,2.286040,4.323737,5.033577,3.307797,1.222645
0.020000,19.848958,5.329427,2.374553,4.425685,5.097387,3.190517,1.204917
0.020000,19.882141,5.413707,2.465130,4.528839,5.157705,3.015877,1.186457
0.020000,19.917705,5.499272,2.557792,4.633103,5.213203,2.774913,1.167246
0.020000,19.955785,5.586052,2.652559,4.738351,5.262373,2.458509,1.147268
0.020000,19.996517,5.673963,2.749448,4.844421,5.303524,2.057534,1.126509
0.020000,20.040036,5.762909,2.848470,4.951117,5.334790,1.563308,1.104959
0.020000,20.086481,5.852781,2.949634,5.058200,5.354159,0.968462,1.082610
0.020000,20.135985,5.943456,3.052942,5.165390,5.359500,0.267063,1.059461
0.020000,20.188680,6.034792,3.158389,5.272362,5.348624,-0.543815,1.035516
0.020000,20.244690,6.126636,3.265964,5.378749,5.319345,-1.463967,1.010784
0.020000,20.303979,6.218586,3.375371,5.470370,4.581009,-36.916765,0.985347
0.020000,20.366315,6.310012,3.486026,5.532755,3.119273,-73.086843,0.959362
0.020000,20.431402,6.400301,3.597329,5.565124,1.618457,-75.040777,0.933000
0.020000,20.499047,6.489081,3.708944,5.580734,0.780478,-41.898941,0.906374
0.020000,20.569196,6.576215,3.820807,5.593151,0.620857,-7.981041,0.879539
0.020000,20.641783,6.661568,3.932851,5.602208,0.452880,-8.398856,0.852552
0.020000,20.716725,6.745010,4.045006,5.607782,0.278666,-8.710713,0.825470
0.020000,20.793928,6.826420,4.157202,5.609793,0.100547,-8.905931,0.798355
0.020000,20.873287,6.905685,4.269366,5.608213,-0.079007,-8.977730,0.771267
0.020000,20.954686,6.982705,4.381428,5.603063,-0.257478,-8.923559,0.744265
0.020000,21.038000,7.057388,4.493316,5.594415,-0.432385,-8.745326,0.717409
0.020000,21.123100,7.129661,4.604964,5.582388,-0.601370,-8.449252,0.690755
0.020000,21.209849,7.199459,4.716307,5.567142,-0.762279,-8.045464,0.664358
0.020000,21.298110,7.266735,4.827284,5.548878,-0.913227,-7.547387,0.638269
0.020000,21.387742,7.331456,4.937841,5.527825,-1.052644,-6.970856,0.612535
0.020000,21.478609,7.393600,5.047925,5.504239,-1.179311,-6.333334,0.587198
0.020000,21.570574,7.453161,5.157493,5.478391,-1.292368,-5.652843,0.562296
0.020000,21.663506,7.510144,5.266505,5.450565,-1.391312,-4.947227,0.537864
0.020000,21.757159,7.564500,5.374789,5.414215,-1.817484,-21.308592,0.513958
0.020000,21.851056,7.616075,5.481917,5.356416,-2.889996,-53.625616,0.490688
0.020000,21.944599,7.664704,5.587345,5.271392,-4.251180,-68.059170,0.468177
0.020000,22.037316,7.710330,5.690681,5.166781,-5.230545,-48.968253,0.446506
0.020000,22.128982,7.753044,5.791810,5.056452,-5.516430,-14.294277,0.425687
