dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.837500,3.000096,0.000199,0.019900,0.995025,49.751244,1.570782
0.020000,21.837500,3.000772,0.000875,0.033803,0.695123,-14.995107,1.570681
0.020000,21.837500,3.002293,0.002396,0.076050,2.112361,70.861935,1.570454
0.020000,21.837502,3.004827,0.004931,0.126730,2.534012,21.082520,1.570074
0.020000,21.837505,3.008375,0.008478,0.177381,2.532517,-0.074743,1.569543
0.020000,21.837513,3.012935,0.013038,0.227989,2.530419,-0.104900,1.568858
0.020000,21.837526,3.018505,0.018609,0.278543,2.527710,-0.135434,1.568019
0.020000,21.837547,3.025086,0.025190,0.329031,2.524384,-0.166296,1.567024
0.020000,21.837580,3.032675,0.032778,0.379440,2.520431,-0.197664,1.565874
0.020000,21.837628,3.041270,0.041373,0.429756,2.515839,-0.229601,1.564565
0.020000,21.837695,3.050869,0.050973,0.479968,2.510595,-0.262203,1.563096
0.020000,21.837785,3.061470,0.061574,0.530062,2.504684,-0.295568,1.561466
0.020000,21.837904,3.073070,0.073175,0.580024,2.498088,-0.329795,1.559672
0.020000,21.838056,3.085665,0.085771,0.629840,2.490789,-0.364949,1.557711
0.020000,21.838249,3.099254,0.099361,0.679495,2.482764,-0.401247,1.555581
0.020000,21.838487,3.113832,0.113941,0.728975,2.473991,-0.438632,1.553278
0.020000,21.838779,3.129394,0.129506,0.778264,2.464444,-0.477372,1.550801
0.020000,21.839132,3.145937,0.146053,0.827345,2.454094,-0.517477,1.548144
0.020000,21.839554,3.163456,0.163577,0.876204,2.442912,-0.559114,1.545305
0.020000,21.840053,3.181946,0.182073,0.924821,2.430864,-0.602405,1.542279
0.020000,21.840639,3.201401,0.201537,0.973179,2.417914,-0.647492,1.539063
0.020000,21.841322,3.221814,0.221962,1.021260,2.404025,-0.694444,1.535650
0.020000,21.842112,3.243181,0.243343,1.069043,2.389155,-0.743512,1.532037
0.020000,21.843020,3.265492,0.265673,1.116508,2.373260,-0.794720,1.528217
0.020000,21.844057,3.288742,0.288946,1.163634,2.356295,-0.848281,1.524186
0.020000,21.845236,3.312921,0.313154,1.210398,2.338208,-0.904360,1.519937
0.020000,21.846570,3.338021,0.338289,1.256777,2.318947,-0.963045,1.515464
0.020000,21.848072,3.364033,0.364344,1.302746,2.298456,-1.024550,1.510759
0.020000,21.849756,3.390946,0.391310,1.348280,2.276677,-1.088962,1.505816
0.020000,21.851638,3.418749,0.419177,1.393351,2.253545,-1.156559,1.500626
0.020000,21.853732,3.447432,0.447936,1.437931,2.228999,-1.227301,1.495181
0.020000,21.856055,3.476980,0.477575,1.481990,2.202969,-1.301527,1.489474
0.020000,21.858624,3.507382,0.508085,1.525498,2.175385,-1.379191,1.483493
0.020000,21.861457,3.538622,0.539454,1.568421,2.146174,-1.460568,1.477230
0.020000,21.864572,3.570686,0.571668,1.610726,2.115262,-1.545592,1.470674
0.020000,21.867987,3.603556,0.604716,1.652378,2.082572,-1.634499,1.463814
0.020000,21.871724,3.637216,0.638583,1.693338,2.048028,-1.727187,1.456638
0.020000,21.875802,3.671647,0.673254,1.733569,2.011554,-1.823706,1.449134
0.020000,21.880243,3.706828,0.708715,1.773031,1.973075,-1.923969,1.441290
0.020000,21.885069,3.742739,0.744948,1.811681,1.932518,-2.027842,1.433091
0.020000,21.890303,3.779356,0.781938,1.849478,1.889815,-2.135118,1.424523
0.020000,21.895968,3.816656,0.819665,1.886376,1.844907,-2.245396,1.415570
0.020000,21.902089,3.854612,0.858112,1.922331,1.797742,-2.358274,1.406218
0.020000,21.908690,3.893198,0.897258,1.957296,1.748280,-2.473109,1.396450
0.020000,21.915798,3.932383,0.937082,1.991226,1.696500,-2.589001,1.386247
0.020000,21.923437,3.972137,0.977564,2.024074,1.642398,-2.705069,1.375592
0.020000,21.931635,4.012427,1.018680,2.055794,1.586002,-2.819812,1.364466
0.020000,21.940420,4.053219,1.060406,2.086341,1.527368,-2.931700,1.352849
0.020000,21.949818,4.094476,1.102720,2.115673,1.466593,-3.038749,1.340721
0.020000,21.959859,4.136158,1.145595,2.143750,1.403825,-3.138429,1.328059
0.020000,21.970570,4.178227,1.189006,2.170535,1.339267,-3.227897,1.314844
0.020000,21.981980,4.220639,1.232926,2.195999,1.273193,-3.303663,1.301052
0.020000,21.994119,4.263350,1.277328,2.220118,1.205960,-3.361654,1.286660
0.020000,22.007015,4.306314,1.322186,2.242879,1.138019,-3.397048,1.271647
0.020000,22.020697,4.349483,1.367471,2.264277,1.069930,-3.404487,1.255988
0.020000,22.035195,4.392808,1.413158,2.284325,1.002378,-3.377593,1.239662
0.020000,22.050539,4.436238,1.459219,2.303049,0.936189,-3.309448,1.222645
0.020000,22.066756,4.479722,1.505628,2.320495,0.872343,-3.192307,1.204917
0.020000,22.083876,4.523208,1.552363,2.336735,0.811988,-3.017743,1.186457
0.020000,22.101928,4.566644,1.599400,2.351864,0.756450,-2.776890,1.167246
0.020000,22.120941,4.609976,1.646721,2.366009,0.707239,-2.460538,1.147268
0.020000,22.140945,4.653154,1.694307,2.379330,0.666048,-2.059575,1.126509
0.020000,22.161970,4.696127,1.742148,2.392025,0.634739,-1.565418,1.104959
0.020000,22.184045,4.738847,1.790234,2.404331,0.615330,-0.970458,1.082610
0.020000,22.207203,4.781268,1.838565,2.416530,0.609949,-0.269045,1.059461
0.020000,22.231478,4.823347,1.887144,2.428946,0.620790,0.542054,1.035516
0.020000,22.256905,4.865045,1.935983,2.441947,0.650038,1.462382,1.010784
0.020000,22.283456,4.906224,1.984979,2.449815,0.393404,-12.831695,0.985347
0.020000,22.311026,4.946662,2.033922,2.447120,-0.134747,-26.407566,0.959362
0.020000,22.339499,4.986162,2.082614,2.434644,-0.623790,-24.452114,0.933000
0.020000,22.368820,5.024646,2.130995,2.419030,-0.780711,-7.846053,0.906374
0.020000,22.399003,5.062138,2.179127,2.406609,-0.621044,7.983334,0.879539
0.020000,22.430068,5.098666,2.227078,2.397549,-0.453017,8.401340,0.852552
0.020000,22.462034,5.134258,2.274918,2.391974,-0.278751,8.713319,0.825470
0.020000,22.494925,5.168942,2.322717,2.389962,-0.100578,8.908636,0.798355
0.020000,22.528766,5.202743,2.370548,2.391543,0.079031,8.980463,0.771267
0.020000,22.563585,5.235687,2.418482,2.396694,0.257557,8.926268,0.744265
0.020000,22.599407,5.267797,2.466589,2.405344,0.432516,8.747955,0.717409
0.020000,22.636259,5.299093,2.514936,2.417375,0.601551,8.451748,0.690755
0.020000,22.674165,5.329592,2.563589,2.432625,0.762506,8.047788,0.664358
0.020000,22.713150,5.359306,2.612606,2.450895,0.913496,7.549482,0.638269
0.020000,22.753233,5.388247,2.662046,2.471954,1.052951,6.972723,0.612535
0.020000,22.794432,5.416421,2.711956,2.495547,1.179649,6.334926,0.587198
0.020000,22.836759,5.443832,2.762384,2.521402,1.292732,5.654167,0.562296
0.020000,22.880224,5.470482,2.813369,2.549236,1.391697,4.948254,0.537864
0.020000,22.924775,5.496337,2.864879,2.575486,1.312505,-3.959631,0.513958
0.020000,22.970233,5.521304,2.916743,2.593180,0.884684,-21.391057,0.490688
0.020000,23.016342,5.545272,2.968708,2.598298,0.255933,-31.437539,0.468177
0.020000,23.062880,5.568171,3.020575,2.593313,-0.249281,-25.260676,0.446506
0.020000,23.109729,5.590000,3.072260,2.584252,-0.453025,-10.187232,0.425687
0.020000,23.156828,5.610787,3.123742,2.574112,-0.507028,-2.700156,0.405702
0.020000,23.204115,5.630560,3.174996,2.562718,-0.569664,-3.131772,0.386532
0.020000,23.251527,5.649348,3.225995,2.549941,-0.638885,-3.461065,0.368151
0.020000,23.299002,5.667179,3.276709,2.535683,-0.712896,-3.700524,0.350536
0.020000,23.346480,5.684084,3.327106,2.519880,-0.790146,-3.862510,0.333660
0.020000,23.393901,5.700090,3.377156,2.502493,-0.869318,-3.958610,0.317497
0.020000,23.441208,5.715229,3.426826,2.483507,-0.949310,-3.999592,0.302019
0.020000,23.488345,5.729530,3.476085,2.462923,-1.029213,-3.995154,0.287201
0.020000,23.535258,5.743023,3.524900,2.440757,-1.108291,-3.953929,0.273014
0.020000,23.581896,5.755739,3.573241,2.417038,-1.185959,-3.883376,0.259433
0.020000,23.628211,5.767708,3.621077,2.391803,-1.261760,-3.790072,0.246433
0.020000,23.674155,5.778960,3.668379,2.365096,-1.335350,-3.679456,0.233989
0.020000,23.719685,5.789525,3.715118,2.336966,-1.406474,-3.556217,0.222076
0.020000,23.764758,5.799431,3.761267,2.307467,-1.474958,-3.424194,0.210672
0.020000,23.809336,5.808709,3.806801,2.276653,-1.540690,-3.286605,0.199754
0.020000,23.853381,5.817385,3.851692,2.244581,-1.603610,-3.146015,0.189302
0.020000,23.896859,5.825489,3.895918,2.211307,-1.663700,-3.004507,0.179295
0.020000,23.939735,5.833047,3.939456,2.176888,-1.720976,-2.863775,0.169713
0.020000,23.981981,5.840086,3.982284,2.141378,-1.775476,-2.725027,0.160539
0.020000,24.023565,5.846632,4.024380,2.104833,-1.827263,-2.589354,0.151755
0.020000,24.064462,5.852710,4.065726,2.067305,-1.876412,-2.457409,0.143345
0.020000,24.104646,5.858344,4.106303,2.028844,-1.923008,-2.329801,0.135292
0.020000,24.144093,5.863558,4.146093,1.989502,-1.967144,-2.206809,0.127582
0.020000,24.182781,5.868375,4.185080,1.949323,-2.008919,-2.088745,0.120200
0.020000,24.220688,5.872818,4.223247,1.908355,-2.048432,-1.975687,0.113135
0.020000,24.257797,5.876906,4.260580,1.866639,-2.085786,-1.867665,0.106372
0.020000,24.294087,5.880662,4.297064,1.824217,-2.121080,-1.764708,0.099900
0.020000,24.329543,5.884105,4.332687,1.781129,-2.154412,-1.666609,0.093708
0.020000,24.364148,5.887253,4.367435,1.737411,-2.185880,-1.573389,0.087786
0.020000,24.397888,5.890126,4.401297,1.693100,-2.215576,-1.484827,0.082122
0.020000,24.430749,5.892741,4.434261,1.648228,-2.243590,-1.400695,0.076708
0.020000,24.462717,5.895115,4.466318,1.602828,-2.270009,-1.320932,0.071535
0.020000,24.493782,5.897264,4.497456,1.556930,-2.294914,-1.245231,0.066595
0.020000,24.523931,5.899203,4.527668,1.510562,-2.318383,-1.173450,0.061879
0.020000,24.553154,5.900947,4.556943,1.463752,-2.340490,-1.105371,0.057380
0.020000,24.581441,5.902511,4.585273,1.416526,-2.361306,-1.040810,0.053091
0.020000,24.608783,5.903908,4.612651,1.368908,-2.380896,-0.979507,0.049006
0.020000,24.635173,5.905151,4.639070,1.320922,-2.399324,-0.921368,0.045118
0.020000,24.660601,5.906252,4.664522,1.272589,-2.416647,-0.866141,0.041422
0.020000,24.685060,5.907222,4.689000,1.223930,-2.432919,-0.813646,0.037912
0.020000,24.708544,5.908074,4.712500,1.174966,-2.448194,-0.763740,0.034582
0.020000,24.731046,5.908817,4.735014,1.125716,-2.462519,-0.716217,0.031428
0.020000,24.752560,5.909461,4.756538,1.076197,-2.475938,-0.670989,0.028446
0.020000,24.773081,5.910016,4.777066,1.026427,-2.488494,-0.627805,0.025632
0.020000,24.792604,5.910490,4.796595,0.976423,-2.500227,-0.586614,0.022980
0.020000,24.811124,5.910893,4.815119,0.926199,-2.511170,-0.547188,0.020488
0.020000,24.828636,5.911231,4.832634,0.875772,-2.521360,-0.509493,0.018153
0.020000,24.845136,5.911513,4.849137,0.825156,-2.530828,-0.473358,0.015970
0.020000,24.860622,5.911744,4.864625,0.774364,-2.539600,-0.438604,0.013937
0.020000,24.875089,5.911932,4.879093,0.723410,-2.547704,-0.405234,0.012052
0.020000,24.888534,5.912083,4.892539,0.672306,-2.555165,-0.373061,0.010312
0.020000,24.900955,5.912201,4.904960,0.621066,-2.562006,-0.342005,0.008714
0.020000,24.912349,5.912292,4.916354,0.569701,-2.568245,-0.311967,0.007256
0.020000,24.922713,5.912360,4.926719,0.518223,-2.573902,-0.282850,0.005937
0.020000,24.932046,5.912410,4.936052,0.466643,-2.578993,-0.254559,0.004755
0.020000,24.940345,5.912445,4.944351,0.414973,-2.583534,-0.227046,0.003708
0.020000,24.947609,5.912469,4.951616,0.363222,-2.587537,-0.200149,0.002795
0.020000,24.953837,5.912484,4.957844,0.311402,-2.591014,-0.173870,0.002015
0.020000,24.959028,5.912493,4.963034,0.259522,-2.593976,-0.148095,0.001366
0.020000,24.963180,5.912497,4.967186,0.207594,-2.596431,-0.122714,0.000848
0.020000,24.966292,5.912499,4.970298,0.155626,-2.598385,-0.097724,0.000461
0.020000,24.968365,5.912500,4.972371,0.103629,-2.599845,-0.073005,0.000203
0.020000,24.969485,5.912500,4.973491,0.056017,-2.380589,10.962807,0.000064
0.020000,24.969915,5.912500,4.973921,0.021472,-1.727265,32.666208,0.000011
0.020000,24.970000,5.912500,4.974006,0.004267,-0.860250,43.350742,0.000000
0.020000,24.970000,5.912500,4.974006,0.000000,-0.213345,32.345262,0.000000
