dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.962500,23.999908,0.000199,0.019900,0.995025,49.751244,4.712418
0.020000,21.962500,23.999347,0.000761,0.028082,0.409091,-29.296670,4.712597
0.020000,21.962501,23.998084,0.002024,0.063149,1.753309,67.210895,4.712999
0.020000,21.962503,23.995981,0.004126,0.105134,2.099286,17.298844,4.713671
0.020000,21.962508,23.993042,0.007065,0.146949,2.090733,-0.427672,4.714616
0.020000,21.962518,23.989272,0.010836,0.188522,2.078645,-0.604405,4.715837
0.020000,21.962538,23.984676,0.015431,0.229780,2.062904,-0.787060,4.717339
0.020000,21.962569,23.979263,0.020844,0.270647,2.043359,-0.977225,4.719129
0.020000,21.962618,23.973043,0.027065,0.311043,2.019815,-1.177220,4.721212
0.020000,21.962688,23.966025,0.034083,0.350884,1.992041,-1.388703,4.723598
0.020000,21.962786,23.958224,0.041884,0.390079,1.959750,-1.614525,4.726296
0.020000,21.962918,23.949655,0.050455,0.428531,1.922613,-1.856846,4.729319
0.020000,21.963091,23.940334,0.059778,0.466136,1.880239,-2.118718,4.732677
0.020000,21.963314,23.930280,0.069833,0.502780,1.832168,-2.403559,4.736388
0.020000,21.963594,23.919517,0.080600,0.538337,1.777873,-2.714719,4.740466
0.020000,21.963941,23.908069,0.092054,0.572672,1.716743,-3.056536,4.744931
0.020000,21.964365,23.895964,0.104166,0.605633,1.648063,-3.433978,4.749803
0.020000,21.964875,23.883233,0.116907,0.637054,1.571021,-3.852104,4.755106
0.020000,21.965482,23.869912,0.130242,0.666747,1.484667,-4.317676,4.760867
0.020000,21.966198,23.856040,0.144132,0.694505,1.387915,-4.837626,4.767114
0.020000,21.967035,23.841663,0.158534,0.720095,1.279503,-5.420571,4.773881
0.020000,21.968002,23.826829,0.173399,0.743255,1.157981,-6.076106,4.781204
0.020000,21.969112,23.811596,0.188673,0.763688,1.021669,-6.815606,4.789127
0.020000,21.970376,23.796026,0.204294,0.781061,0.868629,-7.652025,4.797694
0.020000,21.971803,23.780190,0.220194,0.794993,0.696622,-8.600313,4.806958
0.020000,21.973403,23.764169,0.236295,0.805055,0.503066,-9.677824,4.816979
0.020000,21.975182,23.748051,0.252510,0.810754,0.284980,-10.904311,4.827823
0.020000,21.977145,23.731940,0.268741,0.811533,0.038939,-12.302031,4.839565
0.020000,21.979291,23.715948,0.284876,0.806753,-0.238986,-13.896239,4.852289
0.020000,21.981617,23.700205,0.300790,0.795688,-0.553270,-15.714223,4.866092
0.020000,21.984111,23.684857,0.316340,0.777508,-0.908980,-17.785506,4.881081
0.020000,21.986752,23.670065,0.331365,0.751273,-1.311775,-20.139727,4.897380
0.020000,21.989507,23.656014,0.345684,0.715915,-1.767868,-22.804638,4.915128
0.020000,21.992330,23.642910,0.359088,0.670237,-2.283896,-25.801413,4.934481
0.020000,21.995152,23.630981,0.371347,0.612905,-2.866648,-29.137600,4.955617
0.020000,21.997882,23.620481,0.382196,0.542453,-3.522555,-32.795370,4.978737
0.020000,22.000395,23.611687,0.391342,0.457317,-4.256830,-36.713721,5.004064
0.020000,22.002530,23.604897,0.398459,0.355876,-5.072061,-40.761568,5.031846
0.020000,22.004077,23.600426,0.403191,0.236555,-5.966033,-44.698594,5.062357
0.020000,22.004771,23.598594,0.405150,0.097986,-6.928462,-48.121461,5.095888
0.020000,22.004287,23.599708,0.406365,0.060747,-1.861913,253.327466,5.132749
0.020000,22.002232,23.604039,0.411160,0.239714,8.948307,540.510979,5.173246
0.020000,21.998155,23.611785,0.419912,0.437639,9.896271,47.398226,5.217669
0.020000,21.991565,23.623018,0.432937,0.651216,10.678872,39.130036,5.266258
0.020000,21.981965,23.637635,0.450424,0.874350,11.156653,23.889034,5.319156
0.020000,21.968929,23.655293,0.472373,1.097450,11.155021,-0.081596,5.376365
0.020000,21.952186,23.675370,0.498514,1.307085,10.481764,-33.662858,5.437678
0.020000,21.931748,23.696957,0.528242,1.486378,8.964663,-75.855016,5.502635
0.020000,21.908014,23.718912,0.560573,1.616543,6.508226,-122.821858,5.570485
0.020000,21.881848,23.739979,0.594166,1.679642,3.154928,-167.664892,5.640207
0.020000,21.854564,23.758968,0.627407,1.662083,-0.877952,-201.644013,5.710571
0.020000,21.827813,23.774938,0.658562,1.557757,-5.216267,-216.915750,5.780255
0.020000,21.803390,23.787338,0.685954,1.369562,-9.409752,-209.674245,5.847980
0.020000,21.783002,23.796054,0.708126,1.108625,-13.046862,-181.855486,5.912637
0.020000,21.768087,23.801363,0.723958,0.791582,-15.852171,-140.265459,5.973372
0.020000,21.759700,23.803823,0.732699,0.437049,-17.726644,-93.723655,6.029613
0.020000,21.758489,23.804136,0.733949,0.062529,-18.725985,-49.967044,6.081056
0.020000,21.764746,23.803038,0.740302,0.317653,12.756203,1574.109383,6.127616
0.020000,21.778483,23.801208,0.754161,0.692908,18.762773,300.328486,6.169366
0.020000,21.799520,23.799228,0.775290,1.056473,18.178228,-29.227217,6.206486
0.020000,21.827564,23.797562,0.803383,1.404666,17.409660,-38.428429,6.239210
0.020000,21.862272,23.796559,0.838107,1.736167,16.575063,-41.729852,6.267793
0.020000,21.903299,23.796459,0.879133,2.051318,15.757526,-40.876837,0.009297
0.020000,21.950320,23.797415,0.926164,2.351566,15.012386,-37.256989,0.030322
0.020000,22.003060,23.799501,0.978946,2.639068,14.375108,-31.863896,0.047875
0.020000,22.061300,23.802730,1.037274,2.916433,13.868278,-25.341508,0.062112
0.020000,22.124884,23.807058,1.101006,3.186578,13.507211,-18.053373,0.073142
0.020000,22.193553,23.812383,1.169881,3.443745,12.858379,-32.441605,0.081012
0.020000,22.266892,23.818533,1.243478,3.679840,11.804722,-52.682853,0.085739
0.020000,22.344489,23.825286,1.321368,3.894524,10.734193,-53.526427,0.087346
0.020000,22.426144,23.832395,1.403332,4.098177,10.182673,-27.575977,0.085850
0.020000,22.511918,23.839598,1.489407,4.303792,10.280737,4.903169,0.081221
0.020000,22.601957,23.846594,1.579718,4.515506,10.585725,15.249432,0.073365
0.020000,22.696491,23.853031,1.674471,4.737652,11.107292,26.078348,0.062124
0.020000,22.795838,23.858495,1.773968,4.974876,11.861189,37.694833,0.047268
0.020000,22.900407,23.862486,1.878613,5.232241,12.868250,50.353037,0.028490
0.020000,23.010696,23.864385,1.988919,5.515283,14.152083,64.191645,0.005398
0.020000,23.127292,23.863422,2.105518,5.829968,15.734265,79.109094,6.260696
0.020000,23.250848,23.858624,2.229167,6.182469,17.625036,94.538585,6.227435
0.020000,23.382049,23.848756,2.360739,6.578597,19.806418,109.069061,6.188135
0.020000,23.521530,23.832256,2.501193,7.022671,22.203723,119.865265,6.142066
0.020000,23.669735,23.807187,2.651503,7.515510,24.641930,121.910349,6.088483
0.020000,23.826694,23.771225,2.812529,8.051282,26.788597,107.333342,6.026729
0.020000,23.864926,23.761542,2.851968,1.971964,-303.965892,-16537.724413,6.057609
0.020000,23.900491,23.754042,2.888315,1.817367,-7.729830,14811.803074,6.090867
0.020000,23.943785,23.746264,2.932303,2.199391,19.101176,1341.550306,6.118304
0.020000,23.994029,23.738508,2.983141,2.541920,17.126467,-98.735432,6.140427
0.020000,24.050349,23.730937,3.039968,2.841315,14.969734,-107.836667,6.157646
0.020000,24.111836,23.723601,3.101892,3.096191,12.743799,-111.296758,6.170337
0.020000,24.177714,23.716445,3.168157,3.313270,10.853949,-94.492485,6.178868
0.020000,24.247449,23.709332,3.238253,3.504817,9.577352,-63.829853,6.183569
0.020000,24.320676,23.702077,3.311839,3.679306,8.724467,-42.644270,6.184703
0.020000,24.397129,23.694457,3.388671,3.841569,8.113144,-30.566143,6.182454
0.020000,24.476618,23.686222,3.468586,3.995740,7.708545,-20.229963,6.176946
0.020000,24.559021,23.677092,3.551493,4.145378,7.481880,-11.333214,6.168247
0.020000,24.644268,23.666757,3.637364,4.293554,7.408794,-3.654304,6.156382
