dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.337500,23.999832,0.000199,0.019900,0.995025,49.751244,4.712418
0.020000,19.337500,23.998802,0.001229,0.051520,1.580959,29.296703,4.712597
0.020000,19.337501,23.996482,0.003549,0.115956,3.221814,82.042761,4.712999
0.020000,19.337505,23.992615,0.007416,0.193373,3.870863,32.452444,4.713671
0.020000,19.337514,23.987196,0.012835,0.270962,3.879415,0.427613,4.714616
0.020000,19.337534,23.980220,0.019811,0.348792,3.891504,0.604453,4.715837
0.020000,19.337570,23.971681,0.028350,0.426936,3.907243,0.786937,4.717339
0.020000,19.337629,23.961572,0.038459,0.505472,3.926790,0.977347,4.719129
0.020000,19.337720,23.949883,0.050149,0.584479,3.950330,1.176981,4.721212
0.020000,19.337853,23.936603,0.063430,0.664041,3.978107,1.388849,4.723598
0.020000,19.338040,23.921719,0.078315,0.744249,4.010393,1.614317,4.726296
0.020000,19.338294,23.905217,0.094819,0.825199,4.047528,1.856769,4.729319
0.020000,19.338632,23.887080,0.112959,0.906998,4.089904,2.118790,4.732677
0.020000,19.339070,23.867290,0.132754,0.989757,4.137970,2.403294,4.736388
0.020000,19.339629,23.845825,0.154226,1.073602,4.192262,2.714586,4.740466
0.020000,19.340331,23.822662,0.177399,1.158670,4.253393,3.056555,4.744931
0.020000,19.341202,23.797775,0.202301,1.245111,4.322065,3.433600,4.749803
0.020000,19.342269,23.771135,0.228963,1.333093,4.399106,3.852055,4.755106
0.020000,19.343566,23.742708,0.257419,1.422802,4.485452,4.317311,4.760867
0.020000,19.345128,23.712460,0.287708,1.514446,4.582199,4.837354,4.767114
0.020000,19.346996,23.680349,0.319873,1.608259,4.690602,5.420161,4.773881
0.020000,19.349215,23.646331,0.353963,1.704501,4.812117,6.075740,4.781204
0.020000,19.351837,23.610357,0.390033,1.803469,4.948419,6.815074,4.789127
0.020000,19.354921,23.572372,0.428143,1.905498,5.101445,7.651289,4.797694
0.020000,19.358532,23.532315,0.468362,2.010967,5.273436,8.599549,4.806958
