dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.337500,3.000161,0.000199,0.019900,0.995025,49.751244,1.570773
0.020000,19.337500,3.001145,0.001184,0.049229,1.466426,23.570056,1.570629
0.020000,19.337501,3.003361,0.003399,0.110789,3.078023,80.579853,1.570306
0.020000,19.337504,3.007055,0.007094,0.184724,3.696716,30.934639,1.569765
0.020000,19.337511,3.012231,0.012269,0.258771,3.702346,0.281494,1.569006
0.020000,19.337526,3.018890,0.018929,0.332977,3.710291,0.397289,1.568026
0.020000,19.337554,3.027038,0.027077,0.407389,3.720614,0.516123,1.566822
0.020000,19.337599,3.036679,0.036718,0.482057,3.733397,0.639155,1.565389
0.020000,19.337668,3.047820,0.047858,0.557032,3.748746,0.767471,1.563724
0.020000,19.337770,3.060466,0.060506,0.632367,3.766785,0.901937,1.561821
0.020000,19.337912,3.074628,0.074668,0.708121,3.787666,1.044039,1.559673
0.020000,19.338105,3.090314,0.090355,0.784352,3.811564,1.194896,1.557273
0.020000,19.338361,3.107535,0.107578,0.861126,3.838686,1.356107,1.554613
0.020000,19.338692,3.126302,0.126348,0.938511,3.869271,1.529239,1.551684
0.020000,19.339113,3.146629,0.146680,1.016583,3.903591,1.716026,1.548475
0.020000,19.339641,3.168531,0.168588,1.095422,3.941962,1.918531,1.544974
0.020000,19.340292,3.192025,0.192090,1.175117,3.984745,2.139135,1.541168
0.020000,19.341088,3.217127,0.217206,1.255764,4.032348,2.380167,1.537043
0.020000,19.342050,3.243859,0.243955,1.337469,4.085245,2.644837,1.532583
0.020000,19.343203,3.272243,0.272362,1.420348,4.143972,2.936344,1.527770
0.020000,19.344575,3.302302,0.302453,1.504531,4.209140,3.258411,1.522583
0.020000,19.346196,3.334064,0.334256,1.590160,4.281450,3.615488,1.517002
0.020000,19.348100,3.367558,0.367804,1.677394,4.361704,4.012700,1.511001
0.020000,19.350325,3.402816,0.403132,1.766411,4.450816,4.455607,1.504553
0.020000,19.352912,3.439874,0.440280,1.857407,4.549833,4.950874,1.497629
0.020000,19.355908,3.478771,0.479292,1.950606,4.659956,5.506139,1.490194
0.020000,19.359365,3.519550,0.520217,2.046258,4.782562,6.130311,1.482211
0.020000,19.363342,3.562258,0.563110,2.144642,4.919225,6.833116,1.473638
0.020000,19.367905,3.606947,0.608032,2.246077,5.071755,7.626546,1.464430
0.020000,19.373127,3.653675,0.655050,2.350922,5.242226,8.523518,1.454534
0.020000,19.379092,3.702503,0.704242,2.459582,5.433011,9.539241,1.443892
0.020000,19.385894,3.753502,0.755692,2.572518,5.646825,10.690729,1.432438
0.020000,19.393642,3.806746,0.809497,2.690254,5.886767,11.997103,1.420100
0.020000,19.402457,3.862319,0.865765,2.813381,6.156350,13.479135,1.406796
0.020000,19.412480,3.920311,0.924616,2.942572,6.459539,15.159460,1.392432
0.020000,19.423871,3.980820,0.986188,3.078587,6.800769,17.061508,1.376906
0.020000,19.436817,4.043952,1.050634,3.222285,7.184926,19.207838,1.360100
0.020000,19.451529,4.109821,1.118126,3.374631,7.617287,21.618025,1.341881
0.020000,19.468257,4.178549,1.188860,3.536699,8.103378,24.304572,1.322103
0.020000,19.487286,4.250261,1.263054,3.709673,8.648700,27.266090,1.300599
0.020000,19.508950,4.325084,1.340951,3.894838,9.258251,30.477569,1.277182
0.020000,19.533637,4.403144,1.422822,4.093553,9.935757,33.875270,1.251647
0.020000,19.561797,4.484556,1.508966,4.307202,10.682450,37.334681,1.223765
0.020000,19.593947,4.569412,1.599708,4.537107,11.495245,40.639750,1.193289
0.020000,19.630687,4.657765,1.695396,4.784389,12.364094,43.442452,1.159955
0.020000,19.672694,4.749610,1.796391,5.049755,13.268337,45.212114,1.123485
0.020000,19.720728,4.844846,1.903055,5.333195,14.171985,45.182421,1.083605
0.020000,19.775619,4.943242,2.015726,5.633560,15.018219,42.311707,1.040056
0.020000,19.838237,5.044388,2.134686,5.948039,15.723984,35.288246,0.992623
0.020000,19.909453,5.147643,2.260118,6.271574,16.176747,22.638137,0.941168
0.020000,19.990054,5.252084,2.392044,6.596310,16.236805,3.002898,0.885672
0.020000,20.080649,5.356482,2.530270,6.911305,15.749744,-24.353021,0.826283
0.020000,20.181539,5.459307,2.674326,7.202766,14.573044,-58.835016,0.763360
0.020000,20.292599,5.558792,2.823428,7.455100,12.616721,-97.816170,0.697499
0.020000,20.413182,5.653060,2.976485,7.652888,9.889402,-136.365913,0.629532
0.020000,20.542101,5.740312,3.132156,7.783515,6.531318,-167.904218,0.560483
0.020000,20.677708,5.819025,3.288951,7.839763,2.812420,-185.944919,0.491487
0.020000,20.818051,5.888118,3.445380,7.821460,-0.915156,-186.378768,0.423680
0.020000,20.961100,5.947043,3.600090,7.735505,-4.297757,-169.130068,0.358095
0.020000,21.104954,5.995781,3.751976,7.594275,-7.061500,-138.187166,0.295573
0.020000,21.248002,6.034748,3.900237,7.413050,-9.061247,-99.987355,0.236725
0.020000,21.389009,6.064672,4.044384,7.207370,-10.283979,-61.136561,0.181924
0.020000,21.527123,6.086452,4.184205,6.991036,-10.816699,-26.636028,0.131331
0.020000,21.661836,6.101046,4.319705,6.775025,-10.800554,0.807266,0.084942
0.020000,21.792915,6.109389,4.451050,6.567228,-10.389876,20.533893,0.042631
0.020000,21.920335,6.112345,4.578504,6.372725,-9.725119,33.237867,0.004195
0.020000,22.044210,6.110682,4.702391,6.194326,-8.919984,40.256752,6.252574
0.020000,22.164447,6.105088,4.822758,6.018328,-8.799892,6.004580,6.221208
0.020000,22.280760,6.096206,4.939410,5.832607,-9.286055,-24.308126,6.193128
0.020000,22.392965,6.084639,5.052209,5.639967,-9.632007,-17.297600,6.168136
0.020000,22.501199,6.070896,5.161312,5.455164,-9.240149,19.592889,6.145960
0.020000,22.605856,6.055378,5.267113,5.290055,-8.255436,49.235631,6.126301
0.020000,22.707286,6.038413,5.369952,5.141933,-7.406081,42.467761,6.108899
0.020000,22.805797,6.020273,5.470120,5.008385,-6.677444,36.431833,6.093532
