dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.962500,3.000099,0.000199,0.019900,0.995025,49.751244,1.570773
0.020000,21.962500,3.000707,0.000806,0.030373,0.523624,-23.570030,1.570629
0.020000,21.962501,3.002073,0.002173,0.068315,1.897101,68.673818,1.570306
0.020000,21.962502,3.004349,0.004448,0.113784,2.273434,18.816644,1.569765
0.020000,21.962507,3.007531,0.007631,0.159140,2.267803,-0.281549,1.569006
0.020000,21.962516,3.011618,0.011718,0.204337,2.259858,-0.397235,1.568026
0.020000,21.962533,3.016605,0.016705,0.249328,2.249534,-0.516169,1.566822
0.020000,21.962560,3.022486,0.022586,0.294063,2.236750,-0.639224,1.565389
0.020000,21.962603,3.029255,0.029356,0.338491,2.221402,-0.767414,1.563724
0.020000,21.962664,3.036906,0.037007,0.382558,2.203362,-0.902009,1.561821
0.020000,21.962750,3.045430,0.045531,0.426207,2.182480,-1.044050,1.559673
0.020000,21.962865,3.054817,0.054918,0.469379,2.158581,-1.194982,1.557273
0.020000,21.963017,3.065056,0.065159,0.512008,2.131457,-1.356171,1.554613
0.020000,21.963213,3.076135,0.076239,0.554026,2.100872,-1.529261,1.551684
0.020000,21.963459,3.088039,0.088146,0.595357,2.066550,-1.716092,1.548475
0.020000,21.963766,3.100754,0.100865,0.635920,2.028177,-1.918657,1.544974
0.020000,21.964140,3.114261,0.114377,0.675628,1.985394,-2.139173,1.541168
0.020000,21.964593,3.128542,0.128665,0.714384,1.937787,-2.380359,1.537043
0.020000,21.965134,3.143574,0.143707,0.752082,1.884887,-2.644976,1.532583
0.020000,21.965774,3.159333,0.159479,0.788605,1.826158,-2.936440,1.527770
0.020000,21.966525,3.175792,0.175955,0.823824,1.760986,-3.258606,1.522583
0.020000,21.967399,3.192922,0.193107,0.857598,1.688670,-3.615789,1.517002
0.020000,21.968409,3.210689,0.210902,0.889766,1.608412,-4.012930,1.511001
0.020000,21.969568,3.229055,0.229305,0.920152,1.519294,-4.455891,1.504553
0.020000,21.970888,3.247980,0.248277,0.948557,1.420269,-4.951261,1.497629
0.020000,21.972385,3.267418,0.267772,0.974760,1.310136,-5.506649,1.490194
0.020000,21.974072,3.287317,0.287742,0.998510,1.187521,-6.130756,1.482211
0.020000,21.975962,3.307619,0.308133,1.019527,1.050844,-6.833841,1.473638
0.020000,21.978069,3.328262,0.328882,1.037493,0.898298,-7.627272,1.464430
0.020000,21.980406,3.349173,0.349923,1.052049,0.727809,-8.524450,1.454534
0.020000,21.982982,3.370272,0.371179,1.062790,0.537002,-9.540384,1.443892
0.020000,21.985809,3.391469,0.392564,1.069253,0.323159,-10.692126,1.432438
0.020000,21.988892,3.412665,0.413983,1.070916,0.083185,-11.998703,1.420100
0.020000,21.992235,3.433745,0.435326,1.067188,-0.186438,-13.481169,1.406796
0.020000,21.995835,3.454584,0.456474,1.057394,-0.489679,-15.162018,1.392432
0.020000,21.999684,3.475041,0.477290,1.040775,-0.830970,-17.064568,1.376906
0.020000,22.003766,3.494956,0.497619,1.016471,-1.215202,-19.211600,1.360100
0.020000,22.008051,3.514154,0.517289,0.983518,-1.647657,-21.622734,1.341881
0.020000,22.012498,3.532438,0.536106,0.940840,-2.133864,-24.310369,1.322103
0.020000,22.017046,3.549590,0.553851,0.887254,-2.679330,-27.273291,1.300599
0.020000,22.021611,3.565373,0.570281,0.821472,-3.289061,-30.486538,1.277182
0.020000,22.026082,3.579526,0.585124,0.742137,-3.966788,-33.886369,1.251647
0.020000,22.030311,3.591774,0.598081,0.647862,-4.713755,-37.348354,1.223765
0.020000,22.034112,3.601826,0.608827,0.537324,-5.526887,-40.656620,1.193289
0.020000,22.037247,3.609389,0.617015,0.409401,-6.396145,-43.462895,1.159955
0.020000,22.039429,3.614184,0.622283,0.263383,-7.300873,-45.236374,1.123485
0.020000,22.040313,3.615962,0.624269,0.099282,-8.205052,-45.208934,1.083605
0.020000,22.039504,3.614541,0.625904,0.081762,-0.876008,366.452153,1.040056
0.020000,22.036576,3.609839,0.631442,0.276930,9.758396,531.720223,0.992623
0.020000,22.031100,3.601926,0.641066,0.481169,10.211941,22.677264,0.941168
0.020000,22.022698,3.591064,0.654798,0.686622,10.272630,3.034443,0.885672
0.020000,22.011121,3.577746,0.672445,0.882341,9.785976,-24.332687,0.826283
0.020000,21.996341,3.562700,0.693536,1.054527,8.609308,-58.833412,0.763360
0.020000,21.978644,3.546858,0.717287,1.187577,6.652497,-97.840551,0.697499
0.020000,21.958694,3.531265,0.742608,1.266059,3.924084,-136.420648,0.629532
0.020000,21.937540,3.516942,0.768155,1.277346,0.564331,-167.987648,0.560483
0.020000,21.916543,3.504741,0.792439,1.214213,-3.156637,-186.048401,0.491487
0.020000,21.897236,3.495215,0.813969,1.076485,-6.886397,-186.487989,0.423680
0.020000,21.881137,3.488557,0.831390,0.871065,-10.270982,-169.229292,0.358095
0.020000,21.869585,3.484613,0.843597,0.610340,-13.036258,-138.263783,0.295573
0.020000,21.863619,3.482957,0.849789,0.309601,-15.036927,-100.033449,0.236725
0.020000,21.863930,3.482992,0.850103,0.015680,-14.696071,17.042816,0.181924
0.020000,21.870878,3.484058,0.857132,0.351467,16.789342,1574.270650,0.131331
0.020000,21.884541,3.485510,0.870872,0.686993,16.776322,-0.651005,0.084942
0.020000,21.904788,3.486774,0.891158,1.014297,16.365176,-20.557305,0.042631
0.020000,21.931347,3.487368,0.917724,1.328293,15.699829,-33.267334,0.004195
0.020000,21.963867,3.486912,0.950247,1.626175,14.894089,-40.287029,6.252574
0.020000,22.001860,3.485128,0.988282,1.901746,13.778518,-55.778559,6.221208
0.020000,22.044679,3.481844,1.031227,2.147231,12.274251,-75.213335,6.193128
0.020000,22.091626,3.476993,1.078423,2.359825,10.629727,-82.226172,6.168136
0.020000,22.142112,3.470572,1.129317,2.544672,9.242362,-69.368296,6.145960
0.020000,22.195721,3.462616,1.183513,2.709816,8.257190,-49.258586,6.126301
0.020000,22.252097,3.453180,1.240673,2.857966,7.407475,-42.485765,6.108899
0.020000,22.310937,3.442340,1.300503,2.991537,6.678555,-36.445961,6.093532
0.020000,22.371991,3.430179,1.362756,3.112655,6.055928,-31.131375,6.080011
0.020000,22.435048,3.416788,1.427220,3.223179,5.526184,-26.487210,6.068174
0.020000,22.499936,3.402257,1.493715,3.324727,5.077417,-22.438340,6.057885
0.020000,22.566512,3.386678,1.562089,3.418714,4.699331,-18.904280,6.049027
0.020000,22.634662,3.370142,1.632216,3.506378,4.383194,-15.806856,6.041505
0.020000,22.704296,3.352738,1.703993,3.588812,4.121718,-13.073794,6.035240
0.020000,22.775345,3.334551,1.777332,3.666991,3.908919,-10.639973,6.030165
0.020000,22.847759,3.315668,1.852168,3.741790,3.739972,-8.447327,6.026231
0.020000,22.921506,3.296171,1.928448,3.814012,3.611089,-6.444156,6.023397
0.020000,22.996567,3.276142,2.006136,3.884400,3.519407,-4.584095,6.021635
0.020000,23.072942,3.255661,2.085210,3.953658,3.462907,-2.824993,6.020929
0.020000,23.150642,3.234811,2.165659,4.022465,3.440353,-1.127721,6.021271
0.020000,23.243851,3.210383,2.262015,4.817825,39.767986,1816.381647,6.033764
0.020000,23.340845,3.186450,2.361918,4.995126,8.865060,-1545.146282,6.048929
0.020000,23.439769,3.163689,2.463427,5.075473,4.017321,-242.386954,6.065318
0.020000,23.540816,3.142249,2.566724,5.164811,4.466930,22.480448,6.083068
0.020000,23.644198,3.122304,2.672012,5.264435,4.981217,25.714345,6.102337
0.020000,23.750157,3.104063,2.779529,5.375837,5.570066,29.442464,6.123304
0.020000,23.858829,3.087797,2.889413,5.494179,5.917106,17.352000,6.146146
0.020000,23.970088,3.073845,3.001542,5.606488,5.615453,-15.082667,6.170994
0.020000,24.083624,3.062584,3.115636,5.704664,4.908821,-35.331599,6.197938
0.020000,24.199213,3.054383,3.231515,5.793956,4.464570,-22.212559,6.227072
0.020000,24.316877,3.049611,3.349276,5.888037,4.704082,11.975615,6.258550
0.020000,24.436768,3.048677,3.469170,5.994734,5.334845,31.538144,0.009379
0.020000,24.559000,3.052048,3.591449,6.113933,5.959930,31.254271,0.046120
0.020000,24.683627,3.060256,3.716346,6.244867,6.546697,29.338341,0.085768
0.020000,24.810615,3.073889,3.844063,6.385858,7.049560,25.143125,0.128474
0.020000,24.939804,3.093577,3.974744,6.534028,7.408486,17.946319,0.174350
0.020000,25.070873,3.119971,4.108444,6.685018,7.549505,7.050933,0.223437
0.020000,25.203301,3.153700,4.245100,6.832794,7.388784,-8.036042,0.275688
0.020000,25.336337,3.195314,4.384493,6.969631,6.841875,-27.345452,0.330935
0.020000,25.468992,3.245210,4.526221,7.086409,5.838881,-50.149675,0.388873
0.020000,25.600056,3.303558,4.669687,7.173293,4.344218,-74.733169,0.449046
0.020000,25.728162,3.370229,4.814103,7.220823,2.376477,-98.387074,0.510854
0.020000,25.851876,3.444750,4.958528,7.221243,0.021027,-117.772497,0.573579
0.020000,25.969822,3.526304,5.101924,7.169797,-2.572284,-129.665516,0.636430
0.020000,26.080804,3.613781,5.243236,7.065601,-5.209817,-131.876638,0.698601
0.020000,26.183907,3.705862,5.381473,6.911820,-7.689058,-123.962069,0.759339
0.020000,26.278558,3.801141,5.515774,6.715088,-9.836620,-107.378092,0.817986
0.020000,26.364533,3.898235,5.645461,6.484356,-11.536568,-84.997395,0.874026
0.020000,26.441918,3.995879,5.770052,6.229532,-12.741219,-60.232544,0.927090
0.020000,26.511053,4.092988,5.889257,5.960241,-13.464562,-36.167195,0.976959
0.020000,26.572453,4.188683,6.002956,5.684949,-13.764592,-15.001455,1.023542
0.020000,26.626737,4.282292,6.111166,5.410497,-13.722572,2.100976,1.066850
0.020000,26.674572,4.373329,6.214006,5.141992,-13.425266,14.865280,1.106976
0.020000,26.716627,4.461469,6.311664,4.882934,-12.952875,23.619581,1.144062
0.020000,26.753542,4.546512,6.404374,4.635480,-12.372715,29.008011,1.178287
0.020000,26.785915,4.628357,6.492389,4.400734,-11.737299,31.770765,1.209844
0.020000,26.814287,4.706975,6.575969,4.179032,-11.085128,32.608546,1.238932
0.020000,26.839143,4.782388,6.655373,3.970175,-10.442808,32.116002,1.265747
0.020000,26.860914,4.854652,6.730845,3.773624,-9.827563,30.762277,1.290475
0.020000,26.879979,4.923846,6.802618,3.588632,-9.249598,28.898257,1.313295
0.020000,26.896669,4.990062,6.870905,3.414350,-8.714117,26.774034,1.334368
0.020000,26.911275,5.053398,6.935903,3.249892,-8.222896,24.561051,1.353845
0.020000,26.924049,5.113953,6.997790,3.094383,-7.775466,22.371496,1.371861
0.020000,26.935212,5.171825,7.056730,2.946983,-7.369976,20.274495,1.388541
0.020000,26.944958,5.227111,7.112868,2.806908,-7.003781,18.309770,1.403997
0.020000,26.953456,5.279900,7.166337,2.673430,-6.673855,16.496269,1.418328
0.020000,26.960853,5.330278,7.217255,2.545889,-6.377053,14.840096,1.431625
0.020000,26.967280,5.378324,7.265728,2.423684,-6.110282,13.338562,1.443970
0.020000,26.972850,5.424111,7.311854,2.306272,-5.870597,11.984240,1.455435
0.020000,26.977666,5.467709,7.355717,2.193167,-5.655262,10.766762,1.466087
0.020000,26.981817,5.509181,7.397396,2.083931,-5.461769,9.674656,1.475983
0.020000,26.985380,5.548584,7.436959,1.978174,-5.287846,8.696154,1.485178
0.020000,26.988428,5.585970,7.474470,1.875545,-5.131455,7.819557,1.493719
0.020000,26.991022,5.621390,7.509985,1.775730,-4.990771,7.034182,1.501648
0.020000,26.993218,5.654887,7.543554,1.678446,-4.864174,6.329841,1.509005
0.020000,26.995065,5.686502,7.575222,1.583442,-4.750225,5.697487,1.515824
0.020000,26.996609,5.716272,7.605032,1.490489,-4.647652,5.128617,1.522136
0.020000,26.997888,5.744230,7.633020,1.399382,-4.555330,4.616126,1.527969
0.020000,26.998939,5.770408,7.659219,1.309937,-4.472268,4.153081,1.533349
0.020000,26.999794,5.794833,7.683658,1.221985,-4.397593,3.733735,1.538299
0.020000,27.000480,5.817530,7.706366,1.135374,-4.330535,3.352899,1.542839
0.020000,27.001023,5.838522,7.727365,1.049966,-4.270419,3.005817,1.546987
0.020000,27.001447,5.857830,7.746678,0.965633,-4.216651,2.688390,1.550760
0.020000,27.001770,5.875472,7.764323,0.882259,-4.168712,2.396969,1.554171
0.020000,27.002011,5.891465,7.780318,0.799736,-4.126145,2.128350,1.557236
0.020000,27.002187,5.905823,7.794677,0.717965,-4.088556,1.879435,1.559964
0.020000,27.002309,5.918560,7.807414,0.636852,-4.055602,1.647728,1.562365
0.020000,27.002391,5.929686,7.818540,0.556313,-4.026984,1.430894,1.564449
0.020000,27.002443,5.939211,7.828065,0.476264,-4.002450,1.226669,1.566223
0.020000,27.002474,5.947144,7.835998,0.396628,-3.981786,1.033204,1.567693
0.020000,27.002490,5.953490,7.842345,0.317332,-3.964813,0.848640,1.568865
0.020000,27.002497,5.958256,7.847111,0.238304,-3.951386,0.671355,1.569742
0.020000,27.002499,5.961446,7.850300,0.159476,-3.941392,0.499696,1.570328
0.020000,27.002500,5.963185,7.852040,0.086974,-3.625127,15.813288,1.570647
0.020000,27.002500,5.963862,7.852716,0.033831,-2.657144,48.399121,1.570771
0.020000,27.002500,5.964000,7.852854,0.006909,-1.346079,65.553256,1.570796
0.020000,27.002500,5.964000,7.852854,0.000000,-0.345461,50.030891,1.570796
