dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500093,14.312500,0.000199,0.019900,0.995025,49.751244,0.000039
0.020000,1.500607,14.312500,0.000713,0.025696,0.289753,-35.263615,0.000254
0.020000,1.501763,14.312501,0.001869,0.057796,1.605025,65.763629,0.000738
0.020000,1.503688,14.312503,0.003794,0.096268,1.923621,15.929814,0.001545
0.020000,1.506382,14.312509,0.006487,0.134653,1.919248,-0.218683,0.002677
0.020000,1.509840,14.312520,0.009946,0.172916,1.913119,-0.306455,0.004136
0.020000,1.514060,14.312542,0.014166,0.211020,1.905229,-0.394493,0.005924
0.020000,1.519039,14.312576,0.019145,0.248932,1.895571,-0.482870,0.008044
0.020000,1.524771,14.312629,0.024877,0.286615,1.884139,-0.571622,0.010500
0.020000,1.531251,14.312707,0.031358,0.324033,1.870924,-0.660740,0.013295
0.020000,1.538473,14.312814,0.038581,0.361151,1.855920,-0.750230,0.016434
0.020000,1.546431,14.312959,0.046539,0.397934,1.839120,-0.839993,0.019923
0.020000,1.555115,14.313148,0.055226,0.434344,1.820520,-0.929978,0.023766
0.020000,1.564519,14.313392,0.064633,0.470347,1.800120,-1.019990,0.027971
0.020000,1.574633,14.313698,0.074751,0.505905,1.777924,-1.109825,0.032543
0.020000,1.585446,14.314076,0.085571,0.540984,1.753940,-1.199170,0.037491
0.020000,1.596947,14.314538,0.097082,0.575548,1.728187,-1.287667,0.042821
0.020000,1.609126,14.315095,0.109273,0.609562,1.700690,-1.374831,0.048544
0.020000,1.621969,14.315758,0.122133,0.642991,1.671490,-1.460048,0.054666
0.020000,1.635462,14.316541,0.135649,0.675804,1.640638,-1.542593,0.061198
0.020000,1.649592,14.317456,0.149808,0.707968,1.608206,-1.621602,0.068150
0.020000,1.664343,14.318517,0.164597,0.739454,1.574286,-1.695993,0.075532
0.020000,1.679699,14.319739,0.180002,0.770234,1.538995,-1.764549,0.083354
0.020000,1.695643,14.321138,0.196008,0.800283,1.502479,-1.825767,0.091628
0.020000,1.712159,14.322728,0.212599,0.829582,1.464920,-1.877982,0.100366
0.020000,1.729226,14.324526,0.229762,0.858112,1.426536,-1.919209,0.109578
0.020000,1.746828,14.326549,0.247479,0.885864,1.387592,-1.947195,0.119278
0.020000,1.764943,14.328813,0.265736,0.912832,1.348403,-1.959435,0.129476
0.020000,1.783553,14.331337,0.284516,0.939019,1.309343,-1.952996,0.140185
0.020000,1.802638,14.334139,0.303805,0.964436,1.270848,-1.924752,0.151416
0.020000,1.822175,14.337238,0.323587,0.989105,1.233424,-1.871180,0.163181
0.020000,1.842147,14.340652,0.343848,1.013058,1.197655,-1.788487,0.175491
0.020000,1.862532,14.344401,0.364575,1.036342,1.164202,-1.672612,0.188355
0.020000,1.883311,14.348506,0.385755,1.059018,1.133817,-1.519288,0.201784
0.020000,1.904464,14.352988,0.407378,1.081165,1.107334,-1.324123,0.215786
0.020000,1.925976,14.357867,0.429436,1.102878,1.085679,-1.082737,0.230366
0.020000,1.947828,14.363166,0.451922,1.124276,1.069862,-0.790884,0.245529
0.020000,1.970006,14.368909,0.474831,1.145495,1.060968,-0.444671,0.261279
0.020000,1.992498,14.375120,0.498165,1.166698,1.060153,-0.040780,0.277616
0.020000,2.015294,14.381825,0.521927,1.188070,1.068618,0.423265,0.294537
0.020000,2.038386,14.389051,0.546123,1.209822,1.087593,0.948749,0.312036
0.020000,2.061771,14.396828,0.570767,1.232188,1.118304,1.535534,0.330104
