dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500196,11.687500,0.000199,0.019900,0.995025,49.751244,0.000039
0.020000,1.501274,11.687500,0.001277,0.053906,1.700297,35.263611,0.000254
0.020000,1.503700,11.687501,0.003703,0.121308,3.370099,83.490098,0.000738
0.020000,1.507745,11.687506,0.007748,0.202239,4.046528,33.821433,0.001545
0.020000,1.513410,11.687518,0.013413,0.283257,4.050901,0.218659,0.002677
0.020000,1.520698,11.687543,0.020701,0.364398,4.057029,0.306410,0.004136
0.020000,1.529612,11.687588,0.029615,0.445696,4.064918,0.394463,0.005924
0.020000,1.540155,11.687661,0.040159,0.527187,4.074575,0.482835,0.008044
0.020000,1.552333,11.687774,0.052337,0.608908,4.086006,0.571558,0.010500
0.020000,1.566150,11.687939,0.066155,0.690892,4.099220,0.660683,0.013295
0.020000,1.581611,11.688168,0.081618,0.773176,4.114223,0.750134,0.016434
0.020000,1.598724,11.688479,0.098734,0.855797,4.131021,0.839935,0.019923
0.020000,1.617496,11.688890,0.117510,0.938789,4.149619,0.929874,0.023766
0.020000,1.637933,11.689418,0.137954,1.022190,4.170016,1.019876,0.027971
0.020000,1.660043,11.690087,0.160075,1.106034,4.192210,1.109682,0.032543
0.020000,1.683836,11.690921,0.183882,1.190358,4.216191,1.199040,0.037491
0.020000,1.709319,11.691945,0.209386,1.275196,4.241941,1.287518,0.042821
0.020000,1.736503,11.693187,0.236597,1.360585,4.269434,1.374640,0.048544
0.020000,1.765395,11.694680,0.265528,1.446558,4.298631,1.459846,0.054666
0.020000,1.796007,11.696455,0.296191,1.533147,4.329479,1.542389,0.061198
0.020000,1.828347,11.698549,0.328599,1.620385,4.361906,1.621350,0.068150
0.020000,1.862425,11.701001,0.362765,1.708302,4.395820,1.695737,0.075532
0.020000,1.898250,11.703853,0.398704,1.796924,4.431105,1.764228,0.083354
0.020000,1.935831,11.707149,0.436429,1.886276,4.467614,1.825453,0.091628
0.020000,1.975177,11.710938,0.475957,1.976379,4.505166,1.877620,0.100366
0.020000,2.016294,11.715270,0.517302,2.067250,4.543543,1.918813,0.109578
0.020000,2.059190,11.720200,0.560480,2.158900,4.582479,1.946800,0.119278
0.020000,2.103869,11.725785,0.605506,2.251333,4.621657,1.958928,0.129476
0.020000,2.150334,11.732088,0.652397,2.344547,4.660707,1.952505,0.140185
0.020000,2.198587,11.739173,0.701168,2.438531,4.699191,1.924208,0.151416
0.020000,2.248627,11.747109,0.751833,2.533263,4.736603,1.870599,0.163181
0.020000,2.300449,11.755969,0.804407,2.628710,4.772361,1.787866,0.175491
0.020000,2.354047,11.765828,0.858904,2.724826,4.805800,1.671949,0.188355
0.020000,2.409407,11.776766,0.915335,2.821550,4.836171,1.518585,0.201784
0.020000,2.466516,11.788865,0.973711,2.918802,4.862639,1.323399,0.215786
0.020000,2.525351,11.802212,1.034041,3.016488,4.884279,1.081982,0.230366
0.020000,2.585886,11.816893,1.096331,3.114490,4.900081,0.790113,0.245529
0.020000,2.648087,11.833001,1.160584,3.212669,4.908959,0.443891,0.261279
0.020000,2.711915,11.850627,1.226801,3.310864,4.909759,0.040000,0.277616
0.020000,2.777323,11.869866,1.294979,3.408890,4.901279,-0.424003,0.294537
0.020000,2.844253,11.890811,1.365110,3.506535,4.882289,-0.949495,0.312036
0.020000,2.912641,11.913555,1.437181,3.603567,4.851566,-1.536175,0.330104
0.020000,2.982414,11.938190,1.511176,3.699725,4.807922,-2.182162,0.348727
0.020000,3.053489,11.964805,1.587070,3.794730,4.750259,-2.883194,0.367889
0.020000,3.125773,11.993485,1.664836,3.888282,4.677603,-3.632754,0.387566
0.020000,3.199163,12.024311,1.744437,3.980066,4.589172,-4.421570,0.407732
0.020000,3.273549,12.057355,1.825832,4.069754,4.484416,-5.237795,0.428356
0.020000,3.348810,12.092684,1.908973,4.157016,4.363080,-6.066784,0.449399
0.020000,3.424818,12.130353,1.993803,4.241521,4.225247,-6.891653,0.470821
0.020000,3.501438,12.170409,2.080262,4.322948,4.071378,-7.693482,0.492573
0.020000,3.578531,12.212885,2.168282,4.400995,3.902335,-8.452155,0.514605
0.020000,3.655950,12.257806,2.257789,4.475383,3.719394,-9.147044,0.536861
0.020000,3.733550,12.305179,2.348707,4.545867,3.524230,-9.758168,0.559282
0.020000,3.811183,12.355001,2.440952,4.612245,3.318888,-10.267102,0.581804
0.020000,3.888704,12.407254,2.534439,4.674360,3.105725,-10.658168,0.604363
0.020000,3.965969,12.461910,2.629081,4.732107,2.887339,-10.919309,0.626892
0.020000,4.042843,12.518923,2.724790,4.785436,2.666480,-11.042922,0.649324
0.020000,4.119196,12.578242,2.821477,4.834355,2.445953,-11.026360,0.671592
