dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500198,14.312500,0.000199,0.019900,0.995025,49.751244,6.283150
0.020000,1.501239,14.312500,0.001240,0.052038,1.606851,30.591318,6.282963
0.020000,1.503581,14.312499,0.003582,0.117097,3.252958,82.305344,6.282544
0.020000,1.507485,14.312495,0.007486,0.195199,3.905108,32.607510,6.281843
0.020000,1.512952,14.312485,0.012953,0.273358,3.907937,0.141449,6.280862
0.020000,1.519984,14.312464,0.019985,0.351596,3.911898,0.198032,6.279598
0.020000,1.528583,14.312427,0.028583,0.429935,3.916992,0.254693,6.278050
0.020000,1.538750,14.312365,0.038751,0.508400,3.923218,0.311330,6.276217
0.020000,1.550490,14.312271,0.050492,0.587011,3.930579,0.368010,6.274095
0.020000,1.563805,14.312134,0.063808,0.665793,3.939071,0.424630,6.271682
0.020000,1.578700,14.311942,0.078703,0.744767,3.948696,0.481221,6.268976
0.020000,1.595177,14.311683,0.095182,0.823956,3.959449,0.537691,6.265973
0.020000,1.613241,14.311343,0.113250,0.903382,3.971328,0.593937,6.262669
0.020000,1.632898,14.310904,0.132911,0.983069,3.984326,0.649905,6.259060
0.020000,1.654151,14.310349,0.154172,1.063037,3.998435,0.705438,6.255143
0.020000,1.677007,14.309660,0.177038,1.143310,4.013643,0.760385,6.250912
0.020000,1.701470,14.308814,0.201516,1.223909,4.029933,0.814528,6.246363
0.020000,1.727547,14.307790,0.227613,1.304855,4.047286,0.867651,6.241490
0.020000,1.755244,14.306563,0.255337,1.386168,4.065676,0.919476,6.236288
0.020000,1.784565,14.305105,0.284694,1.467870,4.085069,0.969645,6.230751
0.020000,1.815517,14.303390,0.315694,1.549978,4.105424,1.017764,6.224872
0.020000,1.848106,14.301385,0.348344,1.632512,4.126692,1.063415,6.218645
0.020000,1.882336,14.299060,0.382654,1.715488,4.148813,1.106029,6.212064
0.020000,1.918215,14.296379,0.418632,1.798922,4.171714,1.145032,6.205120
0.020000,1.955746,14.293305,0.456289,1.882829,4.195308,1.179705,6.197808
0.020000,1.994934,14.289800,0.495633,1.967218,4.219494,1.209336,6.190120
0.020000,2.035782,14.285821,0.536675,2.052102,4.244153,1.232948,6.182048
0.020000,2.078295,14.281325,0.579425,2.137484,4.269147,1.249684,6.173585
0.020000,2.122474,14.276265,0.623892,2.223371,4.294315,1.258382,6.164723
0.020000,2.168319,14.270594,0.670087,2.309760,4.319473,1.257899,6.155454
0.020000,2.215832,14.264258,0.718020,2.396648,4.344410,1.246893,6.145771
0.020000,2.265009,14.257204,0.767701,2.484026,4.368891,1.224030,6.135666
0.020000,2.315847,14.249376,0.819138,2.571879,4.392646,1.187729,6.125132
0.020000,2.368341,14.240714,0.872342,2.660187,4.415375,1.136473,6.114162
0.020000,2.422483,14.231157,0.927320,2.748922,4.436746,1.068550,6.102749
0.020000,2.478261,14.220640,0.984081,2.838049,4.456391,0.982265,6.090889
0.020000,2.535662,14.209097,1.042632,2.927528,4.473909,0.875892,6.078574
0.020000,2.594670,14.196459,1.102978,3.017305,4.488864,0.747723,6.065801
0.020000,2.655264,14.182654,1.165125,3.107321,4.500786,0.596117,6.052566
0.020000,2.717419,14.167611,1.229075,3.197504,4.509177,0.419553,6.038867
0.020000,2.781108,14.151254,1.294830,3.287774,4.513512,0.216746,6.024702
0.020000,2.846296,14.133508,1.362391,3.378039,4.513245,-0.013351,6.010071
0.020000,2.912946,14.114295,1.431755,3.468196,4.507817,-0.271415,5.994976
