dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500105,11.687500,0.000199,0.019900,0.995025,49.751244,6.283150
0.020000,1.500656,11.687500,0.000750,0.027564,0.383198,-30.591323,6.282963
0.020000,1.501897,11.687499,0.001990,0.062008,1.722166,66.948398,6.282544
0.020000,1.503963,11.687497,0.004057,0.103309,2.065041,17.143712,6.281843
0.020000,1.506854,11.687492,0.006948,0.144553,2.062212,-0.141447,6.280862
0.020000,1.510568,11.687481,0.010662,0.185718,2.058250,-0.198076,6.279598
0.020000,1.515104,11.687461,0.015198,0.226781,2.053156,-0.254704,6.278050
0.020000,1.520458,11.687429,0.020552,0.267720,2.046929,-0.311375,6.276217
0.020000,1.526628,11.687379,0.026722,0.308511,2.039568,-0.368033,6.274095
0.020000,1.533610,11.687307,0.033705,0.349132,2.031074,-0.424693,6.271682
0.020000,1.541401,11.687207,0.041496,0.389561,2.021449,-0.481275,6.268976
0.020000,1.549995,11.687072,0.050092,0.429775,2.010694,-0.537739,6.265973
0.020000,1.559389,11.686895,0.059487,0.469751,1.998813,-0.594018,6.262669
0.020000,1.569575,11.686668,0.069676,0.509468,1.985814,-0.649987,6.259060
0.020000,1.580550,11.686381,0.080654,0.548902,1.971703,-0.705528,6.255143
0.020000,1.592305,11.686027,0.092415,0.588032,1.956494,-0.760475,6.250912
0.020000,1.604834,11.685594,0.104951,0.626836,1.940201,-0.814642,6.246363
0.020000,1.618130,11.685072,0.118257,0.665293,1.922845,-0.867780,6.241490
0.020000,1.632184,11.684449,0.132325,0.703382,1.904453,-0.919602,6.236288
0.020000,1.646987,11.683713,0.147147,0.741083,1.885057,-0.969786,6.230751
0.020000,1.662531,11.682851,0.162714,0.778377,1.864699,-1.017939,6.224872
0.020000,1.678805,11.681851,0.179019,0.815245,1.843427,-1.063586,6.218645
0.020000,1.695799,11.680696,0.196052,0.851671,1.821302,-1.106224,6.212064
0.020000,1.713503,11.679373,0.213805,0.887639,1.798398,-1.145235,6.205120
0.020000,1.731904,11.677866,0.232268,0.923135,1.774799,-1.179949,6.197808
0.020000,1.750990,11.676159,0.251431,0.958147,1.750608,-1.209558,6.190120
0.020000,1.770750,11.674235,0.271284,0.992666,1.725943,-1.233241,6.182048
0.020000,1.791170,11.672075,0.291818,1.026685,1.700943,-1.249967,6.173585
0.020000,1.812236,11.669663,0.313022,1.060201,1.675769,-1.258697,6.164723
0.020000,1.833935,11.666978,0.334886,1.093213,1.650605,-1.258222,6.155454
0.020000,1.856252,11.664002,0.357401,1.125726,1.625660,-1.247267,6.145771
0.020000,1.879173,11.660715,0.380556,1.157749,1.601172,-1.224397,6.135666
0.020000,1.902682,11.657095,0.404342,1.189297,1.577409,-1.188149,6.125132
0.020000,1.926764,11.653122,0.428749,1.220391,1.554671,-1.136897,6.114162
0.020000,1.951404,11.648772,0.453771,1.251057,1.533291,-1.069002,6.102749
0.020000,1.976587,11.644024,0.479397,1.281329,1.513636,-0.982743,6.090889
0.020000,2.002297,11.638854,0.505622,1.311252,1.496108,-0.876390,6.078574
0.020000,2.028520,11.633238,0.532440,1.340874,1.481143,-0.748234,6.065801
0.020000,2.055241,11.627151,0.559845,1.370259,1.469211,-0.596638,6.052566
0.020000,2.082445,11.620567,0.587834,1.399475,1.460809,-0.420096,6.038867
0.020000,2.110119,11.613460,0.616406,1.428604,1.456463,-0.217288,6.024702
0.020000,2.138250,11.605802,0.645561,1.457738,1.456719,0.012814,6.010071
0.020000,2.166826,11.597565,0.675301,1.486981,1.462137,0.270876,5.994976
0.020000,2.195836,11.588719,0.705630,1.516447,1.473279,0.557120,5.979420
0.020000,2.225271,11.579233,0.736555,1.546261,1.490703,0.871186,5.963408
0.020000,2.255121,11.569075,0.768086,1.576560,1.514944,1.212074,5.946949
0.020000,2.285380,11.558212,0.800236,1.607490,1.546505,1.578047,5.930052
0.020000,2.316042,11.546608,0.833020,1.639207,1.585836,1.966520,5.912727
0.020000,2.347102,11.534227,0.866458,1.671873,1.633317,2.374042,5.894991
0.020000,2.378559,11.521028,0.900571,1.705658,1.689241,2.796238,5.876861
0.020000,2.410410,11.506973,0.935385,1.740734,1.753798,3.227827,5.858354
0.020000,2.442656,11.492018,0.970931,1.777275,1.827051,3.662654,5.839495
0.020000,2.475299,11.476117,1.007240,1.815453,1.908927,4.093804,5.820308
0.020000,2.508339,11.459224,1.044349,1.855437,1.999202,4.513729,5.800821
0.020000,2.541781,11.441289,1.082296,1.897387,2.097491,4.914453,5.781063
0.020000,2.575629,11.422261,1.121125,1.941452,2.203247,5.287815,5.761067
0.020000,2.609885,11.402086,1.160881,1.987767,2.315762,5.625745,5.740867
0.020000,2.644553,11.380710,1.201610,2.036451,2.434173,5.920563,5.720499
0.020000,2.679637,11.358075,1.243362,2.087600,2.557479,6.165302,5.700001
0.020000,2.715139,11.334123,1.286188,2.141291,2.684559,6.353996,5.679411
0.020000,2.751059,11.308796,1.330139,2.197575,2.814198,6.481956,5.658769
0.020000,2.787397,11.282034,1.375269,2.256478,2.945118,6.545981,5.638115
0.020000,2.824151,11.253777,1.421629,2.317998,3.076008,6.544519,5.617488
0.020000,2.861314,11.223968,1.469271,2.382109,3.205563,6.477732,5.596929
0.020000,2.898882,11.192547,1.518246,2.448759,3.332513,6.347491,5.576476
0.020000,2.936843,11.159458,1.568604,2.517873,3.455658,6.157285,5.556166
0.020000,2.975185,11.124648,1.620391,2.589351,3.573899,5.912047,5.536036
0.020000,3.013798,11.088158,1.673518,2.656358,3.350372,-11.176368,5.516169
0.020000,3.052473,11.050140,1.727750,2.711597,2.761962,-29.420474,5.496688
0.020000,3.091006,11.010777,1.782833,2.754188,2.129527,-31.621789,5.477705
0.020000,3.129290,10.970176,1.838638,2.790217,1.801439,-16.404380,5.459271
0.020000,3.167315,10.928354,1.895162,2.826227,1.800497,-0.047078,5.441385
0.020000,3.205070,10.885329,1.952403,2.862063,1.791797,-0.435008,5.424046
0.020000,3.242545,10.841125,2.010355,2.897588,1.776292,-0.775247,5.407248
0.020000,3.279729,10.795764,2.069009,2.932686,1.754902,-1.069521,5.390984
0.020000,3.316613,10.749273,2.128354,2.967256,1.728497,-1.320245,5.375248
0.020000,3.353187,10.701678,2.188378,3.001214,1.697891,-1.530310,5.360029
0.020000,3.389441,10.653007,2.249068,3.034491,1.663833,-1.702905,5.345316
0.020000,3.425370,10.603289,2.310409,3.067031,1.627005,-1.841383,5.331100
0.020000,3.460965,10.552555,2.372385,3.098791,1.588023,-1.949129,5.317368
0.020000,3.496220,10.500833,2.434979,3.129740,1.547433,-2.029488,5.304107
0.020000,3.531132,10.448154,2.498177,3.159854,1.505719,-2.085665,5.291305
0.020000,3.565695,10.394549,2.561959,3.189121,1.463305,-2.120705,5.278949
0.020000,3.599908,10.340046,2.626310,3.217532,1.420557,-2.137438,5.267026
0.020000,3.633767,10.284677,2.691211,3.245087,1.377787,-2.138469,5.255523
0.020000,3.667272,10.228469,2.756647,3.271793,1.335264,-2.126173,5.244427
0.020000,3.704161,10.165084,2.829985,3.666899,19.755329,921.003266,5.239405
0.020000,3.755830,10.077924,2.931309,5.066206,69.965337,2510.500410,5.255653
0.020000,3.809212,9.991161,3.033179,5.093498,1.364578,-3430.037964,5.272316
0.020000,3.864344,9.904851,3.135595,5.120789,1.364594,0.000794,5.289396
0.020000,3.921261,9.819054,3.238554,5.147963,1.358672,-0.296117,5.306890
0.020000,3.979992,9.733834,3.342052,5.174887,1.346192,-0.623971,5.324794
0.020000,4.040566,9.649261,3.446080,5.201418,1.326545,-0.982373,5.343102
0.020000,4.103005,9.565406,3.550628,5.227401,1.299148,-1.369830,5.361807
0.020000,4.167327,9.482346,3.655682,5.252670,1.263467,-1.784030,5.380896
0.020000,4.233544,9.400162,3.761223,5.277051,1.219033,-2.221715,5.400357
0.020000,4.301662,9.318937,3.867230,5.300360,1.165464,-2.678466,5.420174
0.020000,4.371679,9.238757,3.973678,5.322410,1.102488,-3.148814,5.440326
0.020000,4.443588,9.159711,4.080538,5.343009,1.029963,-3.626241,5.460792
0.020000,4.517371,9.081889,4.187778,5.361967,0.947899,-4.103173,5.481548
0.020000,4.593004,9.005381,4.295360,5.379096,0.856474,-4.571267,5.502564
0.020000,4.670455,8.930278,4.403244,5.394217,0.756044,-5.021486,5.523811
0.020000,4.749680,8.856669,4.511387,5.407160,0.647157,-5.444373,5.545255
0.020000,4.830631,8.784642,4.619743,5.417771,0.530546,-5.830518,5.566860
0.020000,4.913247,8.714280,4.728261,5.425914,0.407132,-6.170736,5.588590
0.020000,4.997461,8.645663,4.836890,5.431474,0.278001,-6.456547,5.610405
0.020000,5.083200,8.578866,4.945578,5.434362,0.144390,-6.680531,5.632263
0.020000,5.170380,8.513958,5.054268,5.434515,0.007656,-6.836724,5.654124
0.020000,5.258915,8.450999,5.162906,5.431900,-0.130760,-6.920792,5.675945
0.020000,5.348711,8.390044,5.271436,5.426512,-0.269368,-6.930406,5.697684
0.020000,5.439671,8.331139,5.379804,5.418379,-0.406673,-6.865239,5.719299
0.020000,5.531694,8.274320,5.487955,5.407555,-0.541215,-6.727085,5.740749
0.020000,5.624678,8.219614,5.595837,5.394122,-0.671608,-6.519651,5.761995
0.020000,5.718518,8.167041,5.703401,5.378191,-0.796578,-6.248512,5.782997
0.020000,5.813112,8.116609,5.810599,5.359891,-0.914993,-5.920724,5.803721
0.020000,5.908357,8.068319,5.917386,5.339373,-1.025883,-5.544546,5.824132
0.020000,6.004153,8.022162,6.023722,5.316804,-1.128465,-5.129058,5.844199
0.020000,6.100404,7.978123,6.129570,5.292361,-1.222140,-4.683753,5.863893
0.020000,6.197015,7.936176,6.234894,5.266231,-1.306504,-4.218205,5.883189
0.020000,6.293899,7.896292,6.339666,5.238604,-1.381337,-3.741687,5.902064
0.020000,6.390970,7.858432,6.443860,5.209672,-1.446596,-3.262907,5.920499
0.020000,6.488151,7.822553,6.547452,5.179625,-1.502391,-2.789774,5.938475
