dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.650000,7.099941,0.000199,0.019900,0.995025,49.751244,4.712380
0.020000,21.650000,7.099001,0.001138,0.046970,1.353473,17.922415,4.712237
0.020000,21.649999,7.096887,0.003252,0.105698,2.936397,79.146199,4.711914
0.020000,21.649997,7.093363,0.006777,0.176211,3.525651,29.462709,4.711375
0.020000,21.649990,7.088427,0.011712,0.246796,3.529249,0.179881,4.710618
0.020000,21.649975,7.082078,0.018062,0.317482,3.534321,0.253580,4.709641
0.020000,21.649949,7.074312,0.025828,0.388300,3.540892,0.328588,4.708442
0.020000,21.649907,7.065126,0.035014,0.459280,3.549009,0.405811,4.707018
0.020000,21.649841,7.054517,0.045623,0.530455,3.558733,0.486224,4.705364
0.020000,21.649745,7.042481,0.057660,0.601857,3.570110,0.568862,4.703476
0.020000,21.649611,7.029011,0.071130,0.673522,3.583233,0.656119,4.701349
0.020000,21.649428,7.014102,0.086040,0.745485,3.598176,0.747144,4.698977
0.020000,21.649188,6.997748,0.102396,0.817786,3.615051,0.843788,4.696352
0.020000,21.648876,6.979942,0.120205,0.890466,3.633965,0.945680,4.693468
0.020000,21.648481,6.960674,0.139477,0.963567,3.655057,1.054619,4.690316
0.020000,21.647988,6.939938,0.160219,1.037136,3.678470,1.170651,4.686887
0.020000,21.647380,6.917721,0.182444,1.111224,3.704376,1.295281,4.683170
0.020000,21.646640,6.894015,0.206161,1.185883,3.732964,1.429405,4.679154
0.020000,21.645747,6.868808,0.231385,1.261172,3.764443,1.573973,4.674826
0.020000,21.644681,6.842086,0.258128,1.337153,3.799049,1.730303,4.670172
0.020000,21.643417,6.813836,0.286406,1.413894,3.837055,1.900265,4.665178
0.020000,21.641930,6.784044,0.316235,1.491469,3.878757,2.085098,4.659826
0.020000,21.640191,6.752693,0.347634,1.569959,3.924473,2.285815,4.654099
0.020000,21.638168,6.719766,0.380623,1.649450,3.974594,2.506047,4.647975
0.020000,21.635828,6.685244,0.415224,1.730041,4.029513,2.745962,4.641434
0.020000,21.633134,6.649108,0.451461,1.811835,4.089705,3.009579,4.634451
0.020000,21.630043,6.611335,0.489360,1.894948,4.155661,3.297820,4.627000
0.020000,21.626510,6.571903,0.528950,1.979507,4.227960,3.614939,4.619051
0.020000,21.622486,6.530787,0.570263,2.065652,4.307229,3.963438,4.610574
0.020000,21.617915,6.487959,0.613334,2.153535,4.394136,4.345373,4.601533
0.020000,21.612738,6.443392,0.658200,2.243324,4.489467,4.766561,4.591890
0.020000,21.606886,6.397056,0.704904,2.335204,4.594023,5.227779,4.581604
0.020000,21.600286,6.348919,0.753492,2.429379,4.708722,5.734966,4.570628
0.020000,21.592857,6.298947,0.804013,2.526069,4.834518,6.289791,4.558912
0.020000,21.584506,6.247105,0.856524,2.625518,4.972444,6.896280,4.546402
0.020000,21.575134,6.193356,0.911083,2.727989,5.123565,7.556063,4.533035
0.020000,21.564627,6.137663,0.967759,2.833769,5.288988,8.271133,4.518748
0.020000,21.552861,6.079988,1.026622,2.943165,5.469775,9.039392,4.503466
0.020000,21.539696,6.020292,1.087752,3.056503,5.666944,9.858412,4.487111
0.020000,21.524977,5.958539,1.151235,3.174130,5.881337,10.719671,4.469598
0.020000,21.508531,5.894696,1.217163,3.296401,6.113519,11.609079,4.450833
0.020000,21.490164,5.828732,1.285636,3.423673,6.363624,12.505250,4.430717
0.020000,21.469661,5.760625,1.356762,3.556295,6.631115,13.374588,4.409142
0.020000,21.446786,5.690363,1.430654,3.694585,6.914481,14.168275,4.385995
0.020000,21.421272,5.617950,1.507430,3.838803,7.210879,14.819899,4.361157
0.020000,21.392832,5.543409,1.587212,3.989115,7.515626,15.237346,4.334506
0.020000,21.361150,5.466790,1.670123,4.145548,7.821631,15.300266,4.305921
0.020000,21.325883,5.388180,1.756282,4.307923,8.118768,14.856820,4.275282
0.020000,21.286671,5.307710,1.845797,4.475786,8.393170,13.720105,4.242478
0.020000,21.243135,5.225567,1.938764,4.648321,8.626723,11.677657,4.207418
0.020000,21.194894,5.142008,2.035249,4.824256,8.796732,8.500474,4.170031
0.020000,21.141574,5.057367,2.135284,5.001780,8.876229,3.974829,4.130288
0.020000,21.082832,4.972067,2.238854,5.178481,8.835062,-2.058342,4.088203
0.020000,21.018378,4.886625,2.345881,5.351327,8.642272,-9.639521,4.043854
0.020000,20.948000,4.801651,2.456215,5.516722,8.269760,-18.625571,3.997390
0.020000,20.871599,4.717832,2.569628,5.670668,7.697298,-28.623101,3.949041
0.020000,20.789210,4.635918,2.685809,5.809029,6.918058,-38.962027,3.899117
0.020000,20.701020,4.556681,2.804367,5.927901,5.943595,-48.723127,3.848008
0.020000,20.607374,4.480879,2.924848,6.024032,4.806545,-56.852524,3.796171
0.020000,20.508764,4.409207,3.046752,6.095225,3.559629,-62.345774,3.744103
0.020000,20.405804,4.342258,3.169565,6.140631,2.270338,-64.464560,3.692322
0.020000,20.299190,4.280484,3.292782,6.160872,1.012014,-62.916198,3.641330
0.020000,20.189652,4.224186,3.415941,6.157941,-0.146542,-57.927790,3.591591
0.020000,20.077911,4.173502,3.538640,6.134935,-1.150306,-50.188199,3.543508
