dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.900000,19.900054,0.000112,0.011161,0.558036,27.901786,1.570805
0.020000,18.900000,19.900400,0.000458,0.017329,0.308411,-12.481231,1.570862
0.020000,18.900000,19.901180,0.001238,0.038984,1.082739,38.716397,1.570991
0.020000,18.899999,19.902566,0.002624,0.069283,1.514940,21.610056,1.571219
0.020000,18.899998,19.904729,0.004787,0.108198,1.945766,21.541285,1.571577
0.020000,18.899995,19.907843,0.007901,0.155684,2.374331,21.428260,1.572094
0.020000,18.899988,19.912077,0.012135,0.211675,2.799517,21.259310,1.572800
0.020000,18.899974,19.917598,0.017656,0.276074,3.219960,21.022122,1.573726
0.020000,18.899950,19.924573,0.024631,0.348755,3.634030,20.703537,1.574906
0.020000,18.899908,19.933164,0.033222,0.429551,4.039813,20.289112,1.576375
0.020000,18.899841,19.943529,0.043587,0.518252,4.435068,19.762773,1.578169
0.020000,18.899737,19.955820,0.055879,0.614596,4.817193,19.106249,1.580328
0.020000,18.899582,19.970185,0.070244,0.718259,5.183162,18.298429,1.582898
0.020000,18.899356,19.986760,0.086821,0.828848,5.529454,17.314597,1.585925
0.020000,18.899038,20.005591,0.105655,0.941697,5.642434,5.649010,1.589449
0.020000,18.898603,20.026631,0.126699,1.052197,5.525000,-5.871712,1.593495
0.020000,18.898024,20.049823,0.149899,1.159972,5.388755,-6.812241,1.598095
0.020000,18.897268,20.075104,0.175191,1.264613,5.232061,-7.834673,1.603285
0.020000,18.896302,20.102400,0.202504,1.365673,5.052995,-8.953302,1.609106
0.020000,18.895087,20.131628,0.231758,1.462660,4.849312,-10.184162,1.615604
0.020000,18.893583,20.162693,0.262858,1.555028,4.618408,-11.545217,1.622832
0.020000,18.891744,20.195485,0.295702,1.642173,4.357278,-13.056470,1.630850
0.020000,18.889524,20.229881,0.330170,1.723423,4.062478,-14.740016,1.639726
0.020000,18.886873,20.265744,0.366131,1.798024,3.730080,-16.619878,1.649534
0.020000,18.883740,20.302915,0.403433,1.865137,3.355648,-18.721623,1.660361
0.020000,18.880073,20.341216,0.441910,1.923822,2.934218,-21.071500,1.672303
0.020000,18.875819,20.380447,0.481370,1.973028,2.460321,-23.694865,1.685468
0.020000,18.870930,20.420380,0.521602,2.011589,1.928049,-26.613600,1.699978
0.020000,18.865360,20.460762,0.562366,2.038213,1.331212,-29.841851,1.715970
0.020000,18.859072,20.501307,0.603396,2.051486,0.663623,-33.379442,1.733595
0.020000,18.852042,20.541698,0.644394,2.049878,-0.080414,-37.201842,1.753025
0.020000,18.844258,20.581581,0.685029,2.031771,-0.905321,-41.245355,1.774447
0.020000,18.835746,20.620518,0.724886,1.992854,-1.945847,-52.026307,1.798036
0.020000,18.826576,20.658008,0.763482,1.929773,-3.154059,-60.410597,1.823940
0.020000,18.816852,20.693558,0.800337,1.842755,-4.350918,-59.842915,1.852305
0.020000,18.806724,20.726698,0.834990,1.732669,-5.504306,-57.669403,1.883268
0.020000,18.796382,20.757007,0.867015,1.601241,-6.571370,-53.353209,1.916944
0.020000,18.786054,20.784133,0.896041,1.451289,-7.497598,-46.311388,1.953418
0.020000,18.775992,20.807824,0.921779,1.286941,-8.217404,-35.990322,1.992727
0.020000,18.766460,20.827957,0.944055,1.113797,-8.657227,-21.991151,2.034844
0.020000,18.757696,20.844566,0.962834,0.938954,-8.742127,-4.245008,2.079661
0.020000,18.749882,20.857855,0.978251,0.770826,-8.406423,16.785210,2.126973
0.020000,18.743103,20.868206,0.990624,0.618670,-7.607762,39.933023,2.176470
0.020000,18.737306,20.876153,1.000461,0.491825,-6.342276,63.274322,2.227737
0.020000,18.732278,20.882342,1.008435,0.398692,-4.656617,84.282935,2.280259
0.020000,18.727639,20.887468,1.015348,0.345655,-2.651861,100.237808,2.333451
0.020000,18.722860,20.892207,1.022079,0.336532,-0.456153,109.785385,2.386747
0.020000,18.717305,20.897156,1.029518,0.371981,1.772461,111.430702,2.439638
0.020000,18.710284,20.902774,1.038511,0.449627,3.882285,105.491216,2.491642
0.020000,18.701112,20.909371,1.049808,0.564888,5.763036,94.037572,2.542328
0.020000,18.689159,20.917095,1.064040,0.711585,7.334841,78.590239,2.591338
0.020000,18.673889,20.925955,1.081694,0.882678,8.554657,60.990778,2.638392
0.020000,18.654889,20.935844,1.103113,1.070983,9.415245,43.029430,2.683294
0.020000,18.631872,20.946574,1.128508,1.269753,9.938530,26.164225,2.725924
0.020000,18.604678,20.957907,1.157970,1.473077,10.166164,11.381732,2.766231
0.020000,18.573256,20.969583,1.191491,1.676076,10.149975,-0.809485,2.804218
0.020000,18.537649,20.981344,1.228991,1.874957,9.944031,-10.297176,2.839931
0.020000,18.497971,20.992946,1.270329,2.066939,9.599104,-17.246365,2.873451
0.020000,18.454391,21.004169,1.315332,2.250128,9.159462,-21.982087,2.904877
0.020000,18.407109,21.014825,1.363799,2.423359,8.661556,-24.895289,2.934323
0.020000,18.356351,21.024755,1.415520,2.586039,8.133994,-26.378113,2.961910
0.020000,18.289975,21.036101,1.482859,3.366948,39.045429,1545.571760,2.980487
0.020000,18.221400,21.046638,1.552238,3.468943,5.099791,-1697.281936,2.997984
0.020000,18.154293,21.055720,1.619957,3.385949,-4.149730,-462.476015,3.016430
0.020000,18.088783,21.063324,1.685906,3.297482,-4.423352,-13.681121,3.035886
0.020000,18.025010,21.069439,1.749973,3.203316,-4.708295,-14.247151,3.056419
0.020000,17.963116,21.074058,1.812038,3.103277,-5.001946,-14.682544,3.078095
0.020000,17.903253,21.077187,1.871983,2.997267,-5.300505,-14.927948,3.100983
0.020000,17.845571,21.078844,1.929689,2.885293,-5.598696,-14.909572,3.125150
0.020000,17.790221,21.079059,1.985039,2.767504,-5.889446,-14.537489,3.150664
0.020000,17.737349,21.077880,2.037924,2.644232,-6.163576,-13.706486,3.177586
0.020000,17.687091,21.075368,2.088245,2.516042,-6.409502,-12.296318,3.205973
0.020000,17.639565,21.071603,2.135921,2.383781,-6.613051,-10.177423,3.235872
0.020000,17.594862,21.066678,2.180893,2.248633,-6.757423,-7.218587,3.267315
0.020000,17.553044,21.060703,2.223136,2.112164,-6.823442,-3.300967,3.300318
0.020000,17.514125,21.053795,2.262664,1.976361,-6.790173,1.663433,3.334872
0.020000,17.478070,21.046073,2.299536,1.843640,-6.636054,7.705949,3.370944
0.020000,17.444782,21.037652,2.333873,1.716828,-6.340568,14.774315,3.408465
0.020000,17.414099,21.028631,2.365855,1.599098,-5.886487,22.704031,3.447331
0.020000,17.385790,21.019078,2.395732,1.493848,-5.262500,31.199359,3.487400
0.020000,17.359561,21.009022,2.423823,1.404530,-4.465937,39.828140,3.528490
0.020000,17.335059,20.998442,2.450511,1.334428,-3.505091,48.042327,3.570381
0.020000,17.311891,20.987254,2.476239,1.286416,-2.400578,55.225631,3.612821
0.020000,17.289638,20.975312,2.501494,1.262712,-1.185215,60.768165,3.655532
0.020000,17.267884,20.962409,2.526787,1.264670,0.097895,64.155503,3.698220
0.020000,17.246230,20.948285,2.552640,1.292649,1.398971,65.053780,3.740589
0.020000,17.224322,20.932642,2.579560,1.345976,2.666357,63.369308,3.782348
0.020000,17.201865,20.915159,2.608020,1.423010,3.851681,59.266222,3.823227
0.020000,17.178630,20.895515,2.638446,1.521299,4.914426,53.137228,3.862982
0.020000,17.154462,20.873405,2.671202,1.637801,5.825133,45.535354,3.901406
0.020000,17.129274,20.848555,2.706585,1.769138,6.566844,37.085527,3.938329
0.020000,17.103042,20.820735,2.744821,1.911834,7.134786,28.397110,3.973621
0.020000,17.075792,20.789767,2.786072,2.062528,7.534687,19.995071,4.007191
0.020000,17.047588,20.755524,2.830434,2.218133,7.780264,12.278822,4.038983
0.020000,17.018525,20.717929,2.877953,2.375942,7.890449,5.509247,4.068971
0.020000,16.988711,20.676954,2.928627,2.533678,7.886809,-0.181984,4.097157
0.020000,16.958261,20.632613,2.982417,2.689506,7.791421,-4.769378,4.123562
0.020000,16.927290,20.584951,3.039257,2.842013,7.625323,-8.304927,4.148223
0.020000,16.895907,20.534044,3.099061,2.990163,7.407522,-10.890049,4.171192
0.020000,16.864210,20.479986,3.161726,3.133253,7.154483,-12.651958,4.192526
0.020000,16.832287,20.422887,3.227143,3.270852,6.879973,-13.725495,4.212287
0.020000,16.800211,20.362865,3.295198,3.402755,6.595153,-14.241013,4.230541
0.020000,16.768041,20.300045,3.365776,3.528932,6.308813,-14.316984,4.247352
0.020000,16.735823,20.234551,3.438766,3.649486,6.027689,-14.056192,4.262786
0.020000,16.703590,20.166507,3.514058,3.764621,5.756789,-13.544979,4.276905
0.020000,16.671361,20.096034,3.591551,3.874616,5.499718,-12.853548,4.289766
0.020000,16.639147,20.023248,3.671147,3.979795,5.258965,-12.037665,4.301425
0.020000,16.606947,19.948259,3.752757,4.080518,5.036155,-11.140513,4.311933
0.020000,16.574749,19.871170,3.836300,4.177163,4.832261,-10.194698,4.321337
0.020000,16.542534,19.792076,3.921703,4.270119,4.647777,-9.224178,4.329678
0.020000,16.510276,19.711067,4.008898,4.359776,4.482858,-8.245972,4.336995
0.020000,16.477940,19.628224,4.097829,4.446525,4.337427,-7.271537,4.343320
0.020000,16.445485,19.543620,4.188444,4.530750,4.211265,-6.308130,4.348683
0.020000,16.412864,19.457324,4.280700,4.612831,4.104071,-5.359657,4.353108
0.020000,16.380023,19.369393,4.374563,4.693142,4.015521,-4.427522,4.356615
0.020000,16.346903,19.279883,4.470004,4.772048,3.945295,-3.511301,4.359220
0.020000,16.313439,19.188841,4.567002,4.849910,3.893112,-2.609130,4.360935
0.020000,16.279560,19.096306,4.665544,4.927085,3.858748,-1.718234,4.361769
0.020000,16.245190,19.002314,4.765623,5.003926,3.842045,-0.835116,4.361724
0.020000,16.210245,18.906896,4.867238,5.080784,3.842928,0.044115,4.360800
0.020000,16.174637,18.810076,4.970398,5.158012,3.861398,0.923537,4.358995
0.020000,16.138270,18.711874,5.075118,5.235963,3.897543,1.807232,4.356298
0.020000,16.101041,18.612307,5.181418,5.314994,3.951524,2.699062,4.352698
0.020000,16.062837,18.511387,5.289327,5.395465,4.023573,3.602432,4.348178
0.020000,16.023541,18.409122,5.398882,5.477745,4.113975,4.520078,4.342718
0.020000,15.983022,18.305520,5.510126,5.562205,4.223049,5.453720,4.336293
0.020000,15.941142,18.200584,5.623110,5.649228,4.351121,6.403604,4.328873
0.020000,15.897750,18.094318,5.737894,5.739198,4.498483,7.368094,4.320425
0.020000,15.852685,17.986724,5.854544,5.832504,4.665343,8.343007,4.310910
0.020000,15.805772,17.877807,5.973135,5.929540,4.851757,9.320696,4.300287
0.020000,15.756821,17.767573,6.093749,6.030690,5.057540,10.289152,4.288507
0.020000,15.705627,17.656034,6.216476,6.136333,5.282156,11.230796,4.275520
0.020000,15.651970,17.543206,6.341412,6.246825,5.524571,12.120776,4.261270
0.020000,15.595613,17.429117,6.468662,6.362487,5.783082,12.925520,4.245698
0.020000,15.536300,17.313805,6.598334,6.483589,6.055098,13.600788,4.228742
0.020000,15.473759,17.197327,6.730540,6.610326,6.336881,14.089183,4.210337
0.020000,15.407700,17.079759,6.865396,6.742791,6.623265,14.319207,4.190418
0.020000,15.337818,16.961203,7.003015,6.880938,6.907319,14.202678,4.168920
0.020000,15.263794,16.841796,7.143506,7.024538,7.180024,13.635244,4.145781
0.020000,15.185302,16.721710,7.286968,7.173138,7.429967,12.497138,4.120943
0.020000,15.102011,16.601167,7.433488,7.326000,7.643107,10.657041,4.094357
0.020000,15.013690,16.480566,7.582971,7.474124,7.406217,-11.844497,4.066019
0.020000,14.920258,16.360501,7.735106,7.606780,6.632796,-38.671085,4.035980
0.020000,14.821720,16.241628,7.889511,7.720219,5.671934,-48.043112,4.004333
0.020000,14.718182,16.124650,8.045728,7.810858,4.531974,-56.997956,3.971212
0.020000,14.609871,16.010306,8.203227,7.874948,3.204473,-66.375081,3.936791
0.020000,14.497146,15.899343,8.361402,7.908775,1.691345,-75.656392,3.901289
0.020000,14.380507,15.792499,8.519581,7.908914,0.006965,-84.218987,3.864964
0.020000,14.260591,15.690467,8.677031,7.872493,-1.821050,-91.400778,3.828107
0.020000,14.138164,15.593867,8.832979,7.797436,-3.752864,-96.590692,3.791030
0.020000,14.014097,15.503221,8.986632,7.682648,-5.739375,-99.325564,3.754062
0.020000,13.889344,15.418927,9.137194,7.528112,-7.726806,-99.371546,3.717528
0.020000,13.764902,15.341245,9.283892,7.334869,-9.662157,-96.767513,3.681744
0.020000,13.641784,15.270296,9.425990,7.104898,-11.498533,-91.818840,3.647002
0.020000,13.520980,15.206065,9.562808,6.840910,-13.199394,-85.043020,3.613563
0.020000,13.403271,15.148334,9.693912,6.555220,-14.284537,-54.257144,3.581608
0.020000,13.289186,15.096726,9.819127,6.260739,-14.724015,-21.973929,3.551232
0.020000,13.179158,15.050822,9.938346,5.960952,-14.989336,-13.266039,3.522498
0.020000,13.073541,15.010178,10.051514,5.658396,-15.127837,-6.925024,3.495436
0.020000,12.972609,14.974346,10.158618,5.355203,-15.159660,-1.591165,3.470054
0.020000,12.876569,14.942883,10.259680,5.053097,-15.105261,2.719936,3.446339
0.020000,12.785571,14.915362,10.354748,4.753416,-14.984081,6.058999,3.424263
0.020000,12.699716,14.891378,10.443891,4.457142,-14.813704,8.518845,3.403788
0.020000,12.619063,14.870550,10.527190,4.164953,-14.609407,10.214849,3.384867
0.020000,12.543640,14.852528,10.604736,3.877273,-14.384039,11.268398,3.367448
0.020000,12.473453,14.836991,10.676622,3.594311,-14.148106,11.796650,3.351477
0.020000,12.408487,14.823647,10.742944,3.316111,-13.909970,11.906832,3.336900
0.020000,12.348716,14.812233,10.803796,3.042589,-13.676131,11.691953,3.323663
0.020000,12.294102,14.802516,10.859267,2.773558,-13.451523,11.230401,3.311716
0.020000,12.244606,14.794286,10.909442,2.508762,-13.239791,10.586565,3.301009
0.020000,12.200185,14.787361,10.954400,2.247891,-13.043553,9.811913,3.291497
0.020000,12.160795,14.781580,10.994212,1.990598,-12.864644,8.945451,3.283141
0.020000,12.126395,14.776805,11.028943,1.736513,-12.704268,8.018792,3.275902
0.020000,12.096782,14.772897,11.058812,1.493462,-12.152569,27.584960,3.269716
0.020000,12.071589,14.769718,11.084205,1.269671,-11.189516,48.152675,3.264485
0.020000,12.050441,14.767153,11.105508,1.065134,-10.226840,48.133772,3.260117
0.020000,12.032973,14.765105,11.123096,0.879395,-9.286995,46.992251,3.256525
0.020000,12.018823,14.763492,11.137337,0.712070,-8.366229,46.038281,3.253626
0.020000,12.007635,14.762247,11.148594,0.562848,-7.461104,45.256251,3.251340
0.020000,11.999057,14.761309,11.157224,0.431478,-6.568511,44.629676,3.249591
0.020000,11.992738,14.760628,11.163579,0.317764,-5.685700,44.140568,3.248306
0.020000,11.988332,14.760158,11.168010,0.221559,-4.810248,43.772557,3.247410
0.020000,11.985492,14.759857,11.170865,0.142757,-3.940100,43.507414,3.246833
0.020000,11.983876,14.759687,11.172491,0.081286,-3.073531,43.328455,3.246505
0.020000,11.983138,14.759609,11.173233,0.037103,-2.209164,43.218359,3.246356
0.020000,11.982935,14.759588,11.173437,0.010184,-1.345962,43.160107,3.246315
0.020000,11.982925,14.759587,11.173447,0.000519,-0.483227,43.136748,3.246312
0.020000,11.982925,14.759587,11.173447,0.000000,-0.025954,22.863633,3.246312
