dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.400000,19.900085,0.000112,0.011161,0.558036,27.901786,1.570805
0.020000,22.400000,19.900631,0.000658,0.027314,0.807660,12.481228,1.570862
0.020000,22.400000,19.901860,0.001887,0.061463,1.707440,44.988967,1.570991
0.020000,22.399999,19.904046,0.004073,0.109289,2.391310,34.193508,1.571219
0.020000,22.399997,19.907462,0.007489,0.170820,3.076556,34.262287,1.571577
0.020000,22.399992,19.912384,0.012411,0.246101,3.764062,34.375303,1.572094
0.020000,22.399981,19.919088,0.019115,0.335200,4.454947,34.544260,1.572800
0.020000,22.399959,19.927852,0.027880,0.438212,5.150575,34.781421,1.573726
0.020000,22.399920,19.938958,0.038985,0.555263,5.852575,35.100009,1.574906
0.020000,22.399854,19.952688,0.052715,0.686520,6.562864,35.514407,1.576375
0.020000,22.399746,19.969331,0.069359,0.832194,7.283678,36.040713,1.578169
0.020000,22.399578,19.989182,0.089210,0.992546,8.017622,36.697200,1.580328
0.020000,22.399326,20.012538,0.112568,1.167901,8.767721,37.504950,1.582898
0.020000,22.398956,20.039709,0.139741,1.358651,9.537495,38.488702,1.585925
0.020000,22.398430,20.070870,0.170907,1.558302,9.982543,22.252425,1.589449
0.020000,22.397702,20.106069,0.206113,1.760301,10.099969,5.871287,1.593495
0.020000,22.396720,20.145357,0.245414,1.965025,10.236203,6.811714,1.598095
0.020000,22.395421,20.188795,0.288871,2.172883,10.392884,7.834011,1.603285
0.020000,22.393734,20.236452,0.336558,2.384321,10.571933,8.952467,1.609106
0.020000,22.391574,20.288404,0.388554,2.599833,10.775595,10.183119,1.615604
0.020000,22.388845,20.344737,0.444954,2.819963,11.006473,11.543907,1.622832
0.020000,22.385435,20.405548,0.505860,3.045314,11.267570,13.054837,1.630850
0.020000,22.381213,20.470943,0.571391,3.276561,11.562329,14.737958,1.639726
0.020000,22.376030,20.541040,0.641680,3.514454,11.894675,16.617300,1.649534
0.020000,22.369712,20.615971,0.716877,3.759835,12.269043,18.718391,1.660361
0.020000,22.362057,20.695878,0.797150,4.013643,12.690392,21.067426,1.672303
0.020000,22.352832,20.780918,0.882688,4.276927,13.164187,23.689747,1.685468
0.020000,22.341766,20.871260,0.973705,4.550853,13.696330,26.607153,1.699978
0.020000,22.328543,20.967086,1.070440,4.836713,14.293004,29.833727,1.715970
0.020000,22.312794,21.068590,1.173158,5.135921,14.960388,33.369204,1.733595
0.020000,22.294090,21.175973,1.282158,5.450005,15.704168,37.188966,1.753025
0.020000,22.271930,21.289441,1.397770,5.780580,16.528751,41.229153,1.774447
0.020000,22.245768,21.409029,1.520186,6.120797,17.010875,24.106239,1.798036
0.020000,22.215030,21.534578,1.649443,6.462850,17.102626,4.587504,1.823940
0.020000,22.179083,21.665876,1.785573,6.806509,17.182974,4.017416,1.852305
0.020000,22.137243,21.802637,1.928591,7.150905,17.219812,1.841884,1.883268
0.020000,22.088786,21.944474,2.078477,7.494311,17.170302,-2.475487,1.916944
0.020000,22.032965,22.090872,2.235155,7.833911,16.979961,-9.517054,1.953418
0.020000,21.969042,22.241153,2.398467,8.165575,16.583246,-19.835744,1.992727
0.020000,21.896329,22.394457,2.568141,8.483708,15.906653,-33.829625,2.034844
0.020000,21.814240,22.549716,2.743765,8.781215,14.875314,-51.566988,2.079661
0.020000,21.722362,22.705655,2.924759,9.049687,13.423619,-72.584732,2.126973
0.020000,21.620518,22.860814,3.110357,9.279873,11.509282,-95.716857,2.176470
0.020000,21.508832,23.013593,3.299605,9.462442,9.128468,-119.040690,2.227737
0.020000,21.387771,23.162333,3.491385,9.588999,6.327821,-140.032340,2.280259
0.020000,21.258156,23.305418,3.684449,9.653166,3.208351,-155.973534,2.333451
0.020000,21.120977,23.441528,3.877694,9.662284,0.455921,-137.621478,2.386747
0.020000,20.977294,23.569692,4.070231,9.626853,-1.771559,-111.374002,2.439638
0.020000,20.828299,23.689172,4.261216,9.549246,-3.880338,-105.438938,2.491642
0.020000,20.675235,23.799499,4.449897,9.434042,-5.760211,-93.993667,2.542328
0.020000,20.519324,23.900465,4.635646,9.287415,-7.331355,-78.557170,2.591338
0.020000,20.361701,23.992107,4.817974,9.116400,-8.550741,-60.969321,2.638392
0.020000,20.203369,24.074667,4.996537,8.928177,-9.411122,-43.019039,2.683294
0.020000,20.045177,24.148537,5.171127,8.729490,-9.934387,-26.163276,2.725924
0.020000,19.887809,24.214220,5.341652,8.526247,-10.162150,-11.388149,2.766231
0.020000,19.731795,24.272277,5.508118,8.323323,-10.146192,0.797938,2.804218
0.020000,19.577523,24.323299,5.670608,8.124512,-9.940542,10.282468,2.839931
0.020000,19.425262,24.367873,5.829260,7.932593,-9.595940,17.230093,2.873451
0.020000,19.275180,24.406566,5.984250,7.749461,-9.156630,21.965506,2.904877
0.020000,19.127369,24.439913,6.135775,7.576280,-8.659047,24.879176,2.934323
0.020000,18.981860,24.468407,6.284048,7.413644,-8.131786,26.363055,2.961910
0.020000,18.851410,24.490778,6.416403,6.617734,-39.795522,-1583.186838,2.980487
0.020000,18.722305,24.510609,6.547021,6.530929,-4.340223,1772.764982,2.997984
0.020000,18.591221,24.528340,6.679299,6.613909,4.149019,424.462101,3.016430
0.020000,18.458067,24.543788,6.813347,6.702361,4.422555,13.676771,3.035886
0.020000,18.322756,24.556751,6.949277,6.796509,4.707398,14.242167,3.056419
0.020000,18.185207,24.567004,7.087207,6.896527,5.000940,14.677099,3.078095
0.020000,18.045347,24.574302,7.227258,7.002515,5.299381,14.922065,3.100983
0.020000,17.903116,24.578371,7.369547,7.114464,5.597440,14.902937,3.125150
0.020000,17.758473,24.578915,7.514191,7.232225,5.888055,14.530766,3.150664
0.020000,17.611400,24.575613,7.661301,7.355466,6.162037,13.699069,3.177586
0.020000,17.461916,24.568117,7.810973,7.483622,6.407814,12.288845,3.205973
0.020000,17.310077,24.556059,7.963290,7.615846,6.611214,10.170024,3.235872
0.020000,17.155993,24.539054,8.118309,7.750955,6.755451,7.211838,3.267315
0.020000,16.999836,24.516707,8.276057,7.887382,6.821346,3.294742,3.300318
0.020000,16.841850,24.488624,8.436520,8.023142,6.787990,-1.667786,3.334872
0.020000,16.682360,24.454423,8.599636,8.155818,6.633820,-7.708492,3.370944
