dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.000000,7.099918,0.000113,0.011250,0.562500,28.125000,4.712380
0.020000,22.000000,7.099390,0.000640,0.026382,0.756608,9.705424,4.712323
0.020000,22.000000,7.098203,0.001827,0.059365,1.649136,44.626379,4.712193
0.020000,21.999999,7.096092,0.003939,0.105555,2.309492,33.017780,4.711963
0.020000,21.999997,7.092792,0.007238,0.164973,2.970925,33.071676,4.711602
0.020000,21.999992,7.088039,0.011991,0.237656,3.634131,33.160275,4.711081
0.020000,21.999981,7.081566,0.018464,0.323656,4.299985,33.292717,4.710370
0.020000,21.999960,7.073105,0.026925,0.423047,4.969558,33.478640,4.709435
0.020000,21.999922,7.062387,0.037644,0.535929,5.644126,33.728418,4.708246
0.020000,21.999858,7.049138,0.050892,0.662433,6.325193,34.053345,4.706765
0.020000,21.999753,7.033084,0.066947,0.802723,7.014515,34.466078,4.704956
0.020000,21.999590,7.013945,0.086087,0.957006,7.714134,34.980985,4.702779
0.020000,21.999344,6.991435,0.108598,1.125535,8.426428,35.614672,4.700187
0.020000,21.998985,6.965266,0.134770,1.308618,9.154160,36.386604,4.697134
0.020000,21.998474,6.935271,0.164768,1.499922,9.565227,20.553371,4.693579
0.020000,21.997769,6.901417,0.198630,1.693070,9.657367,4.606979,4.689497
0.020000,21.996817,6.863662,0.236397,1.888356,9.764291,5.346212,4.684854
0.020000,21.995559,6.821959,0.278119,2.086101,9.887297,6.150277,4.679616
0.020000,21.993927,6.776255,0.323852,2.286660,10.027907,7.030517,4.673739
0.020000,21.991840,6.726491,0.373661,2.490418,10.187899,7.999615,4.667178
0.020000,21.989205,6.672599,0.427617,2.697804,10.369337,9.071882,4.659877
0.020000,21.985917,6.614506,0.485803,2.909296,10.574600,10.263156,4.651776
0.020000,21.981852,6.552130,0.548311,3.125425,10.806420,11.590977,4.642806
0.020000,21.976869,6.485380,0.615247,3.346783,11.067907,13.074379,4.632891
0.020000,21.970805,6.414157,0.686727,3.574034,11.362579,14.733597,4.621942
0.020000,21.963471,6.338352,0.762886,3.807922,11.694366,16.589334,4.609861
0.020000,21.954649,6.257849,0.843871,4.049274,12.067594,18.661423,4.596538
0.020000,21.944087,6.172520,0.929852,4.299012,12.486930,20.966812,4.581849
0.020000,21.931494,6.082231,1.021015,4.558157,12.957248,23.515861,4.565653
0.020000,21.916530,5.986841,1.117571,4.827825,13.483390,26.307111,4.547795
0.020000,21.898802,5.886206,1.219756,5.109220,14.069767,29.318850,4.528102
0.020000,21.877854,5.780183,1.327828,5.403614,14.719707,32.497014,4.506380
0.020000,21.853155,5.668639,1.442074,5.712304,15.434460,35.737652,4.482418
0.020000,21.824095,5.551458,1.562805,6.036538,16.211713,38.862643,4.455985
0.020000,21.789966,5.428560,1.690353,6.377407,17.043471,41.587878,4.426835
0.020000,21.749962,5.299924,1.825066,6.735670,17.913155,43.484213,4.394710
0.020000,21.703169,5.165611,1.967296,7.111508,18.791867,43.935598,4.359349
0.020000,21.648570,5.025811,2.117380,7.504187,19.633973,42.105283,4.320502
0.020000,21.585057,4.880885,2.275613,7.911640,20.372623,36.932533,4.277950
0.020000,21.511467,4.731419,2.442212,8.329971,20.916564,27.197016,4.231532
0.020000,21.426726,4.578449,2.617087,8.743705,20.686716,-11.492356,4.181232
0.020000,21.329992,4.423484,2.799766,9.133963,19.512905,-58.690570,4.127231
0.020000,21.220699,4.268346,2.989536,9.488493,17.726465,-89.321977,4.069892
0.020000,21.098678,4.115116,3.185415,9.793959,15.273339,-122.656346,4.009774
0.020000,20.964255,3.966012,3.386167,10.037628,12.183427,-154.495581,3.947628
0.020000,20.818290,3.823228,3.590356,10.209427,8.589971,-179.672793,3.884352
0.020000,20.662142,3.688745,3.796433,10.303866,4.721940,-193.401570,3.820926
0.020000,20.497554,3.564160,4.002857,10.321162,0.864811,-192.856424,3.758329
0.020000,20.326489,3.450570,4.208200,10.267172,-2.699505,-178.215829,3.697449
0.020000,20.150942,3.348542,4.411243,10.152149,-5.751182,-152.583824,3.639025
0.020000,19.972787,3.258149,4.611019,9.988790,-8.167958,-120.838810,3.583608
0.020000,19.793665,3.179061,4.806823,9.790211,-9.928952,-88.049695,3.531551
0.020000,19.614939,3.110663,4.998190,9.568349,-11.093094,-58.207105,3.483034
0.020000,19.437682,3.052164,5.184850,9.333022,-11.766343,-33.662452,3.438089
0.020000,19.262556,3.002647,5.366843,9.099631,-11.669519,4.841232,3.396603
0.020000,19.089860,2.961170,5.544449,8.880319,-10.965630,35.194416,3.358368
0.020000,18.919747,2.926865,5.717987,8.676888,-10.171520,39.705527,3.323148
0.020000,18.744108,2.898029,5.895978,8.899531,11.132113,1065.181640,3.284564
0.020000,18.561686,2.875708,6.079760,9.189118,14.479373,167.362988,3.241751
0.020000,18.374045,2.861175,6.267963,9.410125,11.050364,-171.450434,3.195663
0.020000,18.181478,2.855482,6.460614,9.632553,11.121403,3.551919,3.146277
0.020000,17.984555,2.859705,6.657582,9.848429,10.793771,-16.381593,3.093691
0.020000,17.784176,2.874868,6.858535,10.047614,9.959234,-41.726857,3.038152
0.020000,17.581597,2.901839,7.062901,10.218327,8.535658,-71.178802,2.980081
0.020000,17.378412,2.941217,7.269866,10.348254,6.496349,-101.965431,2.920084
0.020000,17.176477,2.993220,7.478390,10.426186,3.896622,-129.986328,2.858932
0.020000,16.977772,3.057612,7.687268,10.443890,0.885182,-150.572025,2.797516
0.020000,16.784232,3.133683,7.895221,10.397686,-2.310199,-159.769022,2.736786
0.020000,16.597566,3.220304,8.101006,10.289215,-5.423562,-155.668184,2.677664
0.020000,16.419123,3.316038,8.303508,10.125097,-8.205860,-139.114879,2.620976
0.020000,16.249807,3.419285,8.501820,9.915618,-10.473971,-113.405569,2.567394
0.020000,16.090074,3.528423,8.695278,9.672883,-12.136745,-83.138677,2.517410
0.020000,15.939976,3.641924,8.883458,9.409018,-13.193252,-52.825347,2.471338
0.020000,15.799246,3.758427,9.066154,9.134806,-13.710590,-25.866892,2.429331
0.020000,15.667390,3.876775,9.243333,8.858928,-13.793897,-4.165395,2.391414
0.020000,15.543771,3.996015,9.415088,8.587742,-13.559315,11.729106,2.357515
0.020000,15.427683,4.115382,9.581596,8.325436,-13.115277,22.201933,2.327504
0.020000,15.318397,4.234273,9.743084,8.074382,-12.552721,28.127796,2.301213
0.020000,15.215205,4.352212,9.899795,7.835539,-11.942174,30.527348,2.278462
0.020000,15.117433,4.468824,10.051971,7.608838,-11.335015,30.357920,2.259070
0.020000,15.024459,4.583808,10.199841,7.393504,-10.766699,28.415841,2.242869
0.020000,14.935715,4.696915,10.343607,7.188295,-10.260462,25.311852,2.229708
0.020000,14.850693,4.807932,10.483441,6.991680,-9.830748,21.485666,2.219461
0.020000,14.768935,4.916662,10.619480,6.801960,-9.486019,17.236438,2.212024
