dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.300000,7.099942,0.000113,0.011250,0.562500,28.125000,4.712380
0.020000,19.300000,7.099570,0.000485,0.018618,0.368391,-9.705425,4.712323
0.020000,19.300000,7.098732,0.001323,0.041885,1.163364,39.748620,4.712193
0.020000,19.299999,7.097243,0.002811,0.074445,1.628008,23.232228,4.711963
0.020000,19.299998,7.094918,0.005137,0.116277,2.091575,23.178311,4.711602
0.020000,19.299994,7.091571,0.008484,0.167344,2.553369,23.089721,4.711081
0.020000,19.299987,7.087019,0.013036,0.227594,3.012515,22.957278,4.710370
0.020000,19.299972,7.081080,0.018975,0.296953,3.467941,22.771333,4.709435
0.020000,19.299946,7.073573,0.026481,0.375321,3.918372,22.521557,4.708246
0.020000,19.299900,7.064322,0.035733,0.462567,4.362304,22.196600,4.706765
0.020000,19.299827,7.053152,0.046903,0.558526,4.797981,21.783834,4.704956
0.020000,19.299715,7.039893,0.060163,0.662994,5.223359,21.268886,4.702779
0.020000,19.299545,7.024379,0.075677,0.775715,5.636062,20.635140,4.700187
0.020000,19.299299,7.006453,0.093605,0.896381,6.033324,19.863109,4.697134
0.020000,19.298952,6.986055,0.114006,1.020076,6.184749,7.571262,4.693579
0.020000,19.298476,6.963221,0.136845,1.141928,6.092601,-4.607399,4.689497
0.020000,19.297840,6.937996,0.162078,1.261642,5.985666,-5.346761,4.684854
0.020000,19.297009,6.910431,0.189656,1.378895,5.862647,-6.150968,4.679616
0.020000,19.295943,6.880583,0.219522,1.493335,5.722019,-7.031361,4.673739
0.020000,19.294599,6.848520,0.251614,1.604575,5.562005,-8.000705,4.667178
0.020000,19.292927,6.814317,0.285858,1.712186,5.380541,-9.073228,4.659877
0.020000,19.290875,6.778061,0.322171,1.815691,5.175244,-10.264850,4.651776
0.020000,19.288386,6.739851,0.360463,1.914558,4.943382,-11.593098,4.642806
0.020000,19.285397,6.699798,0.400627,2.008195,4.681841,-13.077050,4.632891
0.020000,19.281841,6.658031,0.442545,2.095937,4.387102,-14.736957,4.621942
