dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000345,24.910000,0.000400,0.040000,2.000000,100.000000,0.000000
0.020000,3.001945,24.910000,0.002000,0.080000,2.000000,0.000000,0.000000
0.020000,3.005545,24.910000,0.005600,0.180000,5.000000,150.000000,0.000000
0.020000,3.011945,24.910000,0.012000,0.320000,7.000000,100.000000,0.000000
0.020000,3.021945,24.910000,0.022000,0.500000,9.000000,100.000000,0.000000
0.020000,3.036345,24.910000,0.036400,0.720000,11.000000,100.000000,0.000000
0.020000,3.055945,24.910000,0.056000,0.980000,13.000000,100.000000,0.000000
0.020000,3.081545,24.910000,0.081600,1.280000,15.000000,100.000000,0.000000
0.020000,3.113945,24.910000,0.114000,1.620000,17.000000,100.000000,0.000000
0.020000,3.153945,24.910000,0.154000,2.000000,19.000000,100.000000,0.000000
0.020000,3.201945,24.910000,0.202000,2.400000,20.000000,50.000000,0.000000
0.020000,3.257945,24.910000,0.258000,2.800000,20.000000,0.000000,0.000000
0.020000,3.321945,24.910000,0.322000,3.200000,20.000000,0.000000,0.000000
0.020000,3.393945,24.910000,0.394000,3.600000,20.000000,0.000000,0.000000
0.020000,3.473945,24.910000,0.474000,4.000000,20.000000,-0.000000,0.000000
0.020000,3.561945,24.910000,0.562000,4.400000,20.000000,-0.000000,0.000000
0.020000,3.657945,24.910000,0.658000,4.800000,20.000000,-0.000000,0.000000
0.020000,3.761945,24.910000,0.762000,5.200000,20.000000,-0.000000,0.000000
0.020000,3.873945,24.910000,0.874000,5.600000,20.000000,0.000000,0.000000
0.020000,3.993945,24.910000,0.994000,6.000000,20.000000,0.000000,0.000000
0.020000,4.121945,24.910000,1.122000,6.400000,20.000000,0.000000,0.000000
0.020000,4.257945,24.910000,1.258000,6.800000,20.000000,0.000000,0.000000
0.020000,4.401945,24.910000,1.402000,7.200000,20.000000,-0.000000,0.000000
0.020000,4.553945,24.910000,1.554000,7.600000,20.000000,0.000000,0.000000
0.020000,4.713945,24.910000,1.714000,8.000000,20.000000,-0.000000,0.000000
0.020000,4.881545,24.910000,1.881600,8.380000,19.000000,-50.000000,0.000000
0.020000,5.055945,24.910000,2.056000,8.720000,17.000000,-100.000000,0.000000
0.020000,5.236345,24.910000,2.236400,9.020000,15.000000,-100.000000,0.000000
0.020000,5.421945,24.910000,2.422000,9.280000,13.000000,-100.000000,0.000000
0.020000,5.611945,24.910000,2.612000,9.500000,11.000000,-100.000000,0.000000
0.020000,5.805545,24.910000,2.805600,9.680000,9.000000,-100.000000,0.000000
0.020000,6.001945,24.910000,3.002000,9.820000,7.000000,-100.000000,0.000000
0.020000,6.200345,24.910000,3.200400,9.920000,5.000000,-100.000000,0.000000
0.020000,6.399945,24.910000,3.400000,9.980000,3.000000,-100.000000,0.000000
0.020000,6.599945,24.910000,3.600000,10.000000,1.000000,-100.000000,0.000000
0.020000,6.799945,24.910000,3.800000,10.000000,-0.000000,-50.000000,0.000000
0.020000,6.999945,24.910000,4.000000,10.000000,0.000000,0.000000,0.000000
0.020000,7.199945,24.910000,4.200000,10.000000,0.000000,-0.000000,0.000000
0.020000,7.399945,24.910000,4.400000,10.000000,0.000000,0.000000,0.000000
0.020000,7.599945,24.910000,4.600000,10.000000,0.000000,0.000000,0.000000
0.020000,7.799945,24.910000,4.800000,10.000000,-0.000000,-0.000000,0.000000
0.020000,7.999945,24.910000,5.000000,10.000000,0.000000,0.000000,0.000000
0.020000,8.199945,24.910000,5.200000,10.000000,0.000000,-0.000000,0.000000
0.020000,8.399945,24.910000,5.400000,10.000000,0.000000,0.000000,0.000000
0.020000,8.610763,24.909642,5.610818,10.540903,27.045167,1352.258372,6.276719
0.020000,8.832660,24.906775,5.832734,11.095794,27.744548,34.969008,6.263827
0.020000,9.054328,24.901063,6.054475,11.087056,-0.436895,-1409.072153,6.251037
