dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000057,22.210000,0.000112,0.011161,0.558036,27.901786,0.000000
0.020000,3.000503,22.210000,0.000558,0.022321,0.558036,0.000000,0.000000
0.020000,3.001508,22.210000,0.001563,0.050223,1.395089,41.852679,0.000000
0.020000,3.003293,22.210000,0.003348,0.089286,1.953125,27.901786,0.000000
0.020000,3.006083,22.210000,0.006138,0.139509,2.511161,27.901786,0.000000
0.020000,3.010101,22.210000,0.010156,0.200893,3.069196,27.901786,0.000000
0.020000,3.015570,22.210000,0.015625,0.273437,3.627232,27.901786,0.000000
0.020000,3.022713,22.210000,0.022768,0.357143,4.185268,27.901786,0.000000
0.020000,3.031753,22.210000,0.031808,0.452009,4.743304,27.901786,0.000000
0.020000,3.042914,22.210000,0.042969,0.558036,5.301339,27.901786,0.000000
0.020000,3.056418,22.210000,0.056473,0.675223,5.859375,27.901786,0.000000
0.020000,3.072490,22.210000,0.072545,0.803571,6.417411,27.901786,0.000000
0.020000,3.091351,22.210000,0.091406,0.943080,6.975446,27.901786,0.000000
0.020000,3.113226,22.210000,0.113281,1.093750,7.533482,27.901786,0.000000
0.020000,3.138226,22.210000,0.138281,1.250000,7.812500,13.950893,0.000000
0.020000,3.166351,22.210000,0.166406,1.406250,7.812500,0.000000,0.000000
0.020000,3.197601,22.210000,0.197656,1.562500,7.812500,-0.000000,0.000000
0.020000,3.231976,22.210000,0.232031,1.718750,7.812500,0.000000,0.000000
0.020000,3.269476,22.210000,0.269531,1.875000,7.812500,0.000000,0.000000
0.020000,3.310101,22.210000,0.310156,2.031250,7.812500,0.000000,0.000000
0.020000,3.353851,22.210000,0.353906,2.187500,7.812500,0.000000,0.000000
0.020000,3.400726,22.210000,0.400781,2.343750,7.812500,0.000000,0.000000
0.020000,3.450726,22.210000,0.450781,2.500000,7.812500,-0.000000,0.000000
0.020000,3.503851,22.210000,0.503906,2.656250,7.812500,0.000000,0.000000
0.020000,3.560101,22.210000,0.560156,2.812500,7.812500,0.000000,0.000000
0.020000,3.619476,22.210000,0.619531,2.968750,7.812500,-0.000000,0.000000
0.020000,3.681976,22.210000,0.682031,3.125000,7.812500,0.000000,0.000000
0.020000,3.747601,22.210000,0.747656,3.281250,7.812500,-0.000000,0.000000
0.020000,3.816351,22.210000,0.816406,3.437500,7.812500,0.000000,0.000000
0.020000,3.888226,22.210000,0.888281,3.593750,7.812500,0.000000,0.000000
0.020000,3.963226,22.210000,0.963281,3.750000,7.812500,-0.000000,0.000000
0.020000,4.041351,22.210000,1.041406,3.906250,7.812500,0.000000,0.000000
0.020000,4.122490,22.210000,1.122545,4.056920,7.533482,-13.950893,0.000000
0.020000,4.206418,22.210000,1.206473,4.196429,6.975446,-27.901786,0.000000
0.020000,4.292914,22.210000,1.292969,4.324777,6.417411,-27.901786,0.000000
0.020000,4.381753,22.210000,1.381808,4.441964,5.859375,-27.901786,0.000000
0.020000,4.472713,22.210000,1.472768,4.547991,5.301339,-27.901786,0.000000
0.020000,4.565570,22.210000,1.565625,4.642857,4.743304,-27.901786,0.000000
0.020000,4.660101,22.210000,1.660156,4.726562,4.185268,-27.901786,0.000000
0.020000,4.756083,22.210000,1.756138,4.799107,3.627232,-27.901786,0.000000
0.020000,4.853293,22.210000,1.853348,4.860491,3.069196,-27.901786,0.000000
0.020000,4.951507,22.210000,1.951562,4.910714,2.511161,-27.901786,0.000000
0.020000,5.050503,22.210000,2.050558,4.949777,1.953125,-27.901786,0.000000
0.020000,5.150057,22.210000,2.150112,4.977679,1.395089,-27.901786,0.000000
0.020000,5.249945,22.210000,2.250000,4.994420,0.837054,-27.901786,0.000000
0.020000,5.349945,22.210000,2.350000,5.000000,0.279018,-27.901786,0.000000
0.020000,5.449945,22.210000,2.450000,5.000000,0.000000,-13.950893,0.000000
0.020000,5.549945,22.210000,2.550000,5.000000,0.000000,-0.000000,0.000000
0.020000,5.649945,22.210000,2.650000,5.000000,0.000000,0.000000,0.000000
0.020000,5.749945,22.210000,2.750000,5.000000,0.000000,0.000000,0.000000
0.020000,5.849945,22.210000,2.850000,5.000000,0.000000,0.000000,0.000000
0.020000,5.949945,22.210000,2.950000,5.000000,-0.000000,-0.000000,0.000000
0.020000,6.049945,22.210000,3.050000,5.000000,0.000000,0.000000,0.000000
0.020000,6.149945,22.210000,3.150000,5.000000,-0.000000,-0.000000,0.000000
0.020000,6.249945,22.210000,3.250000,5.000000,0.000000,0.000000,0.000000
0.020000,6.349945,22.210000,3.350000,5.000000,0.000000,0.000000,0.000000
0.020000,6.449945,22.210000,3.450000,5.000000,-0.000000,-0.000000,0.000000
0.020000,6.549945,22.210000,3.550000,5.000000,-0.000000,0.000000,0.000000
0.020000,6.649945,22.210000,3.650000,5.000000,0.000000,0.000000,0.000000
0.020000,6.749945,22.210000,3.750000,5.000000,-0.000000,-0.000000,0.000000
0.020000,6.849945,22.210000,3.850000,5.000000,0.000000,0.000000,0.000000
0.020000,6.949945,22.210000,3.950000,5.000000,0.000000,-0.000000,0.000000
0.020000,7.049945,22.210000,4.050000,5.000000,-0.000000,-0.000000,0.000000
0.020000,7.149945,22.210000,4.150000,5.000000,0.000000,0.000000,0.000000
0.020000,7.249945,22.210000,4.250000,5.000000,-0.000000,-0.000000,0.000000
0.020000,7.349945,22.210000,4.350000,5.000000,0.000000,0.000000,0.000000
0.020000,7.449945,22.210000,4.450000,5.000000,-0.000000,-0.000000,0.000000
0.020000,7.549945,22.210000,4.550000,5.000000,0.000000,0.000000,0.000000
0.020000,7.649945,22.210000,4.650000,5.000000,0.000000,0.000000,0.000000
0.020000,7.749945,22.210000,4.750000,5.000000,-0.000000,-0.000000,0.000000
0.020000,7.849945,22.210000,4.850000,5.000000,0.000000,0.000000,0.000000
0.020000,7.949945,22.210000,4.950000,5.000000,0.000000,0.000000,0.000000
0.020000,8.049945,22.210000,5.050000,5.000000,-0.000000,-0.000000,0.000000
0.020000,8.149945,22.210000,5.150000,5.000000,0.000000,0.000000,0.000000
0.020000,8.249945,22.210000,5.250000,5.000000,0.000000,0.000000,0.000000
0.020000,8.349945,22.210000,5.350000,5.000000,-0.000000,-0.000000,0.000000
0.020000,8.449945,22.210000,5.450000,5.000000,0.000000,0.000000,0.000000
0.020000,8.542533,22.209846,5.542588,4.629417,-18.529149,-926.457463,6.275960
0.020000,8.627911,22.208607,5.627975,4.269317,-18.004980,26.208480,6.261348
0.020000,8.713146,22.206118,5.713246,4.263564,-0.287648,885.866569,6.246620
0.020000,8.798231,22.202374,5.798414,4.258397,-0.258370,1.463899,6.231788
0.020000,8.883161,22.197370,5.883491,4.253848,-0.227476,1.544714,6.216866
0.020000,8.967928,22.191102,5.968490,4.249946,-0.195072,1.620200,6.201866
0.020000,9.052528,22.183566,6.053424,4.246720,-0.161287,1.689270,6.186801
0.020000,9.136954,22.174759,6.138308,4.244195,-0.126263,1.751197,6.171686
0.020000,9.221201,22.164680,6.223156,4.242392,-0.090160,1.805143,6.156534
0.020000,9.305264,22.153327,6.307983,4.241329,-0.053154,1.850268,6.141362
0.020000,9.389139,22.140701,6.392803,4.241020,-0.015431,1.886184,6.126183
0.020000,9.472823,22.126802,6.477632,4.241477,0.022815,1.912298,6.111013
0.020000,9.556310,22.111632,6.562487,4.242704,0.061377,1.928104,6.095868
0.020000,9.639597,22.095193,6.647381,4.244705,0.100050,1.933656,6.080763
0.020000,9.722681,22.077488,6.732330,4.247478,0.138623,1.928650,6.065714
0.020000,9.805559,22.058522,6.817350,4.251015,0.176889,1.913281,6.050735
0.020000,9.888227,22.038300,6.902457,4.255308,0.214643,1.887711,6.035842
0.020000,9.970684,22.016827,6.987663,4.260342,0.251690,1.852320,6.021049
0.020000,10.052927,21.994111,7.072985,4.266099,0.287842,1.807617,6.006372
0.020000,10.134953,21.970160,7.158437,4.272557,0.322925,1.754172,5.991824
0.020000,10.216759,21.944981,7.244030,4.279693,0.356780,1.692708,5.977418
0.020000,10.298345,21.918586,7.329780,4.287478,0.389261,1.624093,5.963169
0.020000,10.379708,21.890982,7.415698,4.295883,0.420243,1.549105,5.949087
0.020000,10.460846,21.862183,7.501795,4.304875,0.449618,1.468725,5.935185
0.020000,10.541758,21.832201,7.588084,4.314421,0.477295,1.383869,5.921474
0.020000,10.622442,21.801047,7.674573,4.324485,0.503206,1.295527,5.907965
0.020000,10.702897,21.768735,7.761274,4.335031,0.527299,1.204632,5.894666
0.020000,10.783121,21.735281,7.848194,4.346022,0.549541,1.112108,5.881587
0.020000,10.863115,21.700699,7.935343,4.357421,0.569918,1.018851,5.868736
0.020000,10.942876,21.665006,8.022727,4.369189,0.588432,0.925699,5.856120
0.020000,11.022405,21.628216,8.110352,4.381291,0.605100,0.833413,5.843747
0.020000,11.101701,21.590349,8.198226,4.393690,0.619954,0.742717,5.831621
0.020000,11.180764,21.551420,8.286353,4.406351,0.633039,0.654228,5.819749
0.020000,11.259594,21.511450,8.374738,4.419239,0.644409,0.568499,5.808134
