dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000345,5.490000,0.000400,0.040000,2.000000,100.000000,0.000000
0.020000,3.001945,5.490000,0.002000,0.080000,2.000000,0.000000,0.000000
0.020000,3.005545,5.490000,0.005600,0.180000,5.000000,150.000000,0.000000
0.020000,3.011945,5.490000,0.012000,0.320000,7.000000,100.000000,0.000000
0.020000,3.021945,5.490000,0.022000,0.500000,9.000000,100.000000,0.000000
0.020000,3.035945,5.490000,0.036000,0.700000,10.000000,50.000000,0.000000
0.020000,3.053945,5.490000,0.054000,0.900000,10.000000,0.000000,0.000000
0.020000,3.075945,5.490000,0.076000,1.100000,10.000000,-0.000000,0.000000
0.020000,3.101945,5.490000,0.102000,1.300000,10.000000,0.000000,0.000000
0.020000,3.131945,5.490000,0.132000,1.500000,10.000000,-0.000000,0.000000
0.020000,3.165945,5.490000,0.166000,1.700000,10.000000,0.000000,0.000000
0.020000,3.203945,5.490000,0.204000,1.900000,10.000000,-0.000000,0.000000
0.020000,3.245945,5.490000,0.246000,2.100000,10.000000,0.000000,0.000000
0.020000,3.291945,5.490000,0.292000,2.300000,10.000000,0.000000,0.000000
0.020000,3.341945,5.490000,0.342000,2.500000,10.000000,0.000000,0.000000
0.020000,3.395945,5.490000,0.396000,2.700000,10.000000,0.000000,0.000000
0.020000,3.453945,5.490000,0.454000,2.900000,10.000000,-0.000000,0.000000
0.020000,3.515945,5.490000,0.516000,3.100000,10.000000,-0.000000,0.000000
0.020000,3.581945,5.490000,0.582000,3.300000,10.000000,-0.000000,0.000000
0.020000,3.651945,5.490000,0.652000,3.500000,10.000000,0.000000,0.000000
0.020000,3.725945,5.490000,0.726000,3.700000,10.000000,-0.000000,0.000000
0.020000,3.803945,5.490000,0.804000,3.900000,10.000000,-0.000000,0.000000
0.020000,3.885945,5.490000,0.886000,4.100000,10.000000,0.000000,0.000000
0.020000,3.971945,5.490000,0.972000,4.300000,10.000000,0.000000,0.000000
0.020000,4.061945,5.490000,1.062000,4.500000,10.000000,-0.000000,0.000000
0.020000,4.155945,5.490000,1.156000,4.700000,10.000000,0.000000,0.000000
0.020000,4.253945,5.490000,1.254000,4.900000,10.000000,-0.000000,0.000000
0.020000,4.355945,5.490000,1.356000,5.100000,10.000000,0.000000,0.000000
0.020000,4.461945,5.490000,1.462000,5.300000,10.000000,0.000000,0.000000
0.020000,4.571945,5.490000,1.572000,5.500000,10.000000,0.000000,0.000000
0.020000,4.685945,5.490000,1.686000,5.700000,10.000000,-0.000000,0.000000
0.020000,4.803945,5.490000,1.804000,5.900000,10.000000,0.000000,0.000000
0.020000,4.925945,5.490000,1.926000,6.100000,10.000000,-0.000000,0.000000
0.020000,5.051945,5.490000,2.052000,6.300000,10.000000,0.000000,0.000000
0.020000,5.181945,5.490000,2.182000,6.500000,10.000000,-0.000000,0.000000
0.020000,5.315945,5.490000,2.316000,6.700000,10.000000,0.000000,0.000000
0.020000,5.453945,5.490000,2.454000,6.900000,10.000000,-0.000000,0.000000
0.020000,5.595945,5.490000,2.596000,7.100000,10.000000,-0.000000,0.000000
0.020000,5.741945,5.490000,2.742000,7.300000,10.000000,0.000000,0.000000
0.020000,5.891945,5.490000,2.892000,7.500000,10.000000,0.000000,0.000000
0.020000,6.045945,5.490000,3.046000,7.700000,10.000000,-0.000000,0.000000
0.020000,6.203945,5.490000,3.204000,7.900000,10.000000,-0.000000,0.000000
0.020000,6.365945,5.490000,3.366000,8.100000,10.000000,0.000000,0.000000
0.020000,6.531945,5.490000,3.532000,8.300000,10.000000,-0.000000,0.000000
0.020000,6.701945,5.490000,3.702000,8.500000,10.000000,0.000000,0.000000
0.020000,6.875945,5.490000,3.876000,8.700000,10.000000,0.000000,0.000000
0.020000,7.053945,5.490000,4.054000,8.900000,10.000000,-0.000000,0.000000
0.020000,7.235945,5.490000,4.236000,9.100000,10.000000,0.000000,0.000000
0.020000,7.421545,5.490000,4.421600,9.280000,9.000000,-50.000000,0.000000
0.020000,7.609945,5.490000,4.610000,9.420000,7.000000,-100.000000,0.000000
0.020000,7.800345,5.490000,4.800400,9.520000,5.000000,-100.000000,0.000000
0.020000,7.991945,5.490000,4.992000,9.580000,3.000000,-100.000000,0.000000
0.020000,8.183945,5.490000,5.184000,9.600000,1.000000,-100.000000,0.000000
0.020000,8.375945,5.490000,5.376000,9.600000,0.000000,-50.000000,0.000000
0.020000,8.556554,5.490186,5.556609,9.030445,-28.477730,-1423.886520,0.006591
0.020000,8.716731,5.492740,5.716806,8.009863,-51.029140,-1127.570456,0.025297
0.020000,8.876800,5.498290,5.876972,8.008268,-0.079730,2547.470491,0.044022
0.020000,9.036760,5.506837,6.037160,8.009420,0.057619,6.867457,0.062734
0.020000,9.196611,5.518378,6.197427,8.013368,0.197383,6.988189,0.081398
0.020000,9.356355,5.532907,6.357830,8.020135,0.338368,7.049217,0.099984
0.020000,9.515992,5.550414,6.518424,8.029722,0.479354,7.049340,0.118456
0.020000,9.675526,5.570887,6.679267,8.042105,0.619126,6.988605,0.136783
0.020000,9.834959,5.594311,6.840411,8.057235,0.756498,6.868593,0.154932
0.020000,9.994295,5.620667,7.001912,8.075042,0.890341,6.692110,0.172871
0.020000,10.153537,5.649931,7.163821,8.095434,1.019607,6.463348,0.190571
0.020000,10.312688,5.682079,7.326187,8.118301,1.143355,6.187397,0.208001
0.020000,10.471753,5.717082,7.489057,8.143516,1.260761,5.870285,0.225135
0.020000,10.630734,5.754906,7.652476,8.170939,1.371136,5.518738,0.241947
0.020000,10.789635,5.795516,7.816484,8.200418,1.473931,5.139732,0.258411
0.020000,10.948459,5.838874,7.981120,8.231792,1.568740,4.740490,0.274507
0.020000,11.107210,5.884935,8.146418,8.264898,1.655303,4.328141,0.290213
0.020000,11.265890,5.933657,8.312409,8.299568,1.733494,3.909539,0.305511
0.020000,11.424503,5.984988,8.479122,8.335635,1.803316,3.491093,0.320385
0.020000,11.583054,6.038879,8.646581,8.372932,1.864889,3.078640,0.334820
0.020000,11.741545,6.095274,8.814807,8.411301,1.918436,2.677352,0.348804
0.020000,11.899983,6.154118,8.983819,8.450587,1.964269,2.291658,0.362326
0.020000,12.058372,6.215350,9.153631,8.490642,2.002773,1.925234,0.375377
0.020000,12.216718,6.278909,9.324258,8.531330,2.034393,1.581000,0.387949
0.020000,12.375030,6.344732,9.495708,8.572522,2.059616,1.261151,0.400036
0.020000,12.533315,6.412754,9.667990,8.614101,2.078961,0.967202,0.411634
0.020000,12.691583,6.482908,9.841110,8.655961,2.092961,0.700050,0.422740
0.020000,12.849845,6.555124,10.015070,8.698004,2.102162,0.460045,0.433351
0.020000,13.008113,6.629335,10.189873,8.740146,2.107104,0.247066,0.443467
0.020000,13.166401,6.705470,10.365519,8.782312,2.108316,0.060601,0.453086
0.020000,13.324724,6.783457,10.542008,8.824439,2.106312,-0.100195,0.462210
0.020000,13.483100,6.863224,10.719337,8.866470,2.101584,-0.236404,0.470839
0.020000,13.641547,6.944699,10.897504,8.908362,2.094597,-0.349316,0.478976
0.020000,13.800085,7.027809,11.076506,8.950078,2.085791,-0.440337,0.486622
0.020000,13.958736,7.112481,11.256338,8.991589,2.075571,-0.510968,0.493780
0.020000,14.117523,7.198642,11.436995,9.032876,2.064316,-0.562756,0.500451
0.020000,14.276472,7.286219,11.618474,9.073923,2.052371,-0.597247,0.506640
0.020000,14.435610,7.375137,11.800768,9.114724,2.040052,-0.615982,0.512349
0.020000,14.594965,7.465324,11.983874,9.155277,2.027642,-0.620456,0.517581
0.020000,14.754567,7.556706,12.167785,9.195585,2.015400,-0.612119,0.522339
0.020000,14.914448,7.649211,12.352498,9.235656,2.003553,-0.592350,0.526625
0.020000,15.074640,7.742764,12.538009,9.275502,1.992304,-0.562466,0.530443
0.020000,15.235180,7.837293,12.724311,9.315139,1.981830,-0.523708,0.533794
0.020000,15.396103,7.932724,12.911403,9.354584,1.972285,-0.477243,0.536681
0.020000,15.557446,8.028986,13.099280,9.393860,1.963801,-0.424188,0.539106
0.020000,15.719249,8.126003,13.287940,9.432990,1.956490,-0.365564,0.541071
0.020000,15.881551,8.223703,13.477380,9.471999,1.950442,-0.302369,0.542577
0.020000,16.044395,8.322013,13.667598,9.510914,1.945732,-0.235522,0.543625
0.020000,16.207824,8.420859,13.858593,9.549762,1.942413,-0.165925,0.544216
0.020000,16.371880,8.520165,14.050365,9.588573,1.940525,-0.094427,0.544351
0.020000,16.536610,8.619858,14.242912,9.627374,1.940087,-0.021869,0.544029
0.020000,16.702059,8.719862,14.436236,9.666196,1.941106,0.050929,0.543250
0.020000,16.868274,8.820100,14.630338,9.705068,1.943569,0.123148,0.542014
