dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.350000,23.999912,0.000199,0.019900,0.995025,49.751244,4.712403
0.020000,22.350000,23.999287,0.000823,0.031214,0.565691,-21.466681,4.712504
0.020000,22.350000,23.997883,0.002228,0.070223,1.950433,69.237075,4.712732
0.020000,22.350002,23.995543,0.004568,0.117010,2.339343,19.445491,4.713111
0.020000,22.350005,23.992268,0.007843,0.163754,2.337203,-0.106993,4.713643
0.020000,22.350012,23.988059,0.012052,0.210438,2.334199,-0.150182,4.714328
0.020000,22.350024,23.982918,0.017193,0.257044,2.330322,-0.193873,4.715167
0.020000,22.350044,23.976847,0.023264,0.303556,2.325560,-0.238066,4.716161
0.020000,22.350074,23.969848,0.030263,0.349954,2.319901,-0.282970,4.717312
0.020000,22.350118,23.961924,0.038187,0.396220,2.313327,-0.328689,4.718620
0.020000,22.350180,23.953077,0.047034,0.442336,2.305820,-0.375360,4.720089
0.020000,22.350263,23.943312,0.056800,0.488284,2.297357,-0.423124,4.721719
0.020000,22.350372,23.932632,0.067480,0.534042,2.287915,-0.472119,4.723514
0.020000,22.350512,23.921041,0.079072,0.579591,2.277466,-0.522460,4.725475
0.020000,22.350689,23.908544,0.091571,0.624911,2.265978,-0.574398,4.727605
0.020000,22.350909,23.895146,0.104970,0.669979,2.253419,-0.627938,4.729907
0.020000,22.351177,23.880853,0.119266,0.714774,2.239751,-0.683382,4.732385
0.020000,22.351500,23.865671,0.134451,0.759273,2.224935,-0.740802,4.735041
0.020000,22.351887,23.849607,0.150520,0.803451,2.208927,-0.800409,4.737880
0.020000,22.352345,23.832667,0.167466,0.847285,2.191680,-0.862382,4.740906
0.020000,22.352881,23.814860,0.185281,0.890748,2.173141,-0.926918,4.744123
0.020000,22.353506,23.796194,0.203957,0.933813,2.153258,-0.994148,4.747535
0.020000,22.354227,23.776679,0.223486,0.976452,2.131971,-1.064374,4.751149
0.020000,22.355055,23.756323,0.243859,1.018637,2.109217,-1.137691,4.754968
0.020000,22.356000,23.735137,0.265065,1.060335,2.084930,-1.214370,4.758999
0.020000,22.357074,23.713133,0.287096,1.101516,2.059037,-1.294639,4.763248
0.020000,22.358286,23.690322,0.309939,1.142145,2.031464,-1.378657,4.767722
0.020000,22.359649,23.666718,0.333582,1.182188,2.002130,-1.466699,4.772426
0.020000,22.361175,23.642333,0.358015,1.221607,1.970951,-1.558923,4.777370
0.020000,22.362877,23.617184,0.383222,1.260364,1.937838,-1.655664,4.782559
0.020000,22.364768,23.591284,0.409190,1.298418,1.902699,-1.756960,4.788004
0.020000,22.366862,23.564652,0.435905,1.335726,1.865435,-1.863195,4.793712
0.020000,22.369173,23.537304,0.463350,1.372245,1.825947,-1.974393,4.799692
0.020000,22.371715,23.509261,0.491508,1.407928,1.784130,-2.090866,4.805955
0.020000,22.374505,23.480542,0.520363,1.442726,1.739878,-2.212605,4.812512
0.020000,22.377557,23.451168,0.549895,1.476587,1.693080,-2.339857,4.819372
0.020000,22.380888,23.421163,0.580084,1.509460,1.643629,-2.472548,4.826547
0.020000,22.384514,23.390551,0.610909,1.541288,1.591415,-2.610717,4.834051
0.020000,22.388451,23.359359,0.642350,1.572015,1.536330,-2.754247,4.841896
0.020000,22.392718,23.327612,0.674381,1.601580,1.478271,-2.902945,4.850095
0.020000,22.397330,23.295342,0.706980,1.629923,1.417141,-3.056500,4.858663
0.020000,22.402306,23.262578,0.740119,1.656980,1.352854,-3.214374,4.867615
0.020000,22.407664,23.229353,0.773773,1.682687,1.285335,-3.375954,4.876967
0.020000,22.413421,23.195703,0.807913,1.706977,1.214528,-3.540328,4.886735
0.020000,22.419595,23.161662,0.842508,1.729785,1.140403,-3.706250,4.896938
0.020000,22.426204,23.127271,0.877529,1.751044,1.062956,-3.872369,4.907593
0.020000,22.433265,23.092568,0.912943,1.770689,0.982223,-4.036635,4.918719
0.020000,22.440796,23.057597,0.948716,1.788655,0.898287,-4.196801,4.930336
0.020000,22.448813,23.022401,0.984814,1.804880,0.811287,-4.350014,4.942465
0.020000,22.457334,22.987026,1.021200,1.819309,0.721433,-4.492708,4.955126
0.020000,22.466374,22.951521,1.057838,1.831889,0.629017,-4.620770,4.968341
0.020000,22.475947,22.915935,1.094689,1.842578,0.534433,-4.729213,4.982134
0.020000,22.486069,22.880318,1.131716,1.851342,0.438189,-4.812200,4.996525
0.020000,22.496753,22.844724,1.168879,1.858160,0.340932,-4.862866,5.011539
0.020000,22.508011,22.809205,1.206140,1.863030,0.243462,-4.873468,5.027197
0.020000,22.519853,22.773814,1.243459,1.865965,0.146763,-4.834957,5.043524
0.020000,22.532291,22.738607,1.280799,1.867005,0.052016,-4.737380,5.060540
0.020000,22.545333,22.703635,1.318124,1.866218,-0.039378,-4.569654,5.078268
0.020000,22.558987,22.668952,1.355398,1.863702,-0.125772,-4.319735,5.096728
0.020000,22.573260,22.634608,1.392590,1.859597,-0.205270,-3.974910,5.115939
0.020000,22.588159,22.600651,1.429671,1.854083,-0.275711,-3.522016,5.135917
0.020000,22.603690,22.567126,1.466619,1.847389,-0.334671,-2.948003,5.156676
0.020000,22.619860,22.534073,1.503415,1.839800,-0.379482,-2.240564,5.178227
0.020000,22.636677,22.501528,1.540048,1.831654,-0.407259,-1.388857,5.200576
0.020000,22.654150,22.469520,1.576515,1.823355,-0.414954,-0.384732,5.223724
0.020000,22.672293,22.438070,1.612823,1.815367,-0.399426,0.776373,5.247669
0.020000,22.691120,22.407193,1.648987,1.808216,-0.357549,2.093858,5.272401
0.020000,22.710606,22.376970,1.684947,1.798011,-0.510237,-7.634391,5.297838
0.020000,22.730674,22.347535,1.720573,1.781272,-0.836930,-16.334669,5.323823
0.020000,22.751247,22.318994,1.755755,1.759120,-1.107643,-13.535613,5.350186
0.020000,22.772298,22.291364,1.790490,1.736768,-1.117599,-0.497799,5.376811
0.020000,22.793857,22.264584,1.824870,1.718987,-0.889033,11.428278,5.403646
0.020000,22.815961,22.238592,1.858990,1.706017,-0.648500,12.026646,5.430634
0.020000,22.838653,22.213325,1.892951,1.698036,-0.399035,12.473242,5.457715
0.020000,22.861982,22.188725,1.926854,1.695157,-0.143979,12.752832,5.484830
0.020000,22.886001,22.164734,1.960803,1.697419,0.113134,12.855652,5.511919
0.020000,22.910768,22.141301,1.994899,1.704793,0.368696,12.778073,5.538921
0.020000,22.936342,22.118377,2.029242,1.717176,0.619152,12.522821,5.565777
0.020000,22.962782,22.095924,2.063930,1.734399,0.861128,12.098806,5.592430
0.020000,22.990149,22.073906,2.099055,1.756230,1.091539,11.520542,5.618827
0.020000,23.018501,22.052297,2.134702,1.782383,1.307684,10.807227,5.644916
0.020000,23.047892,22.031077,2.170953,1.812530,1.507316,9.981601,5.670650
0.020000,23.078372,22.010233,2.207879,1.846303,1.688688,9.068603,5.695987
0.020000,23.109988,21.989760,2.245545,1.883315,1.850570,8.094100,5.720889
0.020000,23.142779,21.969656,2.284008,1.923160,1.992242,7.083595,5.745322
0.020000,23.176734,21.949951,2.323267,1.962918,1.987923,-0.215908,5.769227
0.020000,23.211740,21.930725,2.363205,1.996902,1.699220,-14.435179,5.792497
0.020000,23.247613,21.912079,2.403634,2.021473,1.228520,-23.534977,5.815008
0.020000,23.284185,21.894084,2.444394,2.037985,0.825624,-20.144830,5.836680
0.020000,23.321364,21.876762,2.485410,2.050777,0.639604,-9.300975,5.857499
0.020000,23.359093,21.860111,2.526650,2.062024,0.562306,-3.864923,5.877483
0.020000,23.397316,21.844129,2.568080,2.071477,0.472649,-4.482831,5.896654
0.020000,23.435971,21.828812,2.609659,2.078948,0.373564,-4.954253,5.915034
0.020000,23.474995,21.814155,2.651345,2.084300,0.267622,-5.297097,5.932649
0.020000,23.514326,21.800152,2.693093,2.087441,0.157042,-5.529013,5.949525
0.020000,23.553899,21.786795,2.734860,2.088315,0.043709,-5.666622,5.965688
0.020000,23.593651,21.774074,2.776598,2.086899,-0.070797,-5.725323,5.981166
0.020000,23.633520,21.761979,2.818262,2.083196,-0.185177,-5.719003,5.995985
0.020000,23.673446,21.750495,2.859806,2.077228,-0.298377,-5.660007,6.010171
0.020000,23.713370,21.739610,2.901187,2.069037,-0.409558,-5.559051,6.023752
0.020000,23.753234,21.729308,2.942360,2.058676,-0.518068,-5.425493,6.036752
0.020000,23.792983,21.719574,2.983285,2.046207,-0.623411,-5.267169,6.049197
0.020000,23.832566,21.710389,3.023919,2.031703,-0.725227,-5.090764,6.061109
0.020000,23.871931,21.701738,3.064223,2.015238,-0.823263,-4.901792,6.072514
0.020000,23.911031,21.693600,3.104161,1.996891,-0.917359,-4.704839,6.083431
0.020000,23.949820,21.685959,3.143696,1.976742,-1.007431,-4.503592,6.093883
0.020000,23.988256,21.678795,3.182793,1.954873,-1.093452,-4.301034,6.103891
0.020000,24.026297,21.672090,3.221421,1.931364,-1.175443,-4.099568,6.113472
0.020000,24.063904,21.665824,3.259547,1.906295,-1.253463,-3.900970,6.122646
0.020000,24.101042,21.659978,3.297141,1.879743,-1.327598,-3.706745,6.131430
0.020000,24.137675,21.654534,3.334177,1.851784,-1.397955,-3.517876,6.139841
0.020000,24.173772,21.649473,3.370627,1.822491,-1.464659,-3.335193,6.147894
0.020000,24.209301,21.644777,3.406466,1.791934,-1.527842,-3.159142,6.155604
0.020000,24.244235,21.640427,3.441669,1.760181,-1.587644,-2.990126,6.162985
0.020000,24.278546,21.636406,3.476215,1.727297,-1.644210,-2.828281,6.170051
0.020000,24.312209,21.632697,3.510082,1.693343,-1.697683,-2.673653,6.176813
0.020000,24.345201,21.629283,3.543250,1.658379,-1.748208,-2.526251,6.183285
0.020000,24.377498,21.626147,3.575699,1.622460,-1.795925,-2.385843,6.189477
0.020000,24.409080,21.623273,3.607412,1.585641,-1.840972,-2.252385,6.195400
0.020000,24.439928,21.620646,3.638371,1.547971,-1.883484,-2.125596,6.201063
0.020000,24.470023,21.618252,3.668561,1.509499,-1.923588,-2.005179,6.206477
0.020000,24.499348,21.616074,3.697966,1.470271,-1.961408,-1.890980,6.211650
0.020000,24.527886,21.614100,3.726573,1.430330,-1.997060,-1.782618,6.216591
0.020000,24.555623,21.612316,3.754367,1.389717,-2.030657,-1.679860,6.221306
0.020000,24.582545,21.610709,3.781337,1.348471,-2.062305,-1.582402,6.225805
0.020000,24.608638,21.609267,3.807469,1.306629,-2.092105,-1.489972,6.230094
0.020000,24.633889,21.607977,3.832754,1.264226,-2.120149,-1.402230,6.234179
0.020000,24.658288,21.606828,3.857180,1.221295,-2.146529,-1.318991,6.238067
0.020000,24.681823,21.605809,3.880737,1.177869,-2.171328,-1.239930,6.241763
0.020000,24.704485,21.604910,3.903417,1.133976,-2.194623,-1.164785,6.245274
0.020000,24.726264,21.604120,3.925210,1.089646,-2.216490,-1.093339,6.248603
0.020000,24.747150,21.603430,3.946108,1.044906,-2.236996,-1.025316,6.251757
0.020000,24.767137,21.602832,3.966103,0.999782,-2.256208,-0.960555,6.254739
0.020000,24.786216,21.602316,3.985189,0.954299,-2.274182,-0.898746,6.257554
0.020000,24.804380,21.601874,4.003359,0.908479,-2.290978,-0.839769,6.260205
0.020000,24.821623,21.601500,4.020606,0.862346,-2.306645,-0.783344,6.262697
0.020000,24.837938,21.601184,4.036924,0.815921,-2.321232,-0.729372,6.265033
0.020000,24.853321,21.600922,4.052309,0.769226,-2.334785,-0.677632,6.267215
0.020000,24.867765,21.600706,4.066754,0.722279,-2.347343,-0.627899,6.269248
0.020000,24.881266,21.600530,4.080256,0.675100,-2.358945,-0.580117,6.271133
0.020000,24.893819,21.600390,4.092811,0.627708,-2.369626,-0.534060,6.272874
0.020000,24.905421,21.600280,4.104413,0.580119,-2.379418,-0.489602,6.274472
0.020000,24.916067,21.600195,4.115060,0.532352,-2.388350,-0.446601,6.275929
0.020000,24.925756,21.600131,4.124748,0.484423,-2.396449,-0.404918,6.277248
0.020000,24.934483,21.600084,4.133475,0.436348,-2.403737,-0.364423,6.278430
0.020000,24.942245,21.600051,4.141238,0.388144,-2.410238,-0.325025,6.279477
0.020000,24.949042,21.600029,4.148035,0.339824,-2.415968,-0.286533,6.280390
0.020000,24.954870,21.600015,4.153863,0.291405,-2.420946,-0.248906,6.281171
0.020000,24.959728,21.600007,4.158721,0.242902,-2.425187,-0.212002,6.281819
0.020000,24.963615,21.600003,4.162607,0.194328,-2.428700,-0.175679,6.282337
