dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.950000,23.999863,0.000199,0.019900,0.995025,49.751244,4.712403
0.020000,18.950000,23.998895,0.001167,0.048388,1.424359,21.466686,4.712504
0.020000,18.950001,23.996718,0.003344,0.108881,3.024691,80.016635,4.712732
0.020000,18.950002,23.993088,0.006974,0.181498,3.630807,30.305781,4.713111
0.020000,18.950008,23.988005,0.012057,0.254157,3.632946,0.106954,4.713643
0.020000,18.950018,23.981467,0.018595,0.326876,3.635951,0.150226,4.714328
0.020000,18.950037,23.973474,0.026588,0.399672,3.639827,0.193821,4.715167
0.020000,18.950068,23.964023,0.036040,0.472564,3.644588,0.238065,4.716161
0.020000,18.950115,23.953111,0.046951,0.545569,3.650247,0.282960,4.717312
0.020000,18.950184,23.940737,0.059325,0.618705,3.656821,0.328677,4.718620
0.020000,18.950281,23.926898,0.073165,0.691992,3.664328,0.375345,4.720089
0.020000,18.950411,23.911590,0.088474,0.765448,3.672790,0.423100,4.721719
0.020000,18.950583,23.894809,0.105256,0.839092,3.682232,0.472083,4.723514
0.020000,18.950804,23.876551,0.123515,0.912946,3.692681,0.522491,4.725475
0.020000,18.951083,23.856812,0.143255,0.987029,3.704168,0.574314,4.727605
0.020000,18.951430,23.835588,0.164483,1.061364,3.716727,0.627946,4.729907
0.020000,18.951856,23.812873,0.187202,1.135972,3.730393,0.683323,4.732385
0.020000,18.952373,23.788661,0.211420,1.210876,3.745208,0.740764,4.735041
0.020000,18.952992,23.762946,0.237142,1.286100,3.761216,0.800379,4.737880
0.020000,18.953727,23.735723,0.264375,1.361669,3.778463,0.862347,4.740906
0.020000,18.954593,23.706983,0.293127,1.437609,3.797000,0.926836,4.744123
0.020000,18.955605,23.676721,0.323406,1.513947,3.816882,0.994134,4.747535
0.020000,18.956781,23.644929,0.355220,1.590710,3.838168,1.064273,4.751149
0.020000,18.958137,23.611598,0.388579,1.667929,3.860920,1.137631,4.754968
0.020000,18.959693,23.576720,0.423491,1.745633,3.885207,1.214318,4.758999
0.020000,18.961470,23.540286,0.459969,1.823855,3.911097,1.294527,4.763248
0.020000,18.963489,23.502287,0.498021,1.902628,3.938669,1.378571,4.767722
0.020000,18.965775,23.462713,0.537661,1.981988,3.968000,1.466577,4.772426
0.020000,18.968351,23.421554,0.578900,2.061972,3.999178,1.558869,4.777370
0.020000,18.971244,23.378800,0.621753,2.142617,4.032287,1.655468,4.782559
0.020000,18.974483,23.334439,0.666232,2.223966,4.067424,1.756876,4.788004
0.020000,18.978098,23.288459,0.712353,2.306060,4.104684,1.862989,4.793712
0.020000,18.982121,23.240850,0.760132,2.388943,4.144170,1.974267,4.799692
0.020000,18.986587,23.191599,0.809585,2.472663,4.185982,2.090627,4.805955
0.020000,18.991532,23.140693,0.860731,2.557267,4.230231,2.212457,4.812512
0.020000,18.996996,23.088120,0.913587,2.642808,4.277023,2.339592,4.819372
0.020000,19.003019,23.033867,0.968174,2.729337,4.326469,2.472287,4.826547
0.020000,19.009646,22.977920,1.024512,2.816911,4.378677,2.610428,4.834051
0.020000,19.016924,22.920266,1.082624,2.905586,4.433756,2.753942,4.841896
0.020000,19.024904,22.860891,1.142532,2.995422,4.491809,2.902616,4.850095
0.020000,19.033639,22.799782,1.204262,3.086481,4.552930,3.056084,4.858663
0.020000,19.043186,22.736927,1.267838,3.178825,4.617210,3.213968,4.867615
