dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.950000,3.000137,0.000199,0.019900,0.995025,49.751244,1.570782
0.020000,18.950000,3.001105,0.001167,0.048388,1.424359,21.466686,1.570681
0.020000,18.950001,3.003282,0.003344,0.108881,3.024691,80.016635,1.570454
0.020000,18.950002,3.006912,0.006974,0.181498,3.630807,30.305781,1.570074
0.020000,18.950008,3.011995,0.012057,0.254157,3.632946,0.106954,1.569543
0.020000,18.950018,3.018533,0.018595,0.326876,3.635951,0.150226,1.568858
0.020000,18.950037,3.026526,0.026588,0.399672,3.639827,0.193821,1.568019
0.020000,18.950068,3.035977,0.036040,0.472564,3.644588,0.238065,1.567024
0.020000,18.950115,3.046889,0.046951,0.545569,3.650247,0.282960,1.565874
0.020000,18.950184,3.059263,0.059325,0.618705,3.656821,0.328677,1.564565
0.020000,18.950281,3.073102,0.073165,0.691992,3.664328,0.375345,1.563096
0.020000,18.950411,3.088410,0.088474,0.765448,3.672790,0.423100,1.561466
0.020000,18.950583,3.105191,0.105256,0.839092,3.682232,0.472083,1.559672
0.020000,18.950804,3.123449,0.123515,0.912946,3.692681,0.522491,1.557711
0.020000,18.951083,3.143188,0.143255,0.987029,3.704168,0.574314,1.555581
0.020000,18.951430,3.164412,0.164483,1.061364,3.716727,0.627946,1.553278
0.020000,18.951856,3.187127,0.187202,1.135972,3.730393,0.683323,1.550801
0.020000,18.952373,3.211339,0.211420,1.210876,3.745208,0.740764,1.548144
0.020000,18.952992,3.237054,0.237142,1.286100,3.761216,0.800379,1.545305
0.020000,18.953727,3.264277,0.264375,1.361669,3.778463,0.862347,1.542279
0.020000,18.954593,3.293017,0.293127,1.437609,3.797000,0.926836,1.539063
0.020000,18.955605,3.323279,0.323406,1.513947,3.816882,0.994134,1.535650
0.020000,18.956781,3.355071,0.355220,1.590710,3.838168,1.064273,1.532037
0.020000,18.958137,3.388402,0.388579,1.667929,3.860920,1.137631,1.528217
0.020000,18.959693,3.423280,0.423491,1.745633,3.885207,1.214318,1.524186
0.020000,18.961470,3.459714,0.459969,1.823855,3.911097,1.294527,1.519937
0.020000,18.963489,3.497713,0.498021,1.902628,3.938669,1.378571,1.515464
0.020000,18.965775,3.537287,0.537661,1.981988,3.968000,1.466577,1.510759
0.020000,18.968351,3.578446,0.578900,2.061972,3.999178,1.558869,1.505816
0.020000,18.971244,3.621200,0.621753,2.142617,4.032287,1.655468,1.500626
0.020000,18.974483,3.665561,0.666232,2.223966,4.067424,1.756876,1.495181
0.020000,18.978098,3.711541,0.712353,2.306060,4.104684,1.862989,1.489474
0.020000,18.982121,3.759150,0.760132,2.388943,4.144170,1.974267,1.483493
0.020000,18.986587,3.808401,0.809585,2.472663,4.185982,2.090627,1.477230
0.020000,18.991532,3.859307,0.860731,2.557267,4.230231,2.212457,1.470674
0.020000,18.996996,3.911880,0.913587,2.642808,4.277023,2.339592,1.463814
0.020000,19.003019,3.966133,0.968174,2.729337,4.326469,2.472287,1.456638
0.020000,19.009646,4.022080,1.024512,2.816911,4.378677,2.610428,1.449134
0.020000,19.016924,4.079734,1.082624,2.905586,4.433756,2.753942,1.441290
0.020000,19.024904,4.139109,1.142532,2.995422,4.491809,2.902616,1.433091
0.020000,19.033639,4.200218,1.204262,3.086481,4.552930,3.056084,1.424523
0.020000,19.043186,4.263073,1.267838,3.178825,4.617210,3.213968,1.415570
0.020000,19.053606,4.327689,1.333288,3.272519,4.684719,3.375485,1.406218
0.020000,19.064965,4.394077,1.400641,3.367629,4.755514,3.539755,1.396450
0.020000,19.077330,4.462249,1.469925,3.464222,4.829629,3.705746,1.386247
0.020000,19.090776,4.532216,1.541173,3.562363,4.907063,3.871666,1.375592
0.020000,19.105381,4.603987,1.614415,3.662119,4.987782,4.035946,1.364466
0.020000,19.121228,4.677571,1.689686,3.763553,5.071703,4.196066,1.352849
0.020000,19.138406,4.752974,1.767021,3.866727,5.158685,4.349110,1.340721
0.020000,19.157009,4.830198,1.846455,3.971697,5.248521,4.491776,1.328059
0.020000,19.177137,4.909246,1.928025,4.078515,5.340916,4.619747,1.314844
0.020000,19.198895,4.990115,2.011769,4.187225,5.435477,4.728092,1.301052
0.020000,19.222395,5.072797,2.097727,4.297859,5.531696,4.810935,1.286660
0.020000,19.247756,5.157282,2.185935,4.410437,5.628928,4.861590,1.271647
0.020000,19.275101,5.243551,2.276435,4.524965,5.726367,4.871965,1.255988
0.020000,19.304561,5.331581,2.369263,4.641426,5.823035,4.833409,1.239662
0.020000,19.336274,5.421339,2.464459,4.759781,5.917750,4.735729,1.222645
0.020000,19.370381,5.512785,2.562058,4.879963,6.009107,4.567863,1.204917
0.020000,19.407030,5.605867,2.662095,5.001872,6.095465,4.317869,1.186457
0.020000,19.446373,5.700524,2.764603,5.125370,6.174923,3.972933,1.167246
0.020000,19.488567,5.796679,2.869608,5.250277,6.245323,3.519988,1.147268
0.020000,19.533771,5.894243,2.977136,5.376362,6.304242,2.945963,1.126509
0.020000,19.582145,5.993109,3.087203,5.503342,6.349011,2.238454,1.104959
0.020000,19.633849,6.093157,3.199820,5.630877,6.376749,1.386860,1.082610
0.020000,19.689038,6.194244,3.314991,5.758565,6.384404,0.382750,1.059461
0.020000,19.747866,6.296210,3.432710,5.885942,6.368841,-0.778134,1.035516
0.020000,19.810475,6.398874,3.552960,6.012480,6.326932,-2.095442,1.010784
0.020000,19.876828,6.501780,3.675403,6.122173,5.484651,-42.114070,0.985347
0.020000,19.946667,6.604209,3.799375,6.198603,3.821456,-83.159740,0.959362
0.020000,20.019654,6.705457,3.924188,6.240649,2.102310,-85.957278,0.933000
0.020000,20.095569,6.805091,4.049448,6.262996,1.117366,-49.247196,0.906374
0.020000,20.174343,6.902937,4.175064,6.280773,0.888847,-11.425984,0.879539
0.020000,20.255890,6.998826,4.300938,6.293740,0.648363,-12.024162,0.852552
0.020000,20.340105,7.092594,4.426973,6.301719,0.398951,-12.470636,0.825470
0.020000,20.426871,7.184087,4.553065,6.304598,0.143948,-12.750127,0.798355
0.020000,20.516052,7.273162,4.679112,6.302336,-0.113110,-12.852919,0.771267
0.020000,20.607502,7.359692,4.805011,6.294964,-0.368617,-12.775364,0.744265
0.020000,20.701065,7.443563,4.930662,6.282583,-0.619021,-12.520192,0.717409
0.020000,20.796576,7.524678,5.055970,6.265364,-0.860948,-12.096310,0.690755
0.020000,20.893865,7.602957,5.180841,6.243538,-1.091312,-11.518219,0.664358
0.020000,20.992759,7.678338,5.305188,6.217390,-1.307415,-10.805133,0.638269
0.020000,21.093084,7.750780,5.428933,6.187250,-1.507009,-9.979733,0.612535
0.020000,21.194668,7.820254,5.552003,6.153483,-1.688349,-9.067011,0.587198
0.020000,21.297345,7.886753,5.674333,6.116479,-1.850205,-8.092776,0.562296
0.020000,21.400951,7.950282,5.795865,6.076641,-1.991856,-7.082568,0.537864
0.020000,21.505200,8.010788,5.916401,6.026783,-2.492903,-25.052315,0.513958
0.020000,21.609549,8.068105,6.035455,5.952693,-3.704533,-60.581495,0.490688
0.020000,21.713328,8.122055,6.152419,5.848217,-5.223767,-75.961732,0.468177
0.020000,21.816010,8.172585,6.266861,5.722108,-6.305449,-54.084099,0.446506
0.020000,21.917347,8.219806,6.378660,5.589927,-6.609060,-15.180534,0.425687
0.020000,22.017235,8.263895,6.487846,5.459291,-6.531814,3.862313,0.405702
0.020000,22.115590,8.305027,6.594455,5.330447,-6.442208,4.480295,0.386532
0.020000,22.212341,8.343369,6.698526,5.203583,-6.343172,4.951777,0.368151
0.020000,22.307431,8.379087,6.800103,5.078838,-6.237276,5.294804,0.350536
0.020000,22.400814,8.412338,6.899229,4.956303,-6.126740,5.526812,0.333660
0.020000,22.492454,8.443272,6.995950,4.836034,-6.013448,5.664578,0.317497
0.020000,22.582325,8.472034,7.090311,4.718054,-5.898980,5.723427,0.302019
0.020000,22.670407,8.498759,7.182358,4.602362,-5.784634,5.717264,0.287201
