dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.350000,3.000088,0.000199,0.019900,0.995025,49.751244,1.570782
0.020000,22.350000,3.000713,0.000823,0.031214,0.565691,-21.466681,1.570681
0.020000,22.350000,3.002117,0.002228,0.070223,1.950433,69.237075,1.570454
0.020000,22.350002,3.004457,0.004568,0.117010,2.339343,19.445491,1.570074
0.020000,22.350005,3.007732,0.007843,0.163754,2.337203,-0.106992,1.569543
0.020000,22.350012,3.011941,0.012052,0.210438,2.334199,-0.150182,1.568858
0.020000,22.350024,3.017082,0.017193,0.257044,2.330322,-0.193873,1.568019
0.020000,22.350044,3.023153,0.023264,0.303556,2.325560,-0.238066,1.567024
0.020000,22.350074,3.030152,0.030263,0.349954,2.319901,-0.282970,1.565874
0.020000,22.350118,3.038076,0.038187,0.396220,2.313327,-0.328689,1.564565
0.020000,22.350180,3.046923,0.047034,0.442336,2.305820,-0.375360,1.563096
0.020000,22.350263,3.056688,0.056800,0.488284,2.297357,-0.423124,1.561466
0.020000,22.350372,3.067368,0.067480,0.534042,2.287915,-0.472119,1.559672
0.020000,22.350512,3.078959,0.079072,0.579591,2.277466,-0.522460,1.557711
0.020000,22.350689,3.091456,0.091571,0.624911,2.265978,-0.574398,1.555581
0.020000,22.350909,3.104854,0.104970,0.669979,2.253419,-0.627938,1.553278
0.020000,22.351177,3.119147,0.119266,0.714774,2.239751,-0.683382,1.550801
0.020000,22.351500,3.134329,0.134451,0.759273,2.224935,-0.740802,1.548144
0.020000,22.351887,3.150393,0.150520,0.803451,2.208927,-0.800409,1.545305
0.020000,22.352345,3.167333,0.167466,0.847285,2.191680,-0.862382,1.542279
0.020000,22.352881,3.185140,0.185281,0.890748,2.173141,-0.926918,1.539063
0.020000,22.353506,3.203806,0.203957,0.933813,2.153258,-0.994148,1.535650
0.020000,22.354227,3.223321,0.223486,0.976452,2.131971,-1.064374,1.532037
0.020000,22.355055,3.243677,0.243859,1.018637,2.109217,-1.137691,1.528217
0.020000,22.356000,3.264863,0.265065,1.060335,2.084930,-1.214370,1.524186
0.020000,22.357074,3.286867,0.287096,1.101516,2.059037,-1.294639,1.519937
0.020000,22.358286,3.309678,0.309939,1.142145,2.031464,-1.378657,1.515464
0.020000,22.359649,3.333282,0.333582,1.182188,2.002130,-1.466699,1.510759
0.020000,22.361175,3.357667,0.358015,1.221607,1.970951,-1.558923,1.505816
0.020000,22.362877,3.382816,0.383222,1.260364,1.937838,-1.655664,1.500626
0.020000,22.364768,3.408716,0.409190,1.298418,1.902699,-1.756960,1.495181
0.020000,22.366862,3.435348,0.435905,1.335726,1.865435,-1.863195,1.489474
0.020000,22.369173,3.462696,0.463350,1.372245,1.825947,-1.974393,1.483493
0.020000,22.371715,3.490739,0.491508,1.407928,1.784130,-2.090866,1.477230
