dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.350000,23.999920,0.000199,0.019900,0.995025,49.751244,4.712418
0.020000,22.350000,23.999427,0.000691,0.024623,0.236102,-37.946168,4.712597
0.020000,22.350001,23.998320,0.001799,0.055353,1.536530,65.021430,4.712999
0.020000,22.350002,23.996478,0.003641,0.092108,1.837768,15.061884,4.713671
0.020000,22.350007,23.993905,0.006214,0.128642,1.826689,-0.553928,4.714616
0.020000,22.350016,23.990608,0.009511,0.164863,1.811032,-0.782855,4.715837
0.020000,22.350033,23.986594,0.013524,0.200676,1.790644,-1.019412,4.717339
0.020000,22.350061,23.981875,0.018244,0.235982,1.765329,-1.265757,4.719129
0.020000,22.350103,23.976461,0.023658,0.270679,1.734834,-1.524745,4.721212
0.020000,22.350164,23.970369,0.029751,0.304656,1.698859,-1.798722,4.723598
0.020000,22.350248,23.963613,0.036507,0.337797,1.657036,-2.091163,4.726296
0.020000,22.350363,23.956215,0.043906,0.369976,1.608935,-2.405046,4.729319
0.020000,22.350512,23.948195,0.051927,0.401057,1.554050,-2.744255,4.732677
0.020000,22.350702,23.939579,0.060545,0.430892,1.491787,-3.113142,4.736388
0.020000,22.350942,23.930396,0.069732,0.459322,1.421464,-3.516188,4.740466
0.020000,22.351236,23.920677,0.079455,0.486167,1.342285,-3.958945,4.744931
0.020000,22.351593,23.910458,0.089680,0.511234,1.253329,-4.447763,4.749803
0.020000,22.352021,23.899781,0.100366,0.534305,1.153542,-4.989384,4.755106
0.020000,22.352527,23.888690,0.111468,0.555139,1.041694,-5.592364,4.760867
0.020000,22.353118,23.877236,0.122938,0.573466,0.916378,-6.265837,4.767114
0.020000,22.353802,23.865476,0.134717,0.588985,0.775960,-7.020869,4.773881
0.020000,22.354585,23.853474,0.146745,0.601357,0.618561,-7.869950,4.781204
0.020000,22.355472,23.841302,0.158949,0.610197,0.442006,-8.827754,4.789127
0.020000,22.356467,23.829041,0.171250,0.615072,0.243784,-9.911085,4.797694
0.020000,22.357571,23.816781,0.183560,0.615492,0.020998,-11.139340,4.806958
0.020000,22.358785,23.804624,0.195778,0.610898,-0.229701,-12.534951,4.816979
0.020000,22.360103,23.792683,0.207791,0.600655,-0.512171,-14.123493,4.827823
0.020000,22.361515,23.781088,0.219472,0.584038,-0.830848,-15.933861,4.839565
0.020000,22.363005,23.769983,0.230676,0.560222,-1.190822,-17.998656,4.852289
0.020000,22.364549,23.759531,0.241241,0.528264,-1.597888,-20.353345,4.866092
0.020000,22.366110,23.749915,0.250983,0.487092,-2.058609,-23.036050,4.881081
0.020000,22.367640,23.741341,0.259693,0.435485,-2.580314,-26.085234,4.897380
0.020000,22.369071,23.734038,0.267134,0.372064,-3.171050,-29.536793,4.915128
0.020000,22.370312,23.728265,0.273040,0.295276,-3.839413,-33.418167,4.934481
0.020000,22.371246,23.724306,0.277108,0.203392,-4.594195,-37.739065,4.955617
0.020000,22.371718,23.722475,0.278998,0.094518,-5.443718,-42.476192,4.978737
0.020000,22.371529,23.723115,0.279665,0.033379,-3.056945,119.338659,5.004064
0.020000,22.370425,23.726592,0.283313,0.182391,7.450594,525.376981,5.031846
0.020000,22.368088,23.733287,0.290405,0.354561,8.608499,57.895233,5.062357
0.020000,22.364124,23.743584,0.301438,0.551662,9.855050,62.327564,5.095888
0.020000,22.358052,23.757842,0.316935,0.774874,11.160592,65.277099,5.132749
0.020000,22.349305,23.776367,0.337421,1.024296,12.471118,65.526289,5.173246
0.020000,22.337233,23.799355,0.363387,1.298272,13.698781,61.383146,5.217669
0.020000,22.321132,23.826836,0.395237,1.592518,14.712318,50.676870,5.266258
0.020000,22.300295,23.858593,0.433220,1.899139,15.331047,30.936453,5.319156
0.020000,22.274104,23.894091,0.477334,2.205716,15.328840,-0.110371,5.376365
0.020000,22.242155,23.932419,0.527231,2.494851,14.456757,-43.604166,5.437678
0.020000,22.204420,23.972286,0.582125,2.744686,12.491760,-98.249847,5.502635
0.020000,22.161393,24.012094,0.640743,2.930890,9.310186,-159.078671,5.570485
0.020000,22.114186,24.050100,0.701347,3.030231,4.967064,-217.156139,5.640207
0.020000,22.064524,24.084656,0.761849,3.025107,-0.256193,-261.162826,5.710571
0.020000,22.014587,24.114455,0.820001,2.907607,-5.875010,-280.940840,5.780255
0.020000,21.966758,24.138716,0.873631,2.681482,-11.306239,-271.561478,5.847980
0.020000,21.923326,24.157254,0.920854,2.361144,-16.016885,-235.532285,5.912637
0.020000,21.886229,24.170415,0.960217,1.968140,-19.650244,-181.667951,5.973372
0.020000,21.856909,24.178932,0.990748,1.526578,-22.078081,-121.391830,6.029613
0.020000,21.836282,24.183747,1.011931,1.059108,-23.373494,-64.770649,6.081056
0.020000,21.824787,24.185858,1.023618,0.584359,-23.737465,-18.198565,6.127616
0.020000,21.822493,24.186200,1.025937,0.115962,-23.419863,15.880076,6.169366
0.020000,21.829211,24.185589,1.032683,0.337315,11.067687,1724.377541,6.206486
0.020000,21.844598,24.184688,1.048097,0.770668,21.667647,529.998000,6.239210
0.020000,21.868237,24.184013,1.071745,1.182404,20.586805,-54.042109,6.267793
0.020000,21.899696,24.183942,1.103204,1.572964,19.527997,-52.940398,0.009297
0.020000,21.938572,24.184737,1.142088,1.944223,18.562943,-48.252721,0.030322
0.020000,21.984516,24.186557,1.188068,2.298975,17.737583,-41.267968,0.047875
0.020000,22.037247,24.189482,1.240880,2.640598,17.081176,-32.820388,0.062112
0.020000,22.096567,24.193522,1.300337,2.972870,16.613559,-23.380857,0.073142
0.020000,22.162195,24.198612,1.366163,3.291271,15.920097,-34.673084,0.081012
0.020000,22.233709,24.204609,1.437928,3.588255,14.849175,-53.546087,0.085739
0.020000,22.310686,24.211309,1.515195,3.863383,13.756403,-54.638628,0.087346
0.020000,22.392918,24.218468,1.597739,4.127163,13.188986,-28.370843,0.085850
