dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.950000,23.999821,0.000199,0.019900,0.995025,49.751244,4.712418
0.020000,18.950000,23.998721,0.001299,0.054979,1.753949,37.946201,4.712597
0.020000,18.950001,23.996246,0.003774,0.123751,3.438593,84.232227,4.712999
0.020000,18.950005,23.992118,0.007902,0.206399,4.132382,34.689404,4.713671
0.020000,18.950015,23.986333,0.013687,0.289268,4.143459,0.553870,4.714616
0.020000,18.950036,23.978884,0.021136,0.372450,4.159117,0.782904,4.715837
0.020000,18.950075,23.969763,0.030257,0.456041,4.179503,1.019288,4.717339
0.020000,18.950138,23.958960,0.041060,0.540137,4.204820,1.265879,4.719129
0.020000,18.950235,23.946464,0.053556,0.624843,4.235310,1.524506,4.721212
0.020000,18.950377,23.932259,0.067762,0.710269,4.271288,1.798869,4.723598
0.020000,18.950577,23.916330,0.083692,0.796531,4.313107,2.090955,4.726296
0.020000,18.950850,23.898657,0.101367,0.883755,4.361206,2.404969,4.729319
0.020000,18.951211,23.879219,0.120809,0.972077,4.416093,2.744327,4.732677
0.020000,18.951681,23.857991,0.142042,1.061644,4.478350,3.112877,4.736388
0.020000,18.952282,23.834947,0.165094,1.152617,4.548671,3.516054,4.740466
0.020000,18.953036,23.810054,0.189998,1.245174,4.627851,3.958964,4.744931
0.020000,18.953973,23.783281,0.216788,1.339510,4.716798,4.447385,4.749803
0.020000,18.955123,23.754587,0.245505,1.435842,4.816585,4.989335,4.755106
0.020000,18.956521,23.723931,0.276193,1.534411,4.928425,5.591999,4.760867
0.020000,18.958208,23.691264,0.308903,1.635485,5.053736,6.265566,4.767114
0.020000,18.960228,23.656536,0.343690,1.739368,5.194146,7.020460,4.773881
0.020000,18.962632,23.619686,0.380618,1.846399,5.351537,7.869584,4.781204
0.020000,18.965477,23.580650,0.419757,1.956961,5.528082,8.827223,4.789127
0.020000,18.968830,23.539356,0.461187,2.071486,5.726289,9.910350,4.797694
0.020000,18.972764,23.495724,0.504996,2.190468,5.949060,11.138576,4.806958
0.020000,18.977365,23.449664,0.551286,2.314463,6.199741,12.534036,4.816979
0.020000,18.982730,23.401077,0.600168,2.444106,6.482186,14.122232,4.827823
0.020000,18.988973,23.349854,0.651770,2.580123,6.800836,15.932523,4.839565
0.020000,18.996224,23.295872,0.706237,2.723338,7.160771,17.996745,4.852289
0.020000,19.004632,23.238996,0.763731,2.874694,7.567795,20.351216,4.866092
0.020000,19.014373,23.179077,0.824436,3.035263,8.028460,23.033255,4.881081
0.020000,19.025651,23.115952,0.888561,3.206265,8.550097,26.081828,4.897380
