dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.350000,3.000090,0.000199,0.019900,0.995025,49.751244,1.570773
0.020000,22.350000,3.000642,0.000751,0.027589,0.384449,-30.528804,1.570629
0.020000,22.350000,3.001883,0.001992,0.062045,1.722774,66.916261,1.570306
0.020000,22.350002,3.003949,0.004058,0.103312,2.063330,17.027797,1.569765
0.020000,22.350006,3.006838,0.006947,0.144432,2.056037,-0.364665,1.569006
0.020000,22.350015,3.010545,0.010654,0.185347,2.045746,-0.514522,1.568026
0.020000,22.350030,3.015064,0.015173,0.225995,2.032375,-0.668555,1.566822
0.020000,22.350055,3.020391,0.020500,0.266311,2.015816,-0.827937,1.565389
0.020000,22.350093,3.026515,0.026624,0.306230,1.995937,-0.993992,1.563724
0.020000,22.350148,3.033428,0.033538,0.345681,1.972570,-1.168306,1.561821
0.020000,22.350226,3.041120,0.041230,0.384592,1.945525,-1.352292,1.559673
0.020000,22.350330,3.049577,0.049687,0.422883,1.914569,-1.547773,1.557273
0.020000,22.350467,3.058785,0.058897,0.460472,1.879438,-1.756555,1.554613
0.020000,22.350642,3.068729,0.068842,0.497268,1.839823,-1.980754,1.551684
0.020000,22.350863,3.079390,0.079506,0.533176,1.795368,-2.222738,1.548475
0.020000,22.351136,3.090749,0.090867,0.568089,1.745666,-2.485100,1.544974
0.020000,22.351470,3.102782,0.102905,0.601894,1.690251,-2.770733,1.541168
0.020000,22.351872,3.115465,0.115595,0.634466,1.628589,-3.083103,1.537043
0.020000,22.352351,3.128770,0.128908,0.665667,1.560072,-3.425853,1.532583
0.020000,22.352915,3.142665,0.142815,0.695347,1.484005,-3.803374,1.527770
0.020000,22.353575,3.157117,0.157282,0.723339,1.399592,-4.220642,1.522583
0.020000,22.354339,3.172087,0.172271,0.749458,1.305927,-4.683263,1.517002
0.020000,22.355216,3.187532,0.187741,0.773497,1.201973,-5.197666,1.511001
0.020000,22.356218,3.203405,0.203645,0.795228,1.086546,-5.771397,1.504553
0.020000,22.357352,3.219653,0.219933,0.814394,0.958285,-6.413005,1.497629
0.020000,22.358627,3.236218,0.236547,0.830707,0.815638,-7.132346,1.490194
0.020000,22.360053,3.253035,0.253424,0.843843,0.656824,-7.940723,1.482211
0.020000,22.361635,3.270030,0.270493,0.853439,0.479797,-8.851345,1.473638
