dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.650000,7.099959,0.000199,0.019900,0.995025,49.751244,4.712380
0.020000,19.650000,7.099306,0.000852,0.032632,0.636576,-17.922422,4.712237
0.020000,19.649999,7.097838,0.002320,0.073407,2.038727,70.107531,4.711914
0.020000,19.649998,7.095392,0.004766,0.122297,2.444497,20.288516,4.711375
0.020000,19.649993,7.091970,0.008188,0.171114,2.440899,-0.179919,4.710618
0.020000,19.649983,7.087573,0.012585,0.219831,2.435831,-0.253398,4.709641
0.020000,19.649965,7.082205,0.017953,0.268416,2.429257,-0.328724,4.708442
0.020000,19.649935,7.075868,0.024290,0.316839,2.421134,-0.406109,4.707018
0.020000,19.649890,7.068567,0.031591,0.365067,2.411419,-0.485755,4.705364
0.020000,19.649824,7.060306,0.039852,0.413068,2.400034,-0.569251,4.703476
0.020000,19.649732,7.051090,0.049069,0.460806,2.386916,-0.655928,4.701349
0.020000,19.649608,7.040926,0.059233,0.508246,2.371967,-0.747425,4.698977
0.020000,19.649445,7.029820,0.070340,0.555348,2.355095,-0.843601,4.696352
0.020000,19.649234,7.017781,0.082382,0.602071,2.336176,-0.945938,4.693468
0.020000,19.648969,7.004816,0.095349,0.648373,2.315086,-1.054540,4.690316
0.020000,19.648638,6.990936,0.109233,0.694206,2.291669,-1.170832,4.686887
0.020000,19.648234,6.976151,0.124024,0.739521,2.265761,-1.295391,4.683170
0.020000,19.647744,6.960473,0.139709,0.784265,2.237174,-1.429367,4.679154
0.020000,19.647158,6.943916,0.156277,0.828379,2.205693,-1.574051,4.674826
0.020000,19.646463,6.926494,0.173713,0.871800,2.171079,-1.730689,4.670172
0.020000,19.645646,6.908223,0.192002,0.914462,2.133071,-1.900391,4.665178
0.020000,19.644692,6.889121,0.211128,0.956289,2.091372,-2.084939,4.659826
0.020000,19.643587,6.869208,0.231072,0.997202,2.045642,-2.286515,4.654099
0.020000,19.642316,6.848504,0.251814,1.037113,1.995524,-2.505927,4.647975
0.020000,19.640861,6.827035,0.273333,1.075924,1.940593,-2.746524,4.641434
0.020000,19.639205,6.804826,0.295603,1.113532,1.880402,-3.009555,4.634451
0.020000,19.637329,6.781906,0.318600,1.149821,1.814430,-3.298577,4.627000
0.020000,19.635216,6.758308,0.342293,1.184663,1.742122,-3.615446,4.619051
0.020000,19.632843,6.734065,0.366651,1.217920,1.662852,-3.963492,4.610574
0.020000,19.630192,6.709217,0.391640,1.249439,1.575920,-4.346610,4.601533
0.020000,19.627240,6.683807,0.417221,1.279051,1.480584,-4.766772,4.591890
0.020000,19.623966,6.657882,0.443352,1.306571,1.376002,-5.229101,4.581604
0.020000,19.620349,6.631492,0.469988,1.331796,1.261287,-5.735748,4.570628
0.020000,19.616366,6.604697,0.497079,1.354506,1.135465,-6.291102,4.558912
0.020000,19.611995,6.577557,0.524568,1.374456,0.997512,-6.897628,4.546402
0.020000,19.607216,6.550143,0.552395,1.391383,0.846352,-7.558004,4.533035
0.020000,19.602007,6.522530,0.580495,1.405001,0.680895,-8.272860,4.518748
0.020000,19.596352,6.494801,0.608795,1.415002,0.500054,-9.042043,4.503466
0.020000,19.590232,6.467046,0.637217,1.421059,0.302830,-9.861227,4.487111
0.020000,19.583636,6.439365,0.665673,1.422826,0.088372,-10.722876,4.469598
0.020000,19.576553,6.411863,0.694072,1.419948,-0.143893,-11.613270,4.450833
0.020000,19.568980,6.384656,0.722313,1.412066,-0.394093,-12.510003,4.430717
0.020000,19.560918,6.357866,0.750290,1.398832,-0.661691,-13.379912,4.409142
0.020000,19.552376,6.331623,0.777889,1.379929,-0.945192,-14.175026,4.385995
0.020000,19.543373,6.306060,0.804990,1.355094,-1.241742,-14.827480,4.361157
0.020000,19.533936,6.281315,0.831474,1.324161,-1.546662,-15.246038,4.334506
0.020000,19.524104,6.257525,0.857216,1.287103,-1.852871,-15.310431,4.305921
0.020000,19.513923,6.234821,0.882098,1.244099,-2.150226,-14.867740,4.275282
