dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.650000,3.000191,0.000199,0.019900,0.995025,49.751244,1.570796
0.020000,21.650000,3.000987,0.000995,0.039801,0.995025,-0.000000,1.570796
0.020000,21.650000,3.002778,0.002786,0.089552,2.487562,74.626866,1.570796
0.020000,21.650000,3.005763,0.005771,0.149254,2.985075,24.875622,1.570796
0.020000,21.650000,3.009942,0.009950,0.208955,2.985075,0.000000,1.570796
0.020000,21.650000,3.015315,0.015323,0.268657,2.985075,0.000000,1.570796
0.020000,21.650000,3.021883,0.021891,0.328358,2.985075,0.000000,1.570796
0.020000,21.650000,3.029644,0.029652,0.388060,2.985075,-0.000000,1.570796
0.020000,21.650000,3.038599,0.038607,0.447761,2.985075,0.000000,1.570796
0.020000,21.650000,3.048748,0.048756,0.507463,2.985075,0.000000,1.570796
0.020000,21.650000,3.060092,0.060100,0.567164,2.985075,0.000000,1.570796
0.020000,21.650000,3.072629,0.072637,0.626866,2.985075,-0.000000,1.570796
0.020000,21.650000,3.086360,0.086368,0.686567,2.985075,-0.000000,1.570796
0.020000,21.650000,3.101286,0.101294,0.746269,2.985075,-0.000000,1.570796
0.020000,21.650000,3.117405,0.117413,0.805970,2.985075,-0.000000,1.570796
0.020000,21.650000,3.134718,0.134726,0.865672,2.985075,0.000000,1.570796
0.020000,21.650000,3.153226,0.153234,0.925373,2.985075,-0.000000,1.570796
0.020000,21.650000,3.172927,0.172935,0.985075,2.985075,0.000000,1.570796
0.020000,21.650000,3.193823,0.193831,1.044776,2.985075,0.000000,1.570796
0.020000,21.650000,3.215912,0.215920,1.104478,2.985075,-0.000000,1.570796
0.020000,21.650000,3.239196,0.239204,1.164179,2.985075,0.000000,1.570796
0.020000,21.650000,3.263674,0.263682,1.223881,2.985075,0.000000,1.570796
0.020000,21.650000,3.289345,0.289353,1.283582,2.985075,-0.000000,1.570796
0.020000,21.650000,3.316211,0.316219,1.343284,2.985075,0.000000,1.570796
0.020000,21.650000,3.344271,0.344279,1.402985,2.985075,-0.000000,1.570796
0.020000,21.650000,3.373524,0.373532,1.462687,2.985075,0.000000,1.570796
0.020000,21.650000,3.403972,0.403980,1.522388,2.985075,0.000000,1.570796
0.020000,21.650000,3.435614,0.435622,1.582090,2.985075,0.000000,1.570796
0.020000,21.650000,3.468450,0.468458,1.641791,2.985075,-0.000000,1.570796
0.020000,21.650000,3.502480,0.502488,1.701493,2.985075,0.000000,1.570796
0.020000,21.650000,3.537704,0.537711,1.761194,2.985075,0.000000,1.570796
0.020000,21.650000,3.574121,0.574129,1.820896,2.985075,-0.000000,1.570796
0.020000,21.650000,3.611733,0.611741,1.880597,2.985075,0.000000,1.570796
0.020000,21.650000,3.650539,0.650547,1.940299,2.985075,0.000000,1.570796
0.020000,21.650000,3.690539,0.690547,2.000000,2.985075,0.000000,1.570796
0.020000,21.650000,3.731733,0.731741,2.059701,2.985075,0.000000,1.570796
0.020000,21.650000,3.774121,0.774129,2.119403,2.985075,-0.000000,1.570796
0.020000,21.650000,3.817670,0.817678,2.177449,2.902325,-4.137500,1.570796
0.020000,21.650000,3.862447,0.862454,2.238806,3.067825,8.275000,1.570796
0.020000,21.650000,3.908417,0.908425,2.298507,2.985075,-4.137500,1.570796
0.020000,21.650000,3.955581,0.955589,2.358209,2.985075,-0.000000,1.570796
0.020000,21.650000,4.003939,1.003947,2.417910,2.985075,0.000000,1.570796
0.020000,21.650000,4.053491,1.053499,2.477612,2.985075,0.000000,1.570796
0.020000,21.650000,4.104238,1.104246,2.537313,2.985075,-0.000000,1.570796
0.020000,21.650000,4.156178,1.156186,2.597015,2.985075,0.000000,1.570796
0.020000,21.650000,4.209312,1.209320,2.656716,2.985075,-0.000000,1.570796
0.020000,21.650000,4.263641,1.263648,2.716418,2.985075,-0.000000,1.570796
0.020000,21.650000,4.319163,1.319171,2.776119,2.985075,0.000000,1.570796
0.020000,21.650000,4.375879,1.375887,2.835821,2.985075,0.000000,1.570796
0.020000,21.650000,4.433790,1.433798,2.895522,2.985075,-0.000000,1.570796
0.020000,21.650000,4.492894,1.492902,2.955224,2.985075,-0.000000,1.570796
0.020000,21.650000,4.553193,1.553201,3.014925,2.985075,0.000000,1.570796
0.020000,21.650000,4.614685,1.614693,3.074627,2.985075,0.000000,1.570796
0.020000,21.650000,4.677372,1.677380,3.134328,2.985075,-0.000000,1.570796
0.020000,21.650000,4.741253,1.741260,3.194030,2.985075,0.000000,1.570796
0.020000,21.650000,4.806327,1.806335,3.253731,2.985075,-0.000000,1.570796
0.020000,21.650000,4.872596,1.872604,3.313433,2.985075,0.000000,1.570796
0.020000,21.650000,4.940059,1.940066,3.373134,2.985075,-0.000000,1.570796
0.020000,21.650000,5.008715,2.008723,3.432836,2.985075,0.000000,1.570796
0.020000,21.650000,5.078566,2.078574,3.492537,2.985075,-0.000000,1.570796
0.020000,21.650000,5.149611,2.149619,3.552239,2.985075,0.000000,1.570796
0.020000,21.650000,5.221850,2.221857,3.611940,2.985075,0.000000,1.570796
0.020000,21.650000,5.295282,2.295290,3.671642,2.985075,0.000000,1.570796
