dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.650000,23.999902,0.000199,0.019900,0.995025,49.751244,4.712403
0.020000,21.650000,23.999207,0.000894,0.034750,0.742476,-12.627459,4.712504
0.020000,21.650000,23.997643,0.002458,0.078182,2.171604,71.456396,4.712732
0.020000,21.650002,23.995037,0.005063,0.130287,2.605232,21.681433,4.713111
0.020000,21.650005,23.991390,0.008711,0.182366,2.603973,-0.062945,4.713643
0.020000,21.650013,23.986702,0.013399,0.234410,2.602207,-0.088333,4.714328
0.020000,21.650026,23.980974,0.019127,0.286409,2.599926,-0.114054,4.715167
0.020000,21.650049,23.974207,0.025894,0.338351,2.597125,-0.140039,4.716161
0.020000,21.650082,23.966402,0.033699,0.390227,2.593796,-0.166455,4.717312
0.020000,21.650132,23.957562,0.042539,0.442026,2.589929,-0.193349,4.718620
0.020000,21.650201,23.947687,0.052414,0.493736,2.585513,-0.220803,4.720089
0.020000,21.650293,23.936781,0.063321,0.545347,2.580535,-0.248901,4.721719
0.020000,21.650415,23.924845,0.075258,0.596846,2.574980,-0.277725,4.723514
0.020000,21.650572,23.911881,0.088222,0.648223,2.568834,-0.307323,4.725475
0.020000,21.650770,23.897893,0.102212,0.699465,2.562076,-0.337899,4.727605
0.020000,21.651016,23.882884,0.117223,0.750558,2.554688,-0.369374,4.729907
0.020000,21.651317,23.866857,0.133253,0.801491,2.546648,-0.402002,4.732385
0.020000,21.651680,23.849816,0.150298,0.852250,2.537933,-0.435773,4.735041
0.020000,21.652115,23.831765,0.168354,0.902820,2.528516,-0.470835,4.737880
0.020000,21.652629,23.812708,0.187418,0.953188,2.518370,-0.507291,4.740906
0.020000,21.653234,23.792650,0.207484,1.003337,2.507465,-0.545263,4.744123
0.020000,21.653938,23.771597,0.228549,1.053252,2.495769,-0.584796,4.747535
0.020000,21.654753,23.749554,0.250608,1.102917,2.483247,-0.626123,4.751149
0.020000,21.655690,23.726526,0.273654,1.152315,2.469862,-0.669242,4.754968
0.020000,21.656761,23.702522,0.297683,1.201426,2.455575,-0.714346,4.758999
0.020000,21.657979,23.677547,0.322687,1.250233,2.440343,-0.761575,4.763248
0.020000,21.659357,23.651609,0.348662,1.298715,2.424124,-0.810992,4.767722
0.020000,21.660910,23.624717,0.375599,1.346853,2.406868,-0.862789,4.772426
0.020000,21.662652,23.596879,0.403491,1.394623,2.388527,-0.917025,4.777370
0.020000,21.664599,23.568105,0.432331,1.442004,2.369048,-0.973960,4.782559
0.020000,21.666768,23.538404,0.462111,1.488972,2.348378,-1.033523,4.788004
0.020000,21.669175,23.507789,0.492821,1.535501,2.326457,-1.096039,4.793712
0.020000,21.671838,23.476270,0.524452,1.581565,2.303228,-1.161434,4.799692
0.020000,21.674777,23.443860,0.556995,1.627138,2.278629,-1.229971,4.805955
0.020000,21.678011,23.410573,0.590439,1.672190,2.252597,-1.301563,4.812512
0.020000,21.681559,23.376423,0.624772,1.716691,2.225069,-1.376441,4.819372
0.020000,21.685444,23.341426,0.659985,1.760611,2.195979,-1.454494,4.826547
0.020000,21.689688,23.305598,0.696063,1.803916,2.165263,-1.535776,4.834051
0.020000,21.694313,23.268957,0.732994,1.846573,2.132859,-1.620208,4.841896
0.020000,21.699344,23.231523,0.770765,1.888548,2.098705,-1.707682,4.850095
0.020000,21.704805,23.193315,0.809361,1.929802,2.062745,-1.798027,4.858663
0.020000,21.710723,23.154356,0.848767,1.970301,2.024927,-1.890891,4.867615
0.020000,21.717123,23.114668,0.888967,2.010005,1.985208,-1.985952,4.876967
0.020000,21.724033,23.074278,0.929945,2.048876,1.943555,-2.082664,4.886735
0.020000,21.731482,23.033210,0.971682,2.086875,1.899950,-2.180251,4.896938
0.020000,21.739498,22.991494,1.014162,2.123963,1.854390,-2.278009,4.907593
0.020000,21.748112,22.949160,1.057364,2.160101,1.806897,-2.374633,4.918719
0.020000,21.757355,22.906239,1.101269,2.195251,1.757520,-2.468858,4.930336
0.020000,21.767259,22.862765,1.145856,2.229378,1.706339,-2.559018,4.942465
0.020000,21.777855,22.818774,1.191105,2.262448,1.653480,-2.642961,4.955126
0.020000,21.789178,22.774304,1.236994,2.294430,1.599114,-2.718310,4.968341
0.020000,21.801260,22.729395,1.283500,2.325299,1.543472,-2.782121,4.982134
0.020000,21.814137,22.684089,1.330601,2.355036,1.486852,-2.830967,4.996525
0.020000,21.827842,22.638429,1.378273,2.383629,1.429637,-2.860773,5.011539
0.020000,21.842412,22.592461,1.426495,2.411075,1.372296,-2.867055,5.027197
0.020000,21.857881,22.546233,1.475242,2.437383,1.315407,-2.844411,5.043524
0.020000,21.874288,22.499794,1.524494,2.462577,1.259667,-2.787034,5.060540
0.020000,21.891666,22.453196,1.574228,2.486695,1.205899,-2.688400,5.078268
0.020000,21.910055,22.406489,1.624424,2.509796,1.155071,-2.541405,5.096728
0.020000,21.929489,22.359728,1.675063,2.531962,1.108299,-2.338590,5.115939
0.020000,21.950008,22.312965,1.726129,2.553299,1.066855,-2.072192,5.135917
0.020000,21.971648,22.266256,1.777608,2.573942,1.032164,-1.734540,5.156676
0.020000,21.994449,22.219653,1.829489,2.594058,1.005796,-1.318413,5.178227
0.020000,22.018448,22.173211,1.881766,2.613847,0.989448,-0.817386,5.200576
0.020000,22.043686,22.126980,1.934437,2.633546,0.984914,-0.226721,5.223724
0.020000,22.070205,22.081013,1.987505,2.653426,0.994040,0.456327,5.247669
0.020000,22.098046,22.035356,2.040981,2.673800,1.018667,1.231355,5.272401
0.020000,22.127181,21.990169,2.094747,2.688280,0.724005,-14.733148,5.297838
0.020000,22.157496,21.945705,2.148561,2.690723,0.122149,-30.092772,5.323823
0.020000,22.188860,21.902195,2.202197,2.681787,-0.446770,-28.445956,5.350186
0.020000,22.221206,21.859741,2.255570,2.668638,-0.657459,-10.534439,5.376811
0.020000,22.254545,21.818330,2.308733,2.658178,-0.522999,6.722988,5.403646
0.020000,22.288887,21.777947,2.361744,2.650548,-0.381499,7.075009,5.430634
0.020000,22.324246,21.738577,2.414661,2.645853,-0.234744,7.337738,5.457715
0.020000,22.360636,21.700205,2.467545,2.644159,-0.084700,7.502223,5.484830
0.020000,22.398071,21.662814,2.520454,2.645490,0.066555,7.562711,5.511919
0.020000,22.436566,21.626390,2.573451,2.649828,0.216896,7.517071,5.538921
0.020000,22.476138,21.590919,2.626593,2.657113,0.364234,7.366907,5.565777
0.020000,22.516799,21.556388,2.679938,2.667245,0.506583,7.117458,5.592430
0.020000,22.558561,21.522787,2.733540,2.680087,0.642129,6.777268,5.618827
0.020000,22.601436,21.490107,2.787449,2.695473,0.769281,6.357624,5.644916
0.020000,22.645431,21.458342,2.841714,2.713207,0.886719,5.871914,5.670650
0.020000,22.690551,21.427486,2.896375,2.733076,0.993415,5.334800,5.695987
0.020000,22.736797,21.397537,2.951472,2.754848,1.088646,4.761508,5.720889
0.020000,22.784168,21.368492,3.007038,2.778288,1.171986,4.167032,5.745322
0.020000,22.832595,21.340387,3.063030,2.799596,1.065400,-5.329286,5.769227
0.020000,22.881877,21.313319,3.119256,2.811330,0.586683,-23.935891,5.792497
0.020000,22.931731,21.287405,3.175443,2.809332,-0.099892,-34.328721,5.815008
0.020000,22.981914,21.262711,3.231373,2.796481,-0.642538,-27.132327,5.836680
0.020000,23.032301,21.239233,3.286961,2.779426,-0.852768,-10.511472,5.857499
0.020000,23.082828,21.216933,3.342190,2.761461,-0.898248,-2.274021,5.877483
0.020000,23.133431,21.195773,3.397039,2.742441,-0.950998,-2.637482,5.896654
0.020000,23.184047,21.175716,3.451484,2.722255,-1.009293,-2.914776,5.915034
0.020000,23.234614,21.156723,3.505501,2.700823,-1.071622,-3.116412,5.932649
0.020000,23.285073,21.138757,3.559062,2.678089,-1.136678,-3.252814,5.949525
0.020000,23.335366,21.121781,3.612143,2.654022,-1.203352,-3.333728,5.965688
0.020000,23.385437,21.105758,3.664715,2.628608,-1.270717,-3.368227,5.981166
0.020000,23.435232,21.090650,3.716752,2.601848,-1.338007,-3.364478,5.995985
0.020000,23.484702,21.076421,3.768227,2.573756,-1.404602,-3.329753,6.010171
0.020000,23.533797,21.063035,3.819114,2.544355,-1.470008,-3.270325,6.023752
0.020000,23.582471,21.050456,3.869388,2.513679,-1.533843,-3.191747,6.036752
0.020000,23.630681,21.038649,3.919023,2.481762,-1.595815,-3.098585,6.049197
0.020000,23.678387,21.027580,3.967996,2.448648,-1.655711,-2.994797,6.061109
0.020000,23.725549,21.017214,4.016284,2.414380,-1.713383,-2.883610,6.072514
0.020000,23.772131,21.007520,4.063864,2.379006,-1.768738,-2.767739,6.083431
0.020000,23.818099,20.998464,4.110715,2.342571,-1.821724,-2.649341,6.093883
0.020000,23.863421,20.990017,4.156818,2.305125,-1.872328,-2.530168,6.103891
0.020000,23.908067,20.982147,4.202152,2.266713,-1.920561,-2.411656,6.113472
0.020000,23.952009,20.974825,4.246700,2.227384,-1.966457,-2.294804,6.122646
0.020000,23.995220,20.968023,4.290443,2.187183,-2.010068,-2.180553,6.131430
0.020000,24.037677,20.961713,4.333366,2.146154,-2.051457,-2.069434,6.139841
0.020000,24.079356,20.955869,4.375453,2.104340,-2.090696,-1.961975,6.147894
0.020000,24.120236,20.950466,4.416689,2.061783,-2.127864,-1.858395,6.155604
0.020000,24.160297,20.945478,4.457059,2.018522,-2.163044,-1.758971,6.162985
0.020000,24.199521,20.940881,4.496551,1.974595,-2.196319,-1.663762,6.170051
0.020000,24.237889,20.936653,4.535152,1.930040,-2.227775,-1.572791,6.176813
0.020000,24.275387,20.932773,4.572850,1.884890,-2.257496,-1.486095,6.183285
0.020000,24.311998,20.929218,4.609633,1.839179,-2.285566,-1.403475,6.189477
0.020000,24.347710,20.925969,4.645492,1.792937,-2.312065,-1.324976,6.195400
0.020000,24.382507,20.923006,4.680416,1.746196,-2.337073,-1.250399,6.201063
0.020000,24.416380,20.920310,4.714396,1.698982,-2.360664,-1.179543,6.206477
0.020000,24.449316,20.917865,4.747422,1.651324,-2.382912,-1.112378,6.211650
0.020000,24.481304,20.915652,4.779487,1.603247,-2.403884,-1.048626,6.216591
0.020000,24.512336,20.913656,4.810582,1.554774,-2.423648,-0.988178,6.221306
0.020000,24.542401,20.911861,4.840701,1.505928,-2.442265,-0.930848,6.225805
0.020000,24.571491,20.910253,4.869836,1.456732,-2.459795,-0.876482,6.230094
