dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.650000,23.999873,0.000199,0.019900,0.995025,49.751244,4.712403
0.020000,19.650000,23.998976,0.001096,0.044852,1.247574,12.627463,4.712504
0.020000,19.650001,23.996958,0.003114,0.100922,2.803520,77.797314,4.712732
0.020000,19.650002,23.993593,0.006479,0.168221,3.364917,28.069839,4.713111
0.020000,19.650007,23.988882,0.011190,0.235544,3.366175,0.062906,4.713643
0.020000,19.650017,23.982824,0.017248,0.302903,3.367943,0.088377,4.714328
0.020000,19.650034,23.975418,0.024654,0.370308,3.370223,0.114002,4.715167
0.020000,19.650063,23.966663,0.033409,0.437768,3.373024,0.140038,4.716161
0.020000,19.650107,23.956557,0.043515,0.505295,3.376353,0.166445,4.717312
0.020000,19.650171,23.945099,0.054973,0.572899,3.380219,0.193337,4.718620
0.020000,19.650260,23.932288,0.067785,0.640592,3.384635,0.220788,4.720089
0.020000,19.650380,23.918121,0.081953,0.708384,3.389613,0.248877,4.721719
0.020000,19.650539,23.902596,0.097479,0.776288,3.395166,0.277689,4.723514
0.020000,19.650744,23.885711,0.114365,0.844314,3.401313,0.307354,4.725475
0.020000,19.651002,23.867463,0.132614,0.912475,3.408070,0.337815,4.727605
0.020000,19.651323,23.847850,0.152230,0.980785,3.415457,0.369381,4.729907
0.020000,19.651716,23.826869,0.173215,1.049254,3.423496,0.401943,4.732385
0.020000,19.652193,23.804516,0.195573,1.117899,3.432211,0.435736,4.735041
0.020000,19.652764,23.780788,0.219308,1.186731,3.441627,0.470805,4.737880
0.020000,19.653442,23.755682,0.244423,1.255767,3.451772,0.507256,4.740906
0.020000,19.654241,23.729193,0.270923,1.325020,3.462676,0.545181,4.744123
0.020000,19.655173,23.701319,0.298814,1.394508,3.474371,0.584782,4.747535
0.020000,19.656255,23.672054,0.328099,1.464245,3.486892,0.626022,4.751149
0.020000,19.657502,23.641394,0.358784,1.534251,3.500276,0.669182,4.754968
0.020000,19.658933,23.609335,0.390874,1.604542,3.514561,0.714294,4.758999
0.020000,19.660565,23.575872,0.424377,1.675138,3.529791,0.761464,4.763248
0.020000,19.662418,23.541000,0.459298,1.746058,3.546009,0.810906,4.767722
0.020000,19.664513,23.504714,0.495645,1.817323,3.563262,0.862668,4.772426
0.020000,19.666873,23.467009,0.533424,1.888955,3.581602,0.916971,4.777370
0.020000,19.669521,23.427879,0.572643,1.960977,3.601077,0.973764,4.782559
0.020000,19.672483,23.387319,0.613312,2.033412,3.621746,1.033439,4.788004
0.020000,19.675785,23.345323,0.655437,2.106285,3.643662,1.095833,4.793712
0.020000,19.679456,23.301885,0.699030,2.179623,3.666888,1.161307,4.799692
0.020000,19.683525,23.257000,0.744099,2.253453,3.691483,1.229732,4.805955
0.020000,19.688027,23.210662,0.790655,2.327803,3.717511,1.301415,4.812512
0.020000,19.692994,23.162865,0.838709,2.402704,3.745035,1.376176,4.819372
0.020000,19.698462,23.113604,0.888273,2.478186,3.774120,1.454233,4.826547
0.020000,19.704471,23.062873,0.939358,2.554283,3.804829,1.535486,4.834051
0.020000,19.711062,23.010667,0.991979,2.631027,3.837227,1.619903,4.841896
0.020000,19.718277,22.956981,1.046148,2.708455,3.871374,1.707353,4.850095
0.020000,19.726163,22.901809,1.101880,2.786601,3.907327,1.797611,4.858663
0.020000,19.734769,22.845149,1.159190,2.865504,3.945136,1.890486,4.867615
0.020000,19.744148,22.786997,1.218094,2.945201,3.984846,1.985483,4.876967
0.020000,19.754353,22.727349,1.278609,3.025730,4.026488,2.082091,4.886735
0.020000,19.765443,22.666204,1.340751,3.107132,4.070083,2.179747,4.896938
0.020000,19.777482,22.603561,1.404540,3.189445,4.115629,2.277306,4.907593
0.020000,19.790534,22.539421,1.469994,3.272707,4.163108,2.373944,4.918719
0.020000,19.804669,22.473787,1.537134,3.356956,4.212470,2.468122,4.930336
0.020000,19.819961,22.406662,1.605978,3.442229,4.263632,2.558114,4.942465
0.020000,19.836488,22.338054,1.676549,3.528558,4.316473,2.642029,4.955126
0.020000,19.854333,22.267970,1.748869,3.615975,4.370819,2.717288,4.968341
0.020000,19.873582,22.196425,1.822959,3.704504,4.426439,2.781000,4.982134
0.020000,19.894328,22.123432,1.898842,3.794164,4.483033,2.829701,4.996525
0.020000,19.916667,22.049013,1.976541,3.884969,4.540223,2.859496,5.011539
0.020000,19.940700,21.973193,2.056080,3.976919,4.597534,2.865552,5.027197
0.020000,19.966533,21.896001,2.137480,4.070007,4.654391,2.842863,5.043524
0.020000,19.994277,21.817474,2.220764,4.164209,4.710099,2.785383,5.060540
0.020000,20.024047,21.737655,2.305954,4.259486,4.763831,2.686610,5.078268
0.020000,20.055962,21.656596,2.393069,4.355778,4.814622,2.539538,5.096728
0.020000,20.090144,21.574356,2.482130,4.453005,4.861354,2.336612,5.115939
0.020000,20.126719,21.491007,2.573151,4.551060,4.902757,2.070164,5.135917
0.020000,20.165814,21.406627,2.666147,4.649809,4.937407,1.732499,5.156676
0.020000,20.207557,21.321311,2.761129,4.749083,4.963733,1.316304,5.178227
0.020000,20.252078,21.235161,2.858102,4.848684,4.980041,0.815389,5.200576
0.020000,20.299503,21.148296,2.957070,4.948375,4.984536,0.224739,5.223724
0.020000,20.349954,21.060848,3.058027,5.047882,4.975374,-0.458088,5.247669
0.020000,20.403549,20.972963,3.160965,5.146897,4.950715,-1.232939,5.272401
0.020000,20.460253,20.885021,3.265603,5.231905,4.250409,-35.015312,5.297838
0.020000,20.519845,20.797621,3.371387,5.289152,2.862376,-69.401637,5.323823
0.020000,20.582041,20.711342,3.477746,5.317981,1.441438,-71.046935,5.350186
0.020000,20.646660,20.626532,3.584369,5.331126,0.657226,-39.210555,5.376811
0.020000,20.713655,20.543317,3.691200,5.341582,0.522813,-6.720695,5.403646
0.020000,20.782963,20.461819,3.798184,5.349209,0.381362,-7.072525,5.430634
0.020000,20.854512,20.382154,3.905263,5.353902,0.234659,-7.335132,5.457715
0.020000,20.928217,20.304433,4.012374,5.355596,0.084669,-7.499518,5.484830
0.020000,21.003983,20.228757,4.119460,5.354265,-0.066530,-7.559978,5.511919
0.020000,21.081704,20.155218,4.226458,5.349929,-0.216818,-7.514362,5.538921
0.020000,21.161269,20.083895,4.333311,5.342647,-0.364103,-7.364277,5.565777
0.020000,21.242560,20.014858,4.439962,5.332519,-0.506403,-7.114963,5.592430
0.020000,21.325453,19.948162,4.546355,5.319680,-0.641901,-6.774944,5.618827
0.020000,21.409823,19.883851,4.652441,5.304300,-0.769012,-6.355529,5.644916
0.020000,21.495544,19.821956,4.758173,5.286572,-0.886413,-5.870047,5.670650
0.020000,21.582490,19.762493,4.863507,5.266710,-0.993077,-5.333208,5.695987
0.020000,21.670536,19.705470,4.968406,5.244945,-1.088281,-4.760184,5.720889
0.020000,21.759563,19.650882,5.072836,5.221513,-1.171601,-4.166005,5.745322
0.020000,21.849340,19.598776,5.176638,5.190105,-1.570380,-19.938937,5.769227
0.020000,21.939412,19.549301,5.279403,5.138265,-2.591995,-51.080783,5.792497
0.020000,22.029210,19.502620,5.380611,5.060358,-3.895355,-65.167988,5.815008
