dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.650000,3.000127,0.000199,0.019900,0.995025,49.751244,1.570782
0.020000,19.650000,3.001024,0.001096,0.044852,1.247574,12.627463,1.570681
0.020000,19.650001,3.003042,0.003114,0.100922,2.803520,77.797314,1.570454
0.020000,19.650002,3.006407,0.006479,0.168221,3.364917,28.069839,1.570074
0.020000,19.650007,3.011118,0.011190,0.235544,3.366175,0.062906,1.569543
0.020000,19.650017,3.017176,0.017248,0.302903,3.367943,0.088377,1.568858
0.020000,19.650034,3.024582,0.024654,0.370308,3.370223,0.114002,1.568019
0.020000,19.650063,3.033337,0.033409,0.437768,3.373024,0.140038,1.567024
0.020000,19.650107,3.043443,0.043515,0.505295,3.376353,0.166445,1.565874
0.020000,19.650171,3.054901,0.054973,0.572899,3.380219,0.193337,1.564565
0.020000,19.650260,3.067712,0.067785,0.640592,3.384635,0.220788,1.563096
0.020000,19.650380,3.081879,0.081953,0.708384,3.389613,0.248877,1.561466
0.020000,19.650539,3.097404,0.097479,0.776288,3.395166,0.277689,1.559672
0.020000,19.650744,3.114289,0.114365,0.844314,3.401313,0.307354,1.557711
0.020000,19.651002,3.132537,0.132614,0.912475,3.408070,0.337815,1.555581
0.020000,19.651323,3.152150,0.152230,0.980785,3.415457,0.369381,1.553278
0.020000,19.651716,3.173131,0.173215,1.049254,3.423496,0.401943,1.550801
0.020000,19.652193,3.195484,0.195573,1.117899,3.432211,0.435736,1.548144
0.020000,19.652764,3.219212,0.219308,1.186731,3.441627,0.470805,1.545305
0.020000,19.653442,3.244318,0.244423,1.255767,3.451772,0.507256,1.542279
0.020000,19.654241,3.270807,0.270923,1.325020,3.462676,0.545181,1.539063
0.020000,19.655173,3.298681,0.298814,1.394508,3.474371,0.584782,1.535650
0.020000,19.656255,3.327946,0.328099,1.464245,3.486892,0.626022,1.532037
0.020000,19.657502,3.358606,0.358784,1.534251,3.500276,0.669182,1.528217
0.020000,19.658933,3.390665,0.390874,1.604542,3.514561,0.714294,1.524186
0.020000,19.660565,3.424128,0.424377,1.675138,3.529791,0.761464,1.519937
0.020000,19.662418,3.459000,0.459298,1.746058,3.546009,0.810906,1.515464
