dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.650000,3.000098,0.000199,0.019900,0.995025,49.751244,1.570782
0.020000,21.650000,3.000793,0.000894,0.034750,0.742476,-12.627459,1.570681
0.020000,21.650000,3.002357,0.002458,0.078182,2.171604,71.456396,1.570454
0.020000,21.650002,3.004963,0.005063,0.130287,2.605232,21.681433,1.570074
0.020000,21.650005,3.008610,0.008711,0.182366,2.603973,-0.062945,1.569543
0.020000,21.650013,3.013298,0.013399,0.234410,2.602207,-0.088333,1.568858
0.020000,21.650026,3.019026,0.019127,0.286409,2.599926,-0.114054,1.568019
0.020000,21.650049,3.025793,0.025894,0.338351,2.597125,-0.140039,1.567024
0.020000,21.650082,3.033598,0.033699,0.390227,2.593796,-0.166455,1.565874
0.020000,21.650132,3.042438,0.042539,0.442026,2.589929,-0.193349,1.564565
0.020000,21.650201,3.052313,0.052414,0.493736,2.585513,-0.220803,1.563096
0.020000,21.650293,3.063219,0.063321,0.545347,2.580535,-0.248901,1.561466
0.020000,21.650415,3.075155,0.075258,0.596846,2.574980,-0.277725,1.559672
0.020000,21.650572,3.088119,0.088222,0.648223,2.568834,-0.307323,1.557711
0.020000,21.650770,3.102107,0.102212,0.699465,2.562076,-0.337899,1.555581
0.020000,21.651016,3.117116,0.117223,0.750558,2.554688,-0.369374,1.553278
0.020000,21.651317,3.133143,0.133253,0.801491,2.546648,-0.402002,1.550801
0.020000,21.651680,3.150184,0.150298,0.852250,2.537933,-0.435773,1.548144
0.020000,21.652115,3.168235,0.168354,0.902820,2.528516,-0.470835,1.545305
0.020000,21.652629,3.187292,0.187418,0.953188,2.518370,-0.507291,1.542279
0.020000,21.653234,3.207350,0.207484,1.003337,2.507465,-0.545263,1.539063
0.020000,21.653938,3.228403,0.228549,1.053252,2.495769,-0.584796,1.535650
0.020000,21.654753,3.250446,0.250608,1.102917,2.483247,-0.626123,1.532037
0.020000,21.655690,3.273474,0.273654,1.152315,2.469862,-0.669242,1.528217
0.020000,21.656761,3.297478,0.297683,1.201426,2.455575,-0.714346,1.524186
0.020000,21.657979,3.322453,0.322687,1.250233,2.440343,-0.761575,1.519937
0.020000,21.659357,3.348391,0.348662,1.298715,2.424124,-0.810992,1.515464
0.020000,21.660910,3.375283,0.375599,1.346853,2.406868,-0.862789,1.510759
0.020000,21.662652,3.403121,0.403491,1.394623,2.388527,-0.917025,1.505816
0.020000,21.664599,3.431895,0.432331,1.442004,2.369048,-0.973960,1.500626
0.020000,21.666768,3.461596,0.462111,1.488972,2.348378,-1.033523,1.495181
0.020000,21.669175,3.492211,0.492821,1.535501,2.326457,-1.096039,1.489474
0.020000,21.671838,3.523730,0.524452,1.581565,2.303228,-1.161434,1.483493
0.020000,21.674777,3.556140,0.556995,1.627138,2.278629,-1.229971,1.477230
0.020000,21.678011,3.589427,0.590439,1.672190,2.252597,-1.301563,1.470674
0.020000,21.681559,3.623577,0.624772,1.716691,2.225069,-1.376441,1.463814
0.020000,21.685444,3.658574,0.659985,1.760611,2.195979,-1.454494,1.456638
0.020000,21.689688,3.694402,0.696063,1.803916,2.165263,-1.535776,1.449134
0.020000,21.694313,3.731043,0.732994,1.846573,2.132859,-1.620208,1.441290
0.020000,21.699344,3.768477,0.770765,1.888548,2.098705,-1.707682,1.433091
0.020000,21.704805,3.806685,0.809361,1.929802,2.062745,-1.798027,1.424523
0.020000,21.710723,3.845644,0.848767,1.970301,2.024927,-1.890891,1.415570
0.020000,21.717123,3.885332,0.888967,2.010005,1.985208,-1.985952,1.406218
0.020000,21.724033,3.925722,0.929945,2.048876,1.943555,-2.082664,1.396450
0.020000,21.731482,3.966790,0.971682,2.086875,1.899950,-2.180251,1.386247
0.020000,21.739498,4.008506,1.014162,2.123963,1.854390,-2.278009,1.375592
0.020000,21.748112,4.050840,1.057364,2.160101,1.806897,-2.374633,1.364466
0.020000,21.757355,4.093761,1.101269,2.195251,1.757520,-2.468858,1.352849
