dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.650000,23.999899,0.000199,0.019900,0.995025,49.751244,4.712418
0.020000,21.650000,23.999282,0.000816,0.030872,0.548600,-22.321269,4.712597
0.020000,21.650001,23.997893,0.002205,0.069435,1.928131,68.976594,4.712999
0.020000,21.650003,23.995580,0.004518,0.115639,2.310188,19.102844,4.713671
0.020000,21.650009,23.992346,0.007752,0.161712,2.303671,-0.325852,4.714616
0.020000,21.650020,23.988194,0.011904,0.207602,2.294461,-0.460493,4.715837
0.020000,21.650042,23.983129,0.016969,0.253251,2.282468,-0.599679,4.717339
0.020000,21.650076,23.977157,0.022941,0.298602,2.267577,-0.744538,4.719129
0.020000,21.650130,23.970285,0.029813,0.343595,2.249638,-0.896958,4.721212
0.020000,21.650208,23.962523,0.037576,0.388165,2.228477,-1.058042,4.723598
0.020000,21.650316,23.953878,0.046221,0.432242,2.203874,-1.230139,4.726296
0.020000,21.650463,23.944364,0.055736,0.475754,2.175579,-1.414749,4.729319
0.020000,21.650656,23.933994,0.066109,0.518620,2.143294,-1.614253,4.732677
0.020000,21.650904,23.922782,0.077324,0.560753,2.106668,-1.831314,4.736388
0.020000,21.651217,23.910744,0.089365,0.602059,2.065300,-2.068373,4.740466
0.020000,21.651607,23.897902,0.102214,0.642434,2.018725,-2.328787,4.744931
0.020000,21.652083,23.884275,0.115849,0.681761,1.966397,-2.616409,4.749803
0.020000,21.652660,23.869888,0.130247,0.719915,1.907698,-2.934942,4.755106
0.020000,21.653349,23.854769,0.145382,0.756754,1.841904,-3.289701,4.760867
0.020000,21.654166,23.838947,0.161225,0.792117,1.768187,-3.685843,4.767114
0.020000,21.655125,23.822459,0.177741,0.825829,1.685587,-4.130008,4.773881
0.020000,21.656242,23.805341,0.194895,0.857689,1.592998,-4.629458,4.781204
0.020000,21.657532,23.787639,0.212644,0.887472,1.489139,-5.192906,4.789127
0.020000,21.659012,23.769400,0.230943,0.914922,1.372535,-5.830202,4.797694
0.020000,21.660699,23.750681,0.249738,0.939752,1.241481,-6.552711,4.806958
0.020000,21.662610,23.731544,0.268971,0.961632,1.094007,-7.373689,4.816979
0.020000,21.664762,23.712058,0.288574,0.980189,0.927843,-8.308197,4.827823
0.020000,21.667168,23.692304,0.308474,0.994997,0.740381,-9.373136,4.839565
0.020000,21.669844,23.672372,0.328586,1.005569,0.528624,-10.587838,4.852289
0.020000,21.672801,23.652362,0.348813,1.011352,0.289164,-11.972995,4.866092
0.020000,21.676047,23.632390,0.369047,1.011715,0.018140,-13.551195,4.881081
0.020000,21.679584,23.612584,0.389166,1.005940,-0.288759,-15.344960,4.897380
0.020000,21.683408,23.593092,0.409030,0.993215,-0.636269,-17.375476,4.915128
0.020000,21.687505,23.574076,0.428483,0.972626,-1.029446,-19.658855,4.934481
0.020000,21.691850,23.555720,0.447346,0.943156,-1.473463,-22.200887,4.955617
0.020000,21.696401,23.538228,0.465420,0.903692,-1.973223,-24.987970,4.978737
0.020000,21.701094,23.521826,0.482480,0.853038,-2.532695,-27.973629,5.004064
0.020000,21.705841,23.506756,0.498280,0.789961,-3.153857,-31.058072,5.031846
0.020000,21.710519,23.493280,0.512545,0.713261,-3.835020,-34.058182,5.062357
0.020000,21.714971,23.481666,0.524983,0.621893,-4.568368,-36.667370,5.095888
0.020000,21.718992,23.472180,0.535286,0.515165,-5.336434,-38.403291,5.132749
0.020000,21.722335,23.465066,0.543146,0.393016,-6.107449,-38.550778,5.173246
0.020000,21.724706,23.460518,0.548275,0.256421,-6.829734,-36.114247,5.217669
0.020000,21.725785,23.458649,0.550433,0.107900,-7.426038,-29.815195,5.266258
0.020000,21.725248,23.459443,0.551391,0.047911,-2.999462,221.328827,5.319156
0.020000,21.722820,23.462714,0.555465,0.203688,7.788857,539.415911,5.376365
0.020000,21.718340,23.468073,0.562449,0.349210,7.276100,-25.637811,5.437678
0.020000,21.711851,23.474918,0.571881,0.471614,6.120221,-57.793952,5.502635
0.020000,21.703677,23.482475,0.583013,0.556586,4.248576,-93.582254,5.570485
0.020000,21.694479,23.489881,0.594822,0.590457,1.693528,-127.752431,5.640207
0.020000,21.685242,23.496315,0.606079,0.562869,-1.379367,-153.644757,5.710571
0.020000,21.677190,23.501133,0.615463,0.469169,-4.685011,-165.282180,5.780255
0.020000,21.671641,23.503968,0.621694,0.311563,-7.880287,-159.763803,5.847980
0.020000,21.669838,23.504763,0.623665,0.098535,-10.651390,-138.555151,5.912637
0.020000,21.672812,23.503741,0.626810,0.157264,2.936435,679.391244,5.973372
0.020000,21.681305,23.501316,0.635642,0.441611,14.217350,564.045737,6.029613
0.020000,21.695753,23.497998,0.650466,0.741202,14.979532,38.109136,6.081056
