dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.650000,23.999841,0.000199,0.019900,0.995025,49.751244,4.712418
0.020000,19.650000,23.998866,0.001174,0.048730,1.441451,22.321302,4.712597
0.020000,19.650001,23.996673,0.003367,0.109669,3.046992,80.277062,4.712999
0.020000,19.650004,23.993016,0.007024,0.182869,3.659961,30.648444,4.713671
0.020000,19.650013,23.987892,0.012148,0.256198,3.666477,0.325794,4.714616
0.020000,19.650032,23.981298,0.018743,0.329712,3.675688,0.460542,4.715837
0.020000,19.650066,23.973228,0.026812,0.403465,3.687679,0.599556,4.717339
0.020000,19.650122,23.963678,0.036362,0.477517,3.702572,0.744660,4.719129
0.020000,19.650208,23.952640,0.047401,0.551927,3.720506,0.896719,4.721212
0.020000,19.650333,23.940105,0.059936,0.626760,3.741670,1.058188,4.723598
0.020000,19.650510,23.926065,0.073978,0.702086,3.766269,1.229931,4.726296
0.020000,19.650749,23.910507,0.089537,0.777977,3.794562,1.414672,4.729319
0.020000,19.651067,23.893420,0.106627,0.854514,3.826849,1.614325,4.732677
0.020000,19.651480,23.874789,0.125263,0.931783,3.863470,1.831049,4.736388
0.020000,19.652006,23.854598,0.145461,1.009880,3.904835,2.068240,4.740466
0.020000,19.652666,23.832830,0.167239,1.088908,3.951411,2.328806,4.744931
0.020000,19.653483,23.809464,0.190619,1.168983,4.003731,2.616031,4.749803
0.020000,19.654484,23.784480,0.215623,1.250232,4.062429,2.934893,4.755106
0.020000,19.655699,23.757852,0.242279,1.332796,4.128216,3.289336,4.760867
0.020000,19.657160,23.729553,0.270616,1.416834,4.201927,3.685571,4.767114
0.020000,19.658905,23.699553,0.300666,1.502525,4.284519,4.129598,4.773881
0.020000,19.660975,23.667819,0.332468,1.590067,4.377101,4.629092,4.781204
0.020000,19.663417,23.634314,0.366061,1.679686,4.480949,5.192374,4.789127
0.020000,19.666284,23.598997,0.401494,1.771637,4.597538,5.829466,4.797694
0.020000,19.669636,23.561824,0.438818,1.866208,4.728577,6.551946,4.806958
0.020000,19.673540,23.522744,0.478093,1.963729,4.876032,7.372774,4.816979
0.020000,19.678072,23.481702,0.519384,2.064572,5.042171,8.306936,4.827823
0.020000,19.683320,23.438637,0.562768,2.169164,5.229607,9.371797,4.839565
0.020000,19.689385,23.393483,0.608327,2.277991,5.441325,10.585927,4.852289
0.020000,19.696379,23.346165,0.656159,2.391606,5.680743,11.970864,4.866092
0.020000,19.704436,23.296603,0.706372,2.510640,5.951711,13.548398,4.881081
0.020000,19.713708,23.244708,0.759088,2.635811,6.258542,15.341549,4.897380
0.020000,19.724370,23.190386,0.814447,2.767930,6.605965,17.371172,4.915128
0.020000,19.736627,23.133534,0.872605,2.907911,6.999036,19.653531,4.934481
0.020000,19.750719,23.074045,0.933741,3.056769,7.442918,22.194106,4.955617
0.020000,19.766924,23.011808,0.998053,3.215619,7.942507,24.979454,4.978737
0.020000,19.785567,22.946712,1.065766,3.385655,8.501769,27.963104,5.004064
0.020000,19.807029,22.878653,1.137128,3.568108,9.122663,31.044675,5.031846
0.020000,19.831752,22.807545,1.212412,3.764178,9.803497,34.041703,5.062357
0.020000,19.860249,22.733330,1.291910,3.974906,10.536433,36.646841,5.095888
0.020000,19.893108,22.656002,1.375930,4.200987,11.304005,38.378562,5.132749
0.020000,19.930991,22.575634,1.464779,4.442475,12.074432,38.521392,5.173246
0.020000,19.974628,22.492413,1.558747,4.698396,12.796049,36.080837,5.217669
0.020000,20.024792,22.406687,1.658072,4.966229,13.391662,29.780652,5.266258
0.020000,20.082256,22.319014,1.762898,5.241330,13.755037,18.168740,5.319156
0.020000,20.147723,22.230209,1.873226,5.516395,13.753239,-0.089925,5.376365
0.020000,20.221725,22.141369,1.988850,5.781194,13.239954,-25.664231,5.437678
0.020000,20.304509,22.053865,2.109308,6.022876,12.084124,-57.791482,5.502635
0.020000,20.395919,21.969277,2.233850,6.227139,10.213139,-93.549273,5.570485
0.020000,20.495316,21.889254,2.361457,6.380328,7.659423,-127.685771,5.640207
0.020000,20.601580,21.815340,2.490899,6.472097,4.588456,-153.548370,5.710571
0.020000,20.713200,21.748786,2.620855,6.497798,1.285082,-165.168705,5.780255
0.020000,20.828447,21.690401,2.750048,6.459639,-1.907953,-159.651722,5.847980
0.020000,20.945585,21.640505,2.877370,6.366092,-4.677394,-138.472084,5.912637
0.020000,21.063051,21.598960,3.001966,6.229820,-6.813598,-106.810174,5.973372
0.020000,21.179579,21.565271,3.123266,6.064996,-8.241180,-71.379111,6.029613
0.020000,21.294242,21.538716,3.240965,5.884934,-9.003082,-38.095122,6.081056
0.020000,21.406441,21.518465,3.354976,5.700586,-9.217421,-10.716916,6.127616
0.020000,21.515845,21.503670,3.465375,5.519961,-9.031236,9.309225,6.169366
0.020000,21.622327,21.493526,3.572340,5.348234,-8.586386,22.242533,6.206486
0.020000,21.725904,21.487298,3.676104,5.188206,-8.001395,29.249534,6.239210
0.020000,21.826678,21.484333,3.776922,5.040884,-7.366076,31.765928,6.267793
0.020000,21.924798,21.484059,3.875042,4.906010,-6.743705,31.118563,0.009297
0.020000,22.020429,21.485978,3.970692,4.782481,-6.176432,28.363639,0.030322
0.020000,22.113729,21.489651,4.064065,4.668656,-5.691282,24.257535,0.047875
0.020000,22.204841,21.494689,4.155316,4.562546,-5.305468,19.290666,0.062112
0.020000,22.293874,21.500741,4.244554,4.461933,-5.030673,13.739749,0.073142
0.020000,22.380688,21.507467,4.331628,4.353670,-5.413167,-19.124678,0.081012
0.020000,22.464920,21.514527,4.416156,4.226394,-6.363792,-47.531276,0.085739
0.020000,22.546220,21.521602,4.497763,4.080362,-7.301574,-46.889088,0.087346
0.020000,22.624428,21.528412,4.576267,3.925198,-7.758222,-22.832413,0.085850
0.020000,22.699534,21.534722,4.651638,3.768533,-7.833224,-3.750083,0.081221
0.020000,22.771461,21.540314,4.723782,3.607215,-8.065906,-11.634088,0.073365
0.020000,22.840061,21.544992,4.792541,3.437942,-8.463648,-19.887092,0.062124
0.020000,22.905106,21.548578,4.857684,3.257173,-9.038481,-28.741661,0.047268
0.020000,22.966282,21.550924,4.918905,3.061046,-9.806316,-38.391779,0.028490
0.020000,23.023180,21.551919,4.975812,2.845343,-10.785189,-48.943614,0.005398
0.020000,23.075288,21.551507,5.027922,2.605511,-11.991598,-60.320447,6.260696
0.020000,23.121991,21.549717,5.074659,2.336842,-13.433417,-72.090959,6.227435
0.020000,23.162577,21.546694,5.115357,2.034902,-15.097026,-83.180484,6.188135
0.020000,23.196274,21.542744,5.149285,1.696390,-16.925590,-91.428153,6.142066
0.020000,23.222324,21.538382,5.175698,1.320675,-18.785764,-93.008715,6.088483
0.020000,23.240118,21.534356,5.193942,0.912192,-20.424124,-81.918023,6.026729
0.020000,23.347694,21.507628,5.304788,5.542314,231.506085,12596.510441,6.057609
0.020000,23.458492,21.484176,5.418041,5.662634,6.015992,-11274.504615,6.090867
0.020000,23.564223,21.465126,5.525475,5.371672,-14.548099,-1028.204563,6.118304
0.020000,23.665020,21.449532,5.627471,5.099802,-13.593473,47.731293,6.140427
0.020000,23.760801,21.436636,5.724116,4.832273,-13.376450,10.851165,6.157646
0.020000,23.851428,21.425810,5.815388,4.563583,-13.434490,-2.902005,6.170337
0.020000,23.936916,21.416516,5.901379,4.299587,-13.199845,11.732266,6.178868
0.020000,24.017468,21.408297,5.982349,4.048472,-12.555723,32.206105,6.183569
0.020000,24.093303,21.400782,6.058556,3.810345,-11.906338,32.469221,6.184703
0.020000,24.164581,21.393680,6.130186,3.581527,-11.440911,23.271367,6.182454
0.020000,24.231401,21.386760,6.197364,3.358869,-11.132930,15.399049,6.176946
0.020000,24.293813,21.379850,6.260157,3.139659,-10.960485,8.622243,6.168247
0.020000,24.351820,21.372824,6.318588,2.921558,-10.905036,2.772442,6.156382
0.020000,24.405387,21.365605,6.372639,2.702558,-10.949994,-2.247875,6.141330
0.020000,24.454445,21.358161,6.422259,2.480975,-11.079142,-6.457439,6.123041
0.020000,24.498900,21.350507,6.467368,2.255478,-11.274886,-9.787179,6.101436
0.020000,24.538646,21.342710,6.507871,2.025152,-11.516286,-12.070021,6.076418
0.020000,24.573572,21.334884,6.543664,1.789613,-11.776929,-13.032147,6.047884
0.020000,24.603587,21.327199,6.574647,1.549158,-12.022772,-12.292118,6.015736
0.020000,24.628637,21.319874,6.600746,1.304951,-12.210343,-9.378559,5.979897
0.020000,24.648733,21.313170,6.621930,1.059232,-12.285974,-3.781570,5.940338
0.020000,24.663979,21.307377,6.638240,0.815490,-12.187071,4.945181,5.897097
0.020000,24.674602,21.302790,6.649811,0.578557,-11.846645,17.021259,5.850312
0.020000,24.680971,21.299673,6.656902,0.354515,-11.202119,32.226337,5.800240
0.020000,24.683604,21.298222,6.659909,0.150348,-10.208345,49.688661,5.747278
0.020000,24.683161,21.298520,6.660443,0.026727,-6.181049,201.364835,5.691969
0.020000,24.680398,21.300506,6.663845,0.170114,7.169369,667.520913,5.634985
0.020000,24.676116,21.303958,6.669345,0.274978,5.243180,-96.309482,5.577098
