dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.650000,3.000153,0.000199,0.019900,0.995025,49.751244,1.570773
0.020000,19.650000,3.001093,0.001139,0.046984,1.354188,17.958141,1.570629
0.020000,19.650001,3.003208,0.003253,0.105733,2.937437,79.162468,1.570306
0.020000,19.650003,3.006733,0.006779,0.176279,3.527277,29.492020,1.569765
0.020000,19.650010,3.011671,0.011717,0.246910,3.531567,0.214465,1.569006
0.020000,19.650025,3.018025,0.018070,0.317662,3.537621,0.302703,1.568026
0.020000,19.650051,3.025796,0.025842,0.388572,3.545485,0.393231,1.566822
0.020000,19.650094,3.034989,0.035035,0.459676,3.555225,0.486967,1.565389
0.020000,19.650161,3.045610,0.045656,0.531015,3.566920,0.584746,1.563724
0.020000,19.650257,3.057662,0.057708,0.602628,3.580663,0.687182,1.561821
0.020000,19.650393,3.071152,0.071199,0.674560,3.596572,0.795457,1.559673
0.020000,19.650577,3.086088,0.086136,0.746855,3.614780,0.910386,1.557273
0.020000,19.650820,3.102478,0.102528,0.819564,3.635445,1.033217,1.554613
0.020000,19.651135,3.120330,0.120383,0.892739,3.658747,1.165132,1.551684
0.020000,19.651536,3.139654,0.139711,0.966437,3.684896,1.307441,1.548475
0.020000,19.652036,3.160463,0.160526,1.040720,3.714130,1.461723,1.544974
0.020000,19.652655,3.182767,0.182839,1.115654,3.746727,1.629813,1.541168
0.020000,19.653410,3.206581,0.206665,1.191314,3.782995,1.813438,1.537043
0.020000,19.654322,3.231921,0.232021,1.267780,3.823297,2.015097,1.532583
0.020000,19.655414,3.258801,0.258923,1.345141,3.868041,2.237203,1.527770
0.020000,19.656712,3.287242,0.287393,1.423495,3.917693,2.482576,1.522583
0.020000,19.658244,3.317261,0.317452,1.502950,3.972785,2.754622,1.517002
0.020000,19.660042,3.348883,0.349125,1.583629,4.033931,3.057268,1.511001
0.020000,19.662140,3.382130,0.382438,1.665665,4.101825,3.394714,1.504553
0.020000,19.664576,3.417030,0.417422,1.749211,4.177266,3.772048,1.497629
0.020000,19.667393,3.453610,0.454111,1.834434,4.261168,4.195093,1.490194
0.020000,19.670640,3.491903,0.492542,1.921526,4.354581,4.670660,1.482211
0.020000,19.674368,3.531944,0.532756,2.010700,4.458703,5.206097,1.473638
0.020000,19.678638,3.573770,0.574800,2.102198,4.574915,5.810615,1.464430
0.020000,19.683517,3.617424,0.618726,2.196294,4.704795,6.493998,1.454534
0.020000,19.689079,3.662952,0.664591,2.293297,4.850152,7.267857,1.443892
0.020000,19.695408,3.710403,0.712463,2.393558,5.013055,8.145151,1.432438
0.020000,19.702600,3.759832,0.762412,2.497476,5.195865,9.140460,1.420100
0.020000,19.710764,3.811298,0.814522,2.605501,5.401256,10.269575,1.406796
0.020000,19.720022,3.864867,0.868885,2.718146,5.632251,11.549760,1.392432
0.020000,19.730516,3.920608,0.925605,2.835990,5.892229,12.998880,1.376906
0.020000,19.742406,3.978595,0.984799,2.959688,6.184911,14.634095,1.360100
0.020000,19.755877,4.038908,1.046598,3.089975,6.514317,16.470315,1.341881
0.020000,19.771142,4.101631,1.111151,3.227668,6.884659,18.517079,1.322103
0.020000,19.788448,4.166847,1.178625,3.373670,7.300125,20.773306,1.300599
0.020000,19.808077,4.234642,1.249204,3.528961,7.764524,23.219936,1.277182
0.020000,19.830357,4.305095,1.323096,3.694575,8.280692,25.808406,1.251647
0.020000,19.855667,4.378272,1.400527,3.871566,8.849568,28.443840,1.223765
0.020000,19.884443,4.454223,1.481746,4.060942,9.468801,30.961604,1.193289
0.020000,19.917182,4.532958,1.567017,4.263557,10.130732,33.096561,1.159955
0.020000,19.954448,4.614440,1.656616,4.479949,10.819620,34.444390,1.123485
0.020000,19.996869,4.698550,1.750818,4.710110,11.508045,34.421248,1.083605
0.020000,20.045129,4.785063,1.849881,4.953164,12.152716,32.233577,1.040056
0.020000,20.099944,4.873609,1.954021,5.206972,12.690357,26.882042,0.992623
0.020000,20.162030,4.963629,2.063374,5.467676,13.035234,17.243867,0.941168
0.020000,20.232035,5.054343,2.177960,5.729295,13.080919,2.284215,0.885672
0.020000,20.310467,5.144728,2.297630,5.983490,12.709777,-18.557092,0.826283
0.020000,20.397587,5.233521,2.422025,6.219755,11.813239,-44.826865,0.763360
0.020000,20.493319,5.319276,2.550549,6.426210,10.322765,-74.523696,0.697499
0.020000,20.597171,5.400466,2.682372,6.591109,8.244939,-103.891308,0.629532
0.020000,20.708225,5.475625,2.816468,6.704841,5.686598,-127.917068,0.560483
0.020000,20.825188,5.543515,2.951707,6.761909,2.853399,-141.659966,0.491487
0.020000,20.946525,5.603248,3.086950,6.762181,0.013602,-141.989827,0.423680
0.020000,21.070628,5.654366,3.221168,6.710913,-2.563381,-128.849138,0.358095
0.020000,21.195981,5.696832,3.353519,6.617535,-4.668905,-105.276239,0.295573
0.020000,21.321290,5.730964,3.483393,6.493687,-6.192405,-76.174978,0.236725
0.020000,21.445547,5.757329,3.610417,6.351208,-7.123958,-46.577666,0.181924
0.020000,21.568046,5.776643,3.734429,6.200611,-7.529843,-20.294246,0.131331
0.020000,21.688348,5.789673,3.855434,6.050259,-7.517582,0.613042,0.084942
0.020000,21.806233,5.797173,3.973558,5.906165,-7.204747,15.641755,0.042631
0.020000,21.921646,5.799848,4.089002,5.772198,-6.698337,25.320491,0.004195
0.020000,22.034646,5.798329,4.202012,5.650498,-6.084974,30.668168,6.252574
0.020000,22.145091,5.793188,4.312577,5.528259,-6.111986,-1.350575,6.221208
0.020000,22.252656,5.784973,4.420454,5.393872,-6.719351,-30.368281,6.193128
0.020000,22.357091,5.774205,4.525444,5.249474,-7.219895,-25.027199,6.168136
0.020000,22.458451,5.761333,4.627617,5.108677,-7.039850,9.002267,6.145960
0.020000,22.557031,5.746715,4.727275,4.982884,-6.289647,37.510126,6.126301
0.020000,22.653097,5.730647,4.824676,4.870032,-5.642562,32.354244,6.108899
0.020000,22.746885,5.713376,4.920041,4.768284,-5.087444,27.755904,6.093532
0.020000,22.838605,5.695114,5.013562,4.676018,-4.613258,23.709339,6.080011
0.020000,22.928439,5.676041,5.105398,4.591822,-4.209799,20.172938,6.068174
0.020000,23.016547,5.656313,5.195687,4.514462,-3.868006,17.089666,6.057885
0.020000,23.103068,5.636070,5.284545,4.442862,-3.580040,14.398262,6.049027
0.020000,23.188122,5.615435,5.372066,4.376076,-3.339255,12.039248,6.041505
0.020000,23.271813,5.594518,5.458332,4.313274,-3.140102,9.957642,6.035240
0.020000,23.354231,5.573423,5.543406,4.253714,-2.978025,8.103850,6.030165
0.020000,23.435449,5.552245,5.627340,4.196727,-2.849352,6.433680,6.026231
0.020000,23.515532,5.531073,5.710174,4.141703,-2.751197,4.907763,6.023397
0.020000,23.594530,5.509994,5.791936,4.088075,-2.681381,3.490797,6.021635
0.020000,23.672482,5.489091,5.872642,4.035308,-2.638367,2.150667,6.020929
0.020000,23.749418,5.468446,5.952300,3.982884,-2.621216,0.857586,6.021271
0.020000,23.814762,5.451299,6.019856,3.377836,-30.252372,-1381.557842,6.033674
0.020000,23.877807,5.435730,6.084795,3.246945,-6.544560,1185.390632,6.048735
0.020000,23.939896,5.421425,6.148511,3.185786,-3.057934,174.331301,6.065018
0.020000,24.000889,5.408457,6.210867,3.117783,-3.400178,-17.112224,6.082662
0.020000,24.060620,5.396900,6.271706,3.041946,-3.791816,-19.581909,6.101822
0.020000,24.118899,5.386828,6.330848,2.957138,-4.240443,-22.431325,6.122678
0.020000,24.175433,5.378320,6.388020,2.858561,-4.928847,-34.420186,6.145406
0.020000,24.229773,5.371454,6.442791,2.738578,-5.999152,-53.515249,6.170137
0.020000,24.281400,5.366277,6.494677,2.594302,-7.213799,-60.732374,6.196957
0.020000,24.329877,5.362776,6.543281,2.430182,-8.205965,-49.608290,6.225965
0.020000,24.374903,5.360886,6.588347,2.253300,-8.844094,-31.906437,6.257316
0.020000,24.416237,5.360497,6.629682,2.066752,-9.327426,-24.166622,0.008019
0.020000,24.453636,5.361461,6.667094,1.870599,-9.807621,-24.009731,0.044636
0.020000,24.486877,5.363582,6.700402,1.665398,-10.260060,-22.621945,0.084163
0.020000,24.515765,5.366617,6.729450,1.452394,-10.650224,-19.508191,0.126756
0.020000,24.540168,5.370273,6.754125,1.233744,-10.932475,-14.112579,0.172529
0.020000,24.560036,5.374215,6.774379,1.012738,-11.050341,-5.893282,0.221527
0.020000,24.575436,5.378084,6.790258,0.793948,-10.939492,5.542422,0.273707
0.020000,24.586582,5.381525,6.801923,0.583254,-10.534680,20.240600,0.328908
0.020000,24.593850,5.384223,6.809676,0.387629,-9.781257,37.671178,0.386827
0.020000,24.597781,5.385945,6.813968,0.214622,-8.650351,56.545276,0.447013
0.020000,24.599058,5.386592,6.815399,0.071536,-7.154304,74.802361,0.508867
0.020000,24.598452,5.386218,6.816111,0.035610,-1.796291,267.900659,0.571671
0.020000,24.596757,5.385045,6.818172,0.103048,3.371894,258.409260,0.634629
0.020000,24.594713,5.383438,6.820772,0.130005,1.347834,-101.203001,0.696932
0.020000,24.592937,5.381860,6.823149,0.118818,-0.559322,-95.357798,0.757818
0.020000,24.591881,5.380808,6.824639,0.074520,-2.214892,-82.778514,0.816623
0.020000,24.591823,5.380754,6.824719,0.003974,-3.527331,-65.621979,0.872823
0.020000,24.592876,5.382094,6.826424,0.085269,4.064768,379.604982,0.926044
0.020000,24.595026,5.385124,6.830139,0.185740,5.023526,47.937883,0.976062
0.020000,24.598164,5.390024,6.835957,0.290929,5.259462,11.796803,1.022782
0.020000,24.602130,5.396869,6.843869,0.395555,5.231298,-1.408191,1.066215
0.020000,24.606739,5.405646,6.853782,0.495672,5.005883,-11.270743,1.106451
0.020000,24.611807,5.416271,6.865553,0.588575,4.645106,-18.038868,1.143636
0.020000,24.617162,5.428611,6.879005,0.672594,4.200955,-22.207535,1.177946
0.020000,24.622655,5.442502,6.893943,0.746874,3.713997,-24.347928,1.209576
0.020000,24.628161,5.457762,6.910166,0.811153,3.213969,-25.001383,1.238727
0.020000,24.633579,5.474204,6.927477,0.865581,2.721417,-24.627588,1.265595
0.020000,24.638831,5.491641,6.945689,0.910574,2.249632,-23.589254,1.290370
0.020000,24.643859,5.509895,6.964623,0.946704,1.806486,-22.157294,1.313228
0.020000,24.648622,5.528797,6.984116,0.974623,1.395986,-20.524992,1.334334
0.020000,24.653092,5.548189,7.004016,0.995013,1.019496,-18.824545,1.353837
0.020000,24.657253,5.567926,7.024187,1.008546,0.676648,-17.142352,1.371876
0.020000,24.661100,5.587876,7.044504,1.015867,0.366012,-15.531804,1.388575
0.020000,24.664631,5.607919,7.064856,1.017578,0.085549,-14.023172,1.404046
0.020000,24.667852,5.627946,7.085140,1.014236,-0.167075,-12.631213,1.418389
0.020000,24.670774,5.647860,7.105267,1.006350,-0.394282,-11.360346,1.431696
0.020000,24.673409,5.667572,7.125155,0.994381,-0.598452,-10.208510,1.444049
0.020000,24.675771,5.687004,7.144730,0.978744,-0.781852,-9.169955,1.455520
0.020000,24.677876,5.706084,7.163926,0.959813,-0.946583,-8.236598,1.466176
0.020000,24.679742,5.724750,7.182684,0.937921,-1.094575,-7.399594,1.476075
0.020000,24.681385,5.742943,7.200952,0.913370,-1.227572,-6.649841,1.485272
0.020000,24.682824,5.760613,7.218680,0.886427,-1.347140,-5.978383,1.493813
0.020000,24.684074,5.777714,7.235827,0.857333,-1.454679,-5.376938,1.501743
0.020000,24.685154,5.794205,7.252353,0.826305,-1.551432,-4.837675,1.509099
0.020000,24.686078,5.810049,7.268224,0.793535,-1.638504,-4.353612,1.515916
0.020000,24.686863,5.825212,7.283408,0.759197,-1.716870,-3.918301,1.522226
0.020000,24.687523,5.839666,7.297877,0.723449,-1.787393,-3.526109,1.528057
0.020000,24.688072,5.853384,7.311605,0.686433,-1.850831,-3.171903,1.533434
0.020000,24.688524,5.866342,7.324571,0.648276,-1.907854,-2.851185,1.538380
0.020000,24.688891,5.878518,7.336753,0.609095,-1.959052,-2.559892,1.542916
0.020000,24.689185,5.889894,7.348133,0.568996,-2.004942,-2.294517,1.547060
0.020000,24.689416,5.900453,7.358694,0.528076,-2.045979,-2.051815,1.550828
0.020000,24.689593,5.910180,7.368423,0.486425,-2.082560,-1.829057,1.554236
0.020000,24.689727,5.919061,7.377305,0.444124,-2.115034,-1.623691,1.557295
0.020000,24.689824,5.927086,7.385330,0.401250,-2.143703,-1.433446,1.560018
0.020000,24.689893,5.934243,7.392488,0.357874,-2.168830,-1.256364,1.562414
0.020000,24.689939,5.940524,7.398769,0.314061,-2.190643,-1.090631,1.564492
0.020000,24.689968,5.945921,7.404166,0.269874,-2.209333,-0.934542,1.566260
0.020000,24.689985,5.950429,7.408674,0.225373,-2.225067,-0.786662,1.567724
0.020000,24.689994,5.954041,7.412286,0.180613,-2.237979,-0.645626,1.568890
