dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.650000,3.000106,0.000199,0.019900,0.995025,49.751244,1.570773
0.020000,21.650000,3.000759,0.000851,0.032618,0.635863,-17.958115,1.570629
0.020000,21.650001,3.002226,0.002319,0.073371,2.037687,70.091203,1.570306
0.020000,21.650002,3.004671,0.004763,0.122229,2.442872,20.259262,1.569765
0.020000,21.650007,3.008091,0.008183,0.171001,2.438581,-0.214520,1.569006
0.020000,21.650017,3.012484,0.012576,0.219651,2.432529,-0.302649,1.568026
0.020000,21.650035,3.017847,0.017939,0.268144,2.424663,-0.393277,1.566822
0.020000,21.650065,3.024175,0.024268,0.316443,2.414922,-0.487036,1.565389
0.020000,21.650110,3.031465,0.031558,0.364507,2.403228,-0.584690,1.563724
0.020000,21.650177,3.039711,0.039804,0.412297,2.389483,-0.687254,1.561821
0.020000,21.650269,3.048906,0.049000,0.459769,2.373574,-0.795468,1.559673
0.020000,21.650394,3.059043,0.059137,0.506876,2.355365,-0.910473,1.557273
0.020000,21.650558,3.070113,0.070209,0.553570,2.334699,-1.033281,1.554613
0.020000,21.650770,3.082107,0.082204,0.599798,2.311396,-1.165154,1.551684
0.020000,21.651037,3.095014,0.095115,0.645503,2.285246,-1.307507,1.548475
0.020000,21.651370,3.108823,0.108927,0.690623,2.256009,-1.461849,1.544974
0.020000,21.651777,3.123519,0.123629,0.735091,2.223412,-1.629851,1.541168
0.020000,21.652271,3.139088,0.139205,0.778834,2.187139,-1.813629,1.537043
0.020000,21.652862,3.155513,0.155641,0.821771,2.146834,-2.015236,1.532583
0.020000,21.653563,3.172775,0.172917,0.863812,2.102088,-2.237299,1.527770
0.020000,21.654388,3.190853,0.191014,0.904861,2.052433,-2.482771,1.522583
0.020000,21.655351,3.209725,0.209911,0.944808,1.997335,-2.754923,1.517002
0.020000,21.656468,3.229364,0.229581,0.983531,1.936185,-3.057498,1.511001
0.020000,21.657753,3.249741,0.249999,1.020897,1.868285,-3.394998,1.504553
0.020000,21.659225,3.270825,0.271134,1.056754,1.792836,-3.772436,1.497629
0.020000,21.660900,3.292579,0.292953,1.090932,1.708924,-4.195603,1.490194
0.020000,21.662797,3.314964,0.315418,1.123242,1.615502,-4.671105,1.482211
0.020000,21.664936,3.337934,0.338487,1.153470,1.511365,-5.206823,1.473638
0.020000,21.667335,3.361439,0.362114,1.181372,1.395138,-5.811342,1.464430
0.020000,21.670015,3.385423,0.386248,1.206677,1.265240,-6.494930,1.454534
0.020000,21.672995,3.409823,0.410830,1.229074,1.119860,-7.269000,1.443892
0.020000,21.676295,3.434569,0.435794,1.248213,0.956929,-8.146548,1.432438
0.020000,21.679934,3.459579,0.461068,1.263695,0.774088,-9.142059,1.420100
0.020000,21.683928,3.484766,0.486569,1.275068,0.568656,-10.271609,1.406796
0.020000,21.688293,3.510028,0.512205,1.281820,0.337609,-11.552318,1.392432
0.020000,21.693040,3.535252,0.537873,1.283371,0.077570,-13.001940,1.376906
0.020000,21.698177,3.560313,0.563454,1.279068,-0.215187,-14.637858,1.360100
0.020000,21.703703,3.585067,0.588818,1.268174,-0.544687,-16.475025,1.341881
0.020000,21.709612,3.609356,0.613815,1.249871,-0.915145,-18.522878,1.322103
0.020000,21.715884,3.633003,0.638280,1.223256,-1.330755,-20.780510,1.300599
0.020000,21.722485,3.655815,0.662027,1.187349,-1.795333,-23.228911,1.277182
0.020000,21.729362,3.677576,0.684849,1.141115,-2.311724,-25.819515,1.251647
0.020000,21.736440,3.698057,0.706519,1.083497,-2.880874,-28.457534,1.223765
0.020000,21.743616,3.717014,0.726789,1.013488,-3.500445,-30.978518,1.193289
0.020000,21.750752,3.734196,0.745394,0.930233,-4.162787,-33.117115,1.159955
0.020000,21.757675,3.749354,0.762058,0.833189,-4.852167,-34.469008,1.123485
0.020000,21.764172,3.762258,0.776505,0.722366,-5.541171,-34.450204,1.083605
0.020000,21.769994,3.772720,0.788478,0.598636,-6.186499,-32.266370,1.040056
0.020000,21.774869,3.780619,0.797760,0.464139,-6.724849,-26.917514,0.992623
0.020000,21.778523,3.785940,0.804215,0.322730,-7.070432,-17.279167,0.941168
0.020000,21.780716,3.788805,0.807823,0.180396,-7.116724,-2.314570,0.885672
0.020000,21.781303,3.789500,0.808733,0.045479,-6.745854,18.543470,0.826283
0.020000,21.780293,3.788487,0.810163,0.071518,1.301963,402.390855,0.763360
0.020000,21.777925,3.786374,0.813337,0.158687,4.358467,152.825219,0.697499
0.020000,21.774705,3.783860,0.817422,0.204279,2.279606,-103.943060,0.629532
0.020000,21.771416,3.781629,0.821396,0.198672,-0.280385,-127.999580,0.560483
0.020000,21.769063,3.780251,0.824123,0.136359,-3.115619,-141.761659,0.491487
0.020000,21.768762,3.780084,0.824467,0.017225,-5.956711,-142.054607,0.423680
0.020000,21.771609,3.781234,0.827538,0.153531,6.815290,638.600050,0.358095
0.020000,21.778557,3.783562,0.834866,0.366403,10.643620,191.416493,0.295573
0.020000,21.790331,3.786741,0.847061,0.609766,12.168154,76.226705,0.236725
0.020000,21.807392,3.790335,0.864497,0.871769,13.100151,46.599863,0.181924
0.020000,21.829955,3.793866,0.887335,1.141890,13.506021,20.293459,0.131331
0.020000,21.858029,3.796883,0.915570,1.411758,13.493425,-0.629786,0.084942
0.020000,21.891469,3.798990,0.949077,1.675360,13.180069,-15.667771,0.042631
0.020000,21.930036,3.799865,0.987653,1.928821,12.673057,-25.350598,0.004195
