dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500105,14.000000,0.000199,0.019900,0.995025,49.751244,0.000039
0.020000,1.500687,14.000000,0.000780,0.029054,0.457675,-26.867517,0.000254
0.020000,1.501994,14.000001,0.002087,0.065357,1.815153,67.873923,0.000738
0.020000,1.504171,14.000003,0.004265,0.108884,2.176348,18.059769,0.001545
0.020000,1.507218,14.000010,0.007312,0.152344,2.173016,-0.166618,0.002677
0.020000,1.511132,14.000023,0.011226,0.195711,2.168346,-0.233494,0.004136
0.020000,1.515912,14.000047,0.016005,0.238958,2.162335,-0.300569,0.005924
0.020000,1.521553,14.000086,0.021646,0.282057,2.154977,-0.367905,0.008044
0.020000,1.528052,14.000147,0.028146,0.324983,2.146266,-0.435529,0.010500
0.020000,1.535406,14.000234,0.035500,0.367707,2.136197,-0.503428,0.013295
0.020000,1.543609,14.000356,0.043704,0.410202,2.124765,-0.571615,0.016434
0.020000,1.552656,14.000521,0.052753,0.452441,2.111965,-0.640002,0.019923
0.020000,1.562542,14.000737,0.062641,0.494397,2.097794,-0.708567,0.023766
0.020000,1.573259,14.001014,0.073362,0.536042,2.082251,-0.777149,0.027971
0.020000,1.584801,14.001363,0.084909,0.577349,2.065339,-0.845598,0.032543
0.020000,1.597159,14.001796,0.097275,0.618290,2.047065,-0.913669,0.037491
0.020000,1.610325,14.002325,0.110451,0.658839,2.027444,-0.981098,0.042821
0.020000,1.624290,14.002963,0.124431,0.698969,2.006493,-1.047513,0.048544
0.020000,1.639043,14.003725,0.139204,0.738654,1.984244,-1.112441,0.054666
0.020000,1.654574,14.004626,0.154761,0.777869,1.960738,-1.175333,0.061198
0.020000,1.670872,14.005681,0.171093,0.816589,1.936027,-1.235537,0.068150
0.020000,1.687924,14.006908,0.188189,0.854793,1.910183,-1.292216,0.075532
0.020000,1.705717,14.008324,0.206038,0.892459,1.883294,-1.344457,0.083354
0.020000,1.724237,14.009949,0.224629,0.929568,1.855472,-1.391098,0.091628
0.020000,1.743470,14.011800,0.243951,0.966105,1.826854,-1.430887,0.100366
0.020000,1.763401,14.013900,0.263993,1.002057,1.797608,-1.462302,0.109578
0.020000,1.784014,14.016269,0.284741,1.037416,1.767935,-1.483624,0.119278
0.020000,1.805292,14.018929,0.306184,1.072178,1.738076,-1.492963,0.129476
0.020000,1.827218,14.021903,0.328311,1.106344,1.708315,-1.488055,0.140185
0.020000,1.849774,14.025215,0.351110,1.139924,1.678984,-1.466543,0.151416
0.020000,1.872944,14.028889,0.374569,1.172933,1.650470,-1.425730,0.163181
0.020000,1.896707,14.032951,0.398676,1.205397,1.623215,-1.362731,0.175491
0.020000,1.921045,14.037428,0.423423,1.237352,1.597726,-1.274450,0.188355
0.020000,1.945941,14.042347,0.448800,1.268843,1.574573,-1.157636,0.201784
0.020000,1.971375,14.047735,0.474799,1.299931,1.554394,-1.008942,0.215786
0.020000,1.997330,14.053622,0.501413,1.330689,1.537894,-0.825032,0.230366
0.020000,2.023787,14.060039,0.528637,1.361206,1.525840,-0.602670,0.245529
0.020000,2.050730,14.067015,0.556469,1.391587,1.519062,-0.338890,0.261279
0.020000,2.078143,14.074585,0.584908,1.421956,1.518439,-0.031163,0.277616
0.020000,2.106012,14.082782,0.613957,1.452454,1.524887,0.322400,0.294537
0.020000,2.134323,14.091641,0.643622,1.483241,1.539343,0.722768,0.312036
0.020000,2.163065,14.101200,0.673912,1.514495,1.562740,1.169854,0.330104
0.020000,2.192229,14.111497,0.704840,1.546415,1.595981,1.662075,0.348727
0.020000,2.221807,14.122573,0.736424,1.579213,1.639907,2.196305,0.367889
0.020000,2.251796,14.134471,0.768686,1.613118,1.695257,2.767499,0.387566
0.020000,2.282191,14.147238,0.801654,1.648371,1.762630,3.368662,0.407732
0.020000,2.312993,14.160921,0.835358,1.685220,1.842444,3.990679,0.428356
0.020000,2.344203,14.175572,0.869837,1.723918,1.934894,4.622489,0.449399
0.020000,2.375827,14.191244,0.905131,1.764716,2.039917,5.251150,0.470821
0.020000,2.407870,14.207996,0.941288,1.807859,2.157163,5.862290,0.492573
0.020000,2.440338,14.225887,0.978360,1.853579,2.285973,6.440530,0.514605
0.020000,2.473242,14.244979,1.016401,1.902086,2.425377,6.970202,0.536861
0.020000,2.506590,14.265338,1.055473,1.953568,2.574098,7.436025,0.559282
0.020000,2.540391,14.287031,1.095636,2.008180,2.730578,7.823990,0.581804
0.020000,2.574654,14.310128,1.136957,2.066040,2.893020,8.122116,0.604363
0.020000,2.609386,14.334699,1.179502,2.127229,3.059444,8.321229,0.626892
0.020000,2.644594,14.360813,1.223337,2.191784,3.227755,8.415525,0.649324
0.020000,2.680283,14.388541,1.268531,2.259700,3.395814,8.402975,0.671592
0.020000,2.716453,14.417952,1.315150,2.330931,3.561524,8.285479,0.693629
0.020000,2.753105,14.449112,1.363258,2.405389,3.722899,8.068741,0.715371
0.020000,2.790237,14.482086,1.412917,2.482952,3.878137,7.761925,0.736756
0.020000,2.827843,14.516933,1.464186,2.563465,4.025679,7.377083,0.757724
0.020000,2.865917,14.553709,1.517121,2.646750,4.164248,6.928446,0.778221
0.020000,2.904449,14.592466,1.571773,2.732608,4.292880,6.431614,0.798195
0.020000,2.943430,14.633250,1.628190,2.820826,4.410936,5.902762,0.817598
0.020000,2.982849,14.676101,1.686414,2.911188,4.518093,5.357864,0.836389
0.020000,3.022694,14.721054,1.746483,3.003475,4.614334,4.812053,0.854527
0.020000,3.062853,14.768017,1.808276,3.089650,4.308765,-15.278437,0.871937
0.020000,3.103119,14.816758,1.871498,3.161087,3.571847,-36.845888,0.888516
0.020000,3.143288,14.867009,1.935831,3.216653,2.778269,-39.678924,0.904182
0.020000,3.183262,14.918605,2.001100,3.263448,2.339768,-21.925034,0.918913
0.020000,3.223046,14.971497,2.067284,3.309215,2.288362,-2.570311,0.932728
0.020000,3.262647,15.025638,2.134362,3.353904,2.234417,-2.697248,0.945649
0.020000,3.302075,15.080979,2.202312,3.397488,2.179221,-2.759778,0.957699
0.020000,3.341342,15.137472,2.271111,3.439965,2.123863,-2.767904,0.968900
0.020000,3.380462,15.195070,2.340738,3.481350,2.069250,-2.730647,0.979272
0.020000,3.419453,15.253726,2.411172,3.521673,2.016130,-2.656022,0.988839
0.020000,3.458334,15.313396,2.482391,3.560975,1.965110,-2.551004,0.997619
0.020000,3.497125,15.374036,2.554377,3.599309,1.916678,-2.421584,1.005632
0.020000,3.535851,15.435604,2.627112,3.636733,1.871222,-2.272827,1.012898
0.020000,3.574537,15.498060,2.700578,3.673314,1.829042,-2.108962,1.019431
0.020000,3.613209,15.561365,2.774761,3.709121,1.790373,-1.933465,1.025249
0.020000,3.651898,15.625481,2.849645,3.744229,1.755390,-1.749168,1.030364
0.020000,3.690634,15.690373,2.925220,3.778714,1.724223,-1.558325,1.034790
0.020000,3.729450,15.756007,3.001473,3.812653,1.696969,-1.362721,1.038537
0.020000,3.768381,15.822351,3.078395,3.846127,1.673694,-1.163727,1.041614
0.020000,3.807463,15.889372,3.155980,3.879216,1.654447,-0.962387,1.044030
0.020000,3.846734,15.957043,3.234220,3.912001,1.639257,-0.759476,1.045790
0.020000,3.886235,16.025333,3.313111,3.944564,1.628146,-0.555549,1.046898
0.020000,3.926005,16.094216,3.392651,3.976986,1.621126,-0.351002,1.047359
0.020000,3.966356,16.164121,3.473366,4.035752,2.938280,65.857683,1.046549
0.020000,4.013295,16.244122,3.566120,4.637725,30.098666,1358.019331,1.033794
0.020000,4.061404,16.323747,3.659151,4.651516,0.689534,-1470.456594,1.020763
0.020000,4.110704,16.402967,3.752458,4.665377,0.693030,0.174757,1.007455
0.020000,4.161214,16.481751,3.846044,4.679274,0.694855,0.091263,0.993869
0.020000,4.212955,16.560066,3.939907,4.693170,0.694835,-0.000977,0.980005
0.020000,4.265943,16.637878,4.034047,4.707026,0.692800,-0.101773,0.965863
0.020000,4.320195,16.715151,4.128463,4.720798,0.688571,-0.211455,0.951447
0.020000,4.375726,16.791847,4.223152,4.734437,0.681974,-0.329826,0.936757
0.020000,4.432548,16.867928,4.318110,4.747894,0.672842,-0.456593,0.921798
0.020000,4.490674,16.943351,4.413332,4.761114,0.661012,-0.591506,0.906575
0.020000,4.550111,17.018076,4.508813,4.774041,0.646335,-0.733868,0.891093
0.020000,4.610868,17.092058,4.604545,4.786615,0.628674,-0.883031,0.875360
0.020000,4.672947,17.165253,4.700521,4.798773,0.607915,-1.037959,0.859384
0.020000,4.736349,17.237615,4.796730,4.810452,0.583965,-1.197502,0.843173
0.020000,4.801074,17.309097,4.893162,4.821587,0.556759,-1.360328,0.826741
0.020000,4.867116,17.379654,4.989804,4.832113,0.526263,-1.524788,0.810097
0.020000,4.934467,17.449236,5.086643,4.841962,0.492478,-1.689232,0.793257
0.020000,5.003116,17.517796,5.183665,4.851071,0.455446,-1.851592,0.776234
0.020000,5.073046,17.585288,5.280852,4.859376,0.415247,-2.009965,0.759046
0.020000,5.144241,17.651664,5.378188,4.866816,0.372005,-2.162082,0.741708
0.020000,5.216676,17.716877,5.475655,4.873334,0.325888,-2.305865,0.724240
0.020000,5.290327,17.780885,5.573233,4.878876,0.277108,-2.438979,0.706661
0.020000,5.365164,17.843642,5.670901,4.883394,0.225919,-2.559453,0.688992
0.020000,5.441154,17.905108,5.768637,4.886847,0.172615,-2.665210,0.671254
0.020000,5.518260,17.965243,5.866421,4.889197,0.117527,-2.754394,0.653469
0.020000,5.596444,18.024012,5.964230,4.890418,0.061018,-2.825486,0.635659
0.020000,5.675664,18.081379,6.062040,4.890487,0.003473,-2.877211,0.617848
0.020000,5.755874,18.137314,6.159827,4.889393,-0.054697,-2.908527,0.600059
0.020000,5.837028,18.191790,6.257570,4.887132,-0.113076,-2.918919,0.582315
0.020000,5.919077,18.244784,6.355244,4.883707,-0.171239,-2.908172,0.564640
0.020000,6.001969,18.296274,6.452827,4.879132,-0.228768,-2.876455,0.547056
0.020000,6.085653,18.346245,6.550295,4.873426,-0.285256,-2.824380,0.529586
0.020000,6.170076,18.394684,6.647628,4.866620,-0.340313,-2.752878,0.512252
0.020000,6.255184,18.441583,6.744803,4.858749,-0.393578,-2.663252,0.495076
0.020000,6.340924,18.486938,6.841800,4.849854,-0.444720,-2.557088,0.478078
0.020000,6.427243,18.530749,6.938599,4.839985,-0.493444,-2.436203,0.461277
0.020000,6.514086,18.573017,7.035183,4.829195,-0.539497,-2.302621,0.444692
0.020000,6.601403,18.613751,7.131534,4.817542,-0.582666,-2.158488,0.428340
