dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500183,12.000000,0.000199,0.019900,0.995025,49.751244,0.000039
0.020000,1.501194,12.000000,0.001210,0.050548,1.532375,26.867513,0.000254
0.020000,1.503469,12.000001,0.003485,0.113747,3.159971,81.379804,0.000738
0.020000,1.507262,12.000006,0.007277,0.189623,3.793801,31.691479,0.001545
0.020000,1.512573,12.000017,0.012589,0.265566,3.797133,0.166594,0.002677
0.020000,1.519405,12.000040,0.019421,0.341602,3.801802,0.233450,0.004136
0.020000,1.527760,12.000082,0.027776,0.417758,3.807812,0.300540,0.005924
0.020000,1.537641,12.000151,0.037657,0.494062,3.815170,0.367870,0.008044
0.020000,1.549051,12.000257,0.049068,0.570539,3.823879,0.435465,0.010500
0.020000,1.561995,12.000411,0.062012,0.647218,3.833947,0.503371,0.013295
0.020000,1.576476,12.000626,0.076495,0.724126,3.845377,0.571519,0.016434
0.020000,1.592499,12.000917,0.092521,0.801289,3.858176,0.639943,0.019923
0.020000,1.610070,12.001301,0.110095,0.878736,3.872345,0.708463,0.023766
0.020000,1.629193,12.001796,0.129225,0.956494,3.887886,0.777035,0.027971
0.020000,1.649875,12.002422,0.149917,1.034590,3.904795,0.845455,0.032543
0.020000,1.672123,12.003201,0.172178,1.113051,3.923066,0.913539,0.037491
0.020000,1.695942,12.004158,0.196016,1.191905,3.942685,0.980948,0.042821
0.020000,1.721339,12.005319,0.221440,1.271177,3.963631,1.047322,0.048544
0.020000,1.748321,12.006713,0.248458,1.350895,3.985876,1.112239,0.054666
0.020000,1.776894,12.008370,0.277079,1.431083,4.009378,1.175130,0.061198
0.020000,1.807066,12.010324,0.307315,1.511764,4.034084,1.235284,0.068150
0.020000,1.838843,12.012610,0.339174,1.592963,4.059923,1.291959,0.075532
0.020000,1.872232,12.015268,0.372668,1.674699,4.086806,1.344136,0.083354
0.020000,1.907237,12.018339,0.407808,1.756991,4.114622,1.390784,0.091628
0.020000,1.943865,12.021865,0.444605,1.839856,4.143232,1.430524,0.100366
0.020000,1.982119,12.025896,0.483071,1.923305,4.172470,1.461906,0.109578
0.020000,2.022004,12.030479,0.523218,2.007348,4.202135,1.483229,0.119278
0.020000,2.063520,12.035669,0.565058,2.091988,4.231984,1.492456,0.129476
0.020000,2.106670,12.041522,0.608602,2.177222,4.261735,1.487565,0.140185
0.020000,2.151450,12.048098,0.653863,2.263044,4.291055,1.465998,0.151416
0.020000,2.197859,12.055458,0.700852,2.349435,4.319558,1.425149,0.163181
0.020000,2.245889,12.063670,0.749579,2.436371,4.346800,1.362110,0.175491
0.020000,2.295533,12.072801,0.800055,2.523816,4.372276,1.273787,0.188355
