dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500183,15.000000,0.000199,0.019900,0.995025,49.751244,6.283146
0.020000,1.501194,15.000000,0.001210,0.050548,1.532375,26.867513,6.282931
0.020000,1.503469,14.999999,0.003485,0.113747,3.159971,81.379804,6.282447
0.020000,1.507262,14.999994,0.007277,0.189623,3.793801,31.691479,6.281640
0.020000,1.512573,14.999983,0.012589,0.265566,3.797133,0.166594,6.280508
0.020000,1.519405,14.999960,0.019421,0.341602,3.801802,0.233450,6.279049
0.020000,1.527760,14.999918,0.027776,0.417758,3.807812,0.300540,6.277261
0.020000,1.537641,14.999849,0.037657,0.494062,3.815170,0.367870,6.275141
0.020000,1.549051,14.999743,0.049068,0.570539,3.823879,0.435465,6.272685
0.020000,1.561995,14.999589,0.062012,0.647218,3.833947,0.503371,6.269890
0.020000,1.576476,14.999374,0.076495,0.724126,3.845377,0.571519,6.266751
0.020000,1.592499,14.999083,0.092521,0.801289,3.858176,0.639943,6.263262
0.020000,1.610070,14.998699,0.110095,0.878736,3.872345,0.708463,6.259419
0.020000,1.629193,14.998204,0.129225,0.956494,3.887886,0.777035,6.255215
0.020000,1.649875,14.997578,0.149917,1.034590,3.904795,0.845455,6.250642
0.020000,1.672123,14.996799,0.172178,1.113051,3.923066,0.913539,6.245695
0.020000,1.695942,14.995842,0.196016,1.191905,3.942685,0.980948,6.240364
0.020000,1.721339,14.994681,0.221440,1.271177,3.963631,1.047322,6.234642
0.020000,1.748321,14.993287,0.248458,1.350895,3.985876,1.112239,6.228519
0.020000,1.776894,14.991630,0.277079,1.431083,4.009378,1.175130,6.221987
0.020000,1.807066,14.989676,0.307315,1.511764,4.034084,1.235284,6.215035
0.020000,1.838843,14.987390,0.339174,1.592963,4.059923,1.291959,6.207654
0.020000,1.872232,14.984732,0.372668,1.674699,4.086806,1.344136,6.199831
0.020000,1.907237,14.981661,0.407808,1.756991,4.114622,1.390784,6.191557
0.020000,1.943865,14.978135,0.444605,1.839856,4.143232,1.430524,6.182820
0.020000,1.982119,14.974104,0.483071,1.923305,4.172470,1.461906,6.173607
0.020000,2.022004,14.969521,0.523218,2.007348,4.202135,1.483229,6.163908
0.020000,2.063520,14.964331,0.565058,2.091988,4.231984,1.492456,6.153710
0.020000,2.106670,14.958478,0.608602,2.177222,4.261735,1.487565,6.143001
0.020000,2.151450,14.951902,0.653863,2.263044,4.291055,1.465998,6.131769
0.020000,2.197859,14.944542,0.700852,2.349435,4.319558,1.425149,6.120004
0.020000,2.245889,14.936330,0.749579,2.436371,4.346800,1.362110,6.107695
0.020000,2.295533,14.927199,0.800055,2.523816,4.372276,1.273787,6.094830
0.020000,2.346777,14.917074,0.852290,2.611725,4.395415,1.156933,6.081401
0.020000,2.399605,14.905882,0.906290,2.700036,4.415579,1.008217,6.067400
0.020000,2.453997,14.893544,0.962064,2.788677,4.432065,0.824277,6.052820
0.020000,2.509926,14.879979,1.019615,2.877559,4.444103,0.601899,6.037656
0.020000,2.567363,14.865105,1.078947,2.966577,4.450865,0.338110,6.021906
0.020000,2.626271,14.848838,1.140059,3.055606,4.451473,0.030383,6.005569
0.020000,2.686605,14.831091,1.202949,3.144506,4.445010,-0.323138,5.988649
0.020000,2.748316,14.811780,1.267611,3.233117,4.430540,-0.723513,5.971150
0.020000,2.811347,14.790818,1.334037,3.321260,4.407130,-1.170495,5.953082
0.020000,2.875633,14.768120,1.402211,3.408737,4.373876,-1.662670,5.934458
0.020000,2.941100,14.743605,1.472118,3.495336,4.329941,-2.196775,5.915297
0.020000,3.007668,14.717192,1.543735,3.580828,4.274584,-2.767855,5.895619
0.020000,3.075248,14.688807,1.617034,3.664972,4.207207,-3.368836,5.875453
0.020000,3.143744,14.658379,1.691984,3.747520,4.127393,-3.990704,5.854830
0.020000,3.213052,14.625845,1.768549,3.828219,4.034947,-4.622288,5.833786
0.020000,3.283062,14.591148,1.846685,3.906817,3.929932,-5.250733,5.812365
0.020000,3.353659,14.554242,1.926347,3.983071,3.812700,-5.861621,5.790612
0.020000,3.424721,14.515087,2.007482,4.056750,3.683907,-6.439630,5.768580
0.020000,3.496125,14.473657,2.090034,4.127640,3.544527,-6.969038,5.746324
0.020000,3.567745,14.429935,2.173945,4.195557,3.395834,-7.434628,5.723904
0.020000,3.639455,14.383914,2.259152,4.260345,3.239387,-7.822360,5.701382
0.020000,3.711129,14.335600,2.345590,4.321884,3.076981,-8.120292,5.678823
0.020000,3.782647,14.285011,2.433192,4.380096,2.910596,-8.319236,5.656293
0.020000,3.853890,14.232173,2.521891,4.434943,2.742328,-8.413402,5.633861
0.020000,3.924748,14.177123,2.611619,4.486429,2.574313,-8.400774,5.611594
0.020000,3.995116,14.119910,2.702311,4.534602,2.408648,-8.283242,5.589557
0.020000,4.064900,14.060588,2.793902,4.579548,2.247318,-8.066519,5.567814
0.020000,4.134014,13.999219,2.886330,4.621391,2.092122,-7.759764,5.546430
0.020000,4.202384,13.935871,2.979536,4.660283,1.944622,-7.375028,5.525461
0.020000,4.269944,13.870618,3.073464,4.696405,1.806091,-6.926530,5.504964
0.020000,4.336644,13.803535,3.168063,4.729955,1.677494,-6.429876,5.484990
0.020000,4.402441,13.734700,3.263286,4.761144,1.559469,-5.901218,5.465587
0.020000,4.467304,13.664194,3.359090,4.790191,1.452339,-5.356534,5.446797
0.020000,4.531215,13.592097,3.455436,4.817313,1.356120,-4.810946,5.428658
0.020000,4.594007,13.518672,3.552049,4.830648,0.666718,-34.470066,5.411248
0.020000,4.655393,13.444371,3.648427,4.818921,-0.586340,-62.652940,5.394669
0.020000,4.715128,13.369648,3.744093,4.783266,-1.782765,-59.821235,5.379003
0.020000,4.773147,13.294765,3.838822,4.736480,-2.339294,-27.826451,5.364273
0.020000,4.829541,13.219793,3.932637,4.690721,-2.287926,2.568385,5.350457
0.020000,4.884401,13.144795,4.025558,4.646041,-2.234019,2.695381,5.337536
0.020000,4.937814,13.069827,4.117607,4.602464,-2.178859,2.758009,5.325486
0.020000,4.989868,12.994942,4.208807,4.559993,-2.123534,2.766223,5.314286
0.020000,5.040646,12.920184,4.299179,4.518614,-2.068953,2.729067,5.303913
0.020000,5.090230,12.845595,4.388745,4.478297,-2.015862,2.654540,5.294347
0.020000,5.138698,12.771213,4.477525,4.438999,-1.964870,2.549622,5.285567
0.020000,5.186127,12.697072,4.565538,4.400670,-1.916464,2.420297,5.277553
0.020000,5.232590,12.623205,4.652803,4.363249,-1.871031,2.271628,5.270288
0.020000,5.278157,12.549641,4.739337,4.326672,-1.828874,2.107843,5.263754
0.020000,5.322896,12.476408,4.825154,4.290867,-1.790226,1.932426,5.257937
0.020000,5.366871,12.403533,4.910269,4.255762,-1.755262,1.748193,5.252821
0.020000,5.410144,12.331041,4.994695,4.221280,-1.724114,1.557413,5.248396
0.020000,5.452775,12.258957,5.078442,4.187342,-1.696876,1.361858,5.244649
0.020000,5.494821,12.187305,5.161519,4.153870,-1.673618,1.162911,5.241571
0.020000,5.536337,12.116110,5.243935,4.120782,-1.654386,0.961611,5.239156
0.020000,5.577376,12.045395,5.325695,4.087998,-1.639211,0.758728,5.237396
0.020000,5.617986,11.975185,5.406803,4.055436,-1.628115,0.554823,5.236287
0.020000,5.658217,11.905505,5.487264,4.023014,-1.621109,0.350293,5.235827
0.020000,5.697758,11.837001,5.566360,3.954833,-3.409043,-89.396697,5.236636
0.020000,5.731787,11.779002,5.633605,3.362220,-29.630611,-1311.078411,5.249391
0.020000,5.766418,11.721683,5.700573,3.348427,-0.689653,1447.047937,5.262422
0.020000,5.801655,11.665061,5.767265,3.334564,-0.693152,-0.174967,5.275730
0.020000,5.837499,11.609151,5.833678,3.320665,-0.694979,-0.091338,5.289316
0.020000,5.873955,11.553971,5.899813,3.306765,-0.694963,0.000762,5.303181
0.020000,5.911023,11.499535,5.965671,3.292907,-0.692929,0.101720,5.317322
0.020000,5.948707,11.445860,6.031254,3.279133,-0.688701,0.211375,5.331739
0.020000,5.987008,11.392960,6.096564,3.265491,-0.682107,0.329725,5.346428
0.020000,6.025928,11.340849,6.161604,3.252031,-0.672975,0.456589,5.361387
0.020000,6.065468,11.289541,6.226381,3.238808,-0.661146,0.591482,5.376610
0.020000,6.105630,11.239049,6.290898,3.225879,-0.646467,0.733927,5.392092
0.020000,6.146416,11.189383,6.355164,3.213303,-0.628805,0.883092,5.407825
0.020000,6.187827,11.140556,6.419187,3.201142,-0.608044,1.038069,5.423802
0.020000,6.229864,11.092578,6.482976,3.189460,-0.584090,1.197678,5.440012
0.020000,6.272530,11.045457,6.546543,3.178323,-0.556880,1.360520,5.456445
0.020000,6.315825,10.999202,6.609899,3.167795,-0.526378,1.525071,5.473088
0.020000,6.359751,10.953820,6.673058,3.157943,-0.492588,1.689499,5.489928
0.020000,6.404310,10.909317,6.736034,3.148832,-0.455549,1.851977,5.506951
0.020000,6.449505,10.865699,6.798845,3.140525,-0.415342,2.010353,5.524140
0.020000,6.495337,10.822968,6.861506,3.133084,-0.372091,2.162559,5.541477
0.020000,6.541809,10.781129,6.924038,3.126564,-0.325964,2.306326,5.558945
0.020000,6.588923,10.740183,6.986458,3.121021,-0.277173,2.439559,5.576524
0.020000,6.636683,10.700132,7.048788,3.116501,-0.225972,2.560035,5.594193
0.020000,6.685090,10.660977,7.111049,3.113048,-0.172656,2.665799,5.611931
