dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500105,13.000000,0.000199,0.019900,0.995025,49.751244,6.283146
0.020000,1.500687,13.000000,0.000780,0.029054,0.457675,-26.867517,6.282931
0.020000,1.501994,12.999999,0.002087,0.065357,1.815153,67.873923,6.282447
0.020000,1.504171,12.999997,0.004265,0.108884,2.176348,18.059769,6.281640
0.020000,1.507218,12.999990,0.007312,0.152344,2.173016,-0.166618,6.280508
0.020000,1.511132,12.999977,0.011226,0.195711,2.168346,-0.233494,6.279049
0.020000,1.515912,12.999953,0.016005,0.238958,2.162335,-0.300569,6.277261
0.020000,1.521553,12.999914,0.021646,0.282057,2.154977,-0.367905,6.275141
0.020000,1.528052,12.999853,0.028146,0.324983,2.146266,-0.435529,6.272685
0.020000,1.535406,12.999766,0.035500,0.367707,2.136197,-0.503428,6.269890
0.020000,1.543609,12.999644,0.043704,0.410202,2.124765,-0.571615,6.266751
0.020000,1.552656,12.999479,0.052753,0.452441,2.111965,-0.640002,6.263262
0.020000,1.562542,12.999263,0.062641,0.494397,2.097794,-0.708567,6.259419
0.020000,1.573259,12.998986,0.073362,0.536042,2.082251,-0.777149,6.255215
0.020000,1.584801,12.998637,0.084909,0.577349,2.065339,-0.845598,6.250642
0.020000,1.597159,12.998204,0.097275,0.618290,2.047065,-0.913669,6.245695
0.020000,1.610325,12.997675,0.110451,0.658839,2.027444,-0.981098,6.240364
0.020000,1.624290,12.997037,0.124431,0.698969,2.006493,-1.047513,6.234642
0.020000,1.639043,12.996275,0.139204,0.738654,1.984244,-1.112441,6.228519
0.020000,1.654574,12.995374,0.154761,0.777869,1.960738,-1.175333,6.221987
0.020000,1.670872,12.994319,0.171093,0.816589,1.936027,-1.235537,6.215035
0.020000,1.687924,12.993092,0.188189,0.854793,1.910183,-1.292216,6.207654
0.020000,1.705717,12.991676,0.206038,0.892459,1.883294,-1.344457,6.199831
0.020000,1.724237,12.990051,0.224629,0.929568,1.855472,-1.391098,6.191557
0.020000,1.743470,12.988200,0.243951,0.966105,1.826854,-1.430887,6.182820
0.020000,1.763401,12.986100,0.263993,1.002057,1.797608,-1.462302,6.173607
0.020000,1.784014,12.983731,0.284741,1.037416,1.767935,-1.483624,6.163908
0.020000,1.805292,12.981071,0.306184,1.072178,1.738076,-1.492963,6.153710
0.020000,1.827218,12.978097,0.328311,1.106344,1.708315,-1.488055,6.143001
0.020000,1.849774,12.974785,0.351110,1.139924,1.678984,-1.466543,6.131769
0.020000,1.872944,12.971111,0.374569,1.172933,1.650470,-1.425730,6.120004
0.020000,1.896707,12.967049,0.398676,1.205397,1.623215,-1.362731,6.107695
0.020000,1.921045,12.962572,0.423423,1.237352,1.597726,-1.274450,6.094830
0.020000,1.945941,12.957653,0.448800,1.268843,1.574573,-1.157636,6.081401
0.020000,1.971375,12.952265,0.474799,1.299931,1.554394,-1.008942,6.067400
0.020000,1.997330,12.946378,0.501413,1.330689,1.537894,-0.825032,6.052820
0.020000,2.023787,12.939961,0.528637,1.361206,1.525840,-0.602670,6.037656
0.020000,2.050730,12.932985,0.556469,1.391587,1.519062,-0.338890,6.021906
0.020000,2.078143,12.925415,0.584908,1.421956,1.518439,-0.031163,6.005569
0.020000,2.106012,12.917218,0.613957,1.452454,1.524887,0.322400,5.988649
0.020000,2.134323,12.908359,0.643622,1.483241,1.539343,0.722768,5.971150
0.020000,2.163065,12.898800,0.673912,1.514495,1.562740,1.169854,5.953082
0.020000,2.192229,12.888503,0.704840,1.546415,1.595981,1.662075,5.934458
0.020000,2.221807,12.877427,0.736424,1.579213,1.639907,2.196305,5.915297
0.020000,2.251796,12.865529,0.768686,1.613118,1.695257,2.767499,5.895619
0.020000,2.282191,12.852762,0.801654,1.648371,1.762630,3.368662,5.875453
0.020000,2.312993,12.839079,0.835358,1.685220,1.842444,3.990679,5.854830
0.020000,2.344203,12.824428,0.869837,1.723918,1.934894,4.622489,5.833786
0.020000,2.375827,12.808756,0.905131,1.764716,2.039917,5.251150,5.812365
0.020000,2.407870,12.792004,0.941288,1.807859,2.157163,5.862290,5.790612
0.020000,2.440338,12.774113,0.978360,1.853579,2.285973,6.440530,5.768580
0.020000,2.473242,12.755021,1.016401,1.902086,2.425377,6.970202,5.746324
0.020000,2.506590,12.734662,1.055473,1.953568,2.574098,7.436025,5.723904
0.020000,2.540391,12.712969,1.095636,2.008180,2.730578,7.823990,5.701382
0.020000,2.574654,12.689872,1.136957,2.066040,2.893020,8.122116,5.678823
0.020000,2.609386,12.665301,1.179502,2.127229,3.059444,8.321229,5.656293
0.020000,2.644594,12.639187,1.223337,2.191784,3.227755,8.415525,5.633861
0.020000,2.680283,12.611459,1.268531,2.259700,3.395814,8.402975,5.611594
0.020000,2.716453,12.582048,1.315150,2.330931,3.561524,8.285479,5.589557
0.020000,2.753105,12.550888,1.363258,2.405389,3.722899,8.068741,5.567814
0.020000,2.790237,12.517914,1.412917,2.482952,3.878137,7.761925,5.546430
0.020000,2.827843,12.483067,1.464186,2.563465,4.025679,7.377083,5.525461
0.020000,2.865917,12.446291,1.517121,2.646750,4.164248,6.928446,5.504964
0.020000,2.904449,12.407534,1.571773,2.732608,4.292880,6.431614,5.484990
0.020000,2.943430,12.366750,1.628190,2.820826,4.410936,5.902762,5.465587
0.020000,2.982849,12.323899,1.686414,2.911188,4.518093,5.357864,5.446797
0.020000,3.022694,12.278946,1.746483,3.003475,4.614334,4.812053,5.428658
0.020000,3.062853,12.231983,1.808276,3.089650,4.308765,-15.278437,5.411248
0.020000,3.103119,12.183242,1.871498,3.161087,3.571847,-36.845888,5.394669
0.020000,3.143288,12.132991,1.935831,3.216653,2.778269,-39.678924,5.379003
0.020000,3.183262,12.081395,2.001100,3.263448,2.339768,-21.925034,5.364273
0.020000,3.223046,12.028503,2.067284,3.309215,2.288362,-2.570311,5.350457
0.020000,3.262647,11.974362,2.134362,3.353904,2.234417,-2.697248,5.337536
0.020000,3.302075,11.919021,2.202312,3.397488,2.179221,-2.759778,5.325486
0.020000,3.341342,11.862528,2.271111,3.439965,2.123863,-2.767904,5.314286
0.020000,3.380462,11.804930,2.340738,3.481350,2.069250,-2.730647,5.303913
0.020000,3.419453,11.746274,2.411172,3.521673,2.016130,-2.656022,5.294347
0.020000,3.458334,11.686604,2.482391,3.560975,1.965110,-2.551004,5.285567
0.020000,3.497125,11.625964,2.554377,3.599309,1.916678,-2.421584,5.277553
0.020000,3.535851,11.564396,2.627112,3.636733,1.871222,-2.272827,5.270288
0.020000,3.574537,11.501940,2.700578,3.673314,1.829042,-2.108962,5.263754
0.020000,3.613209,11.438635,2.774761,3.709121,1.790373,-1.933465,5.257937
0.020000,3.651898,11.374519,2.849645,3.744229,1.755390,-1.749168,5.252821
0.020000,3.690634,11.309627,2.925220,3.778714,1.724223,-1.558325,5.248396
0.020000,3.729450,11.243993,3.001473,3.812653,1.696969,-1.362721,5.244649
0.020000,3.768381,11.177649,3.078395,3.846127,1.673694,-1.163727,5.241571
0.020000,3.807463,11.110628,3.155980,3.879216,1.654447,-0.962387,5.239156
0.020000,3.846734,11.042957,3.234220,3.912001,1.639257,-0.759476,5.237396
0.020000,3.886235,10.974667,3.313111,3.944564,1.628146,-0.555549,5.236287
0.020000,3.926005,10.905784,3.392651,3.976986,1.621126,-0.351002,5.235827
0.020000,3.966356,10.835879,3.473366,4.035752,2.938280,65.857683,5.236636
0.020000,4.013295,10.755878,3.566120,4.637725,30.098666,1358.019331,5.249391
0.020000,4.061404,10.676253,3.659151,4.651516,0.689534,-1470.456594,5.262422
0.020000,4.110704,10.597033,3.752458,4.665377,0.693030,0.174757,5.275730
0.020000,4.161214,10.518249,3.846044,4.679274,0.694855,0.091263,5.289316
0.020000,4.212955,10.439934,3.939907,4.693170,0.694835,-0.000977,5.303181
0.020000,4.265943,10.362122,4.034047,4.707026,0.692800,-0.101773,5.317322
0.020000,4.320195,10.284849,4.128463,4.720798,0.688571,-0.211455,5.331739
0.020000,4.375726,10.208153,4.223152,4.734437,0.681974,-0.329826,5.346428
0.020000,4.432548,10.132072,4.318110,4.747894,0.672842,-0.456593,5.361387
0.020000,4.490674,10.056649,4.413332,4.761114,0.661012,-0.591506,5.376610
0.020000,4.550111,9.981924,4.508813,4.774041,0.646335,-0.733868,5.392092
0.020000,4.610868,9.907942,4.604545,4.786615,0.628674,-0.883031,5.407825
0.020000,4.672947,9.834747,4.700521,4.798773,0.607915,-1.037959,5.423802
0.020000,4.736349,9.762385,4.796730,4.810452,0.583965,-1.197502,5.440012
0.020000,4.801074,9.690903,4.893162,4.821587,0.556759,-1.360328,5.456445
0.020000,4.867116,9.620346,4.989804,4.832113,0.526263,-1.524788,5.473088
0.020000,4.934467,9.550764,5.086643,4.841962,0.492478,-1.689232,5.489928
0.020000,5.003116,9.482204,5.183665,4.851071,0.455446,-1.851592,5.506951
0.020000,5.073046,9.414712,5.280852,4.859376,0.415247,-2.009965,5.524140
0.020000,5.144241,9.348336,5.378188,4.866816,0.372005,-2.162082,5.541477
0.020000,5.216676,9.283123,5.475655,4.873334,0.325888,-2.305865,5.558945
0.020000,5.290327,9.219115,5.573233,4.878876,0.277108,-2.438979,5.576524
0.020000,5.365164,9.156358,5.670901,4.883394,0.225919,-2.559453,5.594193
0.020000,5.441154,9.094892,5.768637,4.886847,0.172615,-2.665210,5.611931
0.020000,5.518260,9.034757,5.866421,4.889197,0.117527,-2.754394,5.629717
0.020000,5.596444,8.975988,5.964230,4.890418,0.061018,-2.825486,5.647526
0.020000,5.675664,8.918621,6.062040,4.890487,0.003473,-2.877211,5.665337
0.020000,5.755874,8.862686,6.159827,4.889393,-0.054697,-2.908527,5.683126
0.020000,5.837028,8.808210,6.257570,4.887132,-0.113076,-2.918919,5.700870
0.020000,5.919077,8.755216,6.355244,4.883707,-0.171239,-2.908172,5.718546
0.020000,6.001969,8.703726,6.452827,4.879132,-0.228768,-2.876455,5.736130
0.020000,6.085653,8.653755,6.550295,4.873426,-0.285256,-2.824380,5.753599
0.020000,6.170076,8.605316,6.647628,4.866620,-0.340313,-2.752878,5.770933
0.020000,6.255184,8.558417,6.744803,4.858749,-0.393578,-2.663252,5.788109
0.020000,6.340924,8.513062,6.841800,4.849854,-0.444720,-2.557088,5.805107
0.020000,6.427243,8.469251,6.938599,4.839985,-0.493444,-2.436203,5.821908
0.020000,6.514086,8.426983,7.035183,4.829195,-0.539497,-2.302621,5.838493
0.020000,6.601403,8.386249,7.131534,4.817542,-0.582666,-2.158488,5.854845
0.020000,6.689142,8.347038,7.227636,4.805086,-0.622786,-2.006002,5.870948
0.020000,6.777253,8.309338,7.323474,4.791892,-0.659734,-1.847392,5.886787
0.020000,6.865689,8.273131,7.419034,4.778023,-0.693431,-1.684830,5.902348
0.020000,6.954402,8.238397,7.514305,4.763546,-0.723839,-1.520395,5.917620
0.020000,7.043350,8.205114,7.609276,4.748527,-0.750960,-1.356042,5.932592
0.020000,7.132489,8.173257,7.703936,4.733030,-0.774831,-1.193558,5.947253
0.020000,7.221779,8.142799,7.798279,4.717120,-0.795522,-1.034542,5.961596
0.020000,7.311183,8.113710,7.892296,4.700857,-0.813129,-0.880394,5.975614
0.020000,7.400665,8.085961,7.985982,4.684302,-0.827775,-0.732302,5.989301
