dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-1.700000,0.000100,0.000200,0.020000,1.000000,50.000000,1.570796
0.020000,-1.700000,0.000900,0.001000,0.040000,1.000000,0.000000,1.570796
0.020000,-1.700000,0.002700,0.002800,0.090000,2.500000,75.000000,1.570796
0.020000,-1.700000,0.005900,0.006000,0.160000,3.500000,50.000000,1.570796
0.020000,-1.700000,0.010900,0.011000,0.250000,4.500000,50.000000,1.570796
0.020000,-1.700000,0.017900,0.018000,0.350000,5.000000,25.000000,1.570796
0.020000,-1.700000,0.026900,0.027000,0.450000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.037900,0.038000,0.550000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.050900,0.051000,0.650000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.065900,0.066000,0.750000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.082900,0.083000,0.850000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.101900,0.102000,0.950000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.122900,0.123000,1.050000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.145900,0.146000,1.150000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.170900,0.171000,1.250000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.197900,0.198000,1.350000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.226900,0.227000,1.450000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.257900,0.258000,1.550000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.290900,0.291000,1.650000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.325900,0.326000,1.750000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.362900,0.363000,1.850000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.401900,0.402000,1.950000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.442900,0.443000,2.050000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.485900,0.486000,2.150000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.530900,0.531000,2.250000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.577900,0.578000,2.350000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.626900,0.627000,2.450000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.677900,0.678000,2.550000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.730900,0.731000,2.650000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.785900,0.786000,2.750000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.842900,0.843000,2.850000,5.000000,0.000000,1.570796
0.020000,-1.700000,0.901900,0.902000,2.950000,5.000000,-0.000000,1.570796
0.020000,-1.700000,0.962900,0.963000,3.050000,5.000000,0.000000,1.570796
0.020000,-1.700000,1.025900,1.026000,3.150000,5.000000,-0.000000,1.570796
0.020000,-1.700000,1.090900,1.091000,3.250000,5.000000,0.000000,1.570796
0.020000,-1.700000,1.157900,1.158000,3.350000,5.000000,-0.000000,1.570796
0.020000,-1.700000,1.226900,1.227000,3.450000,5.000000,0.000000,1.570796
0.020000,-1.700000,1.297900,1.298000,3.550000,5.000000,-0.000000,1.570796
0.020000,-1.700000,1.370900,1.371000,3.650000,5.000000,0.000000,1.570796
0.020000,-1.700000,1.445900,1.446000,3.750000,5.000000,0.000000,1.570796
0.020000,-1.700000,1.522700,1.522800,3.840000,4.500000,-25.000000,1.570796
0.020000,-1.700000,1.600900,1.601000,3.910000,3.500000,-50.000000,1.570796
0.020000,-1.700000,1.680100,1.680200,3.960000,2.500000,-50.000000,1.570796
0.020000,-1.700000,1.759900,1.760000,3.990000,1.500000,-50.000000,1.570796
0.020000,-1.700000,1.839900,1.840000,4.000000,0.500000,-50.000000,1.570796
0.020000,-1.700000,1.919900,1.920000,4.000000,0.000000,-25.000000,1.570796
0.020000,-1.700000,1.999900,2.000000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,2.079900,2.080000,4.000000,-0.000000,-0.000000,1.570796
0.020000,-1.700000,2.159900,2.160000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,2.239900,2.240000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,2.319900,2.320000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,2.399900,2.400000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,2.479900,2.480000,4.000000,-0.000000,-0.000000,1.570796
0.020000,-1.700000,2.559900,2.560000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,2.639900,2.640000,4.000000,-0.000000,-0.000000,1.570796
0.020000,-1.700000,2.719900,2.720000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,2.799900,2.800000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,2.879900,2.880000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,2.959900,2.960000,4.000000,-0.000000,-0.000000,1.570796
0.020000,-1.700000,3.039900,3.040000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.119900,3.120000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,3.199900,3.200000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.279900,3.280000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.359900,3.360000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.439900,3.440000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.519900,3.520000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.599900,3.600000,4.000000,-0.000000,-0.000000,1.570796
0.020000,-1.700000,3.679900,3.680000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.759900,3.760000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,3.839900,3.840000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.919900,3.920000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,3.999900,4.000000,4.000000,-0.000000,-0.000000,1.570796
0.020000,-1.700000,4.079900,4.080000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.159900,4.160000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,4.239900,4.240000,4.000000,-0.000000,-0.000000,1.570796
0.020000,-1.700000,4.319900,4.320000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.399900,4.400000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,4.479900,4.480000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.559900,4.560000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.639900,4.640000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.719900,4.720000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.799900,4.800000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.879900,4.880000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,4.959900,4.960000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.039900,5.040000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.119900,5.120000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,5.199900,5.200000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,5.279900,5.280000,4.000000,0.000000,-0.000000,1.570796
0.020000,-1.700000,5.359900,5.360000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.439900,5.440000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.519900,5.520000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.599900,5.600000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.679900,5.680000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.759900,5.760000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.839900,5.840000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.919900,5.920000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,5.999900,6.000000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.079900,6.080000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.159900,6.160000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.239900,6.240000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.319900,6.320000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.399900,6.400000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.479900,6.480000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.559900,6.560000,4.000000,0.000000,0.000000,1.570796
0.020000,-1.700000,6.639900,6.640000,4.000000,0.000000,0.000000,1.570796
