dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000180,-1.700000,0.000200,0.020000,1.000000,50.000000,0.000000
0.020000,0.000980,-1.700000,0.001000,0.040000,1.000000,-0.000000,0.000000
0.020000,0.002780,-1.700000,0.002800,0.090000,2.500000,75.000000,0.000000
0.020000,0.005980,-1.700000,0.006000,0.160000,3.500000,50.000000,0.000000
0.020000,0.010980,-1.700000,0.011000,0.250000,4.500000,50.000000,0.000000
0.020000,0.017980,-1.700000,0.018000,0.350000,5.000000,25.000000,0.000000
0.020000,0.026980,-1.700000,0.027000,0.450000,5.000000,-0.000000,0.000000
0.020000,0.037980,-1.700000,0.038000,0.550000,5.000000,-0.000000,0.000000
0.020000,0.050980,-1.700000,0.051000,0.650000,5.000000,0.000000,0.000000
0.020000,0.065980,-1.700000,0.066000,0.750000,5.000000,-0.000000,0.000000
0.020000,0.082980,-1.700000,0.083000,0.850000,5.000000,-0.000000,0.000000
0.020000,0.101980,-1.700000,0.102000,0.950000,5.000000,0.000000,0.000000
0.020000,0.122980,-1.700000,0.123000,1.050000,5.000000,0.000000,0.000000
0.020000,0.145980,-1.700000,0.146000,1.150000,5.000000,0.000000,0.000000
0.020000,0.170980,-1.700000,0.171000,1.250000,5.000000,-0.000000,0.000000
0.020000,0.197980,-1.700000,0.198000,1.350000,5.000000,-0.000000,0.000000
0.020000,0.226980,-1.700000,0.227000,1.450000,5.000000,0.000000,0.000000
0.020000,0.257980,-1.700000,0.258000,1.550000,5.000000,-0.000000,0.000000
0.020000,0.290980,-1.700000,0.291000,1.650000,5.000000,-0.000000,0.000000
0.020000,0.325980,-1.700000,0.326000,1.750000,5.000000,0.000000,0.000000
0.020000,0.362980,-1.700000,0.363000,1.850000,5.000000,0.000000,0.000000
0.020000,0.401980,-1.700000,0.402000,1.950000,5.000000,-0.000000,0.000000
0.020000,0.442980,-1.700000,0.443000,2.050000,5.000000,0.000000,0.000000
0.020000,0.485980,-1.700000,0.486000,2.150000,5.000000,0.000000,0.000000
0.020000,0.530980,-1.700000,0.531000,2.250000,5.000000,-0.000000,0.000000
0.020000,0.577980,-1.700000,0.578000,2.350000,5.000000,0.000000,0.000000
0.020000,0.626980,-1.700000,0.627000,2.450000,5.000000,-0.000000,0.000000
0.020000,0.677980,-1.700000,0.678000,2.550000,5.000000,0.000000,0.000000
0.020000,0.730980,-1.700000,0.731000,2.650000,5.000000,-0.000000,0.000000
0.020000,0.785980,-1.700000,0.786000,2.750000,5.000000,0.000000,0.000000
0.020000,0.842980,-1.700000,0.843000,2.850000,5.000000,-0.000000,0.000000
0.020000,0.901980,-1.700000,0.902000,2.950000,5.000000,0.000000,0.000000
0.020000,0.962980,-1.700000,0.963000,3.050000,5.000000,-0.000000,0.000000
0.020000,1.025980,-1.700000,1.026000,3.150000,5.000000,0.000000,0.000000
0.020000,1.090980,-1.700000,1.091000,3.250000,5.000000,0.000000,0.000000
0.020000,1.157980,-1.700000,1.158000,3.350000,5.000000,-0.000000,0.000000
0.020000,1.226980,-1.700000,1.227000,3.450000,5.000000,0.000000,0.000000
0.020000,1.297980,-1.700000,1.298000,3.550000,5.000000,-0.000000,0.000000
0.020000,1.370980,-1.700000,1.371000,3.650000,5.000000,0.000000,0.000000
0.020000,1.445980,-1.700000,1.446000,3.750000,5.000000,0.000000,0.000000
