dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,22.350000,3.000169,0.000199,0.019900,0.995025,49.751244,1.570796
0.020000,22.350000,3.000965,0.000995,0.039801,0.995025,-0.000000,1.570796
0.020000,22.350000,3.002756,0.002786,0.089552,2.487562,74.626866,1.570796
0.020000,22.350000,3.005741,0.005771,0.149254,2.985075,24.875622,1.570796
0.020000,22.350000,3.009920,0.009950,0.208955,2.985075,0.000000,1.570796
0.020000,22.350000,3.015293,0.015323,0.268657,2.985075,-0.000000,1.570796
0.020000,22.350000,3.021861,0.021891,0.328358,2.985075,0.000000,1.570796
0.020000,22.350000,3.029622,0.029652,0.388060,2.985075,-0.000000,1.570796
0.020000,22.350000,3.038577,0.038607,0.447761,2.985075,0.000000,1.570796
0.020000,22.350000,3.048726,0.048756,0.507463,2.985075,0.000000,1.570796
0.020000,22.350000,3.060070,0.060100,0.567164,2.985075,-0.000000,1.570796
0.020000,22.350000,3.072607,0.072637,0.626866,2.985075,0.000000,1.570796
0.020000,22.350000,3.086338,0.086368,0.686567,2.985075,-0.000000,1.570796
0.020000,22.350000,3.101264,0.101294,0.746269,2.985075,-0.000000,1.570796
0.020000,22.350000,3.117383,0.117413,0.805970,2.985075,-0.000000,1.570796
0.020000,22.350000,3.134696,0.134726,0.865672,2.985075,0.000000,1.570796
0.020000,22.350000,3.153204,0.153234,0.925373,2.985075,0.000000,1.570796
0.020000,22.350000,3.172905,0.172935,0.985075,2.985075,-0.000000,1.570796
0.020000,22.350000,3.193801,0.193831,1.044776,2.985075,0.000000,1.570796
0.020000,22.350000,3.215890,0.215920,1.104478,2.985075,0.000000,1.570796
0.020000,22.350000,3.239174,0.239204,1.164179,2.985075,-0.000000,1.570796
0.020000,22.350000,3.263652,0.263682,1.223881,2.985075,0.000000,1.570796
0.020000,22.350000,3.289323,0.289353,1.283582,2.985075,0.000000,1.570796
0.020000,22.350000,3.316189,0.316219,1.343284,2.985075,-0.000000,1.570796
0.020000,22.350000,3.344249,0.344279,1.402985,2.985075,0.000000,1.570796
0.020000,22.350000,3.373502,0.373532,1.462687,2.985075,-0.000000,1.570796
0.020000,22.350000,3.403950,0.403980,1.522388,2.985075,-0.000000,1.570796
0.020000,22.350000,3.435592,0.435622,1.582090,2.985075,0.000000,1.570796
0.020000,22.350000,3.468428,0.468458,1.641791,2.985075,0.000000,1.570796
0.020000,22.350000,3.502458,0.502488,1.701493,2.985075,-0.000000,1.570796
0.020000,22.350000,3.537681,0.537711,1.761194,2.985075,0.000000,1.570796
0.020000,22.350000,3.574099,0.574129,1.820896,2.985075,0.000000,1.570796
0.020000,22.350000,3.611711,0.611741,1.880597,2.985075,-0.000000,1.570796
0.020000,22.350000,3.650517,0.650547,1.940299,2.985075,0.000000,1.570796
0.020000,22.350000,3.690517,0.690547,2.000000,2.985075,0.000000,1.570796
0.020000,22.350000,3.731711,0.731741,2.059701,2.985075,-0.000000,1.570796
0.020000,22.350000,3.774099,0.774129,2.119403,2.985075,0.000000,1.570796
0.020000,22.350000,3.817681,0.817711,2.179104,2.985075,0.000000,1.570796
0.020000,22.350000,3.862458,0.862488,2.238806,2.985075,-0.000000,1.570796
0.020000,22.350000,3.908428,0.908458,2.298507,2.985075,-0.000000,1.570796
0.020000,22.350000,3.955592,0.955622,2.358209,2.985075,0.000000,1.570796
0.020000,22.350000,4.003950,1.003980,2.417910,2.985075,0.000000,1.570796
0.020000,22.350000,4.053502,1.053532,2.477612,2.985075,-0.000000,1.570796
0.020000,22.350000,4.104249,1.104279,2.537313,2.985075,0.000000,1.570796
0.020000,22.350000,4.156189,1.156219,2.597015,2.985075,-0.000000,1.570796
0.020000,22.350000,4.209323,1.209353,2.656716,2.985075,0.000000,1.570796
0.020000,22.350000,4.263652,1.263682,2.716418,2.985075,-0.000000,1.570796
0.020000,22.350000,4.319174,1.319204,2.776119,2.985075,0.000000,1.570796
0.020000,22.350000,4.375890,1.375920,2.835821,2.985075,-0.000000,1.570796
0.020000,22.350000,4.433801,1.433831,2.895522,2.985075,0.000000,1.570796
0.020000,22.350000,4.492905,1.492935,2.955224,2.985075,-0.000000,1.570796
0.020000,22.350000,4.553204,1.553234,3.014925,2.985075,0.000000,1.570796
0.020000,22.350000,4.614696,1.614726,3.074627,2.985075,-0.000000,1.570796
0.020000,22.350000,4.677383,1.677413,3.134328,2.985075,-0.000000,1.570796
0.020000,22.350000,4.741264,1.741294,3.194030,2.985075,0.000000,1.570796
0.020000,22.350000,4.806338,1.806368,3.253731,2.985075,0.000000,1.570796
0.020000,22.350000,4.872607,1.872637,3.313433,2.985075,-0.000000,1.570796
0.020000,22.350000,4.940070,1.940100,3.373134,2.985075,-0.000000,1.570796
0.020000,22.350000,5.008726,2.008756,3.432836,2.985075,0.000000,1.570796
0.020000,22.350000,5.078577,2.078607,3.492537,2.985075,0.000000,1.570796
0.020000,22.350000,5.149622,2.149652,3.552239,2.985075,-0.000000,1.570796
0.020000,22.350000,5.221861,2.221891,3.611940,2.985075,0.000000,1.570796
0.020000,22.350000,5.295293,2.295323,3.671642,2.985075,0.000000,1.570796
0.020000,22.350000,5.369920,2.369950,3.731343,2.985075,0.000000,1.570796
0.020000,22.350000,5.445741,2.445771,3.791045,2.985075,-0.000000,1.570796
0.020000,22.350000,5.522756,2.522786,3.850746,2.985075,0.000000,1.570796
0.020000,22.350000,5.600965,2.600995,3.910448,2.985075,0.000000,1.570796
0.020000,22.350000,5.680169,2.680199,3.960199,2.487562,-24.875622,1.570796
0.020000,22.350000,5.759970,2.760000,3.990050,1.492537,-49.751244,1.570796
0.020000,22.350000,5.839970,2.840000,4.000000,0.497512,-49.751244,1.570796
0.020000,22.350000,5.919970,2.920000,4.000000,0.000000,-24.875622,1.570796
0.020000,22.350000,5.999970,3.000000,4.000000,-0.000000,-0.000000,1.570796
0.020000,22.349200,6.105752,3.105785,5.289273,64.463636,3223.181794,1.586003
0.020000,22.346725,6.212782,3.212843,5.352886,3.180659,-3064.148857,1.601920
0.020000,22.342459,6.321000,3.321145,5.415113,3.111342,-3.465830,1.618569
0.020000,22.336276,6.430442,3.430763,5.480861,3.287406,8.803196,1.635992
0.020000,22.328040,6.541142,3.541768,5.550264,3.470132,9.136308,1.654231
0.020000,22.317603,6.653125,3.654237,5.623433,3.658450,9.415898,1.673331
0.020000,22.304806,6.766414,3.768246,5.700449,3.850842,9.619594,1.693338
0.020000,22.289477,6.881020,3.883873,5.781355,4.045258,9.720790,1.714296
0.020000,22.271432,6.996947,4.001195,5.866135,4.239000,9.687127,1.736252
0.020000,22.250474,7.114182,4.120289,5.954707,4.428620,9.481000,1.759250
0.020000,22.226396,7.232699,4.241228,6.046903,4.609805,9.059247,1.783333
0.020000,22.198978,7.352450,4.364077,6.142449,4.777275,8.373498,1.808540
0.020000,22.167993,7.473361,4.488895,6.240943,4.924720,7.372212,1.834906
0.020000,22.133206,7.595334,4.615732,6.341838,5.044758,6.001911,1.862460
0.020000,22.094381,7.718236,4.744620,6.444418,5.128993,4.211751,1.891220
0.020000,22.051284,7.841897,4.875576,6.547781,5.168148,1.957766,1.921197
0.020000,22.003688,7.966106,5.008593,6.650828,5.152343,-0.790267,1.952387
0.020000,21.951382,8.090611,5.143638,6.752258,5.071516,-4.041327,1.984770
0.020000,21.894180,8.215110,5.280649,6.850579,4.916032,-7.774196,2.018310
0.020000,21.831929,8.339260,5.419532,6.944127,4.677438,-11.929735,2.052950
0.020000,21.764518,8.462672,5.560154,7.031115,4.349360,-16.403889,2.088615
0.020000,21.691891,8.584919,5.702348,7.109684,3.928455,-21.045234,2.125204
0.020000,21.614051,8.705543,5.845908,7.177990,3.415310,-25.657250,2.162597
0.020000,21.531070,8.824068,5.990594,7.234293,2.815141,-30.008446,2.200653
0.020000,21.443093,8.940009,6.136135,7.277056,2.138157,-33.849216,2.239212
0.020000,21.350337,9.052889,6.282236,7.305045,1.399447,-36.935502,2.278100
0.020000,21.253089,9.162253,6.428584,7.317412,0.618336,-39.055539,2.317134
0.020000,21.151836,9.267552,6.574666,7.304100,-0.665560,-64.194826,2.356073
0.020000,21.047401,9.368062,6.719610,7.247228,-2.843634,-108.903681,2.394585
0.020000,20.940817,9.463087,6.862404,7.139661,-5.378345,-126.735550,2.432306
0.020000,20.833028,9.552218,7.002271,6.993366,-7.314764,-96.820952,2.468954
0.020000,20.724705,9.635406,7.138851,6.829004,-8.218076,-45.165602,2.504369
0.020000,20.616349,9.712785,7.271999,6.657421,-8.579145,-18.053447,2.538468
0.020000,20.508409,9.784545,7.401617,6.480864,-8.827841,-12.434780,2.571192
0.020000,20.401278,9.850923,7.527644,6.301390,-8.973737,-7.294815,2.602507
0.020000,20.295293,9.912183,7.650061,6.120810,-9.028989,-2.762619,2.632399
0.020000,20.190736,9.968614,7.768874,5.940669,-9.007032,1.097883,2.660873
0.020000,20.087838,10.020512,7.884119,5.762239,-8.921508,4.276175,2.687951
0.020000,19.986785,10.068178,7.995849,5.586529,-8.785478,6.801525,2.713663
0.020000,19.887720,10.111906,8.104136,5.414312,-8.610884,8.729663,2.738052
0.020000,19.790754,10.151985,8.209059,5.246146,-8.408263,10.131087,2.761164
0.020000,19.695964,10.188689,8.310707,5.082414,-8.186617,11.082304,2.783053
0.020000,19.603404,10.222281,8.409174,4.923345,-7.953434,11.659106,2.803772
0.020000,19.513107,10.253007,8.504555,4.769050,-7.714787,11.932356,2.823378
0.020000,19.425090,10.281095,8.596946,4.619540,-7.475473,11.965720,2.841927
0.020000,19.339353,10.306760,8.686441,4.474756,-7.239188,11.814271,2.859476
0.020000,19.255891,10.330199,8.773132,4.334583,-7.008692,11.524768,2.876077
0.020000,19.174685,10.351595,8.857110,4.198863,-6.785979,11.135662,2.891784
0.020000,19.095714,10.371118,8.938458,4.067415,-6.572414,10.678266,2.906647
0.020000,19.018950,10.388920,9.017259,3.940037,-6.368866,10.177356,2.920714
0.020000,18.944364,10.405145,9.093589,3.816521,-6.175818,9.652432,2.934030
0.020000,18.871923,10.419923,9.167522,3.696652,-5.993452,9.118317,2.946638
0.020000,18.801593,10.433373,9.239126,3.580218,-5.821727,8.586228,2.958578
0.020000,18.733341,10.445605,9.308467,3.467009,-5.660439,8.064383,2.969889
0.020000,18.667131,10.456720,9.375603,3.356823,-5.509268,7.558578,2.980606
0.020000,18.602929,10.466811,9.440592,3.249467,-5.367811,7.072859,2.990763
0.020000,18.540704,10.475961,9.503488,3.144755,-5.235616,6.609703,3.000389
0.020000,18.480420,10.484248,9.564338,3.042511,-5.112206,6.170523,3.009516
0.020000,18.422048,10.491746,9.623189,2.942569,-4.997086,5.756021,3.018169
0.020000,18.365557,10.498518,9.680085,2.844774,-4.889765,5.366041,3.026373
0.020000,18.310918,10.504625,9.735064,2.748979,-4.789759,5.000273,3.034153
0.020000,18.258103,10.510124,9.788165,2.655046,-4.696602,4.657848,3.041531
0.020000,18.207084,10.515065,9.839422,2.562850,-4.609846,4.337797,3.048526
0.020000,18.157838,10.519497,9.888867,2.472268,-4.529065,4.039069,3.055157
0.020000,18.110339,10.523462,9.936531,2.383191,-4.453858,3.760372,3.061443
0.020000,18.064566,10.527001,9.982442,2.295514,-4.383846,3.500590,3.067400
0.020000,18.020495,10.530151,10.026624,2.209141,-4.318678,3.258384,3.073043
0.020000,17.978108,10.532947,10.069104,2.123980,-4.258025,3.032679,3.078387
0.020000,17.937384,10.535421,10.109903,2.039949,-4.201581,2.822179,3.083445
0.020000,17.898306,10.537602,10.149042,1.956967,-4.149063,2.625875,3.088228
0.020000,17.860855,10.539517,10.186542,1.874963,-4.100211,2.442632,3.092749
0.020000,17.825017,10.541192,10.222419,1.793867,-4.054781,2.271499,3.097019
0.020000,17.790776,10.542650,10.256691,1.713616,-4.012551,2.111483,3.101046
0.020000,17.758117,10.543913,10.289374,1.634150,-3.973316,1.961757,3.104841
0.020000,17.727028,10.545000,10.320483,1.555412,-3.936887,1.821449,3.108413
0.020000,17.697495,10.545931,10.350030,1.477351,-3.903091,1.689803,3.111768
0.020000,17.669508,10.546722,10.378028,1.399915,-3.871769,1.566107,3.114914
0.020000,17.643056,10.547389,10.404489,1.323060,-3.842775,1.449693,3.117859
0.020000,17.618127,10.547946,10.429424,1.246740,-3.815976,1.339960,3.120608
0.020000,17.594713,10.548407,10.452842,1.170915,-3.791250,1.236285,3.123168
0.020000,17.572806,10.548785,10.474753,1.095545,-3.768487,1.138169,3.125543
0.020000,17.552396,10.549090,10.495165,1.020594,-3.747584,1.045133,3.127739
0.020000,17.533477,10.549333,10.514085,0.946025,-3.728451,0.956646,3.129760
0.020000,17.516042,10.549523,10.531521,0.871805,-3.711004,0.872354,3.131610
0.020000,17.500085,10.549669,10.547480,0.797901,-3.695168,0.791787,3.133293
0.020000,17.485599,10.549778,10.561965,0.724284,-3.680876,0.714609,3.134812
0.020000,17.472581,10.549858,10.574984,0.650922,-3.668068,0.640423,3.136171
0.020000,17.461026,10.549914,10.586539,0.577789,-3.656688,0.568965,3.137371
0.020000,17.450929,10.549951,10.596637,0.504855,-3.646692,0.499825,3.138416
0.020000,17.442287,10.549975,10.605278,0.432094,-3.638037,0.432744,3.139307
0.020000,17.435097,10.549988,10.612468,0.359480,-3.630687,0.367491,3.140047
0.020000,17.429357,10.549996,10.618208,0.286988,-3.624614,0.303664,3.140635
0.020000,17.425065,10.549999,10.622500,0.214592,-3.619791,0.241125,3.141075
0.020000,17.422220,10.550000,10.625345,0.142268,-3.616201,0.179519,3.141366
0.020000,17.420692,10.550000,10.626873,0.076389,-3.293943,16.112916,3.141522
0.020000,17.420113,10.550000,10.627452,0.028972,-2.370855,46.154396,3.141581
0.020000,17.420000,10.550000,10.627565,0.005644,-1.166434,60.221058,3.141593
0.020000,17.420000,10.550000,10.627565,0.000000,-0.282176,44.212884,3.141593
