dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000080,14.750000,0.000235,0.023529,1.176471,58.823529,0.000026
0.020000,3.000684,14.750000,0.000839,0.030182,0.332650,-42.191017,0.000218
0.020000,3.002042,14.750001,0.002197,0.067904,1.886066,77.670784,0.000652
0.020000,3.004456,14.750003,0.004611,0.120695,2.639560,37.674693,0.001424
0.020000,3.008226,14.750011,0.008381,0.188528,3.391637,37.603838,0.002631
0.020000,3.013653,14.750030,0.013809,0.271356,4.141429,37.489633,0.004370
0.020000,3.021035,14.750071,0.021191,0.369114,4.887910,37.324029,0.006740
0.020000,3.030669,14.750151,0.030825,0.481713,5.629943,37.101660,0.009840
0.020000,3.042849,14.750294,0.043006,0.609041,6.366372,36.821438,0.013770
0.020000,3.057867,14.750538,0.058025,0.750963,7.096128,36.487823,0.018633
0.020000,3.075859,14.750926,0.076022,0.899839,7.443760,17.381601,0.024484
0.020000,3.096813,14.751510,0.096984,1.048082,7.412198,-1.578114,0.031329
0.020000,3.120711,14.752353,0.120897,1.195666,7.379172,-1.651322,0.039177
0.020000,3.147538,14.753524,0.147749,1.342598,7.346593,-1.628922,0.048034
0.020000,3.177275,14.755100,0.177528,1.488933,7.316749,-1.492224,0.057909
0.020000,3.209905,14.757170,0.210223,1.634779,7.292330,-1.220953,0.068805
0.020000,3.245411,14.759830,0.245829,1.780308,7.276452,-0.793896,0.080728
0.020000,3.283780,14.763184,0.284345,1.925762,7.272665,-0.189343,0.093677
0.020000,3.325000,14.767347,0.325774,2.071461,7.284950,0.614269,0.107650
0.020000,3.369062,14.772443,0.370130,2.217814,7.317683,1.636659,0.122639
0.020000,3.415966,14.778606,0.417437,2.365326,7.375579,2.894769,0.138632
0.020000,3.465714,14.785978,0.467729,2.514598,7.463581,4.400128,0.155608
0.020000,3.518320,14.794715,0.521055,2.666332,7.586728,6.157363,0.173538
0.020000,3.573805,14.804982,0.577482,2.821331,7.749952,8.161172,0.192386
0.020000,3.632200,14.816957,0.637092,2.980488,7.957839,10.394352,0.212105
0.020000,3.693546,14.830830,0.699987,3.144775,8.214352,12.825661,0.232634
0.020000,3.757898,14.846803,0.766292,3.315225,8.522521,15.408464,0.253905
0.020000,3.825319,14.865094,0.836150,3.492908,8.884132,18.080550,0.275834
0.020000,3.895884,14.885931,0.909728,3.678897,9.299441,20.765428,0.298326
0.020000,3.969679,14.909559,0.987212,3.874236,9.766947,23.375293,0.321275
0.020000,4.046795,14.936231,1.068810,4.079901,10.283265,25.815917,0.344563
0.020000,4.127330,14.966215,1.154746,4.296764,10.843127,27.993101,0.368061
0.020000,4.211386,14.999783,1.245257,4.525554,11.439531,29.820163,0.391633
0.020000,4.299066,15.037216,1.340593,4.766835,12.064046,31.225777,0.415137
0.020000,4.390320,15.078723,1.440844,5.012534,12.284965,11.045955,0.438387
0.020000,4.484935,15.124417,1.545915,5.253555,12.051012,-11.697646,0.461169
0.020000,4.582684,15.174361,1.655684,5.488429,11.743693,-15.365940,0.483283
0.020000,4.683321,15.228567,1.769991,5.715379,11.347541,-19.807635,0.504551
0.020000,4.786590,15.286988,1.888640,5.932412,10.851635,-24.795292,0.524819
0.020000,4.892215,15.349521,2.011388,6.137408,10.249790,-30.092263,0.543953
0.020000,4.999912,15.416004,2.137952,6.328213,9.540266,-35.476170,0.561848
0.020000,5.109385,15.486216,2.268006,6.502716,8.725133,-40.756655,0.578421
0.020000,5.220332,15.559886,2.401184,6.658904,7.809411,-45.786084,0.593613
0.020000,5.332444,15.636692,2.537083,6.794907,6.800147,-50.463204,0.607385
0.020000,5.445578,15.716387,2.675468,6.919283,6.218805,-29.067112,0.619735
0.020000,5.559760,15.798827,2.816301,7.041652,6.118429,-5.018789,0.630687
0.020000,5.675028,15.883863,2.959542,7.162017,6.018282,-5.007386,0.640264
0.020000,5.791428,15.971345,3.105151,7.280466,5.922416,-4.793305,0.648487
0.020000,5.909019,16.061120,3.253094,7.397148,5.834119,-4.414813,0.655377
0.020000,6.027870,16.153033,3.403339,7.512268,5.756012,-3.905382,0.660951
0.020000,6.148061,16.246932,3.555861,7.626071,5.690134,-3.293883,0.665224
0.020000,6.269682,16.342661,3.710637,7.738832,5.638032,-2.605079,0.668209
0.020000,6.392837,16.440064,3.867654,7.850848,5.600827,-1.860285,0.669913
0.020000,6.517636,16.538984,4.026903,7.962433,5.579265,-1.078102,0.670343
0.020000,6.644203,16.639263,4.188381,8.073909,5.573760,-0.275215,0.669498
0.020000,6.772673,16.740739,4.352093,8.185597,5.584416,0.532788,0.667377
0.020000,6.903187,16.843245,4.518049,8.297818,5.611028,1.330605,0.663973
0.020000,7.035899,16.946612,4.686267,8.410879,5.653076,2.102374,0.659277
0.020000,7.170971,17.050661,4.856768,8.525073,5.709693,2.830889,0.653276
0.020000,7.308575,17.155206,5.029582,8.640665,5.779628,3.496747,0.645954
0.020000,7.448887,17.260052,5.204740,8.757889,5.861180,4.077594,0.637292
0.020000,7.592093,17.364990,5.382278,8.876932,5.952129,4.547418,0.627270
0.020000,7.738383,17.469796,5.562237,8.997925,6.049646,4.875882,0.615864
0.020000,7.887863,17.574174,5.744552,9.115772,5.892388,-7.862890,0.603061
0.020000,8.040405,17.677655,5.928882,9.216478,5.035270,-42.855899,0.588869
0.020000,8.195702,17.779668,6.114688,9.290295,3.690878,-67.219626,0.573327
0.020000,8.353393,17.879636,6.301397,9.335454,2.257933,-71.647257,0.556494
0.020000,8.513053,17.976992,6.488398,9.350051,0.729874,-76.402928,0.538450
0.020000,8.674187,18.071179,6.675039,9.332089,-0.898125,-81.399945,0.519298
0.020000,8.836221,18.161670,6.860630,9.279523,-2.628318,-86.509676,0.499166
0.020000,8.998506,18.247974,7.044437,9.190331,-4.459602,-91.564217,0.478202
0.020000,9.160312,18.329651,7.225688,9.062593,-6.386902,-96.364989,0.456578
0.020000,9.320833,18.406322,7.403580,8.894575,-8.400856,-100.697700,0.434486
0.020000,9.479300,18.477730,7.577393,8.690643,-10.196639,-89.789160,0.412119
