dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500211,11.300000,0.000199,0.019900,0.995025,49.751244,0.000039
0.020000,1.501372,11.300000,0.001360,0.058071,1.908520,45.674773,0.000254
0.020000,1.503986,11.300001,0.003974,0.130684,3.630658,86.106863,0.000738
0.020000,1.508343,11.300006,0.008332,0.217882,4.359909,36.462577,0.001545
0.020000,1.514447,11.300019,0.014436,0.305194,4.365574,0.283219,0.002677
0.020000,1.522301,11.300046,0.022289,0.392664,4.373511,0.396880,0.004136
0.020000,1.531907,11.300094,0.031896,0.480339,4.383730,0.510928,0.005924
0.020000,1.543272,11.300174,0.043261,0.568263,4.396238,0.625391,0.008044
0.020000,1.556401,11.300296,0.056391,0.656484,4.411044,0.740313,0.010500
0.020000,1.571301,11.300473,0.071292,0.745047,4.428159,0.855750,0.013295
0.020000,1.587979,11.300721,0.087972,0.833999,4.447591,0.971616,0.016434
0.020000,1.606444,11.301056,0.106439,0.923386,4.469350,1.087924,0.019923
0.020000,1.626704,11.301499,0.126704,1.013255,4.493438,1.204424,0.023766
0.020000,1.648770,11.302070,0.148777,1.103652,4.519858,1.320999,0.027971
0.020000,1.672652,11.302793,0.172670,1.194624,4.548605,1.437324,0.032543
0.020000,1.698360,11.303693,0.198394,1.286217,4.579666,1.553062,0.037491
0.020000,1.725907,11.304800,0.225964,1.378478,4.613019,1.667664,0.042821
0.020000,1.755306,11.306144,0.255393,1.471450,4.648629,1.780514,0.048544
0.020000,1.786568,11.307758,0.286696,1.565179,4.686447,1.890877,0.054666
0.020000,1.819706,11.309680,0.319891,1.659707,4.726403,1.997792,0.061198
0.020000,1.854734,11.311949,0.354992,1.755076,4.768404,2.100072,0.068150
0.020000,1.891665,11.314606,0.392019,1.851322,4.812333,2.196420,0.075532
0.020000,1.930512,11.317699,0.430988,1.948483,4.858035,2.285143,0.083354
0.020000,1.971287,11.321275,0.471920,2.046589,4.905324,2.364442,0.091628
0.020000,2.014003,11.325388,0.514833,2.145669,4.953965,2.432018,0.100366
0.020000,2.058671,11.330094,0.559748,2.245742,5.003672,2.485378,0.109578
0.020000,2.105300,11.335453,0.606685,2.346824,5.054105,2.521628,0.119278
0.020000,2.153900,11.341529,0.655663,2.448921,5.104852,2.537353,0.129476
0.020000,2.204478,11.348389,0.706704,2.552030,5.155432,2.529031,0.140185
0.020000,2.257037,11.356107,0.759826,2.656135,5.205280,2.492388,0.151416
0.020000,2.311579,11.364757,0.815051,2.761210,5.253739,2.422957,0.163181
0.020000,2.368103,11.374421,0.872395,2.867211,5.300055,2.315804,0.175491
0.020000,2.426604,11.385182,0.931876,2.974079,5.343369,2.165670,0.188355
0.020000,2.487069,11.397128,0.993511,3.081733,5.382709,1.967033,0.201784
0.020000,2.549485,11.410352,1.057312,3.190073,5.416994,1.714223,0.215786
0.020000,2.613830,11.424948,1.123292,3.298973,5.445025,1.401536,0.230366
0.020000,2.680075,11.441015,1.191458,3.408283,5.465495,1.023499,0.245529
0.020000,2.748185,11.458653,1.261814,3.517823,5.476996,0.575060,0.261279
0.020000,2.818115,11.477964,1.334362,3.627384,5.478034,0.051925,0.277616
0.020000,2.889812,11.499053,1.409096,3.736725,5.467053,-0.549076,0.294537
0.020000,2.963214,11.522023,1.486008,3.845574,5.442459,-1.229712,0.312036
0.020000,3.038246,11.546976,1.565080,3.953627,5.402666,-1.989617,0.330104
0.020000,3.114824,11.574014,1.646291,4.060550,5.346140,-2.826331,0.348727
0.020000,3.192852,11.603233,1.729611,4.165979,5.271453,-3.734353,0.367889
0.020000,3.272223,11.634726,1.815001,4.269526,5.177348,-4.705229,0.387566
0.020000,3.352818,11.668577,1.902417,4.370782,5.062809,-5.726961,0.407732
0.020000,3.434507,11.704866,1.991804,4.469325,4.927125,-6.784188,0.428356
0.020000,3.517149,11.743659,2.083098,4.564724,4.769966,-7.857959,0.449399
0.020000,3.600595,11.785014,2.176229,4.656553,4.591438,-8.926393,0.470821
0.020000,3.684685,11.828975,2.271117,4.744396,4.392138,-9.964990,0.492573
0.020000,3.769255,11.875572,2.367674,4.827859,4.173184,-10.947686,0.514605
0.020000,3.854134,11.924820,2.465806,4.906584,3.936229,-11.847772,0.536861
0.020000,3.939149,11.976720,2.565411,4.980253,3.683442,-12.639357,0.559282
0.020000,4.024127,12.031255,2.666383,5.048602,3.417470,-13.298582,0.581804
0.020000,4.108896,12.088394,2.768612,5.111430,3.141367,-13.805135,0.604363
0.020000,4.193288,12.148091,2.871984,5.168600,2.858500,-14.143399,0.626892
0.020000,4.277144,12.210282,2.976385,5.220048,2.572429,-14.303527,0.649324
0.020000,4.360311,12.274894,3.081700,5.265784,2.286787,-14.282087,0.671592
0.020000,4.442648,12.341838,3.187818,5.305887,2.005141,-14.082295,0.693629
0.020000,4.524028,12.411017,3.294628,5.340504,1.730864,-13.713860,0.715371
0.020000,4.604336,12.482324,3.402025,5.369844,1.467017,-13.192355,0.736756
0.020000,4.683473,12.555647,3.509908,5.394169,1.216252,-12.538267,0.757724
0.020000,4.761354,12.630868,3.618184,5.413784,0.980736,-11.775771,0.778221
0.020000,4.837912,12.707865,3.726764,5.429026,0.762108,-10.931398,0.798195
0.020000,4.913095,12.786517,3.835570,5.440255,0.561456,-10.032611,0.817598
0.020000,4.986864,12.866702,3.944526,5.447842,0.379325,-9.106573,0.836389
0.020000,5.059197,12.948301,4.053570,5.452157,0.215745,-8.178995,0.854527
0.020000,5.129911,13.030987,4.162369,5.439997,-0.607998,-41.187136,0.871937
0.020000,5.198689,13.114234,4.270353,5.399163,-2.041706,-71.685408,0.888516
0.020000,5.265271,13.197522,4.376984,5.331580,-3.379127,-66.871043,0.904182
0.020000,5.329606,13.280556,4.482025,5.252041,-3.976966,-29.891947,0.918913
0.020000,5.391815,13.363256,4.585510,5.174248,-3.889627,4.366928,0.932728
0.020000,5.452015,13.445554,4.687476,5.098289,-3.797971,4.582801,0.945649
0.020000,5.510323,13.527390,4.787960,5.024205,-3.704187,4.689234,0.957699
0.020000,5.566852,13.608713,4.887000,4.952003,-3.610123,4.703167,0.968900
0.020000,5.621710,13.689477,4.984633,4.881656,-3.517324,4.639968,0.979272
0.020000,5.675001,13.769643,5.080895,4.813115,-3.427059,4.513237,0.988839
0.020000,5.726825,13.849174,5.175822,4.746308,-3.340362,4.334841,0.997619
0.020000,5.777278,13.928040,5.269445,4.681146,-3.258063,4.114955,1.005632
0.020000,5.826449,14.006212,5.361795,4.617530,-3.180820,3.862187,1.012898
0.020000,5.874424,14.083664,5.452902,4.555347,-3.109145,3.583725,1.019431
0.020000,5.921286,14.160372,5.542792,4.494478,-3.043435,3.285488,1.025249
0.020000,5.967111,14.236313,5.631488,4.434799,-2.983990,2.972269,1.030364
0.020000,6.011972,14.311465,5.719011,4.376178,-2.931032,2.647921,1.034790
0.020000,6.055939,14.385806,5.805381,4.318484,-2.884722,2.315461,1.038537
0.020000,6.099076,14.459316,5.890612,4.261580,-2.845178,1.977235,1.041614
0.020000,6.141443,14.531972,5.974719,4.205330,-2.812477,1.635011,1.044030
0.020000,6.183100,14.603752,6.057711,4.149597,-2.786675,1.290100,1.045790
0.020000,6.224099,14.674633,6.139596,4.094241,-2.767806,0.943454,1.046898
0.020000,6.264491,14.744593,6.220378,4.039123,-2.755891,0.595747,1.047359
0.020000,6.303749,14.812606,6.298909,3.926511,-5.630606,-143.735730,1.046549
0.020000,6.333259,14.862904,6.357224,2.915794,-50.535858,-2245.262621,1.033794
0.020000,6.363173,14.912416,6.415071,2.892346,-1.172368,2468.174522,1.020763
0.020000,6.393488,14.961129,6.472447,2.868780,-1.178315,-0.297370,1.007455
0.020000,6.424199,15.009033,6.529350,2.845152,-1.181420,-0.155248,0.993869
0.020000,6.455305,15.056116,6.585780,2.821524,-1.181393,0.001371,0.980005
0.020000,6.486802,15.102370,6.641740,2.797965,-1.177934,0.172942,0.965863
0.020000,6.518686,15.147786,6.697231,2.774550,-1.170747,0.359366,0.951447
0.020000,6.550957,15.192357,6.752258,2.751359,-1.159535,0.560568,0.936757
0.020000,6.583610,15.236079,6.806828,2.728479,-1.144011,0.776203,0.921798
0.020000,6.616646,15.278946,6.860948,2.706001,-1.123901,1.005527,0.906575
0.020000,6.650062,15.320958,6.914628,2.684022,-1.098948,1.247655,0.891093
