dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000125,13.000000,0.000235,0.023529,1.176471,58.823529,0.000026
0.020000,3.001066,13.000000,0.001176,0.070588,2.352941,58.823529,0.000218
0.020000,3.003184,13.000001,0.003294,0.141176,3.529412,58.823529,0.000652
0.020000,3.006948,13.000005,0.007059,0.235294,4.705882,58.823529,0.001424
0.020000,3.012831,13.000017,0.012941,0.352941,5.882353,58.823529,0.002631
0.020000,3.021301,13.000047,0.021412,0.494118,7.058824,58.823529,0.004370
0.020000,3.032830,13.000111,0.032941,0.658824,8.235294,58.823529,0.006740
0.020000,3.047889,13.000235,0.048000,0.847059,9.411765,58.823529,0.009840
0.020000,3.066946,13.000460,0.067059,1.058824,10.588235,58.823529,0.013770
0.020000,3.090472,13.000842,0.090588,1.294118,11.764706,58.823529,0.018633
0.020000,3.118701,13.001450,0.118824,1.529412,11.764706,0.000000,0.024484
0.020000,3.151629,13.002369,0.151765,1.764706,11.764706,0.000000,0.031329
0.020000,3.189253,13.003696,0.189412,2.000000,11.764706,-0.000000,0.039177
0.020000,3.231566,13.005542,0.231765,2.235294,11.764706,0.000000,0.048034
0.020000,3.278558,13.008034,0.278824,2.470588,11.764706,0.000000,0.057909
0.020000,3.330219,13.011311,0.330588,2.705882,11.764706,0.000000,0.068805
0.020000,3.386531,13.015529,0.387059,2.941176,11.764706,-0.000000,0.080728
0.020000,3.447475,13.020857,0.448235,3.176471,11.764706,0.000000,0.093677
0.020000,3.513023,13.027477,0.514118,3.411765,11.764706,-0.000000,0.107650
0.020000,3.583143,13.035587,0.584706,3.647059,11.764706,0.000000,0.122639
0.020000,3.657795,13.045395,0.660000,3.882353,11.764706,-0.000000,0.138632
0.020000,3.736930,13.057122,0.740000,4.117647,11.764706,0.000000,0.155608
0.020000,3.820490,13.071000,0.824706,4.352941,11.764706,-0.000000,0.173538
0.020000,3.908408,13.087268,0.914118,4.588235,11.764706,-0.000000,0.192386
0.020000,4.000606,13.106175,1.008235,4.823529,11.764706,0.000000,0.212105
0.020000,4.096994,13.127970,1.107059,5.058824,11.764706,0.000000,0.232634
0.020000,4.197473,13.152910,1.210588,5.294118,11.764706,0.000000,0.253905
0.020000,4.301930,13.181247,1.318824,5.529412,11.764706,0.000000,0.275834
0.020000,4.410246,13.213229,1.431765,5.764706,11.764706,0.000000,0.298326
0.020000,4.522288,13.249100,1.549412,6.000000,11.764706,0.000000,0.321275
0.020000,4.637919,13.289091,1.671765,6.235294,11.764706,0.000000,0.344563
0.020000,4.756991,13.333418,1.798824,6.470588,11.764706,0.000000,0.368061
0.020000,4.879358,13.382281,1.930588,6.705882,11.764706,0.000000,0.391633
0.020000,5.004868,13.435859,2.067059,6.941176,11.764706,-0.000000,0.415137
0.020000,5.133160,13.494208,2.208000,7.152941,10.588235,-58.823529,0.438387
0.020000,5.263677,13.557235,2.352941,7.341176,9.411765,-58.823529,0.461169
0.020000,5.395889,13.624782,2.501412,7.505882,8.235294,-58.823529,0.483283
