dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000179,14.750000,0.000235,0.023529,1.176471,58.823529,6.283161
0.020000,3.001410,14.750000,0.001466,0.061514,1.899222,36.137582,6.282996
0.020000,3.004178,14.749999,0.004234,0.138404,3.844491,97.263463,6.282624
0.020000,3.009099,14.749994,0.009154,0.246042,5.381934,76.872126,6.281964
0.020000,3.016787,14.749981,0.016843,0.384419,6.918823,76.844472,6.280932
0.020000,3.027857,14.749948,0.027913,0.553514,8.454773,76.797479,6.279446
0.020000,3.042923,14.749876,0.042979,0.753299,9.989254,76.724062,6.277425
0.020000,3.062597,14.749737,0.062654,0.983730,11.521550,76.614808,6.274788
0.020000,3.087491,14.749487,0.087549,1.244744,13.050687,76.456841,6.271453
0.020000,3.118213,14.749063,0.118274,1.536251,14.575350,76.233127,6.267341
0.020000,3.155062,14.748388,0.155129,1.842774,15.326120,37.538498,6.262415
0.020000,3.198027,14.747372,0.198106,2.148829,15.302798,-1.166092,6.256681
0.020000,3.247091,14.745911,0.247191,2.454284,15.272718,-1.504009,6.250144
0.020000,3.302233,14.743886,0.302371,2.758976,15.234586,-1.906595,6.242815
0.020000,3.363427,14.741165,0.363625,3.062715,15.186954,-2.381596,6.234703
0.020000,3.430638,14.737605,0.430931,3.365279,15.128241,-2.935669,6.225822
0.020000,3.503825,14.733048,0.504259,3.666415,15.056756,-3.574248,6.216189
0.020000,3.582935,14.727328,0.583576,3.965829,14.970736,-4.300973,6.205823
0.020000,3.667906,14.720267,0.668840,4.263197,14.868389,-5.117331,6.194748
0.020000,3.758664,14.711681,0.760003,4.558156,14.747942,-6.022358,6.182990
0.020000,3.855121,14.701378,0.857009,4.850310,14.607703,-7.011988,6.170583
0.020000,3.957177,14.689163,0.959794,5.139232,14.446125,-8.078867,6.157563
0.020000,4.064717,14.674837,1.068283,5.424470,14.261883,-9.212111,6.143972
0.020000,4.177609,14.658204,1.182394,5.705549,14.053941,-10.397107,6.129857
0.020000,4.295708,14.639068,1.302034,5.981981,13.821626,-11.615730,6.115273
0.020000,4.418854,14.617239,1.427099,6.253275,13.564693,-12.846644,6.100277
0.020000,4.546872,14.592539,1.557478,6.518943,13.283373,-14.066042,6.084933
0.020000,4.679573,14.564796,1.693048,6.778511,12.978403,-15.248469,6.069313
0.020000,4.816758,14.533857,1.833679,7.031532,12.651041,-16.368091,6.053489
0.020000,4.958217,14.499583,1.979231,7.277592,12.303040,-17.400076,6.037543
0.020000,5.103733,14.461857,2.129557,7.516324,11.936598,-18.322083,6.021557
0.020000,5.253082,14.420580,2.284505,7.747410,11.554282,-19.115805,6.005619
0.020000,5.406040,14.375681,2.443917,7.970588,11.158915,-19.768347,5.989820
0.020000,5.562383,14.327112,2.607630,8.185657,10.753448,-20.273362,5.974252
0.020000,5.721625,14.274940,2.775201,8.378551,9.644663,-55.439254,5.959034
0.020000,5.883044,14.219365,2.945920,8.535923,7.868608,-88.802755,5.944303
0.020000,6.045958,14.160632,3.119097,8.658857,6.146734,-86.093682,5.930184
0.020000,6.209726,14.099031,3.294068,8.748541,4.484171,-83.128145,5.916788
0.020000,6.373756,14.034889,3.470192,8.806226,2.884248,-79.996134,5.904212
0.020000,6.537495,13.968559,3.646856,8.833198,1.348597,-76.782586,5.892538
0.020000,6.700436,13.900420,3.823471,8.830745,-0.122646,-73.562151,5.881834
0.020000,6.862112,13.830865,3.999474,8.800134,-1.530560,-70.395692,5.872151
0.020000,7.022092,13.760298,4.174326,8.742591,-2.877133,-67.328623,5.863529
0.020000,7.179977,13.689126,4.347511,8.659292,-4.164951,-64.390909,5.855994
0.020000,7.335627,13.617648,4.518789,8.563878,-4.770706,-30.287775,5.849550
0.020000,7.489137,13.546052,4.688174,8.469239,-4.731937,1.938459,5.844187
0.020000,7.640600,13.474519,4.855680,8.375290,-4.697460,1.723830,5.839898
0.020000,7.790108,13.403221,5.021318,8.281921,-4.668462,1.449913,5.836676
0.020000,7.937749,13.332325,5.185098,8.189003,-4.645860,1.130092,5.834516
0.020000,8.083605,13.261993,5.347026,8.096397,-4.630326,0.776712,5.833414
0.020000,8.227756,13.192381,5.507105,8.003951,-4.622300,0.401284,5.833369
0.020000,8.370275,13.123642,5.665335,7.911511,-4.622005,0.014750,5.834380
0.020000,8.511231,13.055924,5.821714,7.818922,-4.629450,-0.372250,5.836450
0.020000,8.650685,12.989373,5.976234,7.726033,-4.644432,-0.749084,5.839581
0.020000,8.788695,12.924131,6.128888,7.632703,-4.666529,-1.104848,5.843779
0.020000,8.925311,12.860337,6.279664,7.538801,-4.695091,-1.428088,5.849049
0.020000,9.060576,12.798129,6.428549,7.444216,-4.729222,-1.706534,5.855401
0.020000,9.194528,12.737639,6.575526,7.348861,-4.767759,-1.926895,5.862842
0.020000,9.327201,12.678999,6.720579,7.252676,-4.809253,-2.074678,5.871383
0.020000,9.458488,12.622392,6.863551,7.148561,-5.205739,-19.824315,5.881022
0.020000,9.588095,12.568066,7.004083,7.026619,-6.097128,-44.569444,5.891739
0.020000,9.715673,12.516268,7.141775,6.884608,-7.100533,-50.170227,5.903493
0.020000,9.840882,12.467210,7.276251,6.723814,-8.039694,-46.958071,5.916230
0.020000,9.963390,12.421064,7.407163,6.545565,-8.912448,-43.637669,5.929881
0.020000,10.082879,12.377965,7.534187,6.351211,-9.717700,-40.262613,5.944361
0.020000,10.199040,12.338006,7.657029,6.142096,-10.455765,-36.903267,5.959569
0.020000,10.311576,12.301236,7.775419,5.919523,-11.128656,-33.644524,5.975392
0.020000,10.420201,12.267666,7.889114,5.684717,-11.740285,-30.581478,5.991699
0.020000,10.524643,12.237266,7.997889,5.438786,-12.296548,-27.813138,6.008349
0.020000,10.624756,12.209937,8.101666,5.188844,-12.497097,-10.027443,6.025210
0.020000,10.720580,12.185514,8.200553,4.944354,-12.224494,13.630161,6.042175
0.020000,10.812206,12.163810,8.294715,4.708092,-11.813095,20.569912,6.059152
0.020000,10.899726,12.144639,8.384310,4.479750,-11.417126,19.798454,6.076050
0.020000,10.983227,12.127814,8.469489,4.258955,-11.039759,18.868360,6.092782
0.020000,11.062794,12.113154,8.550395,4.045279,-10.683787,17.798580,6.109267
0.020000,11.138505,12.100479,8.627160,3.838249,-10.351514,16.613684,6.125429
0.020000,11.210436,12.089614,8.699907,3.637355,-10.044673,15.342041,6.141197
0.020000,11.278657,12.080392,8.768748,3.442067,-9.764394,14.013964,6.156509
0.020000,11.343231,12.072651,8.833785,3.251843,-9.511195,12.659939,6.171306
0.020000,11.404218,12.066237,8.895108,3.066143,-9.285015,11.308997,6.185536
0.020000,11.461669,12.061003,8.952797,2.884438,-9.085264,9.987548,6.199153
0.020000,11.515630,12.056809,9.006921,2.706220,-8.910897,8.718369,6.212118
0.020000,11.566144,12.053524,9.057541,2.531010,-8.760494,7.520126,6.224397
0.020000,11.613245,12.051025,9.104709,2.358363,-8.632352,6.407101,6.235959
0.020000,11.656964,12.049195,9.148466,2.187872,-8.524566,5.389294,6.246781
0.020000,11.697328,12.047928,9.188849,2.019169,-8.435114,4.472634,6.256842
0.020000,11.734358,12.047124,9.225888,1.851931,-8.361924,3.659488,6.266126
0.020000,11.768072,12.046692,9.259606,1.685872,-8.302943,2.949052,6.274618
0.020000,11.798487,12.046548,9.290021,1.520748,-8.256183,2.338012,6.282308
0.020000,11.825614,12.046618,9.317148,1.356353,-8.219763,1.820995,0.006002
0.020000,11.849463,12.046833,9.340998,1.192514,-8.191941,1.391060,0.012065
0.020000,11.870043,12.047136,9.361580,1.029092,-8.171138,1.040150,0.017307
0.020000,11.887359,12.047474,9.378899,0.865973,-8.155948,0.759501,0.021724
0.020000,11.901526,12.047807,9.393071,0.708575,-7.869902,14.302332,0.025342
0.020000,11.912821,12.048110,9.404370,0.564955,-7.180958,34.447210,0.028228
0.020000,11.921571,12.048366,9.413123,0.437685,-6.363535,40.871153,0.030466
0.020000,11.928103,12.048571,9.419658,0.326725,-5.547998,40.776848,0.032137
0.020000,11.932741,12.048723,9.424299,0.232051,-4.733668,40.716500,0.033324
