dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.500078,12.300000,0.000199,0.019900,0.995025,49.751244,6.283146
0.020000,1.500509,12.300000,0.000630,0.021531,0.081529,-45.674777,6.282931
0.020000,1.501477,12.299999,0.001598,0.048420,1.344467,63.146864,6.282447
0.020000,1.503090,12.299998,0.003211,0.080625,1.610240,13.288671,6.281640
0.020000,1.505344,12.299993,0.005465,0.112717,1.604575,-0.283243,6.280508
0.020000,1.508237,12.299983,0.008358,0.144649,1.596637,-0.396925,6.279049
0.020000,1.511765,12.299965,0.011885,0.176378,1.586418,-0.510958,6.277261
0.020000,1.515922,12.299936,0.016043,0.207856,1.573909,-0.625426,6.275141
0.020000,1.520702,12.299892,0.020823,0.239038,1.559101,-0.740377,6.272685
0.020000,1.526099,12.299828,0.026221,0.269878,1.541985,-0.855808,6.269890
0.020000,1.532105,12.299738,0.032227,0.300329,1.522551,-0.971712,6.266751
0.020000,1.538711,12.299618,0.038834,0.330345,1.500791,-1.087983,6.263262
0.020000,1.545907,12.299461,0.046032,0.359879,1.476701,-1.204528,6.259419
0.020000,1.553682,12.299260,0.053810,0.388884,1.450279,-1.321113,6.255215
0.020000,1.562024,12.299008,0.062156,0.417315,1.421529,-1.437467,6.250642
0.020000,1.570921,12.298696,0.071058,0.445124,1.390465,-1.553192,6.245695
0.020000,1.580359,12.298317,0.080504,0.472266,1.357109,-1.667814,6.240364
0.020000,1.590323,12.297861,0.090478,0.498696,1.321495,-1.780706,6.234642
0.020000,1.600796,12.297321,0.100965,0.524370,1.283673,-1.891080,6.228519
0.020000,1.611763,12.296685,0.111950,0.549244,1.243714,-1.997995,6.221987
0.020000,1.623204,12.295944,0.123415,0.573278,1.201707,-2.100324,6.215035
0.020000,1.635102,12.295088,0.135344,0.596433,1.157773,-2.196677,6.207654
0.020000,1.647437,12.294106,0.147718,0.618675,1.112064,-2.285464,6.199831
0.020000,1.660187,12.292988,0.160517,0.639970,1.064769,-2.364757,6.191557
