dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000132,13.000000,0.000235,0.023529,1.176471,58.823529,6.283159
0.020000,3.001073,13.000000,0.001176,0.070588,2.352941,58.823529,6.282968
0.020000,3.003191,12.999999,0.003294,0.141176,3.529412,58.823529,6.282539
0.020000,3.006955,12.999995,0.007059,0.235294,4.705882,58.823529,6.281777
0.020000,3.012838,12.999983,0.012941,0.352941,5.882353,58.823529,6.280586
0.020000,3.021308,12.999954,0.021412,0.494118,7.058824,58.823529,6.278870
0.020000,3.032837,12.999891,0.032941,0.658824,8.235294,58.823529,6.276533
0.020000,3.047896,12.999768,0.048000,0.847059,9.411765,58.823529,6.273480
0.020000,3.066953,12.999546,0.067059,1.058824,10.588235,58.823529,6.269614
0.020000,3.090480,12.999170,0.090588,1.294118,11.764706,58.823529,6.264838
0.020000,3.118708,12.998571,0.118824,1.529412,11.764706,0.000000,6.259104
0.020000,3.151637,12.997668,0.151765,1.764706,11.764706,0.000000,6.252411
0.020000,3.189262,12.996366,0.189412,2.000000,11.764706,-0.000000,6.244758
0.020000,3.231576,12.994556,0.231765,2.235294,11.764706,0.000000,6.236148
0.020000,3.278571,12.992119,0.278824,2.470588,11.764706,0.000000,6.226583
0.020000,3.330237,12.988919,0.330588,2.705882,11.764706,0.000000,6.216069
0.020000,3.386557,12.984809,0.387059,2.941176,11.764706,-0.000000,6.204614
0.020000,3.447514,12.979629,0.448235,3.176471,11.764706,0.000000,6.192231
0.020000,3.513082,12.973209,0.514118,3.411765,11.764706,-0.000000,6.178936
0.020000,3.583232,12.965366,0.584706,3.647059,11.764706,0.000000,6.164751
0.020000,3.657929,12.955906,0.660000,3.882353,11.764706,-0.000000,6.149705
0.020000,3.737130,12.944630,0.740000,4.117647,11.764706,0.000000,6.133832
0.020000,3.820784,12.931328,0.824706,4.352941,11.764706,-0.000000,6.117174
0.020000,3.908833,12.915785,0.914118,4.588235,11.764706,-0.000000,6.099781
0.020000,4.001212,12.897783,1.008235,4.823529,11.764706,0.000000,6.081714
0.020000,4.097845,12.877102,1.107059,5.058824,11.764706,0.000000,6.063041
0.020000,4.198652,12.853522,1.210588,5.294118,11.764706,0.000000,6.043838
0.020000,4.303542,12.826828,1.318824,5.529412,11.764706,0.000000,6.024192
0.020000,4.412419,12.796808,1.431765,5.764706,11.764706,0.000000,6.004198
0.020000,4.525180,12.763262,1.549412,6.000000,11.764706,0.000000,5.983959
0.020000,4.641718,12.725999,1.671765,6.235294,11.764706,0.000000,5.963585
0.020000,4.761925,12.684844,1.798824,6.470588,11.764706,0.000000,5.943192
0.020000,4.885689,12.639637,1.930588,6.705882,11.764706,0.000000,5.922901
0.020000,5.012903,12.590237,2.067059,6.941176,11.764706,-0.000000,5.902836
0.020000,5.143243,12.536617,2.208000,7.152941,10.588235,-58.823529,5.883154
0.020000,5.276188,12.478885,2.352941,7.341176,9.411765,-58.823529,5.864035
0.020000,5.411237,12.417202,2.501412,7.505882,8.235294,-58.823529,5.845644
0.020000,5.547915,12.351784,2.652941,7.647059,7.058824,-58.823529,5.828125
0.020000,5.685776,12.282891,2.807059,7.764706,5.882353,-58.823529,5.811603
0.020000,5.824397,12.210828,2.963294,7.858824,4.705882,-58.823529,5.796184
0.020000,5.963385,12.135937,3.121176,7.929412,3.529412,-58.823529,5.781949
0.020000,6.102369,12.058588,3.280235,7.976471,2.352941,-58.823529,5.768965
0.020000,6.241001,11.979180,3.440000,8.000000,1.176471,-58.823529,5.757276
0.020000,6.378952,11.898129,3.600000,8.000000,0.000000,-58.823529,5.746911
0.020000,6.516111,11.815744,3.760000,8.000000,0.000000,0.000000,5.737869
0.020000,6.652574,11.732211,3.920000,8.000000,0.000000,0.000000,5.730133
0.020000,6.788441,11.647712,4.080000,8.000000,0.000000,0.000000,5.723686
0.020000,6.923815,11.562425,4.240000,8.000000,0.000000,0.000000,5.718513
0.020000,7.058800,11.476525,4.400000,8.000000,0.000000,0.000000,5.714603
0.020000,7.193503,11.390182,4.560000,8.000000,0.000000,0.000000,5.711946
0.020000,7.328030,11.303565,4.720000,8.000000,0.000000,0.000000,5.710536
0.020000,7.462489,11.216842,4.880000,8.000000,0.000000,0.000000,5.710368
0.020000,7.596987,11.130180,5.040000,8.000000,0.000000,0.000000,5.711442
0.020000,7.731632,11.043746,5.200000,8.000000,0.000000,0.000000,5.713762
0.020000,7.866530,10.957710,5.360000,8.000000,0.000000,0.000000,5.717332
0.020000,8.001789,10.872240,5.520000,8.000000,0.000000,0.000000,5.722163
0.020000,8.137513,10.787511,5.680000,8.000000,0.000000,0.000000,5.728264
0.020000,8.273804,10.703699,5.840000,8.000000,0.000000,0.000000,5.735650
0.020000,8.410765,10.620985,6.000000,8.000000,0.000000,0.000000,5.744338
0.020000,8.548493,10.539555,6.160000,8.000000,0.000000,0.000000,5.754343
0.020000,8.687081,10.459599,6.320000,8.000000,0.000000,0.000000,5.765686
0.020000,8.826487,10.381388,6.479848,7.984752,-0.762404,-38.120207,5.778371
0.020000,8.966449,10.305303,6.639155,7.945974,-1.938875,-58.823529,5.792377
0.020000,9.106615,10.231746,6.797451,7.883668,-3.115345,-58.823529,5.807656
0.020000,9.246609,10.161091,6.954266,7.797831,-4.291816,-58.823529,5.824145
0.020000,9.386030,10.093684,7.109129,7.688465,-5.468287,-58.823529,5.841756
0.020000,9.524450,10.029829,7.261570,7.555570,-6.644757,-58.823529,5.860382
0.020000,9.661412,9.969787,7.411117,7.399146,-7.821228,-58.823529,5.879892
0.020000,9.796434,9.913770,7.557300,7.219192,-8.997698,-58.823529,5.900137
0.020000,9.929006,9.861933,7.699649,7.015708,-10.174169,-58.823529,5.920947
0.020000,10.058597,9.814375,7.837693,6.788696,-11.350639,-58.823529,5.942135
0.020000,10.184798,9.771087,7.971114,6.553402,-11.764706,-20.703322,5.963526
0.020000,10.307414,9.731945,8.099829,6.318107,-11.764706,0.000000,5.984976
0.020000,10.426329,9.696774,8.223838,6.082813,-11.764706,-0.000000,6.006360
0.020000,10.541425,9.665381,8.343142,5.847519,-11.764706,-0.000000,6.027557
0.020000,10.652592,9.637560,8.457739,5.612225,-11.764706,0.000000,6.048455
0.020000,10.759724,9.613095,8.567631,5.376931,-11.764706,0.000000,6.068948
0.020000,10.862721,9.591758,8.672816,5.141637,-11.764706,0.000000,6.088941
0.020000,10.961493,9.573318,8.773296,4.906343,-11.764706,-0.000000,6.108348
0.020000,11.055957,9.557542,8.869070,4.671049,-11.764706,-0.000000,6.127092
0.020000,11.146040,9.544194,8.960138,4.435754,-11.764706,0.000000,6.145108
0.020000,11.231678,9.533044,9.046500,4.200460,-11.764706,0.000000,6.162340
0.020000,11.312816,9.523865,9.128157,3.965166,-11.764706,-0.000000,6.178741
0.020000,11.389406,9.516436,9.205107,3.729872,-11.764706,0.000000,6.194273
0.020000,11.461410,9.510548,9.277351,3.494578,-11.764706,0.000000,6.208906
0.020000,11.528794,9.505997,9.344890,3.259284,-11.764706,-0.000000,6.222615
0.020000,11.591535,9.502595,9.407723,3.023990,-11.764706,0.000000,6.235385
0.020000,11.649610,9.500160,9.465850,2.788696,-11.764706,0.000000,6.247202
0.020000,11.703006,9.498528,9.519271,2.553402,-11.764706,-0.000000,6.258058
0.020000,11.751711,9.497545,9.567986,2.318107,-11.764706,0.000000,6.267951
0.020000,11.795717,9.497071,9.611995,2.082813,-11.764706,0.000000,6.276877
0.020000,11.835020,9.496980,9.651298,1.847519,-11.764706,0.000000,0.001652
0.020000,11.869617,9.497158,9.685896,1.612225,-11.764706,0.000000,0.008648
0.020000,11.899507,9.497507,9.715787,1.376931,-11.764706,-0.000000,0.014684
0.020000,11.924689,9.497940,9.740973,1.141637,-11.764706,0.000000,0.019762
0.020000,11.945316,9.498391,9.761605,0.921591,-11.002302,38.120207,0.023917
0.020000,11.961777,9.498812,9.778072,0.725074,-9.825831,58.823529,0.027229
0.020000,11.974544,9.499176,9.790843,0.552087,-8.649361,58.823529,0.029795
0.020000,11.984086,9.499470,9.800391,0.402629,-7.472890,58.823529,0.031712
0.020000,11.990876,9.499690,9.807184,0.276701,-6.296419,58.823529,0.033076
0.020000,11.995384,9.499841,9.811694,0.174302,-5.119949,58.823529,0.033980
0.020000,11.998079,9.499933,9.814391,0.095432,-3.943478,58.823529,0.034521
0.020000,11.999434,9.499980,9.815746,0.040092,-2.767008,58.823529,0.034793
0.020000,11.999917,9.499997,9.816230,0.008281,-1.590537,58.823529,0.034890
0.020000,12.000000,9.500000,9.816313,0.000000,-0.414066,58.823529,0.034907
0.020000,12.000000,9.500000,9.816313,0.000000,0.000000,20.703322,0.034907
