dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000112,13.900000,0.000199,0.019900,0.995025,49.751244,6.283165
0.020000,3.001083,13.900000,0.001170,0.048559,1.432948,21.896168,6.282990
0.020000,3.003269,13.899999,0.003355,0.109262,3.035136,80.109388,6.282596
0.020000,3.006911,13.899996,0.006998,0.182114,3.642596,30.373017,6.281939
0.020000,3.012010,13.899987,0.012097,0.254982,3.643375,0.038956,6.281018
0.020000,3.018568,13.899969,0.018655,0.327871,3.644459,0.054182,6.279834
0.020000,3.026583,13.899936,0.026671,0.400788,3.645837,0.068898,6.278385
0.020000,3.036058,13.899883,0.036145,0.473737,3.647498,0.083034,6.276672
0.020000,3.046992,13.899801,0.047080,0.546726,3.649429,0.096552,6.274692
0.020000,3.059387,13.899681,0.059475,0.619758,3.651612,0.109172,6.272446
0.020000,3.073243,13.899515,0.073332,0.692839,3.654028,0.120764,6.269933
0.020000,3.088560,13.899291,0.088651,0.765972,3.656653,0.131290,6.267151
0.020000,3.105341,13.898996,0.105434,0.839161,3.659462,0.140452,6.264099
0.020000,3.123585,13.898618,0.123683,0.912410,3.662426,0.148190,6.260776
0.020000,3.143294,13.898140,0.143397,0.985720,3.665510,0.154184,6.257181
0.020000,3.164468,13.897549,0.164579,1.059093,3.668678,0.158398,6.253313
0.020000,3.187107,13.896825,0.187229,1.132531,3.671888,0.160515,6.249169
0.020000,3.211212,13.895952,0.211350,1.206033,3.675095,0.160370,6.244750
0.020000,3.236782,13.894908,0.236942,1.279598,3.678250,0.157728,6.240054
0.020000,3.263819,13.893674,0.264007,1.353224,3.681297,0.152339,6.235079
0.020000,3.292320,13.892227,0.292545,1.426908,3.684178,0.144042,6.229824
0.020000,3.322286,13.890543,0.322558,1.500644,3.686826,0.132398,6.224289
0.020000,3.353714,13.888598,0.354046,1.574428,3.689173,0.117355,6.218472
0.020000,3.386603,13.886366,0.387011,1.648250,3.691145,0.098590,6.212373
0.020000,3.420951,13.883820,0.421453,1.722104,3.692658,0.075651,6.205990
0.020000,3.456754,13.880930,0.457373,1.795976,3.693630,0.048622,6.199324
0.020000,3.494009,13.877668,0.494770,1.869856,3.693967,0.016851,6.192375
0.020000,3.532710,13.874003,0.533644,1.943727,3.693575,-0.019580,6.185142
0.020000,3.572853,13.869902,0.573996,2.017574,3.692352,-0.061190,6.177626
0.020000,3.614430,13.865333,0.615823,2.091378,3.690191,-0.108007,6.169828
0.020000,3.657434,13.860261,0.659126,2.165118,3.686986,-0.160292,6.161750
0.020000,3.701857,13.854652,0.703901,2.238770,3.682619,-0.218335,6.153392
0.020000,3.747688,13.848468,0.750147,2.312310,3.676978,-0.282044,6.144758
0.020000,3.794916,13.841674,0.797862,2.385708,3.669944,-0.351726,6.135849
0.020000,3.843528,13.834231,0.847040,2.458936,3.661399,-0.427236,6.126671
0.020000,3.893510,13.826101,0.897680,2.531961,3.651226,-0.508649,6.117225
0.020000,3.944847,13.817246,0.949774,2.604747,3.639310,-0.595814,6.107518
0.020000,3.997521,13.807626,1.003320,2.677258,3.625538,-0.688567,6.097555
0.020000,4.051513,13.797201,1.058309,2.749454,3.609806,-0.786616,6.087342
0.020000,4.106802,13.785931,1.114735,2.821294,3.592014,-0.889581,6.076886
0.020000,4.163366,13.773777,1.172589,2.892736,3.572073,-0.997042,6.066195
0.020000,4.221180,13.760700,1.231864,2.963734,3.549905,-1.108401,6.055278
0.020000,4.280218,13.746660,1.292549,3.034243,3.525447,-1.222925,6.044145
0.020000,4.340453,13.731618,1.354633,3.104216,3.498648,-1.339969,6.032807
0.020000,4.401854,13.715537,1.418105,3.173605,3.469477,-1.458531,6.021275
0.020000,4.464390,13.698379,1.482953,3.242364,3.437923,-1.577705,6.009561
0.020000,4.528028,13.680110,1.549161,3.310444,3.403994,-1.696431,5.997680
0.020000,4.592734,13.660693,1.616717,3.377798,3.367723,-1.813570,5.985646
0.020000,4.658470,13.640096,1.685605,3.444381,3.329162,-1.928030,5.973475
0.020000,4.725200,13.618288,1.755808,3.510149,3.288392,-2.038524,5.961182
0.020000,4.792885,13.595240,1.827309,3.575059,3.245514,-2.143910,5.948785
0.020000,4.861484,13.570923,1.900091,3.639073,3.200653,-2.243042,5.936301
0.020000,4.930957,13.545313,1.974134,3.702152,3.153958,-2.334719,5.923750
0.020000,5.001263,13.518388,2.049419,3.764264,3.105599,-2.417956,5.911151
0.020000,5.072359,13.490126,2.125927,3.825379,3.055764,-2.491782,5.898523
0.020000,5.144204,13.460510,2.203636,3.885472,3.004656,-2.555385,5.885888
0.020000,5.216755,13.429525,2.282526,3.944522,2.952494,-2.608100,5.873266
0.020000,5.289970,13.397160,2.362577,4.002512,2.899505,-2.649449,5.860678
0.020000,5.363808,13.363404,2.443765,4.059430,2.845922,-2.679117,5.848145
0.020000,5.438229,13.328250,2.526071,4.115270,2.791982,-2.697017,5.835690
