dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.000072,11.900000,0.000199,0.019900,0.995025,49.751244,6.283165
0.020000,3.000692,11.900000,0.000820,0.031043,0.557102,-21.896156,6.282990
0.020000,3.002089,11.899999,0.002217,0.069842,1.939987,69.144285,6.282596
0.020000,3.004417,11.899997,0.004545,0.116393,2.327554,19.378307,6.281939
0.020000,3.007676,11.899992,0.007803,0.162929,2.326773,-0.039034,6.281018
0.020000,3.011865,11.899980,0.011992,0.209443,2.325690,-0.054170,6.279834
0.020000,3.016983,11.899959,0.017111,0.255929,2.324311,-0.068918,6.278385
0.020000,3.023031,11.899925,0.023158,0.302382,2.322649,-0.083111,6.276672
0.020000,3.030006,11.899873,0.030134,0.348796,2.320718,-0.096550,6.274692
0.020000,3.037909,11.899797,0.038037,0.395167,2.318534,-0.109183,6.272446
0.020000,3.046739,11.899691,0.046867,0.441489,2.316117,-0.120852,6.269933
0.020000,3.056493,11.899548,0.056622,0.487759,2.313491,-0.131326,6.267151
0.020000,3.067170,11.899360,0.067302,0.533973,2.310680,-0.140528,6.264099
0.020000,3.078771,11.899120,0.078904,0.580127,2.307716,-0.148214,6.260776
0.020000,3.091291,11.898817,0.091429,0.626220,2.304630,-0.154288,6.257181
0.020000,3.104731,11.898441,0.104874,0.672249,2.301461,-0.158460,6.253313
0.020000,3.119088,11.897982,0.119238,0.718214,2.298249,-0.160597,6.249169
0.020000,3.134360,11.897429,0.134520,0.764115,2.295040,-0.160457,6.244750
0.020000,3.150546,11.896768,0.150719,0.809952,2.291883,-0.157822,6.240054
0.020000,3.167643,11.895988,0.167834,0.855729,2.288834,-0.152464,6.235079
0.020000,3.185648,11.895074,0.185863,0.901448,2.285952,-0.144090,6.229824
0.020000,3.204561,11.894011,0.204805,0.947114,2.283301,-0.132562,6.224289
0.020000,3.224377,11.892785,0.224660,0.992733,2.280951,-0.117490,6.218472
0.020000,3.245096,11.891379,0.245426,1.038313,2.278978,-0.098644,6.212373
0.020000,3.266714,11.889776,0.267103,1.083862,2.277461,-0.075871,6.205990
0.020000,3.289229,11.887959,0.289691,1.129391,2.276487,-0.048682,6.199324
0.020000,3.312637,11.885909,0.313189,1.174914,2.276146,-0.017055,6.192375
0.020000,3.336938,11.883608,0.337598,1.220445,2.276536,0.019481,6.185142
0.020000,3.362126,11.881035,0.362918,1.266000,2.277756,0.060998,6.177626
0.020000,3.388201,11.878169,0.389150,1.311599,2.279913,0.107845,6.169828
0.020000,3.415160,11.874990,0.416296,1.357261,2.283116,0.160189,6.161750
0.020000,3.442999,11.871474,0.444356,1.403010,2.287479,0.218124,6.153392
0.020000,3.471716,11.867600,0.473333,1.448873,2.293117,0.281924,6.144758
0.020000,3.501309,11.863342,0.503231,1.494876,2.300148,0.351533,6.135849
0.020000,3.531775,11.858678,0.534052,1.541050,2.308690,0.427092,6.126671
0.020000,3.563112,11.853581,0.565800,1.587427,2.318860,0.508498,6.117225
0.020000,3.595317,11.848026,0.598481,1.634042,2.330773,0.595676,6.107518
0.020000,3.628389,11.841985,0.632100,1.680933,2.344542,0.688424,6.097555
0.020000,3.662324,11.835433,0.666663,1.728138,2.360271,0.786480,6.087342
0.020000,3.697123,11.828340,0.702177,1.775700,2.378061,0.889485,6.076886
0.020000,3.732782,11.820678,0.738650,1.823660,2.398000,0.996940,6.066195
0.020000,3.769301,11.812417,0.776091,1.872063,2.420166,1.108292,6.055278
0.020000,3.806678,11.803529,0.814510,1.920955,2.444624,1.222903,6.044145
0.020000,3.844911,11.793981,0.853918,1.970384,2.471422,1.339911,6.032807
0.020000,3.884001,11.783743,0.894326,2.020396,2.500592,1.458517,6.021275
0.020000,3.923945,11.772784,0.935746,2.071039,2.532147,1.577715,6.009561
0.020000,3.964744,11.761070,0.978194,2.122360,2.566076,1.696465,5.997680
0.020000,4.006398,11.748571,1.021682,2.174407,2.602349,1.813666,5.985646
0.020000,4.048904,11.735252,1.066226,2.227225,2.640911,1.928108,5.973475
0.020000,4.092265,11.721082,1.111844,2.280859,2.681685,2.038663,5.961182
0.020000,4.136478,11.706025,1.158551,2.335350,2.724567,2.144099,5.948785
0.020000,4.181545,11.690050,1.206365,2.390739,2.769431,2.243225,5.936301
0.020000,4.227466,11.673122,1.255307,2.447062,2.816131,2.334965,5.923750
0.020000,4.274240,11.655208,1.305394,2.504352,2.864495,2.418227,5.911151
0.020000,4.321867,11.636275,1.356646,2.562638,2.914337,2.492083,5.898523
0.020000,4.370349,11.616290,1.409085,2.621947,2.965451,2.555715,5.885888
0.020000,4.419684,11.595220,1.462731,2.682300,3.017620,2.608462,5.873266
0.020000,4.469872,11.573033,1.517606,2.743712,3.070617,2.649829,5.860678
0.020000,4.520915,11.549697,1.573729,2.806196,3.124207,2.679523,5.848145
0.020000,4.572812,11.525183,1.631125,2.869759,3.178156,2.697438,5.835690
0.020000,4.625562,11.499460,1.689813,2.934404,3.232230,2.703683,5.823334
0.020000,4.679167,11.472500,1.749815,3.000128,3.286201,2.698565,5.811098
0.020000,4.733626,11.444275,1.811154,3.066925,3.339853,2.682598,5.799004
0.020000,4.788939,11.414758,1.873849,3.134785,3.392983,2.656479,5.787073
0.020000,4.845106,11.383926,1.937923,3.203693,3.445404,2.621076,5.775326
0.020000,4.902130,11.351754,2.003396,3.273632,3.496953,2.577424,5.763785
0.020000,4.960009,11.318222,2.070288,3.344582,3.547486,2.526664,5.752468
0.020000,5.018599,11.283396,2.138446,3.407930,3.167441,-19.002262,5.741423
0.020000,5.077608,11.247448,2.207542,3.454799,2.343409,-41.201562,5.730718
0.020000,5.136744,11.210566,2.277237,3.484729,1.496538,-42.343590,5.720413
0.020000,5.195863,11.172860,2.347357,3.506012,1.064148,-21.619480,5.710533
0.020000,5.254970,11.134352,2.417901,3.527206,1.059697,-0.222549,5.701078
0.020000,5.314069,11.095066,2.488867,3.548286,1.053967,-0.286493,5.692044
0.020000,5.373167,11.055026,2.560251,3.569229,1.047169,-0.339884,5.683428
0.020000,5.432268,11.014254,2.632052,3.590019,1.039501,-0.383422,5.675229
0.020000,5.491379,10.972774,2.704265,3.610642,1.031146,-0.417753,5.667442
0.020000,5.550507,10.930609,2.776886,3.631087,1.022274,-0.443608,5.660064
0.020000,5.609658,10.887784,2.849913,3.651348,1.013041,-0.461629,5.653091
0.020000,5.668842,10.844322,2.923342,3.671420,1.003591,-0.472535,5.646520
0.020000,5.728067,10.800246,2.997168,3.691301,0.994052,-0.476928,5.640346
0.020000,5.787342,10.755580,3.071388,3.710992,0.984543,-0.475464,5.634566
0.020000,5.846677,10.710347,3.145998,3.730495,0.975169,-0.468701,5.629176
0.020000,5.906082,10.664570,3.220994,3.749816,0.966024,-0.457210,5.624172
0.020000,5.965568,10.618273,3.296373,3.768960,0.957195,-0.441482,5.619551
0.020000,6.025147,10.571478,3.372132,3.787935,0.948755,-0.422013,5.615310
0.020000,6.084831,10.524209,3.448267,3.806750,0.940770,-0.399228,5.611445
0.020000,6.144632,10.476488,3.524775,3.825416,0.933299,-0.373534,5.607953
0.020000,6.204564,10.428337,3.601654,3.843944,0.926393,-0.345300,5.604832
0.020000,6.264641,10.379779,3.678901,3.862346,0.920096,-0.314865,5.602079
0.020000,6.324877,10.330836,3.756514,3.880635,0.914445,-0.282535,5.599692
0.020000,6.385286,10.281531,3.834490,3.898824,0.909473,-0.248601,5.597669
0.020000,6.445885,10.231884,3.912829,3.916928,0.905207,-0.213310,5.596007
0.020000,6.506688,10.181919,3.991528,3.934962,0.901669,-0.176913,5.594706
0.020000,6.567713,10.131658,4.070587,3.952939,0.898876,-0.139623,5.593765
