dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,2.003624,5.312500,0.003704,0.148148,2.962963,59.259259,0.000000
0.050000,2.014735,5.312500,0.014815,0.222222,1.481481,-29.629630,0.000000
0.050000,2.033253,5.312500,0.033333,0.370370,2.962963,29.629630,0.000000
0.050000,2.059179,5.312500,0.059259,0.518519,2.962963,0.000000,0.000000
0.050000,2.092513,5.312500,0.092593,0.666667,2.962963,-0.000000,0.000000
0.050000,2.133253,5.312500,0.133333,0.814815,2.962963,-0.000000,0.000000
0.050000,2.181401,5.312500,0.181481,0.962963,2.962963,0.000000,0.000000
0.050000,2.236957,5.312500,0.237037,1.111111,2.962963,-0.000000,0.000000
0.050000,2.299920,5.312500,0.300000,1.259259,2.962963,-0.000000,0.000000
0.050000,2.370290,5.312500,0.370370,1.407407,2.962963,0.000000,0.000000
0.050000,2.448068,5.312500,0.448148,1.555556,2.962963,0.000000,0.000000
0.050000,2.533253,5.312500,0.533333,1.703704,2.962963,0.000000,0.000000
0.050000,2.625846,5.312500,0.625926,1.851852,2.962963,0.000000,0.000000
0.050000,2.725846,5.312500,0.725926,2.000000,2.962963,-0.000000,0.000000
0.050000,2.833253,5.312500,0.833333,2.148148,2.962963,0.000000,0.000000
0.050000,2.948068,5.312500,0.948148,2.296296,2.962963,0.000000,0.000000
0.050000,3.070290,5.312500,1.070370,2.444444,2.962963,-0.000000,0.000000
0.050000,3.199920,5.312500,1.200000,2.592593,2.962963,0.000000,0.000000
0.050000,3.336957,5.312500,1.337037,2.740741,2.962963,0.000000,0.000000
0.050000,3.481401,5.312500,1.481481,2.888889,2.962963,0.000000,0.000000
0.050000,3.633253,5.312500,1.633333,3.037037,2.962963,0.000000,0.000000
0.050000,3.792513,5.312500,1.792593,3.185185,2.962963,0.000000,0.000000
0.050000,3.959179,5.312500,1.959259,3.333333,2.962963,0.000000,0.000000
0.050000,4.133253,5.312500,2.133333,3.481481,2.962963,0.000000,0.000000
0.050000,4.314735,5.312500,2.314815,3.629630,2.962963,0.000000,0.000000
0.050000,4.503624,5.312500,2.503704,3.777778,2.962963,0.000000,0.000000
0.050000,4.699920,5.312500,2.700000,3.925926,2.962963,0.000000,0.000000
0.050000,4.899920,5.312500,2.900000,4.000000,1.481481,-29.629630,0.000000
0.050000,5.099920,5.312500,3.100000,4.000000,0.000000,-29.629630,0.000000
0.050000,5.299920,5.312500,3.300000,4.000000,0.000000,-0.000000,0.000000
0.050000,5.499920,5.312500,3.500000,4.000000,-0.000000,-0.000000,0.000000
0.050000,5.699920,5.312500,3.700000,4.000000,0.000000,0.000000,0.000000
0.050000,5.899920,5.312500,3.900000,4.000000,0.000000,-0.000000,0.000000
0.050000,6.099920,5.312500,4.100000,4.000000,0.000000,0.000000,0.000000
0.050000,6.299920,5.312500,4.300000,4.000000,0.000000,0.000000,0.000000
0.050000,6.499920,5.312500,4.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,6.699920,5.312500,4.700000,4.000000,0.000000,0.000000,0.000000
0.050000,6.899920,5.312500,4.900000,4.000000,0.000000,0.000000,0.000000
0.050000,7.099920,5.312500,5.100000,4.000000,-0.000000,-0.000000,0.000000
0.050000,7.299920,5.312500,5.300000,4.000000,0.000000,0.000000,0.000000
0.050000,7.499920,5.312500,5.500000,4.000000,0.000000,-0.000000,0.000000
0.050000,7.699920,5.312500,5.700000,4.000000,0.000000,0.000000,0.000000
0.050000,7.899920,5.312500,5.900000,4.000000,0.000000,0.000000,0.000000
0.050000,8.099920,5.312500,6.100000,4.000000,0.000000,0.000000,0.000000
0.050000,8.299920,5.312500,6.300000,4.000000,-0.000000,-0.000000,0.000000
0.050000,8.499920,5.312500,6.500000,4.000000,0.000000,0.000000,0.000000
0.050000,8.699920,5.312500,6.700000,4.000000,-0.000000,-0.000000,0.000000
